Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
kc1,GaussianNB,Baseline,1,0.0,0.0,0.9415082931518555,0.0024280548095703125,2.743546834560607e-06,179,1308,296,115,0.7922349737900147,0.3544089030186804,18,148,31,14,0.8282122905027933,0.3307103684200034,
kc1,GaussianNB,Baseline,2,0.0,0.0,0.9399518966674805,0.0024280548095703125,1.0062869777053952e-05,179,1308,296,115,0.7975077187982424,0.3544089030186804,18,144,35,14,0.7958275139664804,0.3035042163452799,
kc1,GaussianNB,Baseline,3,0.0,0.0,0.9399518966674805,0.0024280548095703125,3.1393483246830187e-06,181,1310,294,113,0.8043581522384515,0.36113249114743573,16,144,35,16,0.7178770949720671,0.2550937960444555,
kc1,GaussianNB,Baseline,4,0.015625,0.0,0.9399518966674805,0.0024280548095703125,5.887941642102225e-06,179,1309,296,114,0.7907318214198377,0.3557450740193785,18,146,32,15,0.8404834865509022,0.31237003464210156,
kc1,GaussianNB,Baseline,5,0.0,0.0,0.9399518966674805,0.0024280548095703125,3.4123752490646164e-06,172,1321,284,121,0.7917737871200281,0.3467997367558873,23,141,37,10,0.8255022131426626,0.3938261556305904,
kc1,GaussianNB,Baseline,6,0.0,0.0,0.9399518966674805,0.0024280548095703125,4.582659442010914e-06,177,1307,298,116,0.7958895516357798,0.3490121204378942,19,154,24,14,0.794688457609806,0.3975977557394597,
kc1,GaussianNB,Baseline,7,0.0,0.0,0.9399042129516602,0.0024280548095703125,4.064947680258091e-06,175,1305,300,118,0.7927647177655152,0.3422791668564099,22,149,29,11,0.8195437521280218,0.42739842231519504,
kc1,GaussianNB,Baseline,8,0.0,0.0,0.9399518966674805,0.0024280548095703125,2.0729325963056084e-06,188,1280,325,105,0.7961266519940884,0.35727012658711865,22,133,45,11,0.7997105890364318,0.3229232690676779,
kc1,GaussianNB,Baseline,9,0.015625,0.0,0.9399518966674805,0.0024280548095703125,5.575999857498442e-06,174,1323,282,119,0.7987911071417181,0.3536261067505222,21,141,37,12,0.7657473612529793,0.3486233985323683,
kc1,GaussianNB,Baseline,10,0.0,0.0,0.9404325485229492,0.0024280548095703125,3.8422056327367005e-06,177,1307,298,117,0.7972799711785026,0.34776822083661474,20,148,30,12,0.7788799157303371,0.3851619388012315,
kc1,GaussianNB,Standard Scaler,1,0.0,0.0,1.047867774963379,0.0029621124267578125,2.743651168356876e-06,179,1308,296,115,0.7901292686650719,0.3544089030186804,18,148,31,14,0.800977653631285,0.3307103684200034,
