Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
nomao,GaussianNB,Baseline,1,0.09375,0.015625,37.493475914001465,0.013271331787109375,0.9999999999999147,5651,2089,482,778,0.8586854441347456,0.670457085138452,642,227,58,73,0.8564936817568397,0.6840240027293552,
nomao,GaussianNB,Baseline,2,0.09375,0.015625,36.8211612701416,0.013135910034179688,1.0,5843,1855,716,586,0.8201751846562146,0.640484257513481,634,195,90,81,0.7850766777082566,0.5765404522363636,
nomao,GaussianNB,Baseline,3,0.09375,0.015625,37.65426158905029,0.013309478759765625,0.9999999999999989,5690,2051,520,739,0.8497473736851788,0.6669080040260351,624,233,52,91,0.8627432216905901,0.6658084599111139,
nomao,GaussianNB,Baseline,4,0.109375,0.015625,37.65457248687744,0.013309478759765625,1.0,5743,2002,569,686,0.8430433822238896,0.6632569915509018,631,213,72,84,0.8192369034474298,0.6222737097115938,
nomao,GaussianNB,Baseline,5,0.109375,0.015625,37.49190425872803,0.013271331787109375,1.0,5596,2129,441,834,0.8622002287429426,0.6715625610314748,613,232,54,101,0.8552109655050831,0.6421674480951629,
nomao,GaussianNB,Baseline,6,0.109375,0.015625,37.658576011657715,0.013309478759765625,0.9999999999999716,5736,1992,578,694,0.8416528493019708,0.6585677647000289,645,233,53,69,0.8693536855301561,0.7067301277872066,
nomao,GaussianNB,Baseline,7,0.09375,0.015625,37.657602310180664,0.013309478759765625,1.0,5713,2029,541,717,0.8475276397722253,0.6650638150771856,632,228,58,82,0.849711562946857,0.6667120299281707,
nomao,GaussianNB,Baseline,8,0.09375,0.015625,37.658400535583496,0.013309478759765625,1.0,5740,1977,593,690,0.8378281220688528,0.6547594556987942,637,226,60,77,0.8505171299288946,0.6709840767933588,
nomao,GaussianNB,Baseline,9,0.109375,0.015625,37.65809345245361,0.013309478759765625,0.9999999999999716,5746,2005,565,684,0.8443417891571003,0.66488296984396,636,217,69,78,0.8327432371550019,0.6435822839931298,
nomao,GaussianNB,Baseline,10,0.09375,0.015625,37.32403564453125,0.013233184814453125,1.0,5823,1815,755,607,0.811393274473377,0.6231102039115114,658,197,89,56,0.8080522418757713,0.6344709250252029,
