Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
pc4,GaussianNB,Baseline,1,0.015625,0.0,1.4245309829711914,0.004214286804199219,0.006501521976377225,68,1062,90,92,0.8270643446180554,0.3487608949675804,4,118,10,14,0.7858072916666667,0.1608962280480689,
pc4,GaussianNB,Baseline,2,0.015625,0.0,1.4229021072387695,0.004214286804199219,0.22627158073972742,73,1054,98,87,0.8247829861111111,0.36077012835007527,8,121,7,10,0.8947482638888888,0.42204020171443485,
pc4,GaussianNB,Baseline,3,0.015625,0.015625,1.422682762145996,0.004214286804199219,0.00011764428325182144,103,953,199,57,0.8337944878472222,0.3661418595082262,9,105,23,9,0.7799479166666667,0.2545585623734381,
pc4,GaussianNB,Baseline,4,0.015625,0.0,1.4226465225219727,0.004214286804199219,0.00027928758225868427,91,993,159,69,0.8287299262152776,0.3588874312704711,12,108,20,6,0.8626302083333334,0.4056380343511697,
pc4,GaussianNB,Baseline,5,0.0,0.0,1.4225502014160156,0.004214286804199219,0.00031575358450753883,98,974,178,62,0.83671875,0.367708881620862,13,108,20,5,0.8682725694444444,0.4448772139887084,
pc4,GaussianNB,Baseline,6,0.0,0.0,1.422379493713379,0.004214286804199219,1.1721782351003207e-05,102,926,226,58,0.8193196614583333,0.3335068992567498,10,101,27,8,0.7634548611111112,0.26047446461670587,
pc4,GaussianNB,Baseline,7,0.015625,0.0,1.4225549697875977,0.004214286804199219,5.487236275799995e-06,125,831,321,35,0.827536349826389,0.34720497557368335,13,91,37,5,0.8333333333333333,0.3001018586725242,
pc4,GaussianNB,Baseline,8,0.0,0.0,1.3950586318969727,0.004176139831542969,0.007219930893662649,69,1063,89,91,0.8321940104166666,0.35591765006951775,4,117,11,14,0.7682291666666667,0.14757307721417878,
pc4,GaussianNB,Baseline,9,0.015625,0.015625,1.4228324890136719,0.004214286804199219,0.0035141240926934284,74,1055,97,87,0.8297182324016563,0.36587467325541534,6,117,11,11,0.8451286764705883,0.26700367647058826,
pc4,GaussianNB,Baseline,10,0.0,0.0,1.4231843948364258,0.004214286804199219,0.0015132671621293004,92,994,158,69,0.8304595841959972,0.3628007394937644,10,106,22,7,0.8687959558823529,0.32298662712673865,
pc4,GaussianNB,Standard Scaler,1,0.015625,0.0,1.4262189865112305,0.005054473876953125,0.4556694471268542,118,942,210,42,0.8619927300347222,0.4195731958391368,10,111,17,8,0.769314236111111,0.3579829616668848,
pc4,GaussianNB,Standard Scaler,2,0.015625,0.015625,1.4249811172485352,0.005054473876953125,0.0009719542448390242,98,1014,138,62,0.8601508246527778,0.4197725170121156,11,110,18,7,0.8641493055555556,0.38770028030907744,
