Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
phoneme,GaussianNB,Baseline,1,0.015625,0.0,0.5369539260864258,0.001705169677734375,0.540881259649712,1000,2782,654,427,0.8187528399982706,0.4905970207489332,109,301,81,50,0.812950706312358,0.45186965595830236,
phoneme,GaussianNB,Baseline,2,0.0,0.0,0.5354719161987305,0.001705169677734375,0.5321381427159134,1004,2738,698,423,0.8160890541877788,0.4777388051071748,119,315,67,40,0.8339754354769666,0.5495924346261812,
phoneme,GaussianNB,Baseline,3,0.015625,0.0,0.5354719161987305,0.001705169677734375,0.5657978770128552,975,2806,630,452,0.817365166875647,0.4840694062946871,104,312,70,55,0.8259409266027857,0.45919564644720545,
phoneme,GaussianNB,Baseline,4,0.015625,0.0,0.5352087020874023,0.001705169677734375,0.5456188887810375,996,2778,658,431,0.8182959928797113,0.48678396560876763,107,309,73,52,0.8149264052158451,0.4658628834800744,
phoneme,GaussianNB,Baseline,5,0.015625,0.0,0.5356416702270508,0.001705169677734375,0.5945202964621815,966,2845,591,462,0.8220781036512393,0.49245111387925433,96,313,69,62,0.7871462654914176,0.42169319007387895,
phoneme,GaussianNB,Baseline,6,0.015625,0.0,0.5355100631713867,0.001705169677734375,0.5370804320208874,1004,2737,699,424,0.8169668332990939,0.47701759593323856,116,309,73,42,0.8242925309828352,0.5180095490382695,
phoneme,GaussianNB,Baseline,7,0.015625,0.0,0.5356416702270508,0.001705169677734375,0.5908625955436346,954,2833,603,474,0.8165690024554642,0.4808386940880657,109,313,69,49,0.8276393399164954,0.4928591641397389,
phoneme,GaussianNB,Baseline,8,0.0,0.0,0.5355062484741211,0.001705169677734375,0.5345144115614563,1015,2748,688,413,0.8205269302132959,0.48742820163962286,104,302,80,54,0.7954967194645106,0.430807053557147,
phoneme,GaussianNB,Baseline,9,0.0,0.0,0.5355863571166992,0.001705169677734375,0.583389063061503,965,2845,592,462,0.8201041512262266,0.4918938929665297,102,301,80,57,0.8029680252232623,0.4161027183596062,
phoneme,GaussianNB,Baseline,10,0.015625,0.015625,0.5356740951538086,0.001705169677734375,0.5368040745714348,999,2733,704,428,0.813962364711162,0.4727136514189316,120,310,71,39,0.846861123491639,0.5418251866362342,
phoneme,GaussianNB,Standard Scaler,1,0.015625,0.0,0.5396184921264648,0.001873016357421875,0.5408812596550208,1000,2782,654,427,0.8187528399982706,0.4905970207489332,109,301,81,50,0.812950706312358,0.45186965595830236,
phoneme,GaussianNB,Standard Scaler,2,0.0,0.0,0.539301872253418,0.001873016357421875,0.5321381427150194,1004,2738,698,423,0.8160890541877788,0.4777388051071748,119,315,67,40,0.8339754354769666,0.5495924346261812,
phoneme,GaussianNB,Standard Scaler,3,0.015625,0.0,0.5390825271606445,0.001873016357421875,0.5657978770167784,975,2806,630,452,0.817365166875647,0.4840694062946871,104,312,70,55,0.8259409266027857,0.45919564644720545,
phoneme,GaussianNB,Standard Scaler,4,0.0,0.0,0.5394773483276367,0.001873016357421875,0.5456188887793882,996,2778,658,431,0.8182959928797113,0.48678396560876763,107,309,73,52,0.8149264052158451,0.4658628834800744,
phoneme,GaussianNB,Standard Scaler,5,0.015625,0.0,0.5394716262817383,0.001873016357421875,0.594520296468543,966,2845,591,462,0.8220781036512393,0.49245111387925433,96,313,69,62,0.7871462654914176,0.42169319007387895,
phoneme,GaussianNB,Standard Scaler,6,0.015625,0.0,0.5394277572631836,0.001873016357421875,0.537080432023143,1004,2737,699,424,0.8169668332990939,0.47701759593323856,116,309,73,42,0.8242925309828352,0.5180095490382695,
