Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
profb,GaussianNB,Baseline,1,0.015625,0.0,0.2299480438232422,0.0027246475219726562,0.08542970707855342,164,187,216,37,0.6794377986000519,0.2730864105150875,18,23,22,5,0.6260869565217391,0.2823542943715121,
profb,GaussianNB,Baseline,2,0.0,0.015625,0.22760295867919922,0.0027246475219726562,0.20696442030045506,109,300,103,92,0.6829438415861141,0.2830580477834634,10,27,18,13,0.5942028985507246,0.033436692754521165,
profb,GaussianNB,Baseline,3,0.0,0.015625,0.22811412811279297,0.0027246475219726562,0.18990622746317753,153,218,186,48,0.6686246982907245,0.28544535097414303,16,27,17,7,0.7134387351778656,0.29373632217249945,
profb,GaussianNB,Baseline,4,0.015625,0.0,0.22812175750732422,0.0027246475219726562,0.0861729848127666,174,167,237,27,0.6867272548150338,0.281598444978093,18,18,26,5,0.5933794466403162,0.191699604743083,
profb,GaussianNB,Baseline,5,0.015625,0.015625,0.2277059555053711,0.0027246475219726562,0.15823162745924257,135,260,143,67,0.6811598653661891,0.29664645981414284,11,23,22,11,0.5545454545454545,0.010437071518085825,
profb,GaussianNB,Baseline,6,0.015625,0.0,0.22802066802978516,0.0027246475219726562,0.13965677348568317,165,199,204,37,0.6795260791587844,0.30033082991541354,17,19,26,5,0.6696969696969697,0.1909412947173698,
profb,GaussianNB,Baseline,7,0.015625,0.0,0.22736263275146484,0.0027246475219726562,0.14590893144881154,161,201,202,41,0.6788995897108321,0.28474050007024015,17,21,24,5,0.6575757575757576,0.2307024179817586,
profb,GaussianNB,Baseline,8,0.0,0.0,0.22774887084960938,0.0027246475219726562,0.317662273497872,139,239,164,63,0.6756627275630789,0.2652001867928941,16,31,14,6,0.709090909090909,0.3930231474954045,
profb,GaussianNB,Baseline,9,0.015625,0.0,0.22771358489990234,0.0027246475219726562,0.10612624849128581,164,198,205,38,0.678543350612977,0.29314531355922957,18,19,26,4,0.6212121212121212,0.2377765949518141,
profb,GaussianNB,Baseline,10,0.015625,0.0,0.22749042510986328,0.0027246475219726562,0.1529849383832878,165,193,210,37,0.6820504631108272,0.28731515620521303,15,19,26,7,0.6060606060606061,0.1002630761692875,
profb,GaussianNB,Standard Scaler,1,0.015625,0.0,0.23001575469970703,0.0029153823852539062,0.08542825163239795,164,187,216,37,0.6794377986000519,0.2730864105150875,18,23,22,5,0.6260869565217391,0.2823542943715121,
profb,GaussianNB,Standard Scaler,2,0.015625,0.0,0.23000621795654297,0.0029153823852539062,0.2069633469203901,109,300,103,92,0.6829438415861141,0.2830580477834634,10,27,18,13,0.5942028985507246,0.033436692754521165,
profb,GaussianNB,Standard Scaler,3,0.015625,0.0,0.2304248809814453,0.0029153823852539062,0.18990542245817382,153,218,186,48,0.6686246982907245,0.28544535097414303,16,27,17,7,0.7134387351778656,0.29373632217249945,
profb,GaussianNB,Standard Scaler,4,0.015625,0.0,0.2301626205444336,0.0029153823852539062,0.08617226270326671,174,167,237,27,0.6867272548150338,0.281598444978093,18,18,26,5,0.5933794466403162,0.191699604743083,
profb,GaussianNB,Standard Scaler,5,0.015625,0.0,0.22989368438720703,0.0029153823852539062,0.15823074032640103,135,260,143,67,0.6811598653661891,0.29664645981414284,11,23,22,11,0.5545454545454545,0.010437071518085825,
profb,GaussianNB,Standard Scaler,6,0.015625,0.0,0.23010921478271484,0.0029153823852539062,0.13965609063814832,165,199,204,37,0.6795260791587844,0.30033082991541354,17,19,26,5,0.6696969696969697,0.1909412947173698,
profb,GaussianNB,Standard Scaler,7,0.015625,0.0,0.23010540008544922,0.0029153823852539062,0.1459081813039567,161,201,202,41,0.6788995897108321,0.28474050007024015,17,21,24,5,0.6575757575757576,0.2307024179817586,
profb,GaussianNB,Standard Scaler,8,0.015625,0.0,0.2302408218383789,0.0029153823852539062,0.3176615838073394,139,239,164,63,0.6756627275630789,0.2652001867928941,16,31,14,6,0.709090909090909,0.3930231474954045,
profb,GaussianNB,Standard Scaler,9,0.015625,0.0,0.23011302947998047,0.0029153823852539062,0.10612553403254431,164,198,205,38,0.678543350612977,0.29314531355922957,18,19,26,4,0.6212121212121212,0.2377765949518141,
profb,GaussianNB,Standard Scaler,10,0.015625,0.015625,0.23015308380126953,0.0029153823852539062,0.1529842409695642,165,193,210,37,0.6820504631108272,0.28731515620521303,15,19,26,7,0.6060606060606061,0.1002630761692875,
profb,GaussianNB,MinMax Scaler,1,0.015625,0.0,0.23015499114990234,0.00308990478515625,0.08542824029637118,164,187,216,37,0.6794377986000519,0.2730864105150875,18,23,22,5,0.6260869565217391,0.2823542943715121,
profb,GaussianNB,MinMax Scaler,2,0.015625,0.015625,0.23056602478027344,0.00308990478515625,0.20696333813679596,109,300,103,92,0.6829438415861141,0.2830580477834634,10,27,18,13,0.5942028985507246,0.033436692754521165,
profb,GaussianNB,MinMax Scaler,3,0.015625,0.0,0.23034381866455078,0.00308990478515625,0.18990541564949484,153,218,186,48,0.6686246982907245,0.28544535097414303,16,27,17,7,0.7134387351778656,0.29373632217249945,
profb,GaussianNB,MinMax Scaler,4,0.015625,0.0,0.23078250885009766,0.00308990478515625,0.08617225808290219,174,167,237,27,0.6867272548150338,0.281598444978093,18,18,26,5,0.5933794466403162,0.191699604743083,
profb,GaussianNB,MinMax Scaler,5,0.015625,0.015625,0.2303628921508789,0.00308990478515625,0.15823073356944017,135,260,143,67,0.6811598653661891,0.29664645981414284,11,23,22,11,0.5545454545454545,0.010437071518085825,
profb,GaussianNB,MinMax Scaler,6,0.015625,0.0,0.2301950454711914,0.00308990478515625,0.1396560852801426,165,199,204,37,0.6795260791587844,0.30033082991541354,17,19,26,5,0.6696969696969697,0.1909412947173698,
profb,GaussianNB,MinMax Scaler,7,0.015625,0.0,0.23024272918701172,0.00308990478515625,0.14590817561408573,161,201,202,41,0.6788995897108321,0.28474050007024015,17,21,24,5,0.6575757575757576,0.2307024179817586,
profb,GaussianNB,MinMax Scaler,8,0.015625,0.0,0.23037052154541016,0.00308990478515625,0.31766157789513394,139,239,164,63,0.6756627275630789,0.2652001867928941,16,31,14,6,0.709090909090909,0.3930231474954045,
profb,GaussianNB,MinMax Scaler,9,0.015625,0.015625,0.23041820526123047,0.00308990478515625,0.10612552870707283,164,198,205,38,0.6785433506129769,0.29314531355922957,18,19,26,4,0.6212121212121212,0.2377765949518141,
profb,GaussianNB,MinMax Scaler,10,0.0,0.0,0.2304544448852539,0.00308990478515625,0.15298423619632026,165,193,210,37,0.6820504631108272,0.28731515620521303,15,19,26,7,0.6060606060606061,0.1002630761692875,
profb,GaussianNB,IQR Capping,1,0.03125,0.0,0.2422161102294922,0.0029697418212890625,0.08208368680682791,165,188,215,36,0.6794995247089615,0.2803603650022595,18,22,23,5,0.629951690821256,0.26251996311759845,
profb,GaussianNB,IQR Capping,2,0.03125,0.0,0.2415904998779297,0.0029697418212890625,0.17844463006204334,128,265,138,73,0.6814624149722849,0.2794253601626551,12,24,21,11,0.6,0.05213311661791026,
profb,GaussianNB,IQR Capping,3,0.046875,0.015625,0.242340087890625,0.0029697418212890625,0.18331456151282918,155,214,190,46,0.668452292990493,0.28624541183053254,17,27,17,6,0.7144268774703558,0.3350283291232662,
profb,GaussianNB,IQR Capping,4,0.03125,0.0,0.24206829071044922,0.0029697418212890625,0.11386904735090461,158,205,199,43,0.6876508546377026,0.281080070151369,17,22,22,6,0.5904150197628458,0.2302044902731774,
profb,GaussianNB,IQR Capping,5,0.046875,0.015625,0.24170303344726562,0.0029697418212890625,0.12604065022704436,160,212,191,42,0.6817617866004965,0.3039958131245533,15,20,25,7,0.5525252525252524,0.12088726108034571,
profb,GaussianNB,IQR Capping,6,0.046875,0.015625,0.2416210174560547,0.0029697418212890625,0.14013669382670557,163,203,200,39,0.6800788639658011,0.2990490679129658,16,18,27,6,0.6727272727272727,0.12465597478957821,
profb,GaussianNB,IQR Capping,7,0.03125,0.0,0.24169635772705078,0.0029697418212890625,0.14049865904511366,161,201,202,41,0.6794032380905585,0.28474050007024015,17,20,25,5,0.6616161616161617,0.2108755426039124,
profb,GaussianNB,IQR Capping,8,0.046875,0.015625,0.24179458618164062,0.0029697418212890625,0.31210152632254745,139,239,164,63,0.6763137852246763,0.2652001867928941,16,30,15,6,0.7080808080808081,0.3710350286774851,
profb,GaussianNB,IQR Capping,9,0.03125,0.015625,0.24157333374023438,0.0029697418212890625,0.12259071331942997,152,228,175,50,0.6791759821143404,0.3011451541183112,15,21,24,7,0.6161616161616162,0.14138014354337383,
profb,GaussianNB,IQR Capping,10,0.03125,0.0,0.2417011260986328,0.0029697418212890625,0.1545830312435243,162,202,201,40,0.6815836670515686,0.29189478399160296,15,19,26,7,0.609090909090909,0.1002630761692875,
profb,GaussianNB,IQR Removal,1,0.03125,0.0,0.2751932144165039,0.0029020309448242188,0.08674707777548536,157,204,199,44,0.6797834648099453,0.27518979015562833,16,24,21,7,0.6309178743961352,0.21751863145082542,
profb,GaussianNB,IQR Removal,2,0.03125,0.0,0.27569103240966797,0.0029020309448242188,0.20006571210086796,108,305,98,93,0.6836598644494649,0.2923650396542983,10,31,14,13,0.6086956521739131,0.12243563433781011,
profb,GaussianNB,IQR Removal,3,0.03125,0.015625,0.27527523040771484,0.0029020309448242188,0.16253529974382547,159,206,198,42,0.6700531993497857,0.2882152794175788,17,27,17,6,0.7164031620553359,0.3350283291232662,
profb,GaussianNB,IQR Removal,4,0.03125,0.0,0.27811717987060547,0.0029020309448242188,0.1730031941633513,119,287,117,82,0.6909388700064036,0.292047022791003,8,30,14,15,0.5785573122529644,0.0299718396998085,
profb,GaussianNB,IQR Removal,5,0.03125,0.0,0.2760601043701172,0.0029020309448242188,0.13107301830044518,150,232,171,52,0.6835061297693045,0.30074193823681533,14,22,23,8,0.5515151515151515,0.11828852011997612,
profb,GaussianNB,IQR Removal,6,0.03125,0.0,0.2757987976074219,0.0029020309448242188,0.12833574502803538,164,204,199,38,0.6807299216273985,0.3062033518343286,17,18,27,5,0.6767676767676768,0.17083948628890844,
profb,GaussianNB,IQR Removal,7,0.03125,0.0,0.27649974822998047,0.0029020309448242188,0.11410194123550807,171,181,222,31,0.6812949905412377,0.2922574788045042,19,18,27,3,0.6696969696969697,0.26689125682583426,
profb,GaussianNB,IQR Removal,8,0.046875,0.0,0.27646350860595703,0.0029020309448242188,0.26646046800973655,158,204,199,44,0.6736665602044075,0.2765259828340331,17,27,18,5,0.706060606060606,0.3504287726133867,
profb,GaussianNB,IQR Removal,9,0.03125,0.0,0.27666473388671875,0.0029020309448242188,0.11647318901837228,155,225,178,47,0.6828673562145297,0.308715594874172,14,21,24,8,0.6161616161616161,0.0976543912750021,
profb,GaussianNB,IQR Removal,10,0.03125,0.0,0.27640438079833984,0.0029020309448242188,0.1481077971651496,161,201,202,41,0.6865464462078963,0.28474050007024015,16,18,27,6,0.6141414141414141,0.12465597478957821,
profb,GaussianNB,Yeo-Johnson,1,0.0625,0.0,0.23047733306884766,0.00273895263671875,0.07696254767937696,163,192,211,38,0.6828450798118587,0.27886588806430324,18,23,22,5,0.6241545893719807,0.2823542943715121,
profb,GaussianNB,Yeo-Johnson,2,0.0625,0.0,0.22994709014892578,0.00273895263671875,0.14316892995854194,145,240,163,56,0.6824870683801834,0.29873625927223646,15,20,25,8,0.6357487922705314,0.09287970209589214,
profb,GaussianNB,Yeo-Johnson,3,0.0625,0.0,0.2305011749267578,0.00273895263671875,0.13776584166059838,166,189,215,35,0.6713092951086154,0.2864804335898869,18,22,22,5,0.7094861660079052,0.2735671204735445,
profb,GaussianNB,Yeo-Johnson,4,0.0625,0.015625,0.23027801513671875,0.00273895263671875,0.10496486945423165,158,211,193,43,0.6925028323727893,0.2942780383301992,18,22,22,5,0.5943675889328063,0.2735671204735445,
profb,GaussianNB,Yeo-Johnson,5,0.0625,0.0,0.23032093048095703,0.00273895263671875,0.10199109943069633,166,194,209,36,0.6849925066948382,0.2945353293933399,14,20,25,8,0.5505050505050505,0.07694157471748235,
profb,GaussianNB,Yeo-Johnson,6,0.0625,0.015625,0.23018932342529297,0.00273895263671875,0.11834013810506284,169,191,212,33,0.6818969117755449,0.3033289766123951,16,20,25,6,0.6707070707070708,0.16548274707552305,
profb,GaussianNB,Yeo-Johnson,7,0.0625,0.0,0.2299184799194336,0.00273895263671875,0.1275431634701933,164,198,205,38,0.6847959609856767,0.29314531355922957,18,18,27,4,0.6717171717171717,0.21818181818181817,
profb,GaussianNB,Yeo-Johnson,8,0.0625,0.015625,0.23040390014648438,0.00273895263671875,0.23509537562347357,162,190,213,40,0.6798884603100508,0.2656546366408325,17,27,18,5,0.7131313131313132,0.3504287726133867,
profb,GaussianNB,Yeo-Johnson,9,0.0625,0.0,0.23018932342529297,0.00273895263671875,0.09009909823668596,166,194,209,36,0.6826216740780778,0.2945353293933399,18,17,28,4,0.6050505050505051,0.1983789418552178,
profb,GaussianNB,Yeo-Johnson,10,0.0625,0.0,0.23018455505371094,0.00273895263671875,0.25509988526938493,98,319,84,104,0.6834017148613123,0.284544368186693,10,33,12,12,0.6080808080808081,0.18787878787878787,
profb,GaussianNB,Quantile Transform,1,0.015625,0.0,0.26510143280029297,0.03510093688964844,0.08467469389005222,146,217,186,55,0.6637964026023728,0.2508209120032253,16,22,23,7,0.6000000000000001,0.17653543412185438,
profb,GaussianNB,Quantile Transform,2,0.015625,0.0,0.26421356201171875,0.03510093688964844,0.13678764454816728,143,244,159,58,0.6638828191548461,0.29865402621477377,15,22,23,8,0.582608695652174,0.1344095896554195,
profb,GaussianNB,Quantile Transform,3,0.015625,0.015625,0.2646932601928711,0.03515434265136719,0.13485000638177025,172,165,239,29,0.6489335500714251,0.2665609711962186,20,20,24,3,0.6521739130434783,0.3241106719367589,
