Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
qsar-biodeg,GaussianNB,Baseline,1,0.015625,0.0,1.4386796951293945,0.005809783935546875,1.0,310,274,355,10,0.7052861685214626,0.41744642288943967,35,34,36,1,0.7313492063492063,0.46115013689256157,
qsar-biodeg,GaussianNB,Baseline,2,0.015625,0.0,1.453324317932129,0.005847930908203125,1.0,311,302,327,9,0.7283609896661367,0.4552503760376583,35,32,38,1,0.7162698412698413,0.4391456552757145,
qsar-biodeg,GaussianNB,Baseline,3,0.03125,0.0,1.4364080429077148,0.005809783935546875,1.0,311,277,352,9,0.7084856915739268,0.4247448326918658,34,24,46,2,0.6468253968253969,0.31623259241111207,
qsar-biodeg,GaussianNB,Baseline,4,0.015625,0.015625,1.4363088607788086,0.005809783935546875,1.0,310,292,337,10,0.7202876589825119,0.43945202267640054,31,31,39,5,0.6517857142857143,0.30396825396825394,
qsar-biodeg,GaussianNB,Baseline,5,0.015625,0.0,1.436579704284668,0.005809783935546875,1.0,311,261,368,9,0.6959459459459459,0.4053141263043992,35,33,37,1,0.7220238095238095,0.45012779018016486,
qsar-biodeg,GaussianNB,Baseline,6,0.015625,0.0,1.456040382385254,0.005847930908203125,1.0,310,270,360,10,0.7015029761904762,0.4118801243396842,36,36,33,0,0.7608695652173912,0.5217391304347826,
qsar-biodeg,GaussianNB,Baseline,7,0.015625,0.0,1.3867883682250977,0.005703926086425781,1.0,312,310,319,9,0.7348458959234111,0.4655236928508956,33,35,35,2,0.7216326530612245,0.4370100026868157,
qsar-biodeg,GaussianNB,Baseline,8,0.03125,0.0,1.4544248580932617,0.005847930908203125,1.0,312,279,350,9,0.709799959387645,0.42761066710612705,33,29,41,2,0.680204081632653,0.36908662209843285,
qsar-biodeg,GaussianNB,Baseline,9,0.03125,0.0,1.4372186660766602,0.005809783935546875,1.0,312,289,340,9,0.7180611067362029,0.4397929605309236,33,28,42,2,0.6742857142857143,0.35777087639996635,
qsar-biodeg,GaussianNB,Baseline,10,0.015625,0.0,1.4226255416870117,0.005771636962890625,1.0,309,305,324,12,0.7272880356992507,0.44890296937912005,35,34,36,0,0.7428571428571429,0.48932261312789327,
