Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
saheart,GaussianNB,Baseline,1,0.015625,0.0,0.11854267120361328,0.0024499893188476562,0.4096380570523125,101,198,73,43,0.7756252562525624,0.41675687584268295,12,19,12,4,0.719758064516129,0.34400291919567666,
saheart,GaussianNB,Baseline,2,0.0,0.0,0.11651134490966797,0.0024499893188476562,0.2275022511269265,116,171,100,28,0.7740364903649036,0.41595689353955617,12,16,15,4,0.6733870967741936,0.2550563926680926,
saheart,GaussianNB,Baseline,3,0.015625,0.0,0.11664676666259766,0.0024499893188476562,0.4824539773923519,98,208,64,46,0.7705524918300654,0.43441660472039345,7,24,6,9,0.6875,0.25122079554027393,
saheart,GaussianNB,Baseline,4,0.015625,0.0,0.11651897430419922,0.0024499893188476562,0.4741868883722157,93,203,69,51,0.7647824754901962,0.3826054500289704,11,24,6,5,0.7166666666666666,0.48102957532012225,
saheart,GaussianNB,Baseline,5,0.0,0.0,0.1166543960571289,0.0024499893188476562,0.4214027381219703,93,203,69,51,0.7594720179738563,0.3826054500289704,13,23,7,3,0.7958333333333333,0.5564453344726779,
saheart,GaussianNB,Baseline,6,0.015625,0.0,0.11652278900146484,0.0024499893188476562,0.430549284089482,99,200,72,45,0.7673866421568627,0.40880249433032534,9,23,7,7,0.7395833333333334,0.32916666666666666,
saheart,GaussianNB,Baseline,7,0.0,0.0,0.11646652221679688,0.0024499893188476562,0.24710277770287653,114,170,102,30,0.7613357843137255,0.39674602380793605,12,19,11,4,0.8145833333333333,0.36514837167011077,
saheart,GaussianNB,Baseline,8,0.0,0.0,0.1165628433227539,0.0024499893188476562,0.1981372667206983,118,161,111,26,0.7626633986928104,0.393409833094954,12,22,8,4,0.8104166666666667,0.4643716460347527,
saheart,GaussianNB,Baseline,9,0.015625,0.0,0.11664676666259766,0.0024499893188476562,0.3484058002733032,103,196,76,41,0.7720843545751632,0.41881093798571567,11,17,13,5,0.7229166666666667,0.24233840809992135,
saheart,GaussianNB,Baseline,10,0.015625,0.0,0.11668968200683594,0.0024499893188476562,0.4458796921495362,95,205,67,49,0.7612081290849673,0.4033299119055396,12,22,8,4,0.80625,0.4643716460347527,
saheart,GaussianNB,Standard Scaler,1,0.015625,0.0,0.15043926239013672,0.0026865005493164062,0.4096384030052996,101,198,73,43,0.7756252562525624,0.41675687584268295,12,19,12,4,0.719758064516129,0.34400291919567666,
saheart,GaussianNB,Standard Scaler,2,0.015625,0.0,0.15025806427001953,0.0026865005493164062,0.2275020256591696,116,171,100,28,0.7740364903649036,0.41595689353955617,12,16,15,4,0.6733870967741936,0.2550563926680926,
saheart,GaussianNB,Standard Scaler,3,0.015625,0.0,0.15051746368408203,0.0026865005493164062,0.4824545525631434,98,208,64,46,0.7705524918300654,0.43441660472039345,7,24,6,9,0.6875,0.25122079554027393,
saheart,GaussianNB,Standard Scaler,4,0.015625,0.0,0.15046977996826172,0.0026865005493164062,0.47418734293567394,93,203,69,51,0.7647824754901962,0.3826054500289704,11,24,6,5,0.7166666666666666,0.48102957532012225,
saheart,GaussianNB,Standard Scaler,5,0.015625,0.0,0.15051746368408203,0.0026865005493164062,0.4214025422053737,93,203,69,51,0.7594720179738563,0.3826054500289704,13,23,7,3,0.7958333333333333,0.5564453344726779,
saheart,GaussianNB,Standard Scaler,6,0.015625,0.0,0.15046977996826172,0.0026865005493164062,0.4305490910490585,99,200,72,45,0.7673866421568627,0.40880249433032534,9,23,7,7,0.7395833333333334,0.32916666666666666,
saheart,GaussianNB,Standard Scaler,7,0.015625,0.0,0.15046977996826172,0.0026865005493164062,0.24710249235463405,114,170,102,30,0.7613357843137255,0.39674602380793605,12,19,11,4,0.8145833333333333,0.36514837167011077,
saheart,GaussianNB,Standard Scaler,8,0.015625,0.0,0.15046977996826172,0.0026865005493164062,0.1981370419953727,118,161,111,26,0.7626633986928104,0.393409833094954,12,22,8,4,0.8104166666666667,0.4643716460347527,
saheart,GaussianNB,Standard Scaler,9,0.015625,0.0,0.15051746368408203,0.0026865005493164062,0.34840597839481807,103,196,76,41,0.7720843545751632,0.41881093798571567,11,17,13,5,0.7229166666666667,0.24233840809992135,
saheart,GaussianNB,Standard Scaler,10,0.015625,0.0,0.15051746368408203,0.0026865005493164062,0.4458794616895166,95,205,67,49,0.7612081290849673,0.4033299119055396,12,22,8,4,0.80625,0.4643716460347527,
saheart,GaussianNB,MinMax Scaler,1,0.015625,0.0,0.12548065185546875,0.00289154052734375,0.4096384026001797,101,198,73,43,0.7756252562525624,0.41675687584268295,12,19,12,4,0.719758064516129,0.34400291919567666,
saheart,GaussianNB,MinMax Scaler,2,0.015625,0.0,0.1252422332763672,0.00289154052734375,0.2275020255241819,116,171,100,28,0.7740364903649036,0.41595689353955617,12,16,15,4,0.6733870967741936,0.2550563926680926,
saheart,GaussianNB,MinMax Scaler,3,0.015625,0.0,0.12543296813964844,0.00289154052734375,0.4824545504108874,98,208,64,46,0.7705524918300654,0.43441660472039345,7,24,6,9,0.6875,0.25122079554027393,
saheart,GaussianNB,MinMax Scaler,4,0.015625,0.0,0.1254253387451172,0.00289154052734375,0.47418733987190415,93,203,69,51,0.7647824754901962,0.3826054500289704,11,24,6,5,0.7166666666666666,0.48102957532012225,
saheart,GaussianNB,MinMax Scaler,5,0.015625,0.0,0.1254730224609375,0.00289154052734375,0.4214025412748417,93,203,69,51,0.7594720179738563,0.3826054500289704,13,23,7,3,0.7958333333333333,0.5564453344726779,
saheart,GaussianNB,MinMax Scaler,6,0.015625,0.0,0.12543296813964844,0.00289154052734375,0.4305490897492346,99,200,72,45,0.7673866421568627,0.40880249433032534,9,23,7,7,0.7395833333333334,0.32916666666666666,
saheart,GaussianNB,MinMax Scaler,7,0.015625,0.0,0.12547683715820312,0.00289154052734375,0.2471024924009293,114,170,102,30,0.7613357843137255,0.39674602380793605,12,19,11,4,0.8145833333333333,0.36514837167011077,
saheart,GaussianNB,MinMax Scaler,8,0.0,0.0,0.12547683715820312,0.00289154052734375,0.19813704277590194,118,161,111,26,0.7626633986928104,0.393409833094954,12,22,8,4,0.8104166666666667,0.4643716460347527,
saheart,GaussianNB,MinMax Scaler,9,0.015625,0.015625,0.1254730224609375,0.00289154052734375,0.3484059750253711,103,196,76,41,0.7720843545751632,0.41881093798571567,11,17,13,5,0.7229166666666667,0.24233840809992135,
saheart,GaussianNB,MinMax Scaler,10,0.015625,0.0,0.1255168914794922,0.00289154052734375,0.44587946055248223,95,205,67,49,0.7612081290849673,0.4033299119055396,12,22,8,4,0.80625,0.4643716460347527,
saheart,GaussianNB,IQR Capping,1,0.046875,0.015625,0.15680885314941406,0.0027408599853515625,0.4878029484667906,99,200,71,45,0.7757021320213202,0.4118750508710416,12,19,12,4,0.7137096774193548,0.34400291919567666,
saheart,GaussianNB,IQR Capping,2,0.03125,0.0,0.15648841857910156,0.0027408599853515625,0.7594804438135292,81,227,44,63,0.7762658876588767,0.4151662981216903,6,24,7,10,0.6612903225806451,0.15804463099414362,
saheart,GaussianNB,IQR Capping,3,0.046875,0.015625,0.1567697525024414,0.0027408599853515625,0.574760759445187,95,209,63,49,0.7730545343137255,0.4196402825560151,7,24,6,9,0.6791666666666667,0.25122079554027393,
saheart,GaussianNB,IQR Capping,4,0.046875,0.015625,0.1567220687866211,0.0027408599853515625,0.5900663270750665,90,208,64,54,0.7669015522875817,0.3839650130726582,11,25,5,5,0.7395833333333333,0.5208333333333334,
saheart,GaussianNB,IQR Capping,5,0.046875,0.015625,0.1567697525024414,0.0027408599853515625,0.5282863621145599,91,205,67,53,0.7604932598039216,0.3779965903939678,12,23,7,4,0.825,0.4997725278535636,
saheart,GaussianNB,IQR Capping,6,0.03125,0.0,0.1567220687866211,0.0027408599853515625,0.4227393785359634,104,193,79,40,0.7668760212418301,0.41383361667372687,9,22,8,7,0.7416666666666667,0.29190683630537334,
saheart,GaussianNB,IQR Capping,7,0.03125,0.0,0.15667438507080078,0.0027408599853515625,0.2964725842534189,112,176,96,32,0.7650888480392156,0.40422604172722165,12,19,11,4,0.8,0.36514837167011077,
saheart,GaussianNB,IQR Capping,8,0.03125,0.0,0.15662670135498047,0.0027408599853515625,0.5918848208500418,88,210,62,56,0.7633782679738562,0.37963887269519353,9,26,4,7,0.825,0.45396038492365287,
saheart,GaussianNB,IQR Capping,9,0.046875,0.015625,0.1567220687866211,0.0027408599853515625,0.41722394760599596,102,195,77,42,0.7699908088235294,0.40860561053714156,11,17,13,5,0.7416666666666667,0.24233840809992135,
saheart,GaussianNB,IQR Capping,10,0.046875,0.015625,0.1567220687866211,0.0027408599853515625,0.4126900587920612,102,191,81,42,0.762408088235294,0.39347472540879425,12,22,8,4,0.8020833333333333,0.4643716460347527,
saheart,GaussianNB,IQR Removal,1,0.03125,0.0,0.17137622833251953,0.0026273727416992188,0.5288920253517401,98,207,64,46,0.7664514145141451,0.43362620783009137,11,21,10,5,0.7217741935483871,0.3478094801460981,
saheart,GaussianNB,IQR Removal,2,0.046875,0.0,0.1706094741821289,0.0026273727416992188,0.8712980754286057,77,232,39,67,0.776829643296433,0.4145413341714399,5,24,7,11,0.6754032258064516,0.09421129470055671,
saheart,GaussianNB,IQR Removal,3,0.03125,0.0,0.1705951690673828,0.0026273727416992188,0.6898059238743162,95,209,63,49,0.7657781862745098,0.4196402825560151,7,22,8,9,0.70625,0.17356684023359367,
saheart,GaussianNB,IQR Removal,4,0.03125,0.0,0.17280292510986328,0.0026273727416992188,0.8663521585197568,69,237,35,75,0.7615910947712418,0.3850770231077027,7,26,4,9,0.75,0.33962673679544186,
saheart,GaussianNB,IQR Removal,5,0.03125,0.0,0.1723918914794922,0.0026273727416992188,0.7029708396128291,82,221,51,62,0.7594720179738562,0.3896250376200915,11,25,5,5,0.8375,0.5208333333333334,
saheart,GaussianNB,IQR Removal,6,0.03125,0.0,0.17065143585205078,0.0026273727416992188,0.48686818646947494,105,190,82,39,0.764859068627451,0.40903683738869595,9,23,7,7,0.7395833333333334,0.32916666666666666,
saheart,GaussianNB,IQR Removal,7,0.03125,0.015625,0.1717205047607422,0.0026273727416992188,0.3642464479689949,110,178,94,34,0.7618208741830066,0.3980807959683233,11,19,11,5,0.8083333333333333,0.30590258071629417,
saheart,GaussianNB,IQR Removal,8,0.03125,0.0,0.17024707794189453,0.0026273727416992188,0.8747965571851051,67,243,29,77,0.7631995506535948,0.40498430703343946,5,28,2,11,0.8,0.32597182586479967,
saheart,GaussianNB,IQR Removal,9,0.03125,0.0,0.17045307159423828,0.0026273727416992188,0.5451851923497947,97,202,70,47,0.7722886029411765,0.40398994824418094,11,18,12,5,0.7145833333333333,0.2738612787525831,
saheart,GaussianNB,IQR Removal,10,0.03125,0.0,0.1711750030517578,0.0026273727416992188,0.5970125499017099,91,209,63,53,0.7581188725490196,0.3944294683555608,11,20,10,5,0.8270833333333334,0.3386481059780782,
