Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
spambase,GaussianNB,Baseline,1,0.0,0.0,5.43295955657959,0.0040416717529296875,0.9999999999999898,1363,2380,129,268,0.9489485919359832,0.798176257056129,156,262,17,26,0.942356926227894,0.803797498446397,
spambase,GaussianNB,Baseline,2,0.0,0.0,5.432677268981934,0.0040416717529296875,0.9999999999997484,1423,2318,192,208,0.9488205363707646,0.7973726649908683,154,256,22,28,0.9368329512214404,0.7716985171491897,
spambase,GaussianNB,Baseline,3,0.0,0.0,5.432677268981934,0.0040416717529296875,0.9999999999999811,1366,2385,125,265,0.9489695418204557,0.8018168250281201,153,260,18,29,0.9406870108308957,0.785096610090337,
spambase,GaussianNB,Baseline,4,0.015625,0.0,5.432677268981934,0.0040416717529296875,0.9999999999998966,1382,2359,150,250,0.9460816062176165,0.7965897130478747,154,265,14,27,0.9571080615457731,0.8123398696159246,
spambase,GaussianNB,Baseline,5,0.015625,0.0,5.432677268981934,0.0040416717529296875,0.9999999999999591,1391,2367,142,241,0.9501162237513578,0.8052902804663549,152,260,19,29,0.9463949781183786,0.7800651855188833,
spambase,GaussianNB,Baseline,6,0.015625,0.0,5.432677268981934,0.0040416717529296875,0.9999999999999769,1383,2359,150,249,0.9476541314014646,0.7971026178500044,159,256,23,22,0.9362660646745481,0.7952523567676387,
spambase,GaussianNB,Baseline,7,0.015625,0.0,5.432677268981934,0.0040416717529296875,0.9999999999999378,1389,2365,144,243,0.9485970603865301,0.8032433648122672,149,263,16,32,0.9473553931761025,0.7800742697349259,
spambase,GaussianNB,Baseline,8,0.015625,0.0,5.432677268981934,0.0040416717529296875,0.9999999999997725,1422,2316,193,210,0.9483689599793684,0.7958788326672969,155,258,21,26,0.9463949781183787,0.7850983364430659,
spambase,GaussianNB,Baseline,9,0.015625,0.0,5.432677268981934,0.0040416717529296875,0.9999999999999261,1385,2362,147,247,0.9483351356684563,0.7996604997776264,152,272,7,29,0.9652765401295075,0.8368577544130782,
spambase,GaussianNB,Baseline,10,0.015625,0.0,5.432677268981934,0.0040416717529296875,0.9999999999999222,1396,2373,136,236,0.9502669067826413,0.8109200511200496,150,260,19,31,0.9341670132081823,0.7707692462630307,
spambase,GaussianNB,Standard Scaler,1,0.015625,0.0,5.674277305603027,0.005408287048339844,1.0,1410,2311,198,221,0.9336629702659636,0.7875811100239457,161,256,23,21,0.9292410098861712,0.8006815210727554,
spambase,GaussianNB,Standard Scaler,2,0.015625,0.0,5.675407409667969,0.005408287048339844,1.0,1364,2371,139,267,0.942212022541349,0.7935102403441727,152,261,17,30,0.9361510791366907,0.7850854421907,
spambase,GaussianNB,Standard Scaler,3,0.015625,0.0,5.675407409667969,0.005408287048339844,0.9999999999999971,1417,2312,198,214,0.9372897130057329,0.7912928592491113,157,251,27,25,0.9243121985927741,0.764096796145544,
spambase,GaussianNB,Standard Scaler,4,0.015625,0.0,5.675407409667969,0.005408287048339844,1.0,1467,2085,424,165,0.8944527641666472,0.7160444421168174,167,231,48,14,0.8961068536010615,0.7349416156682238,
spambase,GaussianNB,Standard Scaler,5,0.015625,0.0,5.675407409667969,0.005408287048339844,1.0,1391,2352,157,241,0.9399696631342851,0.7976554571920221,152,258,21,29,0.9362858670468723,0.771011164090116,
spambase,GaussianNB,Standard Scaler,6,0.015625,0.0,5.675407409667969,0.005408287048339844,1.0,1395,2326,183,237,0.9351458523824039,0.7866863135436469,161,253,26,20,0.9234143250361393,0.7919959449854227,
spambase,GaussianNB,Standard Scaler,7,0.015625,0.0,5.675407409667969,0.005408287048339844,1.0,1386,2352,157,246,0.9394349459592525,0.7950812050769231,149,262,17,32,0.937721539040377,0.7753966916304957,
spambase,GaussianNB,Standard Scaler,8,0.015625,0.0,5.675407409667969,0.005408287048339844,0.9999999999999982,1414,2315,194,218,0.9382296038184107,0.7911918294770174,155,258,21,26,0.9369096417750846,0.7850983364430659,
spambase,GaussianNB,Standard Scaler,9,0.015625,0.0,5.675407409667969,0.005408287048339844,0.9999999999999929,1429,2303,206,203,0.9407562920544862,0.793254384688236,154,267,12,27,0.9611972514307215,0.8217263115907529,
spambase,GaussianNB,Standard Scaler,10,0.015625,0.0,5.675407409667969,0.005408287048339844,1.0,1396,2363,146,236,0.9425644884298878,0.8058111384459837,150,259,20,31,0.9263747796986079,0.7661952394970066,
spambase,GaussianNB,MinMax Scaler,1,0.015625,0.0,5.448827743530273,0.006366729736328125,1.0,1465,2087,422,166,0.8959043580449438,0.7162257908974311,164,236,43,18,0.8980365512623577,0.7340793647076941,
spambase,GaussianNB,MinMax Scaler,2,0.015625,0.0,5.449718475341797,0.006366729736328125,1.0,1429,2286,224,202,0.929097222391855,0.785100763594149,156,250,28,26,0.9205371966163332,0.7550220123433404,
spambase,GaussianNB,MinMax Scaler,3,0.015625,0.0,5.449850082397461,0.006366729736328125,1.0,1451,2218,292,180,0.9178409598882215,0.7653156402867849,159,243,35,23,0.9071764566368883,0.7403882634945468,
spambase,GaussianNB,MinMax Scaler,4,0.015625,0.0,5.449977874755859,0.006366729736328125,1.0,1476,2046,463,156,0.8879522688908166,0.7049699367527277,168,227,52,13,0.8899483158082339,0.7254532366950719,
spambase,GaussianNB,MinMax Scaler,5,0.015625,0.0,5.449806213378906,0.006366729736328125,1.0,1448,2234,275,184,0.9207216764744958,0.7709451979075237,164,251,28,17,0.9278500564367611,0.79819121283737,
spambase,GaussianNB,MinMax Scaler,6,0.015625,0.0,5.449981689453125,0.006366729736328125,1.0,1446,2217,292,186,0.9176425651966647,0.7620807611787668,165,243,36,16,0.9081367947880155,0.7707555252883247,
spambase,GaussianNB,MinMax Scaler,7,0.015625,0.015625,5.449934005737305,0.006366729736328125,1.0,1445,2240,269,187,0.9212922938206769,0.7720809004465955,154,248,31,27,0.9174340085942296,0.7369790468621249,
