Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
steel-plates-fault,GaussianNB,Baseline,1,0.015625,0.0,1.2956132888793945,0.003986358642578125,0.11276429564102387,584,294,847,21,0.6925417025807432,0.27591061746276835,62,38,89,6,0.6563223714682723,0.24053442668917582,
steel-plates-fault,GaussianNB,Baseline,2,0.03125,0.0,1.293828010559082,0.003986358642578125,0.9728159060631828,495,518,623,111,0.6855155717149278,0.2685422989868068,57,61,66,10,0.7343988717828183,0.32678781540451857,
steel-plates-fault,GaussianNB,Baseline,3,0.03125,0.015625,1.293696403503418,0.003986358642578125,0.9730065259336623,497,520,621,109,0.6883299635835626,0.2735529890686724,52,69,58,15,0.6978493359971795,0.30653086091583787,
steel-plates-fault,GaussianNB,Baseline,4,0.015625,0.0,1.2949724197387695,0.003986358642578125,0.9705107478309292,494,517,624,112,0.6844786143820342,0.266036953945874,60,64,63,7,0.7796450816782231,0.3943030829108834,
steel-plates-fault,GaussianNB,Baseline,5,0.015625,0.0,1.2950048446655273,0.003986358642578125,0.9743314000716535,488,546,595,118,0.691928219991149,0.27829519422467947,50,57,70,17,0.6793982841697026,0.19096876667532522,
steel-plates-fault,GaussianNB,Baseline,6,0.015625,0.0,1.2937402725219727,0.003986358642578125,0.9605405432711751,542,425,716,64,0.6876343199613564,0.28293305123779117,54,40,87,13,0.7024327182982725,0.1290412679673749,
steel-plates-fault,GaussianNB,Baseline,7,0.015625,0.0,1.2952795028686523,0.003986358642578125,0.7129957771705885,577,303,838,29,0.6925443201638306,0.26411543388843056,65,35,92,2,0.6796333294159126,0.2974158317560737,
steel-plates-fault,GaussianNB,Baseline,8,0.015625,0.0,1.2948846817016602,0.003986358642578125,0.9868322781913922,488,546,595,118,0.694388281948265,0.27829519422467947,53,57,70,14,0.6571865084028675,0.23676745872936542,
steel-plates-fault,GaussianNB,Baseline,9,0.015625,0.0,1.2948331832885742,0.003986358642578125,0.9719018779899744,512,501,641,93,0.6966522412470508,0.28623642235915825,54,43,83,14,0.5952380952380952,0.14181447087381105,
steel-plates-fault,GaussianNB,Baseline,10,0.015625,0.0,1.2937440872192383,0.003986358642578125,0.9652099320252078,503,510,632,102,0.6934882980417131,0.27724652451442133,54,56,70,14,0.6663165266106443,0.2370179840715683,
steel-plates-fault,GaussianNB,Standard Scaler,1,0.015625,0.0,1.2195806503295898,0.004597663879394531,1.0,599,1141,0,6,1.0,0.9924230374173809,65,127,0,3,1.0,0.9663454503498036,
steel-plates-fault,GaussianNB,Standard Scaler,2,0.015625,0.0,1.2207956314086914,0.004597663879394531,1.0,599,1141,0,7,1.0,0.991171891137725,67,127,0,0,1.0,1.0,
steel-plates-fault,GaussianNB,Standard Scaler,3,0.03125,0.015625,1.2202692031860352,0.004597663879394531,1.0,600,1141,0,6,1.0,0.9924312393623426,66,127,0,1,1.0,0.9886246665662776,
steel-plates-fault,GaussianNB,Standard Scaler,4,0.015625,0.015625,1.2200937271118164,0.004597663879394531,1.0,599,1141,0,7,1.0,0.991171891137725,67,127,0,0,1.0,1.0,
steel-plates-fault,GaussianNB,Standard Scaler,5,0.015625,0.0,1.221022605895996,0.004597663879394531,1.0,599,1141,0,7,1.0,0.991171891137725,67,127,0,0,1.0,1.0,
steel-plates-fault,GaussianNB,Standard Scaler,6,0.015625,0.0,1.2200937271118164,0.004597663879394531,1.0,600,1141,0,6,1.0,0.9924312393623426,66,127,0,1,1.0,0.9886246665662776,
steel-plates-fault,GaussianNB,Standard Scaler,7,0.015625,0.0,1.2204484939575195,0.004597663879394531,1.0,599,1141,0,7,1.0,0.991171891137725,65,127,0,2,1.0,0.9772963624357158,
steel-plates-fault,GaussianNB,Standard Scaler,8,0.015625,0.0,1.2204923629760742,0.004597663879394531,0.9999999999999997,594,1141,0,12,1.0,0.984883992796265,66,127,0,1,1.0,0.9886246665662776,
steel-plates-fault,GaussianNB,Standard Scaler,9,0.03125,0.0,1.2202081680297852,0.004597663879394531,1.0,598,1142,0,7,1.0,0.9911649644851724,66,126,0,2,1.0,0.9774573106369644,
steel-plates-fault,GaussianNB,Standard Scaler,10,0.03125,0.015625,1.2203750610351562,0.004597663879394531,1.0,598,1142,0,7,1.0,0.9911649644851724,68,126,0,0,1.0,1.0,
steel-plates-fault,GaussianNB,MinMax Scaler,1,0.015625,0.0,1.2202425003051758,0.005046844482421875,1.0,600,1141,0,5,1.0,0.9936843529564833,66,127,0,2,1.0,0.9775174452034882,
steel-plates-fault,GaussianNB,MinMax Scaler,2,0.03125,0.015625,1.2214479446411133,0.005046844482421875,1.0,599,1141,0,7,1.0,0.991171891137725,67,127,0,0,1.0,1.0,
steel-plates-fault,GaussianNB,MinMax Scaler,3,0.015625,0.0,1.2207460403442383,0.005046844482421875,1.0,600,1141,0,6,1.0,0.9924312393623426,66,127,0,1,1.0,0.9886246665662776,
steel-plates-fault,GaussianNB,MinMax Scaler,4,0.015625,0.0,1.2208337783813477,0.005046844482421875,1.0,600,1141,0,6,1.0,0.9924312393623426,67,127,0,0,1.0,1.0,
steel-plates-fault,GaussianNB,MinMax Scaler,5,0.03125,0.0,1.2210092544555664,0.005046844482421875,1.0,599,1141,0,7,1.0,0.991171891137725,67,127,0,0,1.0,1.0,
steel-plates-fault,GaussianNB,MinMax Scaler,6,0.03125,0.015625,1.2211847305297852,0.005046844482421875,1.0,600,1141,0,6,1.0,0.9924312393623426,66,127,0,1,1.0,0.9886246665662776,
steel-plates-fault,GaussianNB,MinMax Scaler,7,0.015625,0.0,1.221360206604004,0.005046844482421875,1.0,600,1141,0,6,1.0,0.9924312393623426,65,127,0,2,1.0,0.9772963624357158,
steel-plates-fault,GaussianNB,MinMax Scaler,8,0.015625,0.0,1.2207860946655273,0.005046844482421875,1.0,600,1141,0,6,1.0,0.9924312393623426,66,127,0,1,1.0,0.9886246665662776,
steel-plates-fault,GaussianNB,MinMax Scaler,9,0.015625,0.0,1.2208490371704102,0.005046844482421875,1.0,599,1142,0,6,1.0,0.9924253103683216,67,126,0,1,1.0,0.9887041500106404,
steel-plates-fault,GaussianNB,MinMax Scaler,10,0.015625,0.0,1.2212915420532227,0.005046844482421875,1.0,599,1142,0,6,1.0,0.9924253103683216,68,126,0,0,1.0,1.0,
steel-plates-fault,GaussianNB,IQR Capping,1,0.09375,0.015625,1.4838247299194336,0.004649162292480469,4.6220965751431714e-05,591,283,858,14,0.6647467423819906,0.28482198229245004,62,35,92,6,0.6322371468272349,0.2191138912977102,
steel-plates-fault,GaussianNB,IQR Capping,2,0.09375,0.015625,1.4840412139892578,0.004649162292480469,4.43413124587243e-05,591,265,876,15,0.6567844777466353,0.2692173385367957,67,32,95,0,0.6902103654953579,0.32281449173281107,
steel-plates-fault,GaussianNB,IQR Capping,3,0.09375,0.015625,1.4840421676635742,0.004649162292480469,3.0412416269585272e-05,593,267,874,13,0.6594860625413987,0.2757735008009362,65,29,98,2,0.6571865084028675,0.2575821350262788,
