Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
tokyo1,GaussianNB,Baseline,1,0.015625,0.0,0.9728822708129883,0.00470733642578125,0.9990217935257782,519,252,59,33,0.9462638053963371,0.7661574065909749,58,31,4,3,0.97096018735363,0.8418742217643445,
tokyo1,GaussianNB,Baseline,2,0.015625,0.0,0.9710988998413086,0.00470733642578125,0.9999999295687589,522,255,56,30,0.9475686192273638,0.7815529835087576,57,29,6,4,0.9620608899297424,0.7732054383133128,
tokyo1,GaussianNB,Baseline,3,0.0,0.0,0.9712333679199219,0.00470733642578125,0.9993614122751553,514,256,55,38,0.9457482874318467,0.7641350388915562,61,30,5,0,0.9817330210772833,0.8900605553600227,
tokyo1,GaussianNB,Baseline,4,0.015625,0.0,0.9713258743286133,0.00470733642578125,0.9994721335857982,517,259,52,35,0.9483142271308075,0.779412546850923,59,27,8,2,0.9564402810304449,0.7742769904938871,
tokyo1,GaussianNB,Baseline,5,0.015625,0.015625,0.9558639526367188,0.004660606384277344,0.9992341749073198,520,262,49,32,0.9520189664010438,0.7946900548102898,54,27,8,7,0.9278688524590164,0.6608665503435672,
tokyo1,GaussianNB,Baseline,6,0.015625,0.0,0.9713735580444336,0.00470733642578125,0.9991462594528736,518,251,60,34,0.9462871056433199,0.7610255476183807,55,34,1,6,0.9807962529274005,0.852359800696136,
tokyo1,GaussianNB,Baseline,7,0.015625,0.0,0.9704408645629883,0.00470733642578125,0.9985553832727615,513,264,48,38,0.9506229931592908,0.7828786769674217,56,26,8,6,0.9316888045540797,0.6776452139970672,
tokyo1,GaussianNB,Baseline,8,0.015625,0.0,0.9701375961303711,0.00470733642578125,0.9974372654631489,516,259,53,35,0.9512773977383777,0.777134640263522,59,26,8,3,0.9046489563567361,0.7461140938086352,
tokyo1,GaussianNB,Baseline,9,0.015625,0.015625,0.9703445434570312,0.00470733642578125,0.9989853376835599,522,256,56,29,0.9471066592209967,0.7844419410289168,58,27,7,4,0.9596774193548386,0.7462485614701092,
tokyo1,GaussianNB,Baseline,10,0.015625,0.0,0.9719476699829102,0.00470733642578125,0.9995823017868822,518,260,52,34,0.9511217948717948,0.7823593265954559,56,27,7,5,0.9175506268081002,0.7223220214326316,
tokyo1,GaussianNB,Standard Scaler,1,0.015625,0.0,0.9742422103881836,0.005621910095214844,0.9999999998933479,528,235,76,24,0.861107227736614,0.7460227948410593,58,28,7,3,0.8903981264637002,0.7728532853703904,
tokyo1,GaussianNB,Standard Scaler,2,0.015625,0.0,0.972991943359375,0.005621910095214844,0.9999999999408219,532,230,81,20,0.8620916631716297,0.7443911420180543,59,28,7,2,0.8831381733021078,0.7966771528304466,
tokyo1,GaussianNB,Standard Scaler,3,0.015625,0.0,0.9735698699951172,0.005621910095214844,0.9999999998461948,527,234,77,25,0.8619926371219535,0.7407566510775807,60,28,7,1,0.897423887587822,0.8214111636628237,
tokyo1,GaussianNB,Standard Scaler,4,0.015625,0.0,0.973658561706543,0.005621910095214844,0.9999999999999997,523,239,72,29,0.8669235518896501,0.742861878105859,58,25,10,3,0.8501170960187353,0.7042971527455699,
tokyo1,GaussianNB,Standard Scaler,5,0.015625,0.0,0.9580650329589844,0.0055751800537109375,0.03762125927346646,535,233,78,17,0.8673021809031176,0.7603529497593559,58,24,11,3,0.8351288056206089,0.6814187658605819,
tokyo1,GaussianNB,Standard Scaler,6,0.015625,0.0,0.9734430313110352,0.005621910095214844,0.1616292273953328,529,227,84,23,0.8609965515634467,0.7284293342767528,59,31,4,2,0.931615925058548,0.8643383076541085,
tokyo1,GaussianNB,Standard Scaler,7,0.015625,0.015625,0.9725980758666992,0.005621910095214844,1.0,522,241,71,29,0.8695204523244451,0.7458617152157017,59,25,9,3,0.851280834914611,0.7227694483981509,
tokyo1,GaussianNB,Standard Scaler,8,0.015625,0.0,0.9725065231323242,0.005621910095214844,2.885157589842976e-05,533,232,80,18,0.8698112988040393,0.7529648928315006,60,22,12,2,0.8180740037950665,0.6790438640176067,
tokyo1,GaussianNB,Standard Scaler,9,0.015625,0.015625,0.9725141525268555,0.005621910095214844,0.9997899245818781,529,237,75,22,0.8684675880683141,0.7544474488555855,59,23,11,3,0.8166508538899431,0.675953759510942,
tokyo1,GaussianNB,Standard Scaler,10,0.015625,0.0,0.9736146926879883,0.005621910095214844,0.9999999488438756,530,237,75,22,0.8708948810850985,0.7545832529293366,56,25,9,5,0.8367888138862102,0.6737792211031715,
tokyo1,GaussianNB,MinMax Scaler,1,0.015625,0.0,0.9746713638305664,0.006275177001953125,0.9999999999989626,528,235,76,24,0.8615499324292837,0.7460227948410593,58,28,7,3,0.8768149882903981,0.7728532853703904,
tokyo1,GaussianNB,MinMax Scaler,2,0.015625,0.015625,0.9735946655273438,0.006275177001953125,1.0,531,231,80,21,0.8581597464933128,0.744126140294091,59,28,7,2,0.881967213114754,0.7966771528304466,
tokyo1,GaussianNB,MinMax Scaler,3,0.015625,0.0,0.9736862182617188,0.006275177001953125,0.9999999999985022,527,234,77,25,0.8593888345216458,0.7407566510775807,60,28,7,1,0.897423887587822,0.8214111636628237,
tokyo1,GaussianNB,MinMax Scaler,4,0.015625,0.0,0.9737348556518555,0.006275177001953125,1.0,524,238,73,28,0.8656070879351323,0.7429397020069237,58,25,10,3,0.8501170960187353,0.7042971527455699,
tokyo1,GaussianNB,MinMax Scaler,5,0.015625,0.015625,0.9587564468383789,0.006228446960449219,0.8944082784591675,535,233,78,17,0.8657701896640104,0.7603529497593559,58,24,11,3,0.8374707259953161,0.6814187658605819,
tokyo1,GaussianNB,MinMax Scaler,6,0.03125,0.0,0.9740819931030273,0.006275177001953125,0.9484033910806405,529,227,84,23,0.8553666293862716,0.7284293342767528,59,31,4,2,0.931615925058548,0.8643383076541085,
tokyo1,GaussianNB,MinMax Scaler,7,0.015625,0.0,0.9731569290161133,0.006275177001953125,1.0,525,238,74,26,0.8656056587091069,0.7461539334317971,59,25,9,3,0.851280834914611,0.7227694483981509,
tokyo1,GaussianNB,MinMax Scaler,8,0.015625,0.0,0.9728498458862305,0.006275177001953125,0.0029861165017777192,533,232,80,18,0.8669929964167714,0.7529648928315006,60,22,12,2,0.8206831119544593,0.6790438640176067,
tokyo1,GaussianNB,MinMax Scaler,9,0.015625,0.0,0.9728021621704102,0.006275177001953125,0.9999990385835511,529,237,75,22,0.8675688724463679,0.7544474488555855,59,23,11,3,0.8166508538899431,0.675953759510942,
tokyo1,GaussianNB,MinMax Scaler,10,0.015625,0.0,0.9743566513061523,0.006275177001953125,0.9999999994865625,530,237,75,22,0.8667520206243031,0.7545832529293366,56,25,9,5,0.8367888138862102,0.6737792211031715,
tokyo1,GaussianNB,IQR Capping,1,0.125,0.015625,1.3624992370605469,0.005639076232910156,0.3955889007096856,513,263,48,39,0.9573663730835547,0.7801362364461991,60,32,3,1,0.9775175644028102,0.9099047423245062,
tokyo1,GaussianNB,IQR Capping,2,0.125,0.03125,1.3614130020141602,0.005639076232910156,0.5967370553712458,516,266,45,36,0.9581352812339811,0.7953171327922964,56,31,4,5,0.9690866510538642,0.799082221404771,
tokyo1,GaussianNB,IQR Capping,3,0.125,0.015625,1.360947608947754,0.005639076232910156,0.8265507986112361,510,269,42,42,0.957244046786896,0.7888648119670069,61,31,4,0,0.9873536299765807,0.9117065269091754,
tokyo1,GaussianNB,IQR Capping,4,0.125,0.015625,1.3604841232299805,0.005639076232910156,0.8970200632689534,512,271,40,40,0.959451745188499,0.7989188685400065,58,29,6,3,0.9569086651053864,0.7957733781176919,
tokyo1,GaussianNB,IQR Capping,5,0.125,0.015625,1.3478116989135742,0.00559234619140625,0.38840563660107114,519,269,42,33,0.9640185935970921,0.8104980291383937,52,28,7,9,0.9250585480093677,0.6452459820774649,
tokyo1,GaussianNB,IQR Capping,6,0.125,0.03125,1.3607873916625977,0.005639076232910156,0.7565223876359974,516,266,45,36,0.9593468940770771,0.7953171327922964,54,33,2,7,0.965807962529274,0.8084614418620003,
tokyo1,GaussianNB,IQR Capping,7,0.140625,0.015625,1.3610353469848633,0.005639076232910156,0.14280499973046804,519,262,50,32,0.9597293964353855,0.7924014803157438,59,28,6,3,0.959203036053131,0.7928284456711043,
tokyo1,GaussianNB,IQR Capping,8,0.125,0.03125,1.360687255859375,0.005639076232910156,0.8087363979555348,512,272,40,39,0.9611080087486621,0.8015741920165024,59,27,7,3,0.9459203036053131,0.7694575109355096,
tokyo1,GaussianNB,IQR Capping,9,0.125,0.015625,1.3601007461547852,0.005639076232910156,0.6828961095027134,514,265,47,37,0.9576120340639398,0.7879354422675752,58,32,2,4,0.9667931688804554,0.8660436626137549,
tokyo1,GaussianNB,IQR Capping,10,0.125,0.015625,1.362483024597168,0.005639076232910156,0.8579886217850591,514,273,39,38,0.9615094295800817,0.8067240586703465,53,27,7,8,0.9387656702025072,0.6588532229973617,
tokyo1,GaussianNB,IQR Removal,1,0.078125,0.0,1.0044479370117188,0.0048847198486328125,0.9990217935257782,519,252,59,33,0.9462638053963371,0.7661574065909749,58,31,4,3,0.97096018735363,0.8418742217643445,
tokyo1,GaussianNB,IQR Removal,2,0.09375,0.0,1.006821632385254,0.0048847198486328125,0.9999999295687589,522,255,56,30,0.9475686192273638,0.7815529835087576,57,29,6,4,0.9620608899297424,0.7732054383133128,
tokyo1,GaussianNB,IQR Removal,3,0.09375,0.0,1.0067148208618164,0.0048847198486328125,0.9993614122751553,514,256,55,38,0.9457482874318467,0.7641350388915562,61,30,5,0,0.9817330210772833,0.8900605553600227,
tokyo1,GaussianNB,IQR Removal,4,0.09375,0.015625,1.007406234741211,0.0048847198486328125,0.9994721335857982,517,259,52,35,0.9483142271308075,0.779412546850923,59,27,8,2,0.9564402810304449,0.7742769904938871,
tokyo1,GaussianNB,IQR Removal,5,0.09375,0.0,0.9916973114013672,0.004837989807128906,0.9992341749073198,520,262,49,32,0.9520189664010438,0.7946900548102898,54,27,8,7,0.9278688524590164,0.6608665503435672,
tokyo1,GaussianNB,IQR Removal,6,0.09375,0.0,1.0071125030517578,0.0048847198486328125,0.9991462594528736,518,251,60,34,0.9462871056433199,0.7610255476183807,55,34,1,6,0.9807962529274005,0.852359800696136,
tokyo1,GaussianNB,IQR Removal,7,0.078125,0.015625,1.0058307647705078,0.0048847198486328125,0.9985553832727615,513,264,48,38,0.9506229931592908,0.7828786769674217,56,26,8,6,0.9316888045540797,0.6776452139970672,
tokyo1,GaussianNB,IQR Removal,8,0.09375,0.0,1.0063018798828125,0.0048847198486328125,0.9974372654631489,516,259,53,35,0.9512773977383777,0.777134640263522,59,26,8,3,0.9046489563567361,0.7461140938086352,
tokyo1,GaussianNB,IQR Removal,9,0.09375,0.0,1.0058727264404297,0.0048847198486328125,0.9989853376835599,522,256,56,29,0.9471066592209967,0.7844419410289168,58,27,7,4,0.9596774193548386,0.7462485614701092,
tokyo1,GaussianNB,IQR Removal,10,0.078125,0.0,1.0076351165771484,0.0048847198486328125,0.9995823017868822,518,260,52,34,0.9511217948717948,0.7823593265954559,56,27,7,5,0.9175506268081002,0.7223220214326316,
