Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
wdbc,GaussianNB,Baseline,1,0.015625,0.015625,0.3552579879760742,0.0028314590454101562,0.002581512825638602,181,303,19,9,0.98796992481203,0.8848464855498474,22,34,1,0,0.9987012987012986,0.9639463400956773,
wdbc,GaussianNB,Baseline,2,0.0,0.0,0.35364437103271484,0.0028314590454101562,0.0022676416201573247,182,304,18,8,0.9889669826740765,0.8931330198014117,22,31,4,0,0.9935064935064934,0.8657081202406209,
wdbc,GaussianNB,Baseline,3,0.0,0.015625,0.3534059524536133,0.0028314590454101562,0.963688785499941,168,315,6,23,0.9877835951134379,0.8789894615920545,17,34,2,4,0.9629629629629629,0.7715167498104596,
wdbc,GaussianNB,Baseline,4,0.015625,0.0,0.3532743453979492,0.0028314590454101562,0.002821505208513557,182,303,18,9,0.9908336187633541,0.8889448868222333,17,35,1,4,0.9814814814814815,0.8112561965679829,
wdbc,GaussianNB,Baseline,5,0.015625,0.0,0.3532266616821289,0.0028314590454101562,0.003718008796691314,183,304,17,8,0.9899854838446609,0.8972225636382704,19,35,1,2,0.9814814814814815,0.8864143349643965,
wdbc,GaussianNB,Baseline,6,0.0,0.0,0.3534059524536133,0.0028314590454101562,0.3356948068030049,174,311,10,17,0.9894472443770286,0.886804959947913,15,36,0,6,0.9947089947089947,0.7824607964359516,
wdbc,GaussianNB,Baseline,7,0.015625,0.0,0.35323047637939453,0.0028314590454101562,0.003460409691400666,182,303,18,9,0.9895287958115184,0.8889448868222333,20,33,3,1,0.9708994708994709,0.8544784126535336,
wdbc,GaussianNB,Baseline,8,0.0,0.0,0.3533620834350586,0.0028314590454101562,0.001308386478410089,183,304,17,8,0.989047642348029,0.8972225636382704,21,29,7,0,0.9986772486772486,0.7772815877574013,
wdbc,GaussianNB,Baseline,9,0.0,0.0,0.3534059524536133,0.0028314590454101562,0.0019102892426576402,185,301,20,6,0.9899691735577629,0.894511648882775,19,34,2,2,0.9814814814814815,0.8492063492063492,
wdbc,GaussianNB,Baseline,10,0.0,0.0,0.35391712188720703,0.0028314590454101562,0.0007123333400943332,183,300,22,8,0.987658937920718,0.878174709998327,21,34,1,0,1.0,0.9629500128629354,
wdbc,GaussianNB,Standard Scaler,1,0.015625,0.015625,0.3583192825317383,0.0035715103149414062,0.9822279681756034,167,315,7,23,0.9882804838182412,0.8742952081613748,21,35,0,1,0.9987012987012986,0.9633432944855655,
wdbc,GaussianNB,Standard Scaler,2,0.015625,0.0,0.35813426971435547,0.0035715103149414062,0.9809656197625172,168,316,6,22,0.988705459300425,0.8828307726983786,21,33,2,1,0.9935064935064934,0.8904905361044291,
wdbc,GaussianNB,Standard Scaler,3,0.015625,0.0,0.35767650604248047,0.0035715103149414062,0.9999998533118407,161,318,3,30,0.9843829002952161,0.8639888549052966,17,34,2,4,0.9642857142857143,0.7715167498104596,
wdbc,GaussianNB,Standard Scaler,4,0.015625,0.0,0.35767650604248047,0.0035715103149414062,0.9369037778278518,173,315,6,18,0.9912739965095986,0.8996576384050111,16,35,1,5,0.9748677248677249,0.7740653530990438,
wdbc,GaussianNB,Standard Scaler,5,0.0,0.0,0.35772037506103516,0.0035715103149414062,0.001359132674308094,184,300,21,7,0.9901485867136404,0.886269230737756,19,35,1,2,0.9867724867724867,0.8864143349643965,
wdbc,GaussianNB,Standard Scaler,6,0.0,0.0,0.3575887680053711,0.0035715103149414062,0.9701729476727518,173,315,6,18,0.9896918986804977,0.8996576384050111,15,36,0,6,0.9867724867724867,0.7824607964359516,
wdbc,GaussianNB,Standard Scaler,7,0.0,0.0,0.35762882232666016,0.0035715103149414062,0.9914325891165954,169,316,5,22,0.9889742460569882,0.8875159025062891,17,34,2,4,0.9788359788359788,0.7715167498104596,
wdbc,GaussianNB,Standard Scaler,8,0.015625,0.0,0.35762882232666016,0.0035715103149414062,0.0010193234622781835,182,303,18,9,0.9881587317120908,0.8889448868222333,21,29,7,0,0.9973544973544973,0.7772815877574013,
wdbc,GaussianNB,Standard Scaler,9,0.015625,0.0,0.35758495330810547,0.0035715103149414062,0.000918677919078685,184,300,21,7,0.989952863270865,0.886269230737756,19,32,4,2,0.9761904761904762,0.7803455823319942,
wdbc,GaussianNB,Standard Scaler,10,0.0,0.0,0.3582315444946289,0.0035715103149414062,0.9866505030371197,168,315,7,23,0.9872036681733927,0.8747310873522163,20,35,0,1,0.998639455782313,0.9622504486493763,
wdbc,GaussianNB,MinMax Scaler,1,0.0,0.0,0.3591470718383789,0.00411224365234375,0.9822279646468174,167,315,7,23,0.9882804838182412,0.8742952081613748,21,35,0,1,0.9987012987012986,0.9633432944855655,
wdbc,GaussianNB,MinMax Scaler,2,0.0,0.0,0.35882091522216797,0.00411224365234375,0.9809656205586548,168,316,6,22,0.988705459300425,0.8828307726983786,21,33,2,1,0.9935064935064934,0.8904905361044291,
wdbc,GaussianNB,MinMax Scaler,3,0.0,0.015625,0.3586702346801758,0.00411224365234375,0.9999998533118134,161,318,3,30,0.9843665900083182,0.8639888549052966,17,34,2,4,0.9642857142857143,0.7715167498104596,
wdbc,GaussianNB,MinMax Scaler,4,0.015625,0.0,0.35866641998291016,0.00411224365234375,0.9369037787190888,173,315,6,18,0.9912739965095986,0.8996576384050111,16,35,1,5,0.9748677248677249,0.7740653530990438,
wdbc,GaussianNB,MinMax Scaler,5,0.015625,0.0,0.3582754135131836,0.00411224365234375,0.0013591327591667957,184,300,21,7,0.9901485867136404,0.886269230737756,19,35,1,2,0.9867724867724867,0.8864143349643965,
wdbc,GaussianNB,MinMax Scaler,6,0.015625,0.0,0.35875797271728516,0.00411224365234375,0.9701729478697877,173,315,6,18,0.9896918986804977,0.8996576384050111,15,36,0,6,0.9867724867724867,0.7824607964359516,
wdbc,GaussianNB,MinMax Scaler,7,0.015625,0.0,0.35849475860595703,0.00411224365234375,0.9914325889871126,169,316,5,22,0.9889742460569882,0.8875159025062891,17,34,2,4,0.9788359788359788,0.7715167498104596,
wdbc,GaussianNB,MinMax Scaler,8,0.015625,0.0,0.3585348129272461,0.00411224365234375,0.0010193230416248628,182,303,18,9,0.9881587317120908,0.8889448868222333,21,29,7,0,0.9973544973544973,0.7772815877574013,
wdbc,GaussianNB,MinMax Scaler,9,0.015625,0.0,0.35849475860595703,0.00411224365234375,0.0009186775495627648,184,300,21,7,0.989952863270865,0.886269230737756,19,32,4,2,0.9761904761904762,0.7803455823319942,
wdbc,GaussianNB,MinMax Scaler,10,0.0,0.0,0.3592214584350586,0.00411224365234375,0.9866505036189003,168,315,7,23,0.9872036681733927,0.8747310873522163,20,35,0,1,0.998639455782313,0.9622504486493763,
wdbc,GaussianNB,IQR Capping,1,0.109375,0.03125,0.5564479827880859,0.0036258697509765625,0.05081817497067252,179,306,16,11,0.9872343903236352,0.8878202798339374,22,34,1,0,0.9987012987012986,0.9639463400956773,
wdbc,GaussianNB,IQR Capping,2,0.09375,0.015625,0.555694580078125,0.0036258697509765625,0.003304612851625589,181,303,19,9,0.9879862700228833,0.8848464855498474,22,31,4,0,0.9922077922077922,0.8657081202406209,
wdbc,GaussianNB,IQR Capping,3,0.09375,0.015625,0.555694580078125,0.0036258697509765625,0.016269955631991143,181,302,19,10,0.9879793185562133,0.8806672100061962,21,34,2,0,0.988095238095238,0.9286112429750731,
