Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
wilt,GaussianNB,Baseline,1,0.0,0.0,0.569880485534668,0.001705169677734375,0.7324143151334629,69,4102,19,165,0.8491663503796482,0.4651528216763354,5,457,0,22,0.8430180727773725,0.4203329767402787,
wilt,GaussianNB,Baseline,2,0.015625,0.0,0.5682783126831055,0.001705169677734375,0.6907426413167149,81,4070,50,154,0.8466339599256352,0.43988106296524077,14,453,5,12,0.8518642929123278,0.6124564915158527,
wilt,GaussianNB,Baseline,3,0.0,0.0,0.5682306289672852,0.001705169677734375,0.6792925092540135,85,4074,46,150,0.8505236521379881,0.46368057259922685,8,450,8,18,0.8126469600268726,0.3659918402520497,
wilt,GaussianNB,Baseline,4,0.015625,0.0,0.5681905746459961,0.001705169677734375,0.6932823555730809,86,4075,45,149,0.8462652344556909,0.46963045000772335,7,449,9,19,0.8368323815922069,0.3147360385500844,
wilt,GaussianNB,Baseline,5,0.0,0.0,0.5681905746459961,0.001705169677734375,0.6825116951260906,83,4072,48,152,0.8457994216071059,0.45178081778223383,9,455,3,17,0.8527880416526704,0.49241368204484115,
wilt,GaussianNB,Baseline,6,0.0,0.0,0.5682344436645508,0.001705169677734375,0.6728001717819297,82,4071,49,153,0.8402137988019004,0.44583094037373733,12,452,6,14,0.9082969432314411,0.5343091766246213,
wilt,GaussianNB,Baseline,7,0.0,0.0,0.5682783126831055,0.001705169677734375,0.72965130526766,68,4100,20,167,0.8476616401569923,0.4568497025596177,5,457,1,21,0.8337252267383272,0.3874069753565878,
wilt,GaussianNB,Baseline,8,0.0,0.0,0.5682344436645508,0.001705169677734375,0.6763341132787659,84,4073,47,151,0.8446178475521586,0.45773069519073034,8,454,4,18,0.8710110849848841,0.43347989814036464,
wilt,GaussianNB,Baseline,9,0.015625,0.0,0.5683622360229492,0.001705169677734375,0.6633990495788439,84,4073,47,151,0.845617640983268,0.45773069519073034,11,450,8,15,0.8302821632515957,0.47089539223520666,
wilt,GaussianNB,Baseline,10,0.0,0.0,0.5683450698852539,0.001705169677734375,0.684252307021721,85,4075,46,150,0.851667897174307,0.4636855415558455,7,451,6,19,0.799781181619256,0.357138420219513,
wilt,GaussianNB,Standard Scaler,1,0.015625,0.0,0.572413444519043,0.001873016357421875,0.7324143258829471,69,4102,19,165,0.8491663503796482,0.4651528216763354,5,457,0,22,0.8430180727773725,0.4203329767402787,
wilt,GaussianNB,Standard Scaler,2,0.0,0.0,0.5722837448120117,0.001873016357421875,0.6907427241721844,81,4070,50,154,0.8466339599256352,0.43988106296524077,14,453,5,12,0.8518642929123278,0.6124564915158527,
wilt,GaussianNB,Standard Scaler,3,0.0,0.0,0.5721960067749023,0.001873016357421875,0.6792925591346534,85,4074,46,150,0.8505236521379881,0.46368057259922685,8,450,8,18,0.8126469600268726,0.3659918402520497,
wilt,GaussianNB,Standard Scaler,4,0.0,0.0,0.5722837448120117,0.001873016357421875,0.6932824398161329,86,4075,45,149,0.8462652344556909,0.46963045000772335,7,449,9,19,0.8368323815922069,0.3147360385500844,
wilt,GaussianNB,Standard Scaler,5,0.0,0.0,0.5722837448120117,0.001873016357421875,0.6825117582276629,83,4072,48,152,0.8457994216071059,0.45178081778223383,9,455,3,17,0.8527880416526704,0.49241368204484115,
wilt,GaussianNB,Standard Scaler,6,0.0,0.0,0.5720643997192383,0.001873016357421875,0.6728001747214325,82,4071,49,153,0.8402137988019004,0.44583094037373733,12,452,6,14,0.9082969432314411,0.5343091766246213,
wilt,GaussianNB,Standard Scaler,7,0.015625,0.0,0.572016716003418,0.001873016357421875,0.729651301648628,68,4100,20,167,0.8476616401569923,0.4568497025596177,5,457,1,21,0.8337252267383272,0.3874069753565878,
