Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
MagicTelescope,GaussianNB,Baseline,1.0,0.0,0.0,1.671006202697754,0.002206802368164,0.9980804682340048,877.0,5723.0,113.0,2287.0,0.7529560894972485,0.3934192507594455,100.0,630.0,18.0,252.0,0.7602084210157126,0.3794498581231154,
MagicTelescope,GaussianNB,Baseline,2.0,0.015625,0.0,1.669234275817871,0.002206802368164,0.9977005350165352,875.0,5721.0,115.0,2289.0,0.7549462759592365,0.3919317309063018,106.0,627.0,21.0,246.0,0.7726987759539843,0.3854466874156964,
MagicTelescope,GaussianNB,Baseline,3.0,0.0,0.0,1.6694974899291992,0.002206802368164,0.9982795305736568,878.0,5724.0,112.0,2286.0,0.7553868096275006,0.3941630106860173,88.0,639.0,9.0,264.0,0.7668635136083053,0.3810180213111289,
MagicTelescope,GaussianNB,Baseline,4.0,0.015625,0.0,1.6694536209106443,0.002206802368164,0.9982372645345796,875.0,5721.0,115.0,2289.0,0.7562598076891416,0.3919317309063018,95.0,638.0,10.0,257.0,0.744741249298541,0.3964262478341909,
MagicTelescope,GaussianNB,Baseline,5.0,0.015625,0.0,1.6694097518920898,0.002206802368164,0.9980842003712128,877.0,5723.0,113.0,2287.0,0.755936847146921,0.3934192507594455,93.0,637.0,11.0,259.0,0.7426346801346801,0.3868013564416586,
MagicTelescope,GaussianNB,Baseline,6.0,0.015625,0.0,1.6693220138549805,0.002206802368164,0.998452141370117,872.0,5718.0,118.0,2292.0,0.7550120215948959,0.3897004511265862,102.0,639.0,9.0,250.0,0.7472117003367003,0.4194427813163418,
MagicTelescope,GaussianNB,Baseline,7.0,0.0,0.0,1.6693449020385742,0.002206802368164,0.9977880392657212,873.0,5718.0,117.0,2292.0,0.7584502735169775,0.3903341673234321,100.0,640.0,9.0,251.0,0.7469567469567469,0.4150932313798513,
MagicTelescope,GaussianNB,Baseline,8.0,0.015625,0.0,1.6689939498901367,0.002206802368164,0.9981512327378544,881.0,5726.0,109.0,2284.0,0.7566394435713019,0.3962838164395366,88.0,636.0,13.0,263.0,0.7556573997251963,0.3653827301151677,
MagicTelescope,GaussianNB,Baseline,9.0,0.0,0.015625,1.6692533493041992,0.002206802368164,0.997766402914088,872.0,5717.0,118.0,2293.0,0.754106057714045,0.389590461183919,103.0,640.0,9.0,248.0,0.7735767057800956,0.4231225877100681,
MagicTelescope,GaussianNB,Baseline,10.0,0.015625,0.0,1.6693010330200195,0.002206802368164,0.998117418103238,879.0,5724.0,111.0,2286.0,0.7547102994269748,0.3947964041605105,99.0,629.0,20.0,252.0,0.7419962335216572,0.3703343469390578,
