Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
MiniBooNE,GaussianNB,Baseline,1.0,0.015625,0.015625,8.469159126281738,0.0049295425415039,1.0,2524.0,61.0,6413.0,2.0,0.5043162478771899,0.0465130463786491,280.0,8.0,712.0,0.0,0.5055555555555555,0.0560017920860205,
MiniBooNE,GaussianNB,Baseline,2.0,0.015625,0.015625,8.46743106842041,0.0049295425415039,1.0,2525.0,60.0,6414.0,1.0,0.5044353673907519,0.0485862186921029,280.0,9.0,711.0,0.0,0.50625,0.0594288320150417,
MiniBooNE,GaussianNB,Baseline,3.0,0.015625,0.0,8.46738338470459,0.0049295425415039,1.0,2524.0,62.0,6412.0,2.0,0.5043936633310757,0.0469767931493862,280.0,8.0,712.0,0.0,0.5055555555555555,0.0560017920860205,
MiniBooNE,GaussianNB,Baseline,4.0,0.015625,0.0,8.46743106842041,0.0049295425415039,1.0,2524.0,62.0,6412.0,2.0,0.5043935716066043,0.0469767931493862,280.0,7.0,713.0,0.0,0.5048611111111111,0.0523584960342733,
MiniBooNE,GaussianNB,Baseline,5.0,0.015625,0.015625,8.468018531799316,0.0049295425415039,1.0,2524.0,61.0,6414.0,1.0,0.5045117932642685,0.049019922050684,281.0,6.0,713.0,0.0,0.5041724617524339,0.0485703404631272,
MiniBooNE,GaussianNB,Baseline,6.0,0.015625,0.0,8.46801471710205,0.0049295425415039,1.0,2523.0,61.0,6414.0,2.0,0.5043154860659811,0.0464978987683278,280.0,2.0,717.0,1.0,0.499616410692985,-0.0063866606479608,
MiniBooNE,GaussianNB,Baseline,7.0,0.015625,0.0,8.467843055725098,0.0049295425415039,1.0,2523.0,59.0,6416.0,2.0,0.504160893000497,0.0455573832448878,281.0,10.0,709.0,0.0,0.5069541029207232,0.0628305870426795,
MiniBooNE,GaussianNB,Baseline,8.0,0.015625,0.0,8.468106269836426,0.0049295425415039,1.0,2524.0,63.0,6412.0,1.0,0.5046661416720823,0.0499048079900398,281.0,6.0,713.0,0.0,0.5041724617524339,0.0485703404631272,
MiniBooNE,GaussianNB,Baseline,9.0,0.015625,0.0,8.467883110046387,0.0049295425415039,1.0,2520.0,308.0,6167.0,5.0,0.522808180740854,0.1117861584035522,280.0,29.0,690.0,1.0,0.5183306193358708,0.0969002090803897,
MiniBooNE,GaussianNB,Baseline,10.0,0.015625,0.0,8.46801471710205,0.0049295425415039,1.0,2524.0,63.0,6412.0,1.0,0.5046661722542911,0.0499048079900398,281.0,6.0,713.0,0.0,0.5041724617524339,0.0485703404631272,
MiniBooNE,GaussianNB,IQR Capping,1.0,0.21875,0.03125,17.697643280029297,0.0065860748291015625,0.9998897317545299,1798.0,6022.0,452.0,728.0,0.9156908711647858,0.6661638881231879,207.0,672.0,48.0,73.0,0.9268973214285715,0.6928930401860521,
MiniBooNE,GaussianNB,IQR Capping,2.0,0.234375,0.0625,17.694311141967773,0.0065860748291015625,0.9999125025474364,1802.0,6026.0,448.0,724.0,0.9179160151171714,0.6684482049277253,191.0,680.0,40.0,89.0,0.9015724206349207,0.6675098724206094,
MiniBooNE,GaussianNB,IQR Capping,3.0,0.328125,0.046875,17.694318771362305,0.0065860748291015625,0.9999067638623623,1809.0,6033.0,441.0,717.0,0.9182898534878902,0.6724457593356655,183.0,665.0,55.0,97.0,0.8996254960317459,0.608544700162329,
MiniBooNE,GaussianNB,IQR Capping,4.0,0.265625,0.0625,17.694180488586426,0.0065860748291015625,0.9998879186480387,1802.0,6026.0,448.0,724.0,0.9161694283070524,0.6684482049277253,206.0,668.0,52.0,74.0,0.9252232142857143,0.6808778256116844,
MiniBooNE,GaussianNB,IQR Capping,5.0,0.234375,0.03125,17.69426727294922,0.0065860748291015625,0.9998904844706726,1797.0,6022.0,453.0,728.0,0.914611812378149,0.6658159741829931,212.0,671.0,48.0,69.0,0.9400462286984197,0.7047046797603539,
MiniBooNE,GaussianNB,IQR Capping,6.0,0.203125,0.046875,17.694318771362305,0.0065860748291015625,0.9998969196010065,1799.0,6024.0,451.0,726.0,0.9154299476279674,0.6669582705144244,199.0,673.0,46.0,82.0,0.9272739421596821,0.6732660779148955,
MiniBooNE,GaussianNB,IQR Capping,7.0,0.21875,0.03125,17.694473266601562,0.0065860748291015625,0.999902607147651,1803.0,6028.0,447.0,722.0,0.9171986390917084,0.6692428631772869,202.0,667.0,52.0,79.0,0.9126134063225416,0.6676144852280348,
