Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
banknote-authentication,GaussianNB,Baseline,1.0,0.0,0.0,0.1682643890380859,0.001800537109375,0.3465597342130196,476.0,581.0,104.0,73.0,0.9397125496922074,0.7121308924518892,54.0,67.0,10.0,7.0,0.9527357888013626,0.7522591591553982,
banknote-authentication,GaussianNB,Baseline,2.0,0.015625,0.0,0.1549215316772461,0.001800537109375,0.3006109327465123,487.0,580.0,105.0,62.0,0.9419648199114512,0.7299121166006625,49.0,64.0,13.0,12.0,0.9024909516712796,0.6334368767966603,
banknote-authentication,GaussianNB,Baseline,3.0,0.015625,0.0,0.1545057296752929,0.001800537109375,0.2319521444362679,511.0,542.0,144.0,38.0,0.9390569654872096,0.7177462971664933,55.0,60.0,16.0,6.0,0.9374460742018982,0.6874160241619559,
banknote-authentication,GaussianNB,Baseline,4.0,0.0,0.0,0.1542005538940429,0.001800537109375,0.3213680584746881,485.0,577.0,109.0,64.0,0.9405438990584524,0.7205825353389385,51.0,63.0,13.0,10.0,0.933779119930975,0.662445865709023,
banknote-authentication,GaussianNB,Baseline,5.0,0.0,0.0,0.1539411544799804,0.001800537109375,0.3451377961653301,475.0,581.0,105.0,74.0,0.938648058755118,0.709061643638953,56.0,66.0,10.0,5.0,0.9575064710957722,0.7822468239995292,
banknote-authentication,GaussianNB,Baseline,6.0,0.015625,0.0,0.1537351608276367,0.001800537109375,0.3141592701895181,486.0,579.0,107.0,63.0,0.9398933656210338,0.7253393793142366,53.0,64.0,12.0,8.0,0.934641932700604,0.7076077206941671,
banknote-authentication,GaussianNB,Baseline,7.0,0.015625,0.015625,0.1535367965698242,0.001800537109375,0.3315442217241569,478.0,584.0,102.0,71.0,0.940743041947458,0.7188566638275488,56.0,62.0,14.0,5.0,0.9305435720448664,0.7295854666789818,
banknote-authentication,GaussianNB,Baseline,8.0,0.0,0.0,0.1533689498901367,0.001800537109375,0.3180076730119497,486.0,578.0,108.0,63.0,0.939662359869787,0.7238438784418325,54.0,62.0,14.0,7.0,0.9331320103537531,0.6968393157156209,
banknote-authentication,GaussianNB,Baseline,9.0,0.0,0.0,0.1533079147338867,0.001800537109375,0.3279301630415332,483.0,576.0,110.0,66.0,0.938794096873722,0.7155547332322377,53.0,67.0,9.0,8.0,0.9575064710957722,0.7493008731173073,
banknote-authentication,GaussianNB,Baseline,10.0,0.0,0.0,0.1532850265502929,0.001800537109375,0.250191260641109,504.0,548.0,138.0,45.0,0.93837191394903,0.7130035947396032,57.0,58.0,18.0,4.0,0.9514667817083692,0.6965332059963701,
banknote-authentication,GaussianNB,IQR Capping,1.0,0.03125,0.015625,0.2668743133544922,0.0023164749145507812,0.37432722077225605,476.0,581.0,104.0,73.0,0.9403640328134764,0.7121308924518892,54.0,67.0,10.0,7.0,0.9516712795401321,0.7522591591553982,
banknote-authentication,GaussianNB,IQR Capping,2.0,0.03125,0.0,0.24831581115722656,0.0023164749145507812,0.3149669365835966,486.0,579.0,106.0,63.0,0.9419887519444777,0.7266480776374981,49.0,65.0,12.0,12.0,0.9039812646370023,0.6474345326804343,
banknote-authentication,GaussianNB,IQR Capping,3.0,0.03125,0.015625,0.24770545959472656,0.0023164749145507812,0.2549321616453706,505.0,549.0,137.0,44.0,0.9393623179170185,0.7162651434336028,54.0,61.0,15.0,7.0,0.935504745470233,0.6837601777898815,
banknote-authentication,GaussianNB,IQR Capping,4.0,0.03125,0.0,0.24750328063964844,0.0023164749145507812,0.37241198641754053,478.0,584.0,102.0,71.0,0.9412900210825939,0.7188566638275488,51.0,63.0,13.0,10.0,0.9314063848144952,0.662445865709023,
banknote-authentication,GaussianNB,IQR Capping,5.0,0.015625,0.015625,0.2474536895751953,0.0023164749145507812,0.36314171130666667,475.0,581.0,105.0,74.0,0.9390516550101696,0.709061643638953,56.0,66.0,10.0,5.0,0.9568593615185504,0.7822468239995292,
banknote-authentication,GaussianNB,IQR Capping,6.0,0.03125,0.0,0.2472686767578125,0.0023164749145507812,0.3566539220172034,476.0,582.0,104.0,73.0,0.9399862989692365,0.7123266503684849,53.0,64.0,12.0,8.0,0.9370146678170838,0.7076077206941671,
banknote-authentication,GaussianNB,IQR Capping,7.0,0.03125,0.015625,0.24698829650878906,0.0023164749145507812,0.3556931576834204,478.0,584.0,102.0,71.0,0.9410377734231865,0.7188566638275488,55.0,62.0,14.0,6.0,0.9324849007765315,0.7131346350985093,
banknote-authentication,GaussianNB,IQR Capping,8.0,0.03125,0.0,0.24684906005859375,0.0023164749145507812,0.36417262266914224,478.0,584.0,102.0,71.0,0.9402226151975231,0.7188566638275488,53.0,62.0,14.0,8.0,0.9352890422778257,0.6806890861960871,
banknote-authentication,GaussianNB,IQR Capping,9.0,0.03125,0.0,0.24658584594726562,0.0023164749145507812,0.37011247570817274,475.0,581.0,105.0,74.0,0.9395561503289841,0.709061643638953,52.0,67.0,9.0,9.0,0.9566436583261433,0.7340379637618637,
banknote-authentication,GaussianNB,IQR Capping,10.0,0.03125,0.0,0.24654388427734375,0.0023164749145507812,0.24482514055695856,509.0,540.0,146.0,40.0,0.9396570493927469,0.7112162837074295,57.0,57.0,19.0,4.0,0.9518981880931837,0.6844262295081968,
