Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
blood-transfusion-service-center,GaussianNB,Baseline,1.0,0.015625,0.015625,0.1239042282104492,0.001800537109375,0.1021245701586793,135.0,258.0,255.0,25.0,0.7171722709551657,0.2989609017413642,15.0,22.0,35.0,3.0,0.6418128654970761,0.1986798535597565,
blood-transfusion-service-center,GaussianNB,Baseline,2.0,0.015625,0.0,0.1221094131469726,0.001800537109375,0.2510867933431223,87.0,405.0,108.0,73.0,0.7176169590643274,0.3126966882248002,11.0,47.0,10.0,7.0,0.8294346978557504,0.4144072220774559,
blood-transfusion-service-center,GaussianNB,Baseline,3.0,0.015625,0.0,0.1221570968627929,0.001800537109375,0.1852793558300464,123.0,293.0,220.0,37.0,0.7117202729044836,0.2894449208670802,15.0,37.0,20.0,3.0,0.7339181286549707,0.4130165938154511,
blood-transfusion-service-center,GaussianNB,Baseline,4.0,0.0,0.0,0.1221570968627929,0.001800537109375,0.1637468018561551,123.0,299.0,214.0,37.0,0.7095942982456142,0.2993491402511454,14.0,29.0,28.0,4.0,0.7270955165692008,0.2465426358859398,
blood-transfusion-service-center,GaussianNB,Baseline,5.0,0.0,0.0,0.1221570968627929,0.001800537109375,0.1728689881381234,128.0,291.0,222.0,32.0,0.7048245614035088,0.3129298009599608,11.0,35.0,22.0,7.0,0.7797270955165693,0.1937120710532384,
blood-transfusion-service-center,GaussianNB,Baseline,6.0,0.015625,0.0,0.1221570968627929,0.001800537109375,0.1429163119711857,130.0,280.0,233.0,30.0,0.7217288011695907,0.3060146309758331,13.0,32.0,25.0,5.0,0.6189083820662767,0.2422850673368221,
blood-transfusion-service-center,GaussianNB,Baseline,7.0,0.0,0.0,0.1221570968627929,0.001800537109375,0.1971370445005491,87.0,405.0,108.0,73.0,0.7269066764132553,0.3126966882248002,8.0,41.0,16.0,10.0,0.6447368421052632,0.1499149321140883,
blood-transfusion-service-center,GaussianNB,Baseline,8.0,0.0,0.0,0.1221570968627929,0.001800537109375,0.1687126184136462,118.0,308.0,205.0,42.0,0.7023940058479532,0.2879111962521083,13.0,39.0,18.0,5.0,0.7529239766081871,0.3524968086421443,
blood-transfusion-service-center,GaussianNB,Baseline,9.0,0.015625,0.0,0.1222352981567382,0.001800537109375,0.1482594857942938,117.0,320.0,193.0,44.0,0.7145641882483988,0.2998578374971852,16.0,27.0,30.0,1.0,0.6604747162022704,0.3598373444311241,
blood-transfusion-service-center,GaussianNB,Baseline,10.0,0.0,0.0,0.1222829818725586,0.001800537109375,0.1639161553108024,117.0,320.0,193.0,44.0,0.7164469143874178,0.2998578374971852,10.0,37.0,20.0,7.0,0.6666666666666666,0.2033662974914333,
blood-transfusion-service-center,GaussianNB,IQR Capping,1.0,0.03125,0.0,0.1630840301513672,0.0023164749145507812,0.21851813865390124,115.0,344.0,169.0,45.0,0.7341435185185186,0.3355723562165676,12.0,32.0,25.0,6.0,0.6466861598440545,0.19482716754919716,
blood-transfusion-service-center,GaussianNB,IQR Capping,2.0,0.03125,0.0,0.16064929962158203,0.0023164749145507812,0.27023026335187317,110.0,347.0,166.0,50.0,0.7283138401559455,0.31496823320998985,13.0,39.0,18.0,5.0,0.804093567251462,0.35249680864214433,
blood-transfusion-service-center,GaussianNB,IQR Capping,3.0,0.03125,0.015625,0.16070079803466797,0.0023164749145507812,0.2565577598598619,106.0,355.0,158.0,54.0,0.7269858674463938,0.3090870775170295,10.0,46.0,11.0,8.0,0.7319688109161794,0.34487580897721165,
blood-transfusion-service-center,GaussianNB,IQR Capping,4.0,0.03125,0.0,0.1607952117919922,0.0023164749145507812,0.24950340167199184,110.0,348.0,165.0,50.0,0.7256152534113062,0.3168318077912661,14.0,37.0,20.0,4.0,0.7456140350877193,0.36624275583039606,
blood-transfusion-service-center,GaussianNB,IQR Capping,5.0,0.03125,0.015625,0.16074752807617188,0.0023164749145507812,0.2686618145376192,108.0,352.0,161.0,52.0,0.7223440545808968,0.3138710846195613,13.0,38.0,19.0,5.0,0.8167641325536062,0.33580719597444164,
blood-transfusion-service-center,GaussianNB,IQR Capping,6.0,0.03125,0.0,0.16083908081054688,0.0023164749145507812,0.20972310880390213,116.0,341.0,172.0,44.0,0.7383345516569201,0.33530637060881985,9.0,37.0,20.0,9.0,0.6120857699805069,0.1307795490894243,
blood-transfusion-service-center,GaussianNB,IQR Capping,7.0,0.03125,0.0,0.16079139709472656,0.0023164749145507812,0.30995866479196926,91.0,402.0,111.0,69.0,0.7332724171539962,0.32729436292673014,8.0,41.0,16.0,10.0,0.6632553606237817,0.1499149321140883,
blood-transfusion-service-center,GaussianNB,IQR Capping,8.0,0.03125,0.0,0.1607952117919922,0.0023164749145507812,0.2604116949231548,102.0,366.0,147.0,58.0,0.7194261695906432,0.3094437251928317,11.0,47.0,10.0,7.0,0.7860623781676415,0.41440722207745595,
blood-transfusion-service-center,GaussianNB,IQR Capping,9.0,0.03125,0.0,0.1609039306640625,0.0023164749145507812,0.22189009098715598,110.0,346.0,167.0,51.0,0.7245044979598756,0.3099901084073136,15.0,30.0,27.0,2.0,0.7069143446852425,0.34700334641571734,
blood-transfusion-service-center,GaussianNB,IQR Capping,10.0,0.015625,0.015625,0.1609954833984375,0.0023164749145507812,0.25290052689798737,105.0,362.0,151.0,56.0,0.729402007434044,0.31436669181103755,9.0,45.0,12.0,8.0,0.6800825593395252,0.29754250070556115,
blood-transfusion-service-center,GaussianNB,IQR Removal,1.0,0.03125,0.0,0.1862087249755859,0.0020170211791992,0.3006688978181492,97.0,381.0,132.0,63.0,0.7351303606237818,0.3135164097655185,10.0,39.0,18.0,8.0,0.6642300194931774,0.2117061537777753,
blood-transfusion-service-center,GaussianNB,IQR Removal,2.0,0.015625,0.0,0.1854944229125976,0.0020170211791992,0.4105601097666005,79.0,437.0,76.0,81.0,0.7405153508771931,0.3494330716447953,11.0,50.0,7.0,7.0,0.797270955165692,0.4883040935672514,
blood-transfusion-service-center,GaussianNB,IQR Removal,3.0,0.015625,0.0,0.1858406066894531,0.0020170211791992,0.3933452143295368,87.0,418.0,95.0,73.0,0.7399671052631579,0.3436449014264442,8.0,51.0,6.0,10.0,0.7582846003898636,0.3717719575628205,
