Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
breast-w,GaussianNB,Baseline,1.0,0.015625,0.0,0.2766408920288086,0.0029840469360351,6.248382869528758e-11,208.0,380.0,19.0,7.0,0.9886635192632744,0.9089530330356904,23.0,41.0,4.0,1.0,0.9703703703703704,0.8484908967580302,
breast-w,GaussianNB,Baseline,2.0,0.015625,0.0,0.2687292098999023,0.0029840469360351,1.7856575736512782e-08,205.0,383.0,16.0,10.0,0.9876027277496066,0.907754948560634,24.0,43.0,2.0,0.0,0.986111111111111,0.9391758525703704,
breast-w,GaussianNB,Baseline,3.0,0.0,0.0,0.2688407897949219,0.0029840469360351,0.0003539672189219,206.0,384.0,15.0,9.0,0.9860115404791048,0.914868234737856,21.0,44.0,1.0,3.0,0.9935185185185186,0.8715403188617704,
breast-w,GaussianNB,Baseline,4.0,0.015625,0.0,0.2688198089599609,0.0029840469360351,0.0003222593112341,207.0,384.0,15.0,9.0,0.985977675670658,0.9151183509828648,22.0,44.0,1.0,1.0,0.9971014492753624,0.9342995169082126,
breast-w,GaussianNB,Baseline,5.0,0.015625,0.0,0.2692775726318359,0.0029840469360351,4.422710187973357e-13,209.0,381.0,19.0,6.0,0.9889883720930231,0.912802732849113,24.0,39.0,5.0,0.0,0.9668560606060606,0.8564708516635089,
breast-w,GaussianNB,Baseline,6.0,0.015625,0.0,0.2692270278930664,0.0029840469360351,9.402770696460667e-05,206.0,384.0,16.0,9.0,0.9857848837209302,0.9115597731002896,23.0,43.0,1.0,1.0,0.9981060606060606,0.9356060606060606,
breast-w,GaussianNB,Baseline,7.0,0.015625,0.015625,0.2690763473510742,0.0029840469360351,0.968983251677503,200.0,390.0,10.0,15.0,0.9862034883720928,0.9102741971868864,21.0,43.0,1.0,3.0,0.9943181818181818,0.8706032700941747,
breast-w,GaussianNB,Baseline,8.0,0.015625,0.015625,0.268925666809082,0.0029840469360351,0.1325161455210912,202.0,387.0,13.0,13.0,0.9876627906976744,0.9070348837209302,24.0,42.0,2.0,0.0,0.9725378787878788,0.938679328162116,
breast-w,GaussianNB,Baseline,9.0,0.015625,0.0,0.2690496444702148,0.0029840469360351,0.002971863186193,207.0,385.0,15.0,8.0,0.9869709302325582,0.9186596877463976,22.0,42.0,2.0,2.0,0.9767992424242424,0.8712121212121212,
breast-w,GaussianNB,Baseline,10.0,0.0,0.0,0.2691831588745117,0.0029840469360351,2.2700904178512152e-05,205.0,383.0,17.0,10.0,0.9857151162790698,0.9044598584541818,24.0,43.0,1.0,0.0,1.0,0.9685978619539783,
breast-w,GaussianNB,IQR Capping,1.0,0.046875,0.015625,0.2941303253173828,0.0035991668701171875,4.89020856956721e-15,211.0,377.0,22.0,4.0,0.9884478638456607,0.9105356807362235,23.0,41.0,4.0,1.0,0.9712962962962963,0.8484908967580302,
breast-w,GaussianNB,IQR Capping,2.0,0.046875,0.015625,0.2840147018432617,0.0035991668701171875,1.93228015276332e-05,203.0,387.0,12.0,12.0,0.9864311942647316,0.914110858541703,23.0,43.0,2.0,1.0,0.986111111111111,0.9055426968164315,
breast-w,GaussianNB,IQR Capping,3.0,0.046875,0.015625,0.28441429138183594,0.0035991668701171875,0.00027914366764006154,207.0,385.0,14.0,8.0,0.985749256863088,0.921981520915078,21.0,44.0,1.0,3.0,0.9925925925925926,0.8715403188617704,
breast-w,GaussianNB,IQR Capping,4.0,0.046875,0.015625,0.28412628173828125,0.0035991668701171875,0.00035561934531344835,207.0,384.0,15.0,9.0,0.9859718741297688,0.9151183509828649,22.0,44.0,1.0,1.0,0.9971014492753623,0.9342995169082126,
breast-w,GaussianNB,IQR Capping,5.0,0.046875,0.015625,0.2848472595214844,0.0035991668701171875,3.9113423347681205e-13,209.0,381.0,19.0,6.0,0.9879767441860465,0.912802732849113,24.0,39.0,5.0,0.0,0.9678030303030303,0.8564708516635089,
breast-w,GaussianNB,IQR Capping,6.0,0.03125,0.015625,0.2843341827392578,0.0035991668701171875,5.611116496635368e-05,206.0,384.0,16.0,9.0,0.9855755813953488,0.9115597731002896,23.0,43.0,1.0,1.0,0.9981060606060606,0.9356060606060606,
breast-w,GaussianNB,IQR Capping,7.0,0.0625,0.015625,0.2848234176635742,0.0035991668701171875,0.31855019291691333,203.0,388.0,12.0,12.0,0.9860406976744186,0.9141860465116279,20.0,43.0,1.0,4.0,0.9924242424242424,0.8384616998807747,
breast-w,GaussianNB,IQR Capping,8.0,0.03125,0.015625,0.28480052947998047,0.0035991668701171875,0.0019265937499333466,206.0,384.0,16.0,9.0,0.9876511627906976,0.9115597731002896,24.0,41.0,3.0,0.0,0.9715909090909091,0.9101004495564368,
breast-w,GaussianNB,IQR Capping,9.0,0.046875,0.015625,0.2847137451171875,0.0035991668701171875,0.0003998302049260914,207.0,385.0,15.0,8.0,0.9870116279069767,0.9186596877463975,22.0,42.0,2.0,2.0,0.9786931818181817,0.8712121212121212,
breast-w,GaussianNB,IQR Capping,10.0,0.046875,0.0,0.28470516204833984,0.0035991668701171875,1.4540985304897686e-05,206.0,384.0,16.0,9.0,0.9854476744186046,0.9115597731002896,24.0,43.0,1.0,0.0,1.0,0.9685978619539785,
breast-w,GaussianNB,IQR Removal,1.0,0.03125,0.0,0.2846031188964844,0.0031957626342773,6.248382869528758e-11,208.0,380.0,19.0,7.0,0.9886635192632744,0.9089530330356904,23.0,41.0,4.0,1.0,0.9703703703703704,0.8484908967580302,
breast-w,GaussianNB,IQR Removal,2.0,0.03125,0.0,0.2832393646240234,0.0031957626342773,1.7856575736512782e-08,205.0,383.0,16.0,10.0,0.9876027277496066,0.907754948560634,24.0,43.0,2.0,0.0,0.986111111111111,0.9391758525703704,
breast-w,GaussianNB,IQR Removal,3.0,0.03125,0.0,0.283329963684082,0.0031957626342773,0.0003539672189219,206.0,384.0,15.0,9.0,0.9860115404791048,0.914868234737856,21.0,44.0,1.0,3.0,0.9935185185185186,0.8715403188617704,
breast-w,GaussianNB,IQR Removal,4.0,0.03125,0.0,0.2834358215332031,0.0031957626342773,0.0003222593112341,207.0,384.0,15.0,9.0,0.985977675670658,0.9151183509828648,22.0,44.0,1.0,1.0,0.9971014492753624,0.9342995169082126,
breast-w,GaussianNB,IQR Removal,5.0,0.03125,0.0,0.283761978149414,0.0031957626342773,4.422710187973357e-13,209.0,381.0,19.0,6.0,0.9889883720930231,0.912802732849113,24.0,39.0,5.0,0.0,0.9668560606060606,0.8564708516635089,
breast-w,GaussianNB,IQR Removal,6.0,0.03125,0.0,0.2841205596923828,0.0031957626342773,9.402770696460667e-05,206.0,384.0,16.0,9.0,0.9857848837209302,0.9115597731002896,23.0,43.0,1.0,1.0,0.9981060606060606,0.9356060606060606,
breast-w,GaussianNB,IQR Removal,7.0,0.03125,0.0,0.2838850021362304,0.0031957626342773,0.968983251677503,200.0,390.0,10.0,15.0,0.9862034883720928,0.9102741971868864,21.0,43.0,1.0,3.0,0.9943181818181818,0.8706032700941747,
breast-w,GaussianNB,IQR Removal,8.0,0.03125,0.0,0.2838020324707031,0.0031957626342773,0.1325161455210912,202.0,387.0,13.0,13.0,0.9876627906976744,0.9070348837209302,24.0,42.0,2.0,0.0,0.9725378787878788,0.938679328162116,
breast-w,GaussianNB,IQR Removal,9.0,0.03125,0.0,0.2836885452270508,0.0031957626342773,0.002971863186193,207.0,385.0,15.0,8.0,0.9869709302325582,0.9186596877463976,22.0,42.0,2.0,2.0,0.9767992424242424,0.8712121212121212,
breast-w,GaussianNB,IQR Removal,10.0,0.03125,0.015625,0.2840290069580078,0.0031957626342773,2.2700904178512152e-05,205.0,383.0,17.0,10.0,0.9857151162790698,0.9044598584541818,24.0,43.0,1.0,0.0,1.0,0.9685978619539783,
breast-w,GaussianNB,PCA,1.0,0.0,0.0,0.2440986633300781,0.0041103363037109,3.3074371999730784e-14,210.0,376.0,23.0,5.0,0.983656816459754,0.9034997388294282,23.0,41.0,4.0,1.0,0.961574074074074,0.8484908967580302,
breast-w,GaussianNB,PCA,2.0,0.09375,0.0,0.2441921234130859,0.0041103363037109,2.25395402372564e-12,206.0,378.0,21.0,9.0,0.9822929416564667,0.8948073384259875,24.0,43.0,2.0,0.0,0.9828703703703704,0.9391758525703704,
breast-w,GaussianNB,PCA,3.0,0.09375,0.0,0.2443218231201172,0.0041103363037109,1.789019341594896e-10,210.0,376.0,23.0,5.0,0.9818383167220376,0.9034997388294282,22.0,44.0,1.0,2.0,0.9935185185185184,0.903696114115064,
breast-w,GaussianNB,PCA,4.0,0.09375,0.0,0.2442607879638672,0.0041103363037109,2.373476919855093e-10,210.0,375.0,24.0,6.0,0.9809535412605588,0.8967511805024344,23.0,44.0,1.0,0.0,0.9980676328502416,0.9680067339833112,
breast-w,GaussianNB,PCA,5.0,0.0625,0.0625,0.2446851730346679,0.0041103363037109,2.647243470453967e-13,208.0,380.0,20.0,7.0,0.983127906976744,0.9057427607595424,23.0,40.0,4.0,1.0,0.949810606060606,0.8472073290586342,
breast-w,GaussianNB,PCA,6.0,0.09375,0.0,0.2446012496948242,0.0041103363037109,1.1464593661938995e-10,210.0,376.0,24.0,5.0,0.9813488372093024,0.9003823508528928,23.0,43.0,1.0,1.0,0.9933712121212122,0.9356060606060606,
breast-w,GaussianNB,PCA,7.0,0.09375,0.0,0.2447395324707031,0.0041103363037109,2.637971942201391e-11,210.0,376.0,24.0,5.0,0.980453488372093,0.9003823508528928,23.0,41.0,3.0,1.0,0.9791666666666666,0.875355722690862,
breast-w,GaussianNB,PCA,8.0,0.09375,0.015625,0.244908332824707,0.0041103363037109,3.0859554293522164e-10,208.0,380.0,20.0,7.0,0.9825523255813952,0.9057427607595424,24.0,40.0,4.0,0.0,0.9611742424242424,0.8827348295047495,
breast-w,GaussianNB,PCA,9.0,0.09375,0.0,0.2445602416992187,0.0041103363037109,1.989237525406986e-09,208.0,380.0,20.0,7.0,0.9835406976744184,0.9057427607595424,22.0,40.0,4.0,2.0,0.9801136363636364,0.8120321172196081,
breast-w,GaussianNB,PCA,10.0,0.09375,0.0,0.2444658279418945,0.0041103363037109,1.2576933118132024e-10,209.0,375.0,25.0,6.0,0.981313953488372,0.8933588203382488,24.0,42.0,2.0,0.0,0.9990530303030304,0.938679328162116,
breast-w,GaussianNB,Quantile Binning,1.0,0.015625,0.0,0.2724866867065429,0.0038814544677734,1.8096487292464626e-17,214.0,373.0,26.0,1.0,0.9846360086262168,0.9093561784998876,23.0,42.0,3.0,1.0,0.9527777777777776,0.8763821182415374,
breast-w,GaussianNB,Quantile Binning,2.0,0.015625,0.0,0.2726640701293945,0.0038738250732421,8.282840927802407e-18,213.0,372.0,27.0,2.0,0.9832721338229294,0.9023590270938155,24.0,43.0,2.0,0.0,0.9819444444444444,0.9391758525703704,
breast-w,GaussianNB,Quantile Binning,3.0,0.015625,0.015625,0.2728443145751953,0.0038814544677734,7.967743502395619e-11,208.0,380.0,19.0,7.0,0.9826601387188902,0.9089530330356904,21.0,42.0,3.0,3.0,0.986111111111111,0.8083333333333333,
breast-w,GaussianNB,Quantile Binning,4.0,0.0,0.0,0.2730112075805664,0.0038738250732421,3.6679728716832837e-14,213.0,372.0,27.0,3.0,0.9816555277081592,0.8987600817950457,23.0,44.0,1.0,0.0,0.9971014492753624,0.9680067339833112,
breast-w,GaussianNB,Quantile Binning,5.0,0.015625,0.0,0.2734861373901367,0.0038738250732421,2.9445646602168213e-17,211.0,377.0,23.0,4.0,0.9839825581395348,0.9074058813675366,24.0,39.0,5.0,0.0,0.9507575757575758,0.8564708516635089,
breast-w,GaussianNB,Quantile Binning,6.0,0.015625,0.0,0.2732744216918945,0.0038814544677734,5.886384887422416e-15,213.0,373.0,27.0,2.0,0.9811744186046512,0.902449009704304,23.0,42.0,2.0,1.0,0.9962121212121212,0.9047755222128248,
