Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
bupa,GaussianNB,Baseline,1.0,0.0,0.0,0.074193000793457,0.0018682479858398,0.6302754629764119,44.0,143.0,9.0,114.0,0.6543137908061293,0.2911561854295288,5.0,16.0,1.0,13.0,0.7156862745098039,0.2903617901832253,
bupa,GaussianNB,Baseline,2.0,0.0,0.0,0.0725679397583007,0.0018682479858398,0.622556887814916,41.0,143.0,9.0,117.0,0.6388657561625581,0.272221901196443,7.0,17.0,0.0,11.0,0.8594771241830066,0.485912657903775,
bupa,GaussianNB,Baseline,3.0,0.0,0.0,0.0725202560424804,0.0018682479858398,0.6247635290167868,51.0,141.0,11.0,107.0,0.6573534310459693,0.3129618505825483,5.0,14.0,3.0,13.0,0.5653594771241831,0.1205796739024119,
bupa,GaussianNB,Baseline,4.0,0.015625,0.0,0.0725679397583007,0.0018682479858398,0.3482886443038585,78.0,121.0,31.0,80.0,0.6650358094603597,0.3033351993761268,6.0,11.0,6.0,12.0,0.545751633986928,-0.0206460034753833,
bupa,GaussianNB,Baseline,5.0,0.015625,0.0,0.0725679397583007,0.0018682479858398,0.3507437412765097,74.0,120.0,32.0,84.0,0.6576240839440373,0.2717143616005407,8.0,12.0,5.0,10.0,0.5718954248366013,0.1554941669103437,
bupa,GaussianNB,Baseline,6.0,0.0,0.0,0.0726871490478515,0.0018682479858398,0.6402452599588673,50.0,143.0,9.0,109.0,0.6779212181396888,0.3254379068058616,5.0,15.0,2.0,12.0,0.5397923875432526,0.2182178902359924,
bupa,GaussianNB,Baseline,7.0,0.0,0.0,0.0726394653320312,0.0018682479858398,0.6329238013514717,45.0,144.0,8.0,114.0,0.6675769612711022,0.3062887762671437,4.0,15.0,2.0,13.0,0.57439446366782,0.1543033499620919,
bupa,GaussianNB,Baseline,8.0,0.0,0.015625,0.0726871490478515,0.0018682479858398,0.6897408500753408,42.0,144.0,8.0,117.0,0.6426679907315458,0.2878493367969591,5.0,16.0,1.0,12.0,0.71280276816609,0.3086066999241838,
bupa,GaussianNB,Baseline,9.0,0.015625,0.015625,0.0726871490478515,0.0018682479858398,0.7169679884267074,38.0,146.0,6.0,121.0,0.6602946044356174,0.2861705123035716,3.0,16.0,1.0,14.0,0.671280276816609,0.1825741858350553,
bupa,GaussianNB,Baseline,10.0,0.0,0.015625,0.0726394653320312,0.0018682479858398,0.6634618457952347,44.0,144.0,9.0,114.0,0.6617440225035162,0.2920602646529833,4.0,16.0,0.0,14.0,0.59375,0.3442651863295481,
bupa,GaussianNB,IQR Capping,1.0,0.046875,0.0,0.11739253997802734,0.0024089813232421875,0.9630728056674964,34.0,148.0,4.0,124.0,0.6429880079946702,0.28790317751910155,1.0,16.0,1.0,17.0,0.7058823529411764,-0.007036672182012485,
bupa,GaussianNB,IQR Capping,2.0,0.03125,0.015625,0.11511707305908203,0.0024089813232421875,0.5748753924588089,65.0,127.0,25.0,93.0,0.6272068620919387,0.27193916568077564,8.0,16.0,1.0,10.0,0.8464052287581699,0.4409743871753604,
bupa,GaussianNB,IQR Capping,3.0,0.03125,0.0,0.11516094207763672,0.0024089813232421875,0.6382784640953046,65.0,130.0,22.0,93.0,0.6515656229180546,0.2966804492439989,6.0,14.0,3.0,12.0,0.5882352941176471,0.17937941173235,
