Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
churn,GaussianNB,Baseline,1.0,0.015625,0.0,2.1543264389038086,0.0035552978515625,0.3193791099147837,431.0,3484.0,379.0,206.0,0.8485425672290063,0.524902765992973,51.0,384.0,46.0,19.0,0.8525249169435216,0.5454464876476641,
churn,GaussianNB,Baseline,2.0,0.015625,0.015625,2.152295112609864,0.0035552978515625,0.3152964477544774,430.0,3483.0,380.0,207.0,0.8487994014786663,0.5232434666125818,48.0,393.0,37.0,22.0,0.8412292358803988,0.5539370925877358,
churn,GaussianNB,Baseline,3.0,0.015625,0.0,2.152247428894043,0.0035552978515625,0.2531716059505109,461.0,3424.0,439.0,176.0,0.8467146551167113,0.5316599919902207,50.0,383.0,47.0,20.0,0.8816611295681063,0.5308701517939051,
churn,GaussianNB,Baseline,4.0,0.015625,0.0,2.152750968933105,0.0035552978515625,0.2090643558761951,481.0,3355.0,509.0,155.0,0.8524303520970871,0.5252311752506263,53.0,365.0,64.0,18.0,0.8348271446862997,0.4924409735182338,
churn,GaussianNB,Baseline,5.0,0.0,0.0,2.1525793075561523,0.0035552978515625,0.3132922034834473,434.0,3488.0,376.0,202.0,0.8511693165097596,0.5305273186243367,47.0,380.0,49.0,24.0,0.8307889293804787,0.4854182068738219,
churn,GaussianNB,Baseline,6.0,0.015625,0.015625,2.152750968933105,0.0035552978515625,0.3160560183766808,435.0,3489.0,375.0,201.0,0.8486964822844641,0.5321877070777178,48.0,380.0,49.0,23.0,0.8493712859910043,0.4959409158453507,
churn,GaussianNB,Baseline,7.0,0.015625,0.0,2.1527137756347656,0.0035552978515625,0.3144055708335769,429.0,3483.0,381.0,207.0,0.8469296489446202,0.522225376357431,52.0,391.0,38.0,19.0,0.8888341705243115,0.5849336284612896,
churn,GaussianNB,Baseline,8.0,0.015625,0.0,2.152505874633789,0.0035552978515625,0.3213495902488442,438.0,3492.0,372.0,198.0,0.8547746005703347,0.5371688724378612,40.0,387.0,42.0,31.0,0.8141764338947437,0.4387954185643926,
churn,GaussianNB,Baseline,9.0,0.015625,0.015625,2.1524953842163086,0.0035552978515625,0.2889814236530797,447.0,3456.0,408.0,189.0,0.8521170260557054,0.5303520743482449,47.0,383.0,46.0,24.0,0.8232706260875277,0.4976375058414899,
churn,GaussianNB,Baseline,10.0,0.015625,0.0,2.15213680267334,0.0035552978515625,0.3202733616907871,432.0,3486.0,378.0,204.0,0.8505455128455538,0.5272065417175744,48.0,391.0,38.0,23.0,0.856856758265209,0.5433757046255988,
churn,GaussianNB,IQR Capping,1.0,0.078125,0.015625,3.171689033508301,0.004399299621582031,0.39985907137933163,371.0,3559.0,304.0,266.0,0.8144226248216486,0.49176273339394616,40.0,393.0,37.0,30.0,0.814451827242525,0.46660718491193737,
churn,GaussianNB,IQR Capping,2.0,0.078125,0.015625,3.1683568954467773,0.004399299621582031,0.3939089529520524,372.0,3560.0,303.0,265.0,0.8163561965936138,0.49354804010439796,38.0,398.0,32.0,32.0,0.7905980066445183,0.4684385382059801,
churn,GaussianNB,IQR Capping,3.0,0.078125,0.015625,3.1683130264282227,0.004399299621582031,0.34469091601492,384.0,3527.0,336.0,253.0,0.8146953080202591,0.49050178294798175,42.0,396.0,34.0,28.0,0.8288039867109634,0.5034694070612061,
churn,GaussianNB,IQR Capping,4.0,0.09375,0.015625,3.1683130264282227,0.004399299621582031,0.2829009999008515,406.0,3460.0,404.0,230.0,0.8194204363451697,0.48403644192966516,45.0,377.0,52.0,26.0,0.8058701861518762,0.4524703745160674,
churn,GaussianNB,IQR Capping,5.0,0.078125,0.015625,3.1681737899780273,0.004399299621582031,0.27403115874944267,412.0,3466.0,398.0,224.0,0.8170786293735433,0.4939987726499519,47.0,375.0,54.0,24.0,0.7966118388653599,0.4660737396662484,
churn,GaussianNB,IQR Capping,6.0,0.09375,0.015625,3.1683568954467773,0.004399299621582031,0.3462661458959746,390.0,3534.0,330.0,246.0,0.8130615453728661,0.501542220118434,42.0,384.0,45.0,29.0,0.8096785843264717,0.4480676980437328,
churn,GaussianNB,IQR Capping,7.0,0.078125,0.03125,3.1683530807495117,0.004399299621582031,0.34721533953090294,380.0,3524.0,340.0,256.0,0.8111872859616913,0.4841420598312277,47.0,391.0,38.0,24.0,0.8635542860894972,0.5328160005714871,
churn,GaussianNB,IQR Capping,8.0,0.078125,0.015625,3.168309211730957,0.004399299621582031,0.3539011809316539,388.0,3532.0,332.0,248.0,0.8192662148261001,0.4980621880609927,36.0,394.0,35.0,35.0,0.7901112971535507,0.42545717193604515,
churn,GaussianNB,IQR Capping,9.0,0.0625,0.015625,3.168257713317871,0.004399299621582031,0.38936679212268577,372.0,3561.0,303.0,264.0,0.8172015182884748,0.4941399497069978,41.0,393.0,36.0,30.0,0.8016021537148297,0.47727896115772367,
churn,GaussianNB,IQR Capping,10.0,0.078125,0.015625,3.1683053970336914,0.004399299621582031,0.38788534718225154,370.0,3559.0,305.0,266.0,0.816262353998203,0.4905669927315315,41.0,400.0,29.0,30.0,0.8240585705374437,0.5128972700336707,
churn,GaussianNB,IQR Removal,1.0,0.0625,0.015625,2.5096359252929688,0.0037670135498046,0.4969289737317536,363.0,3641.0,222.0,274.0,0.7662109348807326,0.5311158455182613,39.0,404.0,26.0,31.0,0.7532558139534884,0.5124560657337269,
churn,GaussianNB,IQR Removal,2.0,0.0625,0.0,2.508930206298828,0.0037670135498046,0.4864897500155484,364.0,3642.0,221.0,273.0,0.7675491551087869,0.5330114015535169,35.0,411.0,19.0,35.0,0.7006976744186046,0.5095731709508631,
churn,GaussianNB,IQR Removal,3.0,0.0625,0.0,2.52253532409668,0.0037670135498046,0.4888261560563789,365.0,3643.0,220.0,272.0,0.7629659641789371,0.5349069575887724,39.0,404.0,26.0,31.0,0.7661129568106312,0.5124560657337269,
churn,GaussianNB,IQR Removal,4.0,0.0625,0.0,2.4948034286499023,0.0037670135498046,0.4843164451640535,368.0,3647.0,217.0,268.0,0.7697147186739066,0.541195025685405,38.0,406.0,23.0,33.0,0.789684493909846,0.5136242386323558,
churn,GaussianNB,IQR Removal,5.0,0.0625,0.015625,2.520583152770996,0.0037670135498046,0.4701335886117987,365.0,3644.0,220.0,271.0,0.7630823795200333,0.5355046251629874,43.0,401.0,28.0,28.0,0.7402738106963459,0.5403657375488361,
churn,GaussianNB,IQR Removal,6.0,0.0625,0.0,2.5175819396972656,0.0037670135498046,0.4659416914329614,369.0,3648.0,216.0,267.0,0.7547755771709833,0.5430918258595443,38.0,397.0,32.0,33.0,0.7488098755704389,0.4633579329409144,
churn,GaussianNB,IQR Removal,7.0,0.046875,0.0,2.51639175415039,0.0037670135498046,0.448910831027319,361.0,3640.0,224.0,275.0,0.7518006074456033,0.5279174244664304,47.0,403.0,26.0,24.0,0.8386027118421485,0.5944579745197656,
churn,GaussianNB,IQR Removal,8.0,0.0625,0.015625,2.5165748596191406,0.0037670135498046,0.4973475903254306,365.0,3644.0,220.0,271.0,0.7666937673346615,0.5355046251629874,37.0,406.0,23.0,34.0,0.7418168685774319,0.5021693540157548,
churn,GaussianNB,IQR Removal,9.0,0.046875,0.015625,2.4959678649902344,0.0037670135498046,0.4797253640885016,365.0,3644.0,220.0,271.0,0.7648935668059951,0.5355046251629874,38.0,401.0,28.0,33.0,0.744902984339604,0.4846032918263743,
churn,GaussianNB,IQR Removal,10.0,0.0625,0.0,2.523866653442383,0.0037670135498046,0.4937102192569018,364.0,3643.0,221.0,272.0,0.7616923512637213,0.5336078249888482,40.0,409.0,20.0,31.0,0.778324961423553,0.5550664067561784,
churn,GaussianNB,PCA,1.0,0.09375,0.09375,1.975363731384277,0.0061779022216796,0.167905612921093,447.0,3320.0,543.0,190.0,0.8320775411859321,0.4722256452610666,52.0,362.0,68.0,18.0,0.8380730897009967,0.4750583966950206,
churn,GaussianNB,PCA,2.0,0.09375,0.0,1.975363731384277,0.0061779022216796,0.1764251268199513,427.0,3345.0,518.0,210.0,0.8304507888103169,0.4589370683961996,49.0,373.0,57.0,21.0,0.8356810631229236,0.4817298690307784,
churn,GaussianNB,PCA,3.0,0.09375,0.0,1.975363731384277,0.0061779022216796,0.1564287235591982,451.0,3279.0,584.0,186.0,0.8291536132962116,0.4612450127581269,48.0,366.0,64.0,22.0,0.8458139534883721,0.4468206484609295,
churn,GaussianNB,PCA,4.0,0.125,0.046875,1.9754114151000977,0.0061779022216796,0.1298957884972836,494.0,3143.0,721.0,142.0,0.8339510332434861,0.4630660335460477,51.0,338.0,91.0,20.0,0.8116484454512624,0.391818137039743,
churn,GaussianNB,PCA,5.0,0.09375,0.0,1.9754114151000977,0.0061779022216796,0.1408752854860932,469.0,3208.0,656.0,167.0,0.8308080068231831,0.4566820491746917,47.0,346.0,83.0,24.0,0.7879116188975344,0.3728152033214027,
churn,GaussianNB,PCA,6.0,0.09375,0.0,1.975363731384277,0.0061779022216796,0.13420502095724,484.0,3223.0,641.0,152.0,0.8351929437347813,0.4787795676831445,57.0,355.0,74.0,14.0,0.834334679405102,0.5003477570191968,
churn,GaussianNB,PCA,7.0,0.09375,0.0,1.9754114151000977,0.0061779022216796,0.1527095865278289,450.0,3279.0,585.0,186.0,0.8272926514056537,0.4603805780856946,53.0,369.0,60.0,18.0,0.8674283463015857,0.506266200796257,
churn,GaussianNB,PCA,8.0,0.09375,0.09375,1.9754114151000977,0.0061779022216796,0.1460164669244147,467.0,3251.0,613.0,169.0,0.8345255999583318,0.4695347572758971,51.0,362.0,67.0,20.0,0.7983518828589251,0.4620872517090935,
