Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
clean2,GaussianNB,Baseline,1.0,0.03125,0.0,23.85303020477295,0.0130186080932617,0.9952413006040656,685.0,4639.0,384.0,230.0,0.9251629390051664,0.6316442737480383,73.0,506.0,52.0,29.0,0.9063707920444164,0.5742778548673328,
clean2,GaussianNB,Baseline,2.0,0.03125,0.0,23.851283073425293,0.0130186080932617,0.8689127736611,699.0,4593.0,430.0,216.0,0.9205276493158792,0.6241049948750941,74.0,514.0,44.0,28.0,0.9192230655703142,0.6100103303957392,
clean2,GaussianNB,Baseline,3.0,0.03125,0.0,23.851283073425293,0.0130186080932617,0.5848950946972866,712.0,4547.0,476.0,203.0,0.922702345168509,0.6167342947048716,81.0,511.0,47.0,21.0,0.937732799212875,0.6490025095344932,
clean2,GaussianNB,Baseline,4.0,0.046875,0.0,23.851283073425293,0.0130186080932617,0.962775373958851,702.0,4596.0,427.0,213.0,0.9218667354214328,0.6276711066577753,75.0,508.0,50.0,27.0,0.909199522102748,0.595673473507606,
clean2,GaussianNB,Baseline,5.0,0.03125,0.0,23.85123920440674,0.0130186080932617,0.99720580870015,682.0,4636.0,387.0,233.0,0.9216015073829782,0.628002100735993,71.0,517.0,41.0,31.0,0.9104645442406354,0.5995538789417305,
clean2,GaussianNB,Baseline,6.0,0.03125,0.0,23.851283073425293,0.0130186080932617,0.9782579430517716,678.0,4632.0,391.0,237.0,0.9261722850842412,0.623145870053266,86.0,513.0,45.0,16.0,0.9418089816571792,0.6910175004387434,
clean2,GaussianNB,Baseline,7.0,0.046875,0.0,23.851283073425293,0.0130186080932617,0.829938539229101,700.0,4594.0,429.0,215.0,0.924067105522248,0.6252936988026545,77.0,509.0,49.0,25.0,0.9202157565535174,0.6135424757428858,
clean2,GaussianNB,Baseline,8.0,0.03125,0.0,23.85123538970948,0.0130186080932617,0.0116026718342203,734.0,4509.0,513.0,182.0,0.9232441667144912,0.620006745701885,86.0,513.0,46.0,15.0,0.9344480065180042,0.6923079383072038,
clean2,GaussianNB,Baseline,9.0,0.03125,0.0,23.8552885055542,0.0130186080932617,0.9170756467893144,699.0,4593.0,430.0,217.0,0.922760433012509,0.6236133654568483,74.0,506.0,52.0,27.0,0.9150076297952376,0.5858118046572375,
clean2,GaussianNB,Baseline,10.0,0.046875,0.0,23.8552885055542,0.0130186080932617,0.9121391482763712,702.0,4596.0,427.0,214.0,0.920224391380436,0.6271777597932809,72.0,501.0,57.0,29.0,0.9090989744135703,0.5544822804558696,
clean2,GaussianNB,IQR Capping,1.0,0.625,0.125,39.10502815246582,0.01758098602294922,1.0,472.0,4899.0,124.0,443.0,0.8956513698190508,0.5901202847945902,55.0,540.0,18.0,47.0,0.8795066413662239,0.5842629691781256,
clean2,GaussianNB,IQR Capping,2.0,0.609375,0.125,39.10141468048096,0.01758098602294922,1.0,489.0,4847.0,176.0,426.0,0.8893581329164532,0.5717287284147129,41.0,541.0,17.0,61.0,0.8926576006746785,0.474305021261543,
clean2,GaussianNB,IQR Capping,3.0,0.609375,0.125,39.10137462615967,0.01758098602294922,1.0,470.0,4878.0,145.0,445.0,0.8931153850756465,0.5744253183287408,56.0,544.0,14.0,46.0,0.9027338533979901,0.6150570882944915,
clean2,GaussianNB,IQR Capping,4.0,0.609375,0.125,39.101319313049316,0.01758098602294922,0.9999999999999801,470.0,4899.0,124.0,445.0,0.8927404975364688,0.588372181535165,56.0,542.0,16.0,46.0,0.882071825145829,0.6033291443523672,
clean2,GaussianNB,IQR Capping,5.0,0.578125,0.109375,39.10132694244385,0.01758098602294922,1.0,476.0,4896.0,127.0,439.0,0.8920670924675455,0.5915811580495742,51.0,545.0,13.0,51.0,0.8778814393140769,0.5823063233230443,
clean2,GaussianNB,IQR Capping,6.0,0.59375,0.109375,39.10141468048096,0.01758098602294922,1.0,468.0,4919.0,104.0,447.0,0.8976566809071713,0.6005475110640184,61.0,549.0,9.0,41.0,0.9236594279288777,0.6831217560131978,
clean2,GaussianNB,IQR Capping,7.0,0.609375,0.125,39.10141849517822,0.01758098602294922,1.0,480.0,4841.0,182.0,435.0,0.8919945300796663,0.5602063410997385,52.0,539.0,19.0,50.0,0.897252090800478,0.5550250400067414,
clean2,GaussianNB,IQR Capping,8.0,0.609375,0.125,39.10148906707764,0.01758098602294922,1.0,479.0,4868.0,154.0,437.0,0.8932830915152369,0.5761515020707465,53.0,538.0,21.0,48.0,0.9116792716838769,0.5558993675577082,
clean2,GaussianNB,IQR Capping,9.0,0.609375,0.109375,39.107967376708984,0.01758098602294922,1.0,480.0,4857.0,166.0,436.0,0.8915447456981728,0.5695300229563179,52.0,537.0,21.0,49.0,0.877124809255119,0.5477514352382948,
clean2,GaussianNB,IQR Capping,10.0,0.578125,0.109375,39.107872009277344,0.01758098602294922,1.0,483.0,4821.0,202.0,433.0,0.8885544617032393,0.5507279686162482,50.0,531.0,27.0,51.0,0.8627524042726853,0.5008991959323725,
clean2,GaussianNB,IQR Removal,1.0,0.5,0.0,23.977160453796387,0.0132350921630859,0.9952413006040656,685.0,4639.0,384.0,230.0,0.9251629390051664,0.6316442737480383,73.0,506.0,52.0,29.0,0.9063707920444164,0.5742778548673328,
clean2,GaussianNB,IQR Removal,2.0,0.5,0.0,23.975801467895508,0.0132350921630859,0.8689127736611,699.0,4593.0,430.0,216.0,0.9205276493158792,0.6241049948750941,74.0,514.0,44.0,28.0,0.9192230655703142,0.6100103303957392,
clean2,GaussianNB,IQR Removal,3.0,0.484375,0.0,23.97569179534912,0.0132350921630859,0.5848950946972866,712.0,4547.0,476.0,203.0,0.922702345168509,0.6167342947048716,81.0,511.0,47.0,21.0,0.937732799212875,0.6490025095344932,
clean2,GaussianNB,IQR Removal,4.0,0.484375,0.015625,23.97586154937744,0.0132350921630859,0.962775373958851,702.0,4596.0,427.0,213.0,0.9218667354214328,0.6276711066577753,75.0,508.0,50.0,27.0,0.909199522102748,0.595673473507606,
clean2,GaussianNB,IQR Removal,5.0,0.5,0.0,23.97569179534912,0.0132350921630859,0.99720580870015,682.0,4636.0,387.0,233.0,0.9216015073829782,0.628002100735993,71.0,517.0,41.0,31.0,0.9104645442406354,0.5995538789417305,
clean2,GaussianNB,IQR Removal,6.0,0.5,0.0,23.97590160369873,0.0132350921630859,0.9782579430517716,678.0,4632.0,391.0,237.0,0.9261722850842412,0.623145870053266,86.0,513.0,45.0,16.0,0.9418089816571792,0.6910175004387434,
clean2,GaussianNB,IQR Removal,7.0,0.484375,0.0,23.97578716278076,0.0132350921630859,0.829938539229101,700.0,4594.0,429.0,215.0,0.924067105522248,0.6252936988026545,77.0,509.0,49.0,25.0,0.9202157565535174,0.6135424757428858,
clean2,GaussianNB,IQR Removal,8.0,0.5,0.0,23.97597026824951,0.0132350921630859,0.0116026718342203,734.0,4509.0,513.0,182.0,0.9232441667144912,0.620006745701885,86.0,513.0,46.0,15.0,0.9344480065180042,0.6923079383072038,
clean2,GaussianNB,IQR Removal,9.0,0.5,0.0,23.979792594909668,0.0132350921630859,0.9170756467893144,699.0,4593.0,430.0,217.0,0.922760433012509,0.6236133654568483,74.0,506.0,52.0,27.0,0.9150076297952376,0.5858118046572375,
clean2,GaussianNB,IQR Removal,10.0,0.5,0.0,23.979744911193848,0.0132350921630859,0.9121391482763712,702.0,4596.0,427.0,214.0,0.920224391380436,0.6271777597932809,72.0,501.0,57.0,29.0,0.9090989744135703,0.5544822804558696,
clean2,GaussianNB,PCA,1.0,0.09375,0.0,23.854023933410645,0.0632553100585937,0.5945238379419704,757.0,4948.0,75.0,158.0,0.9764712921653292,0.8449971000054411,83.0,546.0,12.0,19.0,0.9681109002740882,0.8157874566065124,
clean2,GaussianNB,PCA,2.0,0.28125,0.09375,23.8540678024292,0.0632553100585937,0.5782843790755101,759.0,4950.0,73.0,156.0,0.9767417420847708,0.8476847702574761,85.0,550.0,8.0,17.0,0.9747171269941668,0.8508758211961976,
clean2,GaussianNB,PCA,3.0,0.28125,0.09375,23.8540678024292,0.0632553100585937,0.6230659763743852,757.0,4948.0,75.0,158.0,0.9747437198721944,0.8449971000054411,84.0,550.0,8.0,18.0,0.9809895284278586,0.8445025194614468,
clean2,GaussianNB,PCA,4.0,0.28125,0.0,23.854023933410645,0.0632553100585937,0.5278286225765905,784.0,4916.0,107.0,131.0,0.9769812958750403,0.8446911558379906,87.0,550.0,8.0,15.0,0.9772647410218568,0.8635514593885304,
clean2,GaussianNB,PCA,5.0,0.28125,0.0,23.8540678024292,0.0632553100585937,0.5178689751358092,787.0,4919.0,104.0,128.0,0.9766977912531318,0.8486096013086997,82.0,546.0,12.0,20.0,0.963964438822124,0.8092503066693892,
clean2,GaussianNB,PCA,6.0,0.1875,0.0,23.8540678024292,0.0632553100585937,0.5989032365454048,755.0,4946.0,77.0,160.0,0.9772199793518124,0.8423094297534063,85.0,545.0,13.0,17.0,0.967917633003022,0.8234556724894965,
clean2,GaussianNB,PCA,7.0,0.1875,0.09375,23.8540678024292,0.0632553100585937,0.6017500069784847,766.0,4957.0,66.0,149.0,0.9760679018590984,0.8570916161395985,85.0,545.0,13.0,17.0,0.9765795206971678,0.8234556724894965,
clean2,GaussianNB,PCA,8.0,0.28125,0.0,23.8540678024292,0.0632553100585937,0.6177300889526834,753.0,4943.0,79.0,163.0,0.9751842982579704,0.8390586633498401,85.0,556.0,3.0,16.0,0.979613524858747,0.8856180453549699,
clean2,GaussianNB,PCA,9.0,0.28125,0.0,23.858073234558105,0.0632553100585937,0.6378666186279464,756.0,4947.0,76.0,160.0,0.9739723472898032,0.8430928844566125,85.0,551.0,7.0,16.0,0.9838709677419354,0.861722615187656,
clean2,GaussianNB,PCA,10.0,0.1875,0.0,23.858073234558105,0.0632553100585937,0.6191982722068766,757.0,4948.0,75.0,159.0,0.975526551661484,0.8444360805106597,80.0,550.0,8.0,21.0,0.9685226587174848,0.8236716360286217,
clean2,GaussianNB,Quantile Binning,1.0,0.109375,0.0,23.85401439666748,0.0275602340698242,1.8893747929871904e-07,873.0,4767.0,256.0,42.0,0.963985121990755,0.8309394782706016,96.0,528.0,30.0,6.0,0.9645442406353224,0.8161821366630235,
clean2,GaussianNB,Quantile Binning,2.0,0.109375,0.015625,23.85396671295166,0.0275602340698242,4.7988603938381424e-08,869.0,4763.0,260.0,46.0,0.9637717863946068,0.82618466256036,98.0,532.0,26.0,4.0,0.9631298756061564,0.8459800017377015,
clean2,GaussianNB,Quantile Binning,3.0,0.109375,0.0,23.85396671295166,0.0275602340698242,2.706423869221542e-07,868.0,4762.0,261.0,47.0,0.9630644390992692,0.8249959586327996,98.0,533.0,25.0,4.0,0.9687170567151592,0.8502843069095687,
clean2,GaussianNB,Quantile Binning,4.0,0.109375,0.0,23.85396671295166,0.0275602340698242,1.0689379461116096e-07,868.0,4762.0,261.0,47.0,0.9634066898822792,0.8249959586327996,89.0,533.0,25.0,13.0,0.9709396303324196,0.7915267724519114,
clean2,GaussianNB,Quantile Binning,5.0,0.125,0.0,23.85401439666748,0.0275602340698242,4.1109240140647443e-08,869.0,4763.0,260.0,46.0,0.9633023610517304,0.82618466256036,97.0,532.0,26.0,5.0,0.9663978494623656,0.8395199757137979,
clean2,GaussianNB,Quantile Binning,6.0,0.109375,0.015625,23.85401439666748,0.0275602340698242,9.83763669002901e-07,874.0,4768.0,255.0,41.0,0.9650754072251252,0.832128182198162,100.0,527.0,31.0,2.0,0.9640522875816994,0.8381441354001239,
clean2,GaussianNB,Quantile Binning,7.0,0.109375,0.0,23.85396671295166,0.0275602340698242,1.6097958081919906e-07,872.0,4766.0,257.0,43.0,0.9633518601319178,0.8297507743430412,99.0,529.0,29.0,3.0,0.9622074636306136,0.8398289082393189,
clean2,GaussianNB,Quantile Binning,8.0,0.125,0.015625,23.85401439666748,0.0275602340698242,4.441114487074296e-07,874.0,4767.0,255.0,42.0,0.9636982647529908,0.8315307296731257,98.0,528.0,31.0,3.0,0.960502311411821,0.8305581184081647,
clean2,GaussianNB,Quantile Binning,9.0,0.125,0.0,23.858019828796387,0.0275602340698242,6.520147122178347e-08,873.0,4767.0,256.0,43.0,0.9637182062947124,0.8303482369699386,94.0,528.0,30.0,7.0,0.9607331700912028,0.8082669044701921,
clean2,GaussianNB,Quantile Binning,10.0,0.109375,0.015625,23.858019828796387,0.0275602340698242,2.9134253061289887e-08,876.0,4770.0,253.0,40.0,0.9639891216561024,0.8339126313063713,94.0,525.0,33.0,7.0,0.9559423684303916,0.7960018068694774,
clean2,GaussianNB,Quantile Transform,1.0,0.375,0.0625,24.57351589202881,1.3027105331420898,0.9999999999997726,442.0,4926.0,97.0,473.0,0.8769559479944169,0.5828060082720272,50.0,546.0,12.0,52.0,0.8680423782416192,0.5807070340766125,
clean2,GaussianNB,Quantile Transform,2.0,0.40625,0.0625,24.57368850708008,1.3027105331420898,0.9999999999999432,446.0,4918.0,105.0,469.0,0.8727470031298649,0.5805243289296442,37.0,546.0,12.0,65.0,0.871670532012088,0.4704983657855937,
clean2,GaussianNB,Quantile Transform,3.0,0.40625,0.046875,24.57438564300537,1.3027105331420898,0.9999999999996874,443.0,4923.0,100.0,472.0,0.875154834210718,0.5814914626037143,57.0,545.0,13.0,45.0,0.893975332068311,0.6286700218382327,
clean2,GaussianNB,Quantile Transform,4.0,0.390625,0.046875,24.57336711883545,1.3027105331420898,0.9999999999997158,444.0,4929.0,94.0,471.0,0.8760764962048893,0.5867938356960921,55.0,547.0,11.0,47.0,0.8544082507554993,0.6259498993413329,
clean2,GaussianNB,Quantile Transform,5.0,0.390625,0.0625,24.57546329498291,1.3027105331420898,0.9999999999998486,448.0,4936.0,87.0,467.0,0.8718831081941104,0.5955429601851726,48.0,550.0,8.0,54.0,0.8643263757115749,0.5918461601895804,
clean2,GaussianNB,Quantile Transform,6.0,0.390625,0.0625,24.572742462158203,1.3027105331420898,0.9999999999995643,440.0,4928.0,95.0,475.0,0.8782561963601313,0.5825099819691065,58.0,546.0,12.0,44.0,0.9098056785438188,0.642282955381974,
clean2,GaussianNB,Quantile Transform,7.0,0.40625,0.046875,24.573739051818848,1.3027105331420898,0.999999999999858,445.0,4929.0,94.0,470.0,0.8756131630564975,0.5876770097970067,48.0,544.0,14.0,54.0,0.8779077939419494,0.5519720931191553,
clean2,GaussianNB,Quantile Transform,8.0,0.390625,0.046875,24.574835777282715,1.3027105331420898,0.9999999999999716,425.0,4942.0,80.0,491.0,0.8757583445068773,0.5801510857344755,45.0,552.0,7.0,56.0,0.8940204396110453,0.5786597627077349,
clean2,GaussianNB,Quantile Transform,9.0,0.390625,0.0625,24.576970100402832,1.3027105331420898,0.999999999999858,446.0,4926.0,97.0,470.0,0.8759080500440333,0.5859454204040627,46.0,548.0,10.0,55.0,0.8652453955072927,0.5652328476981813,
clean2,GaussianNB,Quantile Transform,10.0,0.390625,0.0625,24.580591201782227,1.3027105331420898,0.9999999999999432,443.0,4930.0,93.0,473.0,0.8758361102248435,0.5862525864467714,45.0,545.0,13.0,56.0,0.8333333333333334,0.536899737292688,
clean2,GaussianNB,Random Undersampling,1.0,0.0625,0.0,10.300008773803713,0.027318000793457,0.8995209172957594,710.0,4604.0,419.0,205.0,0.930110127294228,0.6371807380782584,76.0,504.0,54.0,26.0,0.9115187293555416,0.5892499710447561,
clean2,GaussianNB,Random Undersampling,2.0,0.0625,0.0,10.299983024597168,0.027318000793457,0.9820168795905526,698.0,4592.0,431.0,217.0,0.923711908825958,0.6229162909475338,73.0,515.0,43.0,29.0,0.923062056363764,0.6065057039163122,
clean2,GaussianNB,Random Undersampling,3.0,0.0625,0.0,10.299890518188477,0.027318000793457,0.9938598506004968,688.0,4582.0,441.0,227.0,0.9235151091862678,0.6110292516719299,79.0,514.0,44.0,23.0,0.937908496732026,0.6457620141899234,
clean2,GaussianNB,Random Undersampling,4.0,0.0625,0.0,10.299850463867188,0.027318000793457,0.9898141345792058,705.0,4599.0,424.0,210.0,0.9244935591361704,0.6312372184404564,75.0,508.0,50.0,27.0,0.9123972169512968,0.595673473507606,
clean2,GaussianNB,Random Undersampling,5.0,0.0625,0.0,10.299982070922852,0.027318000793457,0.9357209254309375,700.0,4594.0,429.0,215.0,0.9274439218937152,0.6252936988026545,75.0,510.0,48.0,27.0,0.9185290603696676,0.6027046894068401,
clean2,GaussianNB,Random Undersampling,6.0,0.0625,0.0,10.299890518188477,0.027318000793457,0.5658045599646961,716.0,4551.0,472.0,199.0,0.9290048291520208,0.621398235441615,88.0,504.0,54.0,14.0,0.9433814744535808,0.6737835542626093,
clean2,GaussianNB,Random Undersampling,7.0,0.0625,0.0,10.299978256225586,0.027318000793457,0.4749635808080789,724.0,4559.0,464.0,191.0,0.9282401499550156,0.6307261169151017,80.0,503.0,55.0,22.0,0.9236067186731324,0.6145183134807622,
clean2,GaussianNB,Random Undersampling,8.0,0.078125,0.0,10.310571670532228,0.0273332595825195,0.9991480737718452,696.0,4589.0,433.0,220.0,0.9185211706047972,0.6200359047605668,82.0,520.0,39.0,19.0,0.9354044527887494,0.6904782441783349,
clean2,GaussianNB,Random Undersampling,9.0,0.0625,0.015625,10.310532569885254,0.0273332595825195,0.999888498128907,683.0,4637.0,386.0,233.0,0.920374682573698,0.6287291680309154,73.0,507.0,51.0,28.0,0.9117694027467264,0.5819384335268271,
clean2,GaussianNB,Random Undersampling,10.0,0.0625,0.015625,10.310575485229492,0.0273332595825195,0.9881855649448156,704.0,4598.0,425.0,212.0,0.9210344207040626,0.629554022684236,72.0,505.0,53.0,29.0,0.9094006174811028,0.5677573451687011,
clean2,GaussianNB,SMOTE / SMOTENC,1.0,0.21875,0.015625,37.67258834838867,1.1863775253295898,0.9999765762318642,656.0,4669.0,354.0,259.0,0.9279500091926864,0.6212129464447946,71.0,509.0,49.0,31.0,0.9102976315974418,0.5700623716042597,
clean2,GaussianNB,SMOTE / SMOTENC,2.0,0.1875,0.0,37.67247009277344,1.1863775253295898,0.9987026343215236,678.0,4632.0,391.0,237.0,0.9220671251043016,0.623145870053266,72.0,515.0,43.0,30.0,0.9206813549792676,0.5992352347108533,
clean2,GaussianNB,SMOTE / SMOTENC,3.0,0.21875,0.015625,37.67233467102051,1.1863775253295898,0.5294918623263124,715.0,4550.0,473.0,200.0,0.9266975192801638,0.6202322502574291,79.0,511.0,47.0,23.0,0.9378382177243656,0.6348729663660582,
clean2,GaussianNB,SMOTE / SMOTENC,4.0,0.203125,0.0,37.67251396179199,1.1863775253295898,0.9999997911119984,625.0,4757.0,266.0,290.0,0.9232960077631964,0.6370135458904049,69.0,526.0,32.0,33.0,0.9102888467214844,0.6216235726678623,
clean2,GaussianNB,SMOTE / SMOTENC,5.0,0.15625,0.0,37.67251396179199,1.1863775253295898,0.997656719552656,677.0,4631.0,392.0,238.0,0.9278339311299172,0.6219318123825843,75.0,517.0,41.0,27.0,0.9185114906177524,0.6285313319885454,
clean2,GaussianNB,SMOTE / SMOTENC,6.0,0.21875,0.0,37.67247009277344,1.1863775253295898,0.9999469819372712,646.0,4719.0,304.0,269.0,0.928901914580906,0.6357058056241254,80.0,524.0,34.0,22.0,0.9408777848056786,0.6917290769950352,
clean2,GaussianNB,SMOTE / SMOTENC,7.0,0.21875,0.0,37.67255783081055,1.1863775253295898,0.3165147382690129,718.0,4553.0,470.0,197.0,0.9268063084673888,0.6237302058099867,81.0,501.0,57.0,21.0,0.9226843066975896,0.6150746706132029,
clean2,GaussianNB,SMOTE / SMOTENC,8.0,0.21875,0.0,37.663381576538086,1.1876592636108398,0.427942067282575,711.0,4545.0,477.0,205.0,0.9252024715705046,0.6150602880944221,84.0,517.0,42.0,17.0,0.9350767813811792,0.6930231647230632,
clean2,GaussianNB,SMOTE / SMOTENC,9.0,0.3125,0.015625,37.67131805419922,1.1876592636108398,0.9990264597058104,679.0,4633.0,390.0,237.0,0.92664963873605,0.623875269900499,72.0,510.0,48.0,29.0,0.9185120124915718,0.5851352471157837,
clean2,GaussianNB,SMOTE / SMOTENC,10.0,0.21875,0.0,37.67123031616211,1.1876592636108398,0.9986230093745802,679.0,4633.0,390.0,237.0,0.923649791744004,0.623875269900499,68.0,512.0,46.0,33.0,0.9146083963235032,0.5627165467223775,
clean2,GaussianNB,Select Percentile (Mutual Info),1.0,3.8125,0.0,38.16068935394287,0.0120325088500976,0.9999999977715788,448.0,4996.0,27.0,467.0,0.9229708368825804,0.6444546717880806,54.0,554.0,4.0,48.0,0.90058155878839,0.6667727228517832,
clean2,GaussianNB,Select Percentile (Mutual Info),2.0,3.015625,0.0,38.16068935394287,0.0120325088500976,0.9999999999486704,459.0,5007.0,16.0,456.0,0.9253123065592264,0.6633684519667443,40.0,557.0,1.0,62.0,0.9241865204863308,0.5845888453067128,
