Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
eeg-eye-state,GaussianNB,Baseline,1.0,0.015625,0.0,2.115384101867676,0.0024776458740234,0.7331220585317071,1024.0,4634.0,326.0,3016.0,0.6744942709996806,0.2615108236715099,98.0,510.0,42.0,350.0,0.6370624676501035,0.2044592611850282,
eeg-eye-state,GaussianNB,Baseline,2.0,0.015625,0.0,2.1135644912719727,0.0024776458740234,0.9987102455193346,432.0,4762.0,198.0,3608.0,0.5468532916799744,0.1306311674194067,51.0,529.0,23.0,397.0,0.5699243012422359,0.137107009451642,
eeg-eye-state,GaussianNB,Baseline,3.0,0.0,0.0,2.113778114318848,0.0024776458740234,0.9986473689853528,440.0,4771.0,190.0,3599.0,0.5520338661365534,0.1376999721435321,40.0,536.0,15.0,409.0,0.5404387244895897,0.1349699587032041,
eeg-eye-state,GaussianNB,Baseline,4.0,0.0,0.015625,2.113734245300293,0.0024776458740234,0.9987667835612664,439.0,4770.0,191.0,3600.0,0.5511734784600398,0.136824408004513,41.0,526.0,25.0,408.0,0.5402123694921968,0.0920371741481724,
eeg-eye-state,GaussianNB,Baseline,5.0,0.015625,0.0,2.113957405090332,0.0024776458740234,0.99879315975367,431.0,4762.0,199.0,3608.0,0.5470454142459737,0.1298198948923603,47.0,525.0,26.0,402.0,0.5563037845747152,0.1099235999690258,
eeg-eye-state,GaussianNB,Baseline,6.0,0.015625,0.0,2.113909721374512,0.0024776458740234,0.9987191165442384,432.0,4763.0,198.0,3607.0,0.5508409515987516,0.1306954590313794,49.0,530.0,21.0,400.0,0.5407216682363307,0.1384466008173831,
eeg-eye-state,GaussianNB,Baseline,7.0,0.015625,0.0,2.113825798034668,0.0024776458740234,0.99888364594946,371.0,4792.0,169.0,3668.0,0.5486218101588528,0.1210270520502565,33.0,533.0,18.0,416.0,0.5302648757674848,0.0923096718103373,
eeg-eye-state,GaussianNB,Baseline,8.0,0.015625,0.0,2.1139535903930664,0.0024776458740234,0.9988625924464024,378.0,4799.0,162.0,3661.0,0.5459601479806916,0.1276117665252433,46.0,527.0,24.0,403.0,0.5592585257013973,0.1148074544057639,
eeg-eye-state,GaussianNB,Baseline,9.0,0.015625,0.0,2.113957405090332,0.0024776458740234,0.9988097378013738,474.0,4715.0,246.0,3565.0,0.5470726631828285,0.1242427993722157,51.0,521.0,30.0,398.0,0.5531146043435907,0.1078139047168623,
eeg-eye-state,GaussianNB,Baseline,10.0,0.0,0.0,2.1140012741088867,0.0024776458740234,0.9987161403116136,516.0,4667.0,294.0,3523.0,0.5479108424767407,0.1190358763060313,70.0,535.0,16.0,379.0,0.5569100926034463,0.2250684795107395,
eeg-eye-state,GaussianNB,IQR Capping,1.0,0.0625,0.0,4.994087219238281,0.0032415390014648438,0.3049316943062987,2836.0,2666.0,2294.0,1204.0,0.6646524672628553,0.24059520311733365,293.0,273.0,279.0,155.0,0.6225373641304348,0.14933375571042928,
eeg-eye-state,GaussianNB,IQR Capping,2.0,0.078125,0.015625,4.991537094116211,0.0032415390014648438,0.33822944676226696,2623.0,2903.0,2057.0,1417.0,0.6611337981076333,0.233497941483479,304.0,309.0,243.0,144.0,0.6665453545548654,0.23811584413109196,
eeg-eye-state,GaussianNB,IQR Capping,3.0,0.0625,0.0,4.991493225097656,0.0032415390014648438,0.2984045397758188,2817.0,2648.0,2313.0,1222.0,0.6599914590053968,0.23228439425322023,309.0,282.0,269.0,140.0,0.6523389342721677,0.20141556161377466,
eeg-eye-state,GaussianNB,IQR Capping,4.0,0.0625,0.0,4.991445541381836,0.0032415390014648438,0.3428672929060521,2638.0,2919.0,2042.0,1401.0,0.6651448518049601,0.24044312254445044,270.0,316.0,235.0,179.0,0.6421064757739522,0.17393583158922077,
eeg-eye-state,GaussianNB,IQR Capping,5.0,0.0625,0.015625,4.991357803344727,0.0032415390014648438,0.3349504194027564,2672.0,2863.0,2098.0,1367.0,0.6634312879379687,0.23782413942014996,292.0,322.0,229.0,157.0,0.6689841106875938,0.23370807405877864,
eeg-eye-state,GaussianNB,IQR Capping,6.0,0.078125,0.015625,4.991537094116211,0.0032415390014648438,0.3117121532873354,2780.0,2701.0,2260.0,1259.0,0.6632787238354685,0.23319648083091638,318.0,300.0,251.0,131.0,0.6654028512645564,0.25381558447485697,
eeg-eye-state,GaussianNB,IQR Capping,7.0,0.0625,0.015625,4.991489410400391,0.0032415390014648438,0.3380709781622629,2704.0,2805.0,2156.0,1335.0,0.6637324485779874,0.23439833729860918,295.0,329.0,222.0,154.0,0.6777129252745566,0.2529326705951364,
eeg-eye-state,GaussianNB,IQR Capping,8.0,0.09375,0.015625,4.991401672363281,0.0032415390014648438,0.3149780512954061,2779.0,2700.0,2261.0,1260.0,0.6601297249020199,0.2327464335852183,320.0,282.0,269.0,129.0,0.6655968698337503,0.22694495228313252,
eeg-eye-state,GaussianNB,IQR Capping,9.0,0.078125,0.015625,4.991361618041992,0.0032415390014648438,0.33910972296085934,2667.0,2858.0,2103.0,1372.0,0.6639511138102752,0.23558613159619732,288.0,324.0,227.0,161.0,0.6553118646397116,0.22835324549346686,
eeg-eye-state,GaussianNB,IQR Capping,10.0,0.0625,0.015625,4.991537094116211,0.0032415390014648438,0.3469121065972494,2648.0,2839.0,2122.0,1391.0,0.6620807687434133,0.22708170186517734,325.0,336.0,215.0,124.0,0.7015307256698693,0.3329581875954643,
eeg-eye-state,GaussianNB,IQR Removal,1.0,0.0625,0.0,3.0433874130249023,0.0026941299438476,0.7331220585317071,1024.0,4634.0,326.0,3016.0,0.6744942709996806,0.2615108236715099,98.0,510.0,42.0,350.0,0.6370624676501035,0.2044592611850282,
eeg-eye-state,GaussianNB,IQR Removal,2.0,0.046875,0.0,3.042515754699707,0.0026941299438476,0.9987102455193346,432.0,4762.0,198.0,3608.0,0.5468532916799744,0.1306311674194067,51.0,529.0,23.0,397.0,0.5699243012422359,0.137107009451642,
