Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
haberman,GaussianNB,Baseline,1.0,0.0,0.0,0.0647964477539062,0.0017328262329101,0.1978566935203804,45.0,145.0,57.0,28.0,0.6721822867218228,0.3055614525894104,6.0,14.0,9.0,2.0,0.7934782608695653,0.3140721323960884,
haberman,GaussianNB,Baseline,2.0,0.015625,0.0,0.0630016326904296,0.0017328262329101,0.2151401450359884,33.0,174.0,28.0,40.0,0.6901532619015327,0.3331355822248133,3.0,20.0,3.0,5.0,0.6521739130434783,0.2708681694429807,
haberman,GaussianNB,Baseline,3.0,0.0,0.0,0.0630016326904296,0.0017328262329101,0.2669323108505182,28.0,183.0,19.0,45.0,0.6828970568289705,0.3396039144884743,1.0,22.0,1.0,7.0,0.5434782608695652,0.1452005798741936,
haberman,GaussianNB,Baseline,4.0,0.015625,0.0,0.06304931640625,0.0017328262329101,0.1700641308965599,47.0,155.0,47.0,26.0,0.7198901396989015,0.3827782382212964,4.0,15.0,8.0,4.0,0.5108695652173914,0.1367041492012887,
haberman,GaussianNB,Baseline,5.0,0.0,0.0,0.0630016326904296,0.0017328262329101,0.2244074977724313,37.0,162.0,40.0,36.0,0.6554658890546589,0.3037231908115735,6.0,20.0,3.0,2.0,0.940217391304348,0.5972598827888349,
haberman,GaussianNB,Baseline,6.0,0.0,0.0,0.06304931640625,0.0017328262329101,0.1982833268908907,37.0,170.0,33.0,35.0,0.7083675424192666,0.3545685654232241,3.0,16.0,6.0,6.0,0.5050505050505051,0.0606060606060606,
haberman,GaussianNB,Baseline,7.0,0.015625,0.0,0.0630960464477539,0.0017328262329101,0.176216065036035,36.0,170.0,33.0,37.0,0.6708279910925163,0.3367350103464414,4.0,18.0,4.0,4.0,0.6818181818181819,0.3181818181818182,
haberman,GaussianNB,Baseline,8.0,0.015625,0.0,0.0631437301635742,0.0017328262329101,0.1853264037717739,44.0,158.0,45.0,29.0,0.7119913624401107,0.3595775194705112,1.0,18.0,4.0,7.0,0.4034090909090909,-0.0674199862463242,
haberman,GaussianNB,Baseline,9.0,0.0,0.0,0.0631437301635742,0.0017328262329101,0.1811447790607779,37.0,168.0,35.0,36.0,0.6799041770699777,0.3359236006886736,5.0,17.0,5.0,3.0,0.8068181818181819,0.3731012536223182,
haberman,GaussianNB,Baseline,10.0,0.015625,0.0,0.0630960464477539,0.0017328262329101,0.1792616670722718,45.0,159.0,44.0,28.0,0.7082124299885283,0.3771520538026984,2.0,12.0,10.0,6.0,0.4204545454545454,-0.1846372364689991,
haberman,GaussianNB,IQR Capping,1.0,0.03125,0.0,0.08868598937988281,0.002223968505859375,0.1883574384285104,51.0,135.0,67.0,22.0,0.6861521768615217,0.3273780739397116,6.0,14.0,9.0,2.0,0.7880434782608695,0.3140721323960884,
haberman,GaussianNB,IQR Capping,2.0,0.03125,0.015625,0.086456298828125,0.002223968505859375,0.21478013281231395,42.0,161.0,41.0,31.0,0.7121253221212532,0.3581992468664542,4.0,16.0,7.0,4.0,0.6304347826086957,0.17892962380969743,
haberman,GaussianNB,IQR Capping,3.0,0.015625,0.0,0.08636093139648438,0.002223968505859375,0.20331344274616092,45.0,156.0,46.0,28.0,0.6879831818798318,0.36478708936997906,3.0,20.0,3.0,5.0,0.7228260869565217,0.2708681694429807,
haberman,GaussianNB,IQR Capping,4.0,0.03125,0.0,0.08622550964355469,0.002223968505859375,0.1648182919442483,55.0,136.0,66.0,18.0,0.7351485148514852,0.37957583283100305,3.0,14.0,9.0,5.0,0.5054347826086957,-0.014646873128709506,
haberman,GaussianNB,IQR Capping,5.0,0.015625,0.015625,0.08645248413085938,0.002223968505859375,0.20419104244778474,43.0,149.0,53.0,30.0,0.6621117591211176,0.30260590569878665,7.0,19.0,4.0,1.0,0.9456521739130435,0.6411644853180825,
haberman,GaussianNB,IQR Capping,6.0,0.015625,0.0,0.08636856079101562,0.002223968505859375,0.18185150616164142,50.0,148.0,55.0,22.0,0.7295771756978653,0.3832280343782867,6.0,9.0,13.0,3.0,0.5909090909090908,0.07059781184061313,
