Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
higgs,GaussianNB,Baseline,1.0,0.03125,0.0,5.57705020904541,0.0043249130249023,0.7184664217459766,2679.0,2782.0,1461.0,2078.0,0.651012826973272,0.219183556180777,291.0,306.0,165.0,238.0,0.6395193430700878,0.2002164851698917,
higgs,GaussianNB,Baseline,2.0,0.015625,0.015625,5.574770927429199,0.0043249130249023,0.744115731300331,2430.0,2983.0,1260.0,2327.0,0.651150262899469,0.2170627564958419,254.0,339.0,132.0,275.0,0.6224298540289533,0.2049583125248347,
higgs,GaussianNB,Baseline,3.0,0.03125,0.015625,5.575165748596191,0.0043249130249023,0.6850885390498105,2872.0,2615.0,1628.0,1885.0,0.6530449365438906,0.2196919082042614,345.0,292.0,179.0,184.0,0.672418014199768,0.2719868490393011,
higgs,GaussianNB,Baseline,4.0,0.03125,0.015625,5.5745954513549805,0.0043249130249023,0.6550269802476901,3240.0,2263.0,1980.0,1517.0,0.6508077135145641,0.2168948127045185,347.0,232.0,239.0,182.0,0.61452726973539,0.1505167652485799,
higgs,GaussianNB,Baseline,5.0,0.015625,0.0,5.575078010559082,0.0043249130249023,0.6851077866110741,2848.0,2681.0,1562.0,1909.0,0.6566745034210597,0.2302306403489583,315.0,293.0,178.0,214.0,0.6599079302774533,0.2171988869869769,
higgs,GaussianNB,Baseline,6.0,0.03125,0.0,5.575169563293457,0.0043249130249023,0.7194873657248636,2634.0,2827.0,1416.0,2123.0,0.6514450515659693,0.2207315633923305,277.0,320.0,151.0,252.0,0.6549151345124999,0.2048279985649037,
higgs,GaussianNB,Baseline,7.0,0.015625,0.0,5.5745038986206055,0.0043249130249023,0.7092839972280672,2686.0,2788.0,1454.0,2072.0,0.6521308859403324,0.2221071698666679,291.0,311.0,161.0,237.0,0.6558607794042117,0.2106781276699817,
higgs,GaussianNB,Baseline,8.0,0.015625,0.015625,5.575161933898926,0.0043249130249023,0.6423506001440213,3135.0,2427.0,1815.0,1623.0,0.6565520855814638,0.2318080105414497,344.0,272.0,200.0,184.0,0.6499823446327684,0.228314640956811,
higgs,GaussianNB,Baseline,9.0,0.03125,0.0,5.574814796447754,0.0043249130249023,0.6706223025237321,3118.0,2410.0,1832.0,1640.0,0.6547295514995564,0.2242018801048455,338.0,242.0,230.0,190.0,0.6048608436055469,0.1540548502693657,
higgs,GaussianNB,Baseline,10.0,0.03125,0.0,5.575161933898926,0.0043249130249023,0.7275621112120382,2634.0,2826.0,1416.0,2124.0,0.6510481664271635,0.2205330407177776,286.0,308.0,164.0,242.0,0.6415639445300463,0.1948811345993357,
higgs,GaussianNB,IQR Capping,1.0,0.109375,0.0,8.801922798156738,0.005345344543457031,0.648862358101145,2599.0,2972.0,1271.0,2158.0,0.6690937765356249,0.24884850248056375,273.0,321.0,150.0,256.0,0.6533338149535035,0.1996456814387396,
higgs,GaussianNB,IQR Capping,2.0,0.109375,0.015625,8.79803466796875,0.005345344543457031,0.665843377764039,2509.0,3062.0,1181.0,2248.0,0.6701344548448418,0.2528152276990016,254.0,345.0,126.0,275.0,0.6406872719829506,0.2186683970298762,
higgs,GaussianNB,IQR Capping,3.0,0.109375,0.015625,8.797980308532715,0.005345344543457031,0.6492301663450227,2512.0,3065.0,1178.0,2245.0,0.6726194489869699,0.25417291647886847,300.0,337.0,134.0,229.0,0.6938059632604081,0.2846214625660977,
higgs,GaussianNB,IQR Capping,4.0,0.109375,0.015625,8.79798698425293,0.005345344543457031,0.5647852416110688,3259.0,2372.0,1871.0,1498.0,0.6683915354332757,0.24615990097948193,352.0,254.0,217.0,177.0,0.6417949983745319,0.2063139540930281,
higgs,GaussianNB,IQR Capping,5.0,0.109375,0.03125,8.797980308532715,0.005345344543457031,0.6128681701183775,2858.0,2781.0,1462.0,1899.0,0.6746732094226745,0.25601798276155535,312.0,315.0,156.0,217.0,0.6739030097247138,0.25867688216098794,
higgs,GaussianNB,IQR Capping,6.0,0.125,0.015625,8.798027038574219,0.005345344543457031,0.654631325491161,2494.0,3047.0,1196.0,2263.0,0.6685180716104593,0.2460267837996675,273.0,339.0,132.0,256.0,0.6684366207923456,0.23978419096115422,
higgs,GaussianNB,IQR Capping,7.0,0.109375,0.03125,8.798074722290039,0.005345344543457031,0.6524539319426527,2435.0,3077.0,1165.0,2323.0,0.6677934321985612,0.24162683275404875,262.0,347.0,125.0,266.0,0.6790535118130456,0.23715434427150808,
higgs,GaussianNB,IQR Capping,8.0,0.109375,0.015625,8.798027038574219,0.005345344543457031,0.6274990422257735,2655.0,2937.0,1305.0,2103.0,0.6731063036045994,0.25177719367016266,299.0,331.0,141.0,229.0,0.6772358115048793,0.26908363064634544,
higgs,GaussianNB,IQR Capping,9.0,0.109375,0.03125,8.798074722290039,0.005345344543457031,0.6229988341666135,2845.0,2767.0,1475.0,1913.0,0.6706327406294944,0.25001546028305327,303.0,275.0,197.0,225.0,0.6178134630200308,0.15624518482565103,
higgs,GaussianNB,IQR Capping,10.0,0.125,0.03125,8.798074722290039,0.005345344543457031,0.603407148263811,3026.0,2588.0,1654.0,1732.0,0.6686794557675908,0.24586309003243303,330.0,289.0,183.0,198.0,0.6502511877247046,0.2369958937915304,
higgs,GaussianNB,IQR Removal,1.0,0.109375,0.015625,5.604503631591797,0.0045423507690429,0.7184664217459766,2679.0,2782.0,1461.0,2078.0,0.651012826973272,0.219183556180777,291.0,306.0,165.0,238.0,0.6395193430700878,0.2002164851698917,
higgs,GaussianNB,IQR Removal,2.0,0.109375,0.0,5.603013038635254,0.0045423507690429,0.744115731300331,2430.0,2983.0,1260.0,2327.0,0.651150262899469,0.2170627564958419,254.0,339.0,132.0,275.0,0.6224298540289533,0.2049583125248347,
higgs,GaussianNB,IQR Removal,3.0,0.09375,0.0,5.603093147277832,0.0045423507690429,0.6850885390498105,2872.0,2615.0,1628.0,1885.0,0.6530449365438906,0.2196919082042614,345.0,292.0,179.0,184.0,0.672418014199768,0.2719868490393011,
higgs,GaussianNB,IQR Removal,4.0,0.09375,0.0,5.603202819824219,0.0045423507690429,0.6550269802476901,3240.0,2263.0,1980.0,1517.0,0.6508077135145641,0.2168948127045185,347.0,232.0,239.0,182.0,0.61452726973539,0.1505167652485799,
higgs,GaussianNB,IQR Removal,5.0,0.109375,0.0,5.602710723876953,0.0045423507690429,0.6851077866110741,2848.0,2681.0,1562.0,1909.0,0.6566745034210597,0.2302306403489583,315.0,293.0,178.0,214.0,0.6599079302774533,0.2171988869869769,
