Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
ilpd,GaussianNB,Baseline,1.0,0.015625,0.0,0.1975774765014648,0.0027503967285156,0.987764353307722,137.0,186.0,188.0,13.0,0.7294474153297682,0.3824680174213842,16.0,23.0,19.0,1.0,0.7815126050420168,0.450647201063756,
ilpd,GaussianNB,Baseline,2.0,0.015625,0.0,0.1953878402709961,0.0027503967285156,0.9900818515743074,136.0,185.0,189.0,14.0,0.7335828877005348,0.3737687709100202,17.0,21.0,21.0,0.0,0.7731092436974791,0.4729526514634586,
ilpd,GaussianNB,Baseline,3.0,0.015625,0.0,0.1954355239868164,0.0027503967285156,0.9922986810359292,136.0,184.0,190.0,14.0,0.7194117647058823,0.3716435995624979,17.0,23.0,19.0,0.0,0.8669467787114846,0.5085252044863495,
ilpd,GaussianNB,Baseline,4.0,0.015625,0.015625,0.1956787109375,0.0027503967285156,0.9801547511203365,140.0,183.0,191.0,11.0,0.738375181499451,0.39055276381215,14.0,18.0,24.0,2.0,0.7098214285714286,0.2854557100602737,
ilpd,GaussianNB,Baseline,5.0,0.015625,0.0,0.1957263946533203,0.0027503967285156,0.9719596857374286,141.0,179.0,195.0,10.0,0.7418989269398306,0.388889328056883,13.0,26.0,16.0,3.0,0.7068452380952381,0.3857583749052298,
ilpd,GaussianNB,Baseline,6.0,0.0,0.015625,0.1956787109375,0.0027503967285156,0.9575425171947708,141.0,184.0,190.0,10.0,0.7503098771115911,0.3992708300990406,14.0,14.0,28.0,2.0,0.6324404761904763,0.2083333333333333,
ilpd,GaussianNB,Baseline,7.0,0.015625,0.015625,0.1957263946533203,0.0027503967285156,0.9898372978761142,137.0,187.0,188.0,13.0,0.733671111111111,0.3832673298806541,16.0,18.0,23.0,1.0,0.7532281205164992,0.3687401099943506,
ilpd,GaussianNB,Baseline,8.0,0.0,0.0,0.1957263946533203,0.0027503967285156,0.9901161933919306,138.0,193.0,182.0,12.0,0.7546844444444445,0.4024998106347077,15.0,16.0,25.0,2.0,0.5523672883787661,0.2682075281872438,
ilpd,GaussianNB,Baseline,9.0,0.015625,0.0,0.1956825256347656,0.0027503967285156,0.983687885096008,137.0,181.0,194.0,13.0,0.7297777777777777,0.3706308686396926,16.0,23.0,18.0,1.0,0.7819225251076041,0.4640946649023548,
ilpd,GaussianNB,Baseline,10.0,0.015625,0.0,0.1957263946533203,0.0027503967285156,0.9530017673135271,142.0,171.0,204.0,8.0,0.73872,0.3837446891322081,15.0,22.0,19.0,2.0,0.7230989956958392,0.3871875490042503,
ilpd,GaussianNB,IQR Capping,1.0,0.0625,0.015625,0.25765419006347656,0.0033903121948242188,0.04179943417524112,140.0,174.0,200.0,10.0,0.7351871657754011,0.3774348507068154,16.0,20.0,22.0,1.0,0.8151260504201681,0.3947896082243997,
ilpd,GaussianNB,IQR Capping,2.0,0.046875,0.015625,0.2545175552368164,0.0033903121948242188,0.8925018234304452,111.0,249.0,125.0,39.0,0.7438502673796792,0.36865056253574763,10.0,30.0,12.0,7.0,0.7605042016806722,0.2833299224962435,
ilpd,GaussianNB,IQR Capping,3.0,0.046875,0.0,0.2544736862182617,0.0033903121948242188,0.054103145693938606,139.0,172.0,202.0,11.0,0.7301782531194295,0.36651798344893555,17.0,21.0,21.0,0.0,0.8669467787114846,0.47295265146345866,
ilpd,GaussianNB,IQR Capping,4.0,0.046875,0.015625,0.2547025680541992,0.0033903121948242188,0.04293912632366177,140.0,178.0,196.0,11.0,0.7484506144420441,0.38012266150916246,14.0,18.0,24.0,2.0,0.7008928571428572,0.2854557100602737,
