Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
irish,GaussianNB,Baseline,1.0,0.015625,0.015625,0.1163320541381836,0.0025091171264648,0.9999981318251364,192.0,244.0,6.0,8.0,0.98444,0.9369749612033812,22.0,26.0,2.0,0.0,0.9983766233766234,0.9225998461903602,
irish,GaussianNB,Baseline,2.0,0.015625,0.015625,0.1140146255493164,0.0025091171264648,0.9999986615497044,190.0,246.0,4.0,10.0,0.98536,0.9371541458272684,20.0,28.0,0.0,2.0,0.9853896103896104,0.9211323729436766,
irish,GaussianNB,Baseline,3.0,0.015625,0.0,0.1133966445922851,0.0025091171264648,0.9999984262933442,190.0,246.0,4.0,10.0,0.9856,0.9371541458272684,20.0,27.0,1.0,2.0,0.9837662337662336,0.8783816879813642,
irish,GaussianNB,Baseline,4.0,0.015625,0.0,0.1138715744018554,0.0025091171264648,0.9999987149543088,191.0,247.0,3.0,9.0,0.98682,0.9461845390954112,19.0,26.0,2.0,3.0,0.9659090909090908,0.7967477021094902,
irish,GaussianNB,Baseline,5.0,0.015625,0.0,0.1139154434204101,0.0025091171264648,0.9999990580924064,187.0,248.0,2.0,13.0,0.98542,0.9332834844769152,21.0,28.0,0.0,1.0,0.9821428571428572,0.9600156738532384,
irish,GaussianNB,Baseline,6.0,0.015625,0.0,0.1139841079711914,0.0025091171264648,0.999998758846268,191.0,247.0,3.0,9.0,0.9868,0.9461845390954112,21.0,28.0,0.0,1.0,0.9805194805194803,0.9600156738532384,
irish,GaussianNB,Baseline,7.0,0.015625,0.0,0.1136970520019531,0.0025091171264648,0.9999988892114152,192.0,248.0,2.0,8.0,0.98716,0.955214932363554,21.0,27.0,1.0,1.0,0.9805194805194803,0.9188311688311688,
irish,GaussianNB,Baseline,8.0,0.0,0.015625,0.1137075424194336,0.0025091171264648,0.9999989860292432,187.0,248.0,2.0,13.0,0.98366,0.9332834844769152,20.0,28.0,0.0,2.0,1.0,0.9211323729436766,
irish,GaussianNB,Baseline,9.0,0.015625,0.0,0.1137723922729492,0.0025091171264648,0.9999989599647724,187.0,249.0,2.0,12.0,0.985425133636309,0.9375673878131,22.0,27.0,0.0,1.0,0.9903381642512076,0.9603958811069554,
irish,GaussianNB,Baseline,10.0,0.015625,0.015625,0.1140890121459961,0.0025091171264648,0.9999984367019408,189.0,246.0,5.0,10.0,0.9844040921740176,0.9324925479667314,23.0,26.0,1.0,0.0,1.0,0.960645359210588,
