Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
kc2,GaussianNB,Baseline,1.0,0.0,0.0,0.3511362075805664,0.0037202835083007,4.710146905924469e-25,72.0,309.0,64.0,24.0,0.8423117739052727,0.5143283151640361,7.0,35.0,7.0,4.0,0.8311688311688311,0.4320583718369969,
kc2,GaussianNB,Baseline,2.0,0.015625,0.0,0.3580961227416992,0.003758430480957,1.8011438055446612e-26,63.0,323.0,50.0,33.0,0.8448810321715817,0.4926790875810362,8.0,32.0,10.0,3.0,0.7835497835497836,0.4189065747154862,
kc2,GaussianNB,Baseline,3.0,0.015625,0.015625,0.3583498001098633,0.003758430480957,2.20960658779632e-30,69.0,315.0,58.0,28.0,0.8392388270086509,0.5065758274298869,6.0,36.0,6.0,4.0,0.8345238095238096,0.4276179870598789,
kc2,GaussianNB,Baseline,4.0,0.015625,0.0,0.3491086959838867,0.0037202835083007,9.812608406405372e-23,64.0,324.0,49.0,33.0,0.8321632901246511,0.5004394756371171,7.0,34.0,8.0,3.0,0.8833333333333333,0.4432437664141893,
kc2,GaussianNB,Baseline,5.0,0.015625,0.0,0.3583536148071289,0.003758430480957,1.474064247796032e-28,72.0,299.0,74.0,25.0,0.8280312871396589,0.4756546428097031,9.0,33.0,9.0,1.0,0.9285714285714286,0.568057281997381,
kc2,GaussianNB,Baseline,6.0,0.015625,0.0,0.3589563369750976,0.003758430480957,2.5306253053436027e-27,67.0,319.0,55.0,29.0,0.8529411764705883,0.5065722758321942,6.0,34.0,7.0,5.0,0.6917960088691796,0.3534227110875739,
kc2,GaussianNB,Baseline,7.0,0.0,0.015625,0.3586931228637695,0.003758430480957,1.2846876693378968e-27,66.0,318.0,56.0,30.0,0.8291276737967915,0.4945342047612502,8.0,33.0,8.0,3.0,0.8847006651884701,0.4708816093480111,
kc2,GaussianNB,Baseline,8.0,0.015625,0.0,0.3586454391479492,0.003758430480957,2.0804400073861918e-28,68.0,310.0,64.0,28.0,0.8261335784313726,0.4819150218864671,10.0,37.0,4.0,1.0,0.9201773835920176,0.7472002324141371,
kc2,GaussianNB,Baseline,9.0,0.015625,0.0,0.3587369918823242,0.003758430480957,0.3746847757784498,36.0,367.0,7.0,60.0,0.8358678698752227,0.4982173734165259,2.0,39.0,2.0,9.0,0.8592017738359202,0.2038977179351388,
kc2,GaussianNB,Baseline,10.0,0.015625,0.0,0.3589563369750976,0.003758430480957,7.871517746419225e-24,70.0,317.0,57.0,26.0,0.8561859402852051,0.5236219192526205,4.0,38.0,3.0,7.0,0.6995565410199557,0.3475583668361243,
kc2,GaussianNB,IQR Capping,1.0,0.109375,0.015625,0.44329071044921875,0.0046100616455078125,3.5770653340804724e-13,69.0,320.0,53.0,27.0,0.847478217158177,0.5303521565142163,7.0,35.0,7.0,4.0,0.829004329004329,0.4320583718369969,
kc2,GaussianNB,IQR Capping,2.0,0.078125,0.03125,0.4394969940185547,0.0046482086181640625,2.8702349251838346e-16,68.0,319.0,54.0,28.0,0.8518627122430742,0.5183062869125326,8.0,34.0,8.0,3.0,0.7900432900432901,0.4742090518687142,
kc2,GaussianNB,IQR Capping,3.0,0.09375,0.015625,0.4402742385864258,0.0046482086181640625,5.48329630059592e-20,71.0,317.0,56.0,26.0,0.8445178408556977,0.5302534803454105,6.0,36.0,6.0,4.0,0.8523809523809525,0.42761798705987897,
kc2,GaussianNB,IQR Capping,4.0,0.09375,0.015625,0.44017887115478516,0.0046100616455078125,1.7742457839898836e-13,68.0,319.0,54.0,29.0,0.8389486194411432,0.5135085132737598,9.0,32.0,10.0,1.0,0.888095238095238,0.5417343578994654,
kc2,GaussianNB,IQR Capping,5.0,0.078125,0.015625,0.4403219223022461,0.0046482086181640625,1.0559408412730734e-16,67.0,318.0,55.0,30.0,0.8336143279621901,0.5015166121886625,9.0,37.0,5.0,1.0,0.9404761904761905,0.693894399660651,
kc2,GaussianNB,IQR Capping,6.0,0.078125,0.015625,0.43999576568603516,0.0046482086181640625,5.82259417546481e-16,68.0,324.0,50.0,28.0,0.8588179590017825,0.5342660479736018,6.0,34.0,7.0,5.0,0.7139689578713969,0.35342271108757395,
kc2,GaussianNB,IQR Capping,7.0,0.078125,0.015625,0.44022655487060547,0.0046482086181640625,2.932167252550976e-17,67.0,319.0,55.0,29.0,0.8369819518716578,0.5065722758321942,10.0,34.0,7.0,1.0,0.9157427937915743,0.6428319881791551,
kc2,GaussianNB,IQR Capping,8.0,0.078125,0.03125,0.44022274017333984,0.0046482086181640625,6.398518007221167e-17,67.0,319.0,55.0,29.0,0.8374972147950089,0.5065722758321942,10.0,37.0,4.0,1.0,0.8891352549889134,0.7472002324141371,
kc2,GaussianNB,IQR Capping,9.0,0.078125,0.03125,0.44031810760498047,0.0046482086181640625,1.3366812311961281e-17,70.0,317.0,57.0,26.0,0.8431094028520499,0.5236219192526205,7.0,35.0,6.0,4.0,0.8702882483370288,0.4621681606529813,
kc2,GaussianNB,IQR Capping,10.0,0.078125,0.015625,0.44013500213623047,0.0046482086181640625,7.615647238669234e-17,72.0,319.0,55.0,24.0,0.8587901069518717,0.5473907334354224,4.0,37.0,4.0,7.0,0.6929046563192904,0.30117688929503605,
kc2,GaussianNB,IQR Removal,1.0,0.0625,0.0,0.3742780685424804,0.0039319992065429,4.710146905924469e-25,72.0,309.0,64.0,24.0,0.8423117739052727,0.5143283151640361,7.0,35.0,7.0,4.0,0.8311688311688311,0.4320583718369969,
kc2,GaussianNB,IQR Removal,2.0,0.046875,0.0,0.3825492858886719,0.0039701461791992,1.8011438055446612e-26,63.0,323.0,50.0,33.0,0.8448810321715817,0.4926790875810362,8.0,32.0,10.0,3.0,0.7835497835497836,0.4189065747154862,
kc2,GaussianNB,IQR Removal,3.0,0.046875,0.0,0.3824806213378906,0.0039701461791992,2.20960658779632e-30,69.0,315.0,58.0,28.0,0.8392388270086509,0.5065758274298869,6.0,36.0,6.0,4.0,0.8345238095238096,0.4276179870598789,
kc2,GaussianNB,IQR Removal,4.0,0.0625,0.0,0.3731307983398437,0.0039319992065429,9.812608406405372e-23,64.0,324.0,49.0,33.0,0.8321632901246511,0.5004394756371171,7.0,34.0,8.0,3.0,0.8833333333333333,0.4432437664141893,
kc2,GaussianNB,IQR Removal,5.0,0.046875,0.0,0.3825693130493164,0.0039701461791992,1.474064247796032e-28,72.0,299.0,74.0,25.0,0.8280312871396589,0.4756546428097031,9.0,33.0,9.0,1.0,0.9285714285714286,0.568057281997381,
kc2,GaussianNB,IQR Removal,6.0,0.0625,0.0,0.38299560546875,0.0039701461791992,2.5306253053436027e-27,67.0,319.0,55.0,29.0,0.8529411764705883,0.5065722758321942,6.0,34.0,7.0,5.0,0.6917960088691796,0.3534227110875739,
kc2,GaussianNB,IQR Removal,7.0,0.046875,0.0,0.3829107284545898,0.0039701461791992,1.2846876693378968e-27,66.0,318.0,56.0,30.0,0.8291276737967915,0.4945342047612502,8.0,33.0,8.0,3.0,0.8847006651884701,0.4708816093480111,
kc2,GaussianNB,IQR Removal,8.0,0.0625,0.0,0.3831872940063476,0.0039701461791992,2.0804400073861918e-28,68.0,310.0,64.0,28.0,0.8261335784313726,0.4819150218864671,10.0,37.0,4.0,1.0,0.9201773835920176,0.7472002324141371,
kc2,GaussianNB,IQR Removal,9.0,0.046875,0.0,0.3831853866577148,0.0039701461791992,0.3746847757784498,36.0,367.0,7.0,60.0,0.8358678698752227,0.4982173734165259,2.0,39.0,2.0,9.0,0.8592017738359202,0.2038977179351388,
kc2,GaussianNB,IQR Removal,10.0,0.0625,0.0,0.3827228546142578,0.0039701461791992,7.871517746419225e-24,70.0,317.0,57.0,26.0,0.8561859402852051,0.5236219192526205,4.0,38.0,3.0,7.0,0.6995565410199557,0.3475583668361243,
kc2,GaussianNB,PCA,1.0,0.015625,0.0,0.3350191116333008,0.0045061111450195,3.2183003354345328e-12,68.0,300.0,73.0,28.0,0.7892230786416443,0.4510675017368285,7.0,35.0,7.0,4.0,0.8235930735930737,0.4320583718369969,
kc2,GaussianNB,PCA,2.0,0.1875,0.09375,0.3350191116333008,0.0047502517700195,5.844723329062893e-15,63.0,309.0,64.0,33.0,0.7921553842716711,0.4400678809773174,8.0,28.0,14.0,3.0,0.7380952380952381,0.3242337452360703,
kc2,GaussianNB,PCA,3.0,0.09375,0.0,0.335728645324707,0.0047502517700195,1.780007463163553e-17,64.0,305.0,68.0,33.0,0.783104391807855,0.4299892485291495,7.0,34.0,8.0,3.0,0.8488095238095239,0.4432437664141893,
kc2,GaussianNB,PCA,4.0,0.09375,0.0,0.3356809616088867,0.0047121047973632,2.1944804074669368e-12,65.0,306.0,67.0,32.0,0.7859926480749565,0.4416872658253233,7.0,30.0,12.0,3.0,0.8047619047619048,0.3390711448723272,
kc2,GaussianNB,PCA,5.0,0.1875,0.046875,0.335728645324707,0.0047502517700195,8.034610240458866e-15,60.0,306.0,67.0,37.0,0.7726016417456676,0.4000263893100311,9.0,35.0,7.0,1.0,0.8738095238095237,0.6262025468086421,
kc2,GaussianNB,PCA,6.0,0.09375,0.0,0.3356809616088867,0.0047502517700195,4.299322157757281e-15,64.0,306.0,68.0,32.0,0.8085032308377896,0.4349427986830993,6.0,33.0,8.0,5.0,0.5942350332594235,0.3225618489656657,
