Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
mozilla4,GaussianNB,Baseline,1.0,0.015625,0.0,1.018641471862793,0.002410888671875,0.2626808845876425,4633.0,2371.0,587.0,1409.0,0.8301163883467071,0.5409129147458397,523.0,267.0,61.0,149.0,0.8472388574332171,0.5641685626513395,
mozilla4,GaussianNB,Baseline,2.0,0.015625,0.0,1.016667366027832,0.002410888671875,0.2714781553991652,4583.0,2411.0,547.0,1459.0,0.832130378090352,0.5442337872136576,520.0,257.0,71.0,152.0,0.832621043844367,0.5322199350212027,
mozilla4,GaussianNB,Baseline,3.0,0.015625,0.015625,1.0159940719604492,0.002410888671875,0.2367404698775135,4644.0,2382.0,576.0,1398.0,0.8329251583293775,0.5461847835987992,519.0,265.0,63.0,153.0,0.8254323642566783,0.5523136420546857,
mozilla4,GaussianNB,Baseline,4.0,0.015625,0.0,1.0168046951293943,0.002410888671875,0.2191088338872917,4856.0,2234.0,724.0,1186.0,0.8304456420562039,0.5409165132364173,540.0,242.0,86.0,132.0,0.835665287456446,0.5252884305471428,
mozilla4,GaussianNB,Baseline,5.0,0.015625,0.0,1.015965461730957,0.002410888671875,0.2469133173493734,4653.0,2390.0,567.0,1390.0,0.8344597905071147,0.5502676536038984,518.0,249.0,80.0,153.0,0.8131673000874258,0.506762303631987,
mozilla4,GaussianNB,Baseline,6.0,0.0,0.015625,1.0165166854858398,0.002410888671875,0.2229694655186742,4875.0,2252.0,705.0,1168.0,0.8345691129925534,0.5499210978923208,515.0,243.0,86.0,156.0,0.8097042476184436,0.4856048536008397,
mozilla4,GaussianNB,Baseline,7.0,0.015625,0.0,1.0164690017700195,0.002410888671875,0.2505160535125081,4696.0,2343.0,614.0,1347.0,0.8319226806018932,0.5438142846348651,512.0,269.0,60.0,159.0,0.8345571414981949,0.551401906957652,
mozilla4,GaussianNB,Baseline,8.0,0.015625,0.0,1.0164194107055664,0.002410888671875,0.2793111976559037,4516.0,2433.0,524.0,1527.0,0.8298386140449537,0.5394403425433628,518.0,273.0,56.0,153.0,0.8561644145878538,0.5717794301623028,
mozilla4,GaussianNB,Baseline,9.0,0.015625,0.0,1.0162057876586914,0.002410888671875,0.2599266273925589,4637.0,2374.0,583.0,1406.0,0.8315261032826909,0.5425988188237802,502.0,268.0,61.0,169.0,0.8300839376877046,0.5330425433539157,
mozilla4,GaussianNB,Baseline,10.0,0.015625,0.0,1.0160455703735352,0.002410888671875,0.2960591679752713,4420.0,2517.0,440.0,1623.0,0.8331385190040645,0.5490640588657876,482.0,273.0,56.0,189.0,0.8350826013888448,0.5165605240718406,
mozilla4,GaussianNB,IQR Capping,1.0,0.046875,0.015625,1.5374279022216797,0.0029268264770507812,0.33825733513992434,4803.0,2271.0,687.0,1239.0,0.8302125710515461,0.541893856411277,551.0,256.0,72.0,121.0,0.8449658826945412,0.5816583941046412,
mozilla4,GaussianNB,IQR Capping,2.0,0.046875,0.015625,1.5345525741577148,0.0029268264770507812,0.3374852253555296,4818.0,2286.0,672.0,1224.0,0.8326566972369881,0.5491683806073152,539.0,242.0,86.0,133.0,0.8298263283972125,0.5235639800372176,
mozilla4,GaussianNB,IQR Capping,3.0,0.03125,0.0,1.5346908569335938,0.0029268264770507812,0.3566104029529184,4707.0,2355.0,603.0,1335.0,0.8339130593396371,0.5493414642964456,528.0,260.0,68.0,144.0,0.8215056983159117,0.5533933515845498,
mozilla4,GaussianNB,IQR Capping,4.0,0.03125,0.015625,1.5345077514648438,0.0029268264770507812,0.3500273927108731,4745.0,2303.0,655.0,1297.0,0.8303393598875932,0.5406863392358722,543.0,256.0,72.0,129.0,0.8408963051684089,0.567828856251851,
mozilla4,GaussianNB,IQR Capping,5.0,0.03125,0.015625,1.5346908569335938,0.0029268264770507812,0.3578330730025345,4713.0,2360.0,597.0,1330.0,0.8344608537921023,0.5519910027820863,520.0,254.0,75.0,151.0,0.8119714258535325,0.5235521154494546,
mozilla4,GaussianNB,IQR Capping,6.0,0.03125,0.015625,1.5345563888549805,0.0029268264770507812,0.3518412155775716,4771.0,2328.0,629.0,1272.0,0.8348509114954593,0.5529982527422003,507.0,257.0,72.0,164.0,0.8091493438546107,0.5107940454518851,
mozilla4,GaussianNB,IQR Capping,7.0,0.03125,0.0,1.5345993041992188,0.0029268264770507812,0.35498473955215765,4762.0,2319.0,638.0,1281.0,0.8318569248197634,0.5486523007035347,519.0,264.0,65.0,152.0,0.8367133389805173,0.5489796493170347,
mozilla4,GaussianNB,IQR Capping,8.0,0.03125,0.0,1.5346431732177734,0.0029268264770507812,0.3502021196141066,4749.0,2306.0,651.0,1294.0,0.8299539804661117,0.5423748144254622,545.0,265.0,64.0,126.0,0.8565720989857719,0.5947493052353159,
mozilla4,GaussianNB,IQR Capping,9.0,0.03125,0.0,1.5345516204833984,0.0029268264770507812,0.3392922525262132,4811.0,2278.0,679.0,1232.0,0.8313138660029231,0.5455248566725995,525.0,254.0,75.0,146.0,0.8351414891352107,0.5317611290758176,
mozilla4,GaussianNB,IQR Capping,10.0,0.03125,0.0,1.5346441268920898,0.0029268264770507812,0.3518432120499089,4768.0,2325.0,632.0,1275.0,0.8330423196938679,0.551549602062645,520.0,259.0,70.0,151.0,0.8355491735331287,0.5370684398714196,
mozilla4,GaussianNB,IQR Removal,1.0,0.03125,0.015625,1.6678285598754885,0.0026226043701171,0.3728529153068151,4810.0,2278.0,680.0,1232.0,0.8282172415359779,0.5452886343694282,552.0,253.0,75.0,120.0,0.8407624673344948,0.575465925853748,
mozilla4,GaussianNB,IQR Removal,2.0,0.03125,0.0,1.6647424697875977,0.0026226043701171,0.3589631876127946,4881.0,2259.0,699.0,1161.0,0.8308687564331626,0.5530997566243866,545.0,247.0,81.0,127.0,0.8330475101626016,0.5472987060293072,
mozilla4,GaussianNB,IQR Removal,3.0,0.03125,0.0,1.666111946105957,0.0026226043701171,0.3692532416793225,4821.0,2289.0,669.0,1221.0,0.8325293488738623,0.5506232854465228,537.0,249.0,79.0,135.0,0.8151518038617885,0.5388861631980476,
mozilla4,GaussianNB,IQR Removal,4.0,0.046875,0.0,1.6669025421142578,0.0026226043701171,0.3714491505978649,4801.0,2269.0,689.0,1241.0,0.8281541268814937,0.5409239198518052,547.0,250.0,78.0,125.0,0.8392199295876888,0.5587615585271145,
mozilla4,GaussianNB,IQR Removal,5.0,0.03125,0.0,1.6661949157714844,0.0026226043701171,0.3560272091808876,4884.0,2261.0,696.0,1159.0,0.8327462787683646,0.5543074441009378,538.0,243.0,86.0,133.0,0.8086782418836831,0.5241800110362347,
mozilla4,GaussianNB,IQR Removal,6.0,0.03125,0.0,1.6692209243774414,0.0026226043701171,0.3751677221049087,4833.0,2300.0,657.0,1210.0,0.8333513718698778,0.5561950797820326,512.0,250.0,79.0,159.0,0.8078674029144904,0.4997329117957924,
mozilla4,GaussianNB,IQR Removal,7.0,0.03125,0.0,1.6686944961547852,0.0026226043701171,0.3754218259177318,4818.0,2285.0,672.0,1225.0,0.8297170917633411,0.5489199276619646,526.0,262.0,67.0,145.0,0.8360497193772394,0.5549517157428471,
mozilla4,GaussianNB,IQR Removal,8.0,0.03125,0.0,1.6697998046875,0.0026226043701171,0.3707106122129747,4805.0,2272.0,685.0,1238.0,0.827526165065145,0.5426147958245723,550.0,264.0,65.0,121.0,0.8585516332289964,0.6006951149608216,
