Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
nomao,GaussianNB,Baseline,1.0,0.109375,0.015625,37.49189281463623,0.0148591995239257,1.0,5570.0,2149.0,422.0,859.0,0.8656029396648633,0.6724942550229664,632.0,234.0,51.0,83.0,0.8593399582873268,0.6839200134613402,
nomao,GaussianNB,Baseline,2.0,0.109375,0.015625,36.82291507720947,0.014723777770996,1.0,5794.0,1927.0,644.0,635.0,0.8318303046186999,0.6514287930385195,630.0,209.0,76.0,85.0,0.8060336155072997,0.608818090882767,
nomao,GaussianNB,Baseline,3.0,0.109375,0.015625,37.65715026855469,0.014897346496582,0.999999999999876,5691.0,2052.0,519.0,738.0,0.8564112839774121,0.6674398328317083,624.0,233.0,52.0,91.0,0.8661685682738315,0.6658084599111139,
nomao,GaussianNB,Baseline,4.0,0.109375,0.015625,37.65658473968506,0.014897346496582,1.0,5693.0,2055.0,516.0,736.0,0.8513816871346829,0.668817406325366,626.0,225.0,60.0,89.0,0.8369377990430621,0.6467985125541634,
nomao,GaussianNB,Baseline,5.0,0.109375,0.015625,37.49452304840088,0.0148591995239257,1.0,5558.0,2171.0,399.0,872.0,0.8688193112295841,0.6770719614561179,610.0,240.0,46.0,104.0,0.8668684256919551,0.6597039128397522,
nomao,GaussianNB,Baseline,6.0,0.109375,0.015625,37.66072368621826,0.014897346496582,1.0,5666.0,2057.0,513.0,764.0,0.8498477165039848,0.663624715372212,638.0,241.0,45.0,76.0,0.8795469236645708,0.7149845593469649,
nomao,GaussianNB,Baseline,7.0,0.109375,0.015625,37.6608829498291,0.014897346496582,1.0,5674.0,2075.0,495.0,756.0,0.8548540402176084,0.6710114923133894,628.0,231.0,55.0,86.0,0.8537712287712287,0.6674260871478559,
nomao,GaussianNB,Baseline,8.0,0.109375,0.015625,37.66049957275391,0.014897346496582,1.0,5688.0,2042.0,528.0,742.0,0.8481973482762586,0.6636688591224377,633.0,235.0,51.0,81.0,0.8640330257977317,0.6883933311562663,
nomao,GaussianNB,Baseline,9.0,0.109375,0.015625,37.659790992736816,0.014897346496582,1.0,5677.0,2059.0,511.0,753.0,0.8519007751844165,0.6666278249741803,633.0,224.0,62.0,81.0,0.8434237331296155,0.6573798720098251,
nomao,GaussianNB,Baseline,10.0,0.109375,0.015625,37.32639980316162,0.0148210525512695,1.0,5777.0,1922.0,648.0,653.0,0.8291880835819452,0.6459281143230893,656.0,207.0,79.0,58.0,0.8237497796321326,0.657912604044391,
nomao,GaussianNB,IQR Capping,1.0,0.296875,0.046875,38.69641876220703,0.016488075256347656,1.0,5485.0,2237.0,334.0,944.0,0.8805833446619356,0.6834520727839376,622.0,246.0,39.0,93.0,0.8792319960741013,0.6990865741935133,
nomao,GaussianNB,IQR Capping,2.0,0.28125,0.046875,38.136518478393555,0.01635265350341797,1.0,5712.0,2032.0,539.0,717.0,0.8497325512151128,0.6657641585299918,618.0,219.0,66.0,97.0,0.8205226352594772,0.614385026595347,
nomao,GaussianNB,IQR Capping,3.0,0.296875,0.046875,38.822510719299316,0.016526222229003906,1.0,5538.0,2196.0,375.0,891.0,0.8730391611474142,0.680912727419866,614.0,250.0,35.0,101.0,0.889711691816955,0.6960469813072004,
nomao,GaussianNB,IQR Capping,4.0,0.265625,0.046875,38.822282791137695,0.016526222229003906,1.0,5585.0,2151.0,420.0,844.0,0.8672364363660168,0.6762047709910279,617.0,230.0,55.0,98.0,0.8456066740277266,0.6441681832135042,
nomao,GaussianNB,IQR Capping,5.0,0.28125,0.046875,38.68528652191162,0.016488075256347656,0.999999999999962,5508.0,2228.0,342.0,922.0,0.8810432312058627,0.6851707429047216,610.0,248.0,38.0,104.0,0.8833617363029127,0.6826440923301192,
nomao,GaussianNB,IQR Capping,6.0,0.28125,0.046875,38.822930335998535,0.016526222229003906,1.0,5574.0,2159.0,411.0,856.0,0.8671819232561376,0.6765285785856547,622.0,252.0,34.0,92.0,0.8948992184286302,0.7156047076233714,
nomao,GaussianNB,IQR Capping,7.0,0.28125,0.046875,38.822651863098145,0.016526222229003906,1.0,5563.0,2184.0,386.0,867.0,0.8730359271653425,0.6822067568140536,621.0,237.0,49.0,93.0,0.86500999000999,0.671203076391136,
nomao,GaussianNB,IQR Capping,8.0,0.28125,0.046875,38.822553634643555,0.016526222229003906,1.0,5598.0,2133.0,437.0,832.0,0.8635676637357717,0.6732418789833731,614.0,244.0,42.0,100.0,0.8753844195020666,0.6783375111009585,
nomao,GaussianNB,IQR Capping,9.0,0.28125,0.046875,38.822747230529785,0.016526222229003906,1.0,5578.0,2152.0,418.0,852.0,0.867495567349063,0.6751310742103263,625.0,238.0,48.0,89.0,0.864010989010989,0.6815350414523966,
nomao,GaussianNB,IQR Capping,10.0,0.28125,0.046875,38.54793453216553,0.016449928283691406,1.0,5688.0,2018.0,552.0,742.0,0.8453542792479319,0.6561175527196375,651.0,221.0,65.0,63.0,0.8457963605022428,0.6859379076955588,
nomao,GaussianNB,IQR Removal,1.0,0.359375,0.015625,37.539262771606445,0.015228271484375,1.0,5570.0,2149.0,422.0,859.0,0.8656029396648633,0.6724942550229664,632.0,234.0,51.0,83.0,0.8593399582873268,0.6839200134613402,
nomao,GaussianNB,IQR Removal,2.0,0.359375,0.015625,36.87049674987793,0.0150928497314453,1.0,5794.0,1927.0,644.0,635.0,0.8318303046186999,0.6514287930385195,630.0,209.0,76.0,85.0,0.8060336155072997,0.608818090882767,
nomao,GaussianNB,IQR Removal,3.0,0.34375,0.015625,37.70407581329346,0.0152664184570312,0.999999999999876,5691.0,2052.0,519.0,738.0,0.8564112839774121,0.6674398328317083,624.0,233.0,52.0,91.0,0.8661685682738315,0.6658084599111139,
nomao,GaussianNB,IQR Removal,4.0,0.375,0.015625,37.70468425750733,0.0152664184570312,1.0,5693.0,2055.0,516.0,736.0,0.8513816871346829,0.668817406325366,626.0,225.0,60.0,89.0,0.8369377990430621,0.6467985125541634,
nomao,GaussianNB,IQR Removal,5.0,0.359375,0.015625,37.54108619689941,0.015228271484375,1.0,5558.0,2171.0,399.0,872.0,0.8688193112295841,0.6770719614561179,610.0,240.0,46.0,104.0,0.8668684256919551,0.6597039128397522,
nomao,GaussianNB,IQR Removal,6.0,0.359375,0.015625,37.70764446258545,0.0152664184570312,1.0,5666.0,2057.0,513.0,764.0,0.8498477165039848,0.663624715372212,638.0,241.0,45.0,76.0,0.8795469236645708,0.7149845593469649,
nomao,GaussianNB,IQR Removal,7.0,0.34375,0.015625,37.70811080932617,0.0152664184570312,1.0,5674.0,2075.0,495.0,756.0,0.8548540402176084,0.6710114923133894,628.0,231.0,55.0,86.0,0.8537712287712287,0.6674260871478559,
nomao,GaussianNB,IQR Removal,8.0,0.375,0.015625,37.70799350738525,0.0152664184570312,1.0,5688.0,2042.0,528.0,742.0,0.8481973482762586,0.6636688591224377,633.0,235.0,51.0,81.0,0.8640330257977317,0.6883933311562663,
nomao,GaussianNB,IQR Removal,9.0,0.34375,0.015625,37.707701683044434,0.0152664184570312,1.0,5677.0,2059.0,511.0,753.0,0.8519007751844165,0.6666278249741803,633.0,224.0,62.0,81.0,0.8434237331296155,0.6573798720098251,
nomao,GaussianNB,IQR Removal,10.0,0.359375,0.015625,37.37331485748291,0.0151901245117187,1.0,5777.0,1922.0,648.0,653.0,0.8291880835819452,0.6459281143230893,656.0,207.0,79.0,58.0,0.8237497796321326,0.657912604044391,
nomao,GaussianNB,PCA,1.0,0.765625,0.09375,31.213010787963867,0.024275779724121,0.9999999999967772,5188.0,2269.0,302.0,1241.0,0.8766011217040346,0.638586986922183,591.0,248.0,37.0,124.0,0.8685584590847748,0.6507294007364192,
nomao,GaussianNB,PCA,2.0,0.65625,0.09375,30.749945640563965,0.0241403579711914,0.9999999999999858,5404.0,2116.0,455.0,1025.0,0.8506955882702595,0.6288952805399738,592.0,219.0,66.0,123.0,0.8056434793276899,0.5675211447720687,
nomao,GaussianNB,PCA,3.0,0.828125,0.09375,31.281700134277344,0.0243139266967773,0.9999999999995342,5172.0,2253.0,318.0,1257.0,0.87331519183997,0.6305183530246737,587.0,260.0,25.0,128.0,0.9015458225984544,0.6792688628009766,
nomao,GaussianNB,PCA,4.0,0.75,0.109375,31.28318214416504,0.0243139266967773,1.0,5185.0,2281.0,290.0,1244.0,0.8738254478095082,0.641986781429718,560.0,241.0,44.0,155.0,0.8384860753281806,0.5804211194507721,
nomao,GaussianNB,PCA,5.0,0.75,0.09375,31.21316719055176,0.024275779724121,0.9999999999927414,5194.0,2274.0,296.0,1236.0,0.8757290122298806,0.6413799835177706,575.0,253.0,33.0,139.0,0.8754627725215961,0.6386266804468675,
nomao,GaussianNB,PCA,6.0,0.84375,0.09375,31.282320976257324,0.0243139266967773,0.9999999999999432,5184.0,2255.0,315.0,1246.0,0.8692657230516003,0.6333878025899848,588.0,262.0,24.0,126.0,0.9004426945603416,0.685875479996315,
nomao,GaussianNB,PCA,7.0,0.75,0.09375,31.28159809112549,0.0243139266967773,0.999999999999858,5204.0,2276.0,294.0,1226.0,0.8756506163351507,0.6438065674669073,569.0,247.0,39.0,145.0,0.8631491057961646,0.6114294735684875,
nomao,GaussianNB,PCA,8.0,0.84375,0.09375,31.28150177001953,0.0243139266967773,0.999999999999996,5179.0,2259.0,311.0,1251.0,0.8678157166976297,0.6338147560641522,572.0,258.0,28.0,142.0,0.8832784862196625,0.6486593709972199,
nomao,GaussianNB,PCA,9.0,0.734375,0.09375,31.282564163208008,0.0243139266967773,0.9999999999999716,5202.0,2259.0,311.0,1228.0,0.8728923576861864,0.6378901706621015,576.0,250.0,36.0,138.0,0.8657763804822628,0.6313803679673691,
nomao,GaussianNB,PCA,10.0,0.65625,0.09375,31.14506149291992,0.0242376327514648,1.0,5312.0,2160.0,410.0,1118.0,0.8547513176924799,0.6256844221632223,599.0,232.0,54.0,115.0,0.8437444908033143,0.6171734722300936,
nomao,GaussianNB,Quantile Binning,1.0,0.15625,0.03125,37.50156307220459,0.0201311111450195,0.9999999999999858,5471.0,2190.0,381.0,958.0,0.875274419883309,0.6657063903210875,624.0,240.0,45.0,91.0,0.8717237148816096,0.6857293000071552,
nomao,GaussianNB,Quantile Binning,2.0,0.15625,0.015625,36.83459949493408,0.0199956893920898,1.0,5699.0,2025.0,546.0,730.0,0.8510925582185787,0.6607075768756099,626.0,219.0,66.0,89.0,0.8289755858176912,0.6296456060986382,
nomao,GaussianNB,Quantile Binning,3.0,0.15625,0.015625,37.67058849334717,0.0201692581176757,1.0,5529.0,2129.0,442.0,900.0,0.8641350008793658,0.6578031602101035,615.0,244.0,41.0,100.0,0.8849687154950313,0.6806553505657342,
nomao,GaussianNB,Quantile Binning,4.0,0.140625,0.03125,37.670607566833496,0.0201692581176757,1.0,5608.0,2105.0,466.0,821.0,0.8633058803037746,0.666429951740692,613.0,222.0,63.0,102.0,0.8325211630474789,0.6137404017636501,
nomao,GaussianNB,Quantile Binning,5.0,0.15625,0.015625,37.50830554962158,0.0201311111450195,0.9999999999999932,5474.0,2194.0,376.0,956.0,0.8755621751154304,0.6676353230637276,599.0,242.0,44.0,115.0,0.8727008285831815,0.646159581860612,
nomao,GaussianNB,Quantile Binning,6.0,0.140625,0.03125,37.67263698577881,0.0201692581176757,1.0,5574.0,2100.0,470.0,856.0,0.8602246279901484,0.6578249033658704,625.0,245.0,41.0,89.0,0.8872891814068284,0.7013406267210844,
nomao,GaussianNB,Quantile Binning,7.0,0.140625,0.015625,37.67506313323975,0.0201692581176757,0.9999999999999716,5596.0,2104.0,466.0,834.0,0.8641327132664856,0.6636515217934604,620.0,233.0,53.0,94.0,0.8627230612524731,0.6579489231003847,
nomao,GaussianNB,Quantile Binning,8.0,0.140625,0.015625,37.67444896697998,0.0201692581176757,1.0,5595.0,2088.0,482.0,835.0,0.8587927153239618,0.6583756960399525,621.0,239.0,47.0,93.0,0.8736533074768369,0.6768895934258582,
nomao,GaussianNB,Quantile Binning,9.0,0.15625,0.015625,37.67458248138428,0.0201692581176757,1.0,5602.0,2100.0,470.0,828.0,0.8619701242352542,0.6636352814347085,620.0,234.0,52.0,94.0,0.8575444163679458,0.6607992641042092,
nomao,GaussianNB,Quantile Binning,10.0,0.15625,0.015625,37.33984088897705,0.0200929641723632,1.0,5670.0,2030.0,540.0,760.0,0.850671977779257,0.6559810461354705,640.0,214.0,72.0,74.0,0.8339185324479442,0.6432697319161823,
