Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
pc4,GaussianNB,Baseline,1.0,0.015625,0.0,1.4279279708862305,0.005049705505371,0.4556694471268542,118.0,942.0,210.0,42.0,0.8619927300347222,0.4195731958391368,10.0,111.0,17.0,8.0,0.769314236111111,0.3579829616668848,
pc4,GaussianNB,Baseline,2.0,0.015625,0.0,1.425980567932129,0.005049705505371,0.000971954244839,98.0,1014.0,138.0,62.0,0.8601508246527778,0.4197725170121156,11.0,110.0,18.0,7.0,0.8641493055555556,0.3877002803090774,
pc4,GaussianNB,Baseline,3.0,0.015625,0.0,1.425501823425293,0.005049705505371,0.1672351444608972,89.0,1057.0,95.0,71.0,0.8673611111111112,0.4464818631344315,6.0,115.0,13.0,12.0,0.8177083333333334,0.226475568603926,
pc4,GaussianNB,Baseline,4.0,0.015625,0.015625,1.4259281158447266,0.005049705505371,6.756010115805772e-05,135.0,893.0,259.0,25.0,0.8672553168402777,0.4418286054615066,13.0,94.0,34.0,5.0,0.8400607638888888,0.3212979659614491,
pc4,GaussianNB,Baseline,5.0,0.015625,0.0,1.4258928298950195,0.005049705505371,0.1018628950333405,90.0,1045.0,107.0,70.0,0.8655924479166667,0.4301901578541084,14.0,112.0,16.0,4.0,0.9173177083333334,0.5311497445029681,
pc4,GaussianNB,Baseline,6.0,0.0,0.0,1.4258441925048828,0.005049705505371,2.632214809534636e-05,121.0,919.0,233.0,39.0,0.8548719618055556,0.4084192148439536,12.0,106.0,22.0,6.0,0.834201388888889,0.3848709608590976,
pc4,GaussianNB,Baseline,7.0,0.015625,0.0,1.4260244369506836,0.005049705505371,4.217334773227096e-05,126.0,910.0,242.0,34.0,0.8593560112847223,0.4206066025734591,16.0,102.0,26.0,2.0,0.9099392361111112,0.498051823758702,
pc4,GaussianNB,Baseline,8.0,0.015625,0.0,1.3986082077026367,0.0050115585327148,0.6023055758599296,122.0,946.0,206.0,38.0,0.8669731987847221,0.4410897699847336,9.0,106.0,22.0,9.0,0.7860243055555556,0.2637854221675387,
pc4,GaussianNB,Baseline,9.0,0.015625,0.0,1.4263029098510742,0.005049705505371,0.0003145396415858,120.0,943.0,209.0,41.0,0.8665378062456868,0.4268346222984556,14.0,101.0,27.0,3.0,0.8517922794117647,0.4376149054097243,
pc4,GaussianNB,Baseline,10.0,0.015625,0.015625,1.4259920120239258,0.005049705505371,0.0002594004783884,130.0,901.0,251.0,31.0,0.8624967650103519,0.4260937796525301,13.0,104.0,24.0,4.0,0.8809742647058824,0.425939046261262,
pc4,GaussianNB,IQR Capping,1.0,0.125,0.03125,1.8481130599975586,0.006295204162597656,0.00307539874416175,141.0,768.0,384.0,19.0,0.8357855902777778,0.36596008863074647,11.0,88.0,40.0,7.0,0.7276475694444444,0.205920844273183,
pc4,GaussianNB,IQR Capping,2.0,0.109375,0.03125,1.843815803527832,0.006295204162597656,2.7957319747997446e-07,128.0,834.0,318.0,32.0,0.8333577473958333,0.361956689561788,14.0,95.0,33.0,4.0,0.8268229166666667,0.365888748309711,
pc4,GaussianNB,IQR Capping,3.0,0.125,0.03125,1.843815803527832,0.006295204162597656,0.47820616788779813,109.0,933.0,219.0,51.0,0.8361436631944446,0.3711609040115441,9.0,101.0,27.0,9.0,0.7899305555555556,0.22048822376304322,
pc4,GaussianNB,IQR Capping,4.0,0.125,0.03125,1.843907356262207,0.006295204162597656,2.4174942103907237e-06,143.0,757.0,395.0,17.0,0.8363905164930555,0.3664984998884311,15.0,78.0,50.0,3.0,0.8094618055555555,0.2928597900022978,
pc4,GaussianNB,IQR Capping,5.0,0.140625,0.03125,1.843907356262207,0.006295204162597656,2.855416099727415e-06,143.0,744.0,408.0,17.0,0.8298421223958333,0.35774751832573143,18.0,74.0,54.0,0.0,0.8951822916666666,0.3801726581436387,
pc4,GaussianNB,IQR Capping,6.0,0.125,0.03125,1.8439512252807617,0.006295204162597656,0.4978885137465231,108.0,932.0,220.0,52.0,0.8340549045138889,0.36578176047514493,10.0,105.0,23.0,8.0,0.8185763888888888,0.2954475976336054,
pc4,GaussianNB,IQR Capping,7.0,0.140625,0.015625,1.8439512252807617,0.006295204162597656,0.7156128809205449,105.0,942.0,210.0,55.0,0.8352891710069443,0.363097733864392,12.0,108.0,20.0,6.0,0.8719618055555556,0.4056380343511697,
pc4,GaussianNB,IQR Capping,8.0,0.125,0.03125,1.843998908996582,0.006257057189941406,0.21393524094419372,135.0,815.0,337.0,25.0,0.8375840928819445,0.3758346650799286,10.0,95.0,33.0,8.0,0.755859375,0.21474845014929514,
pc4,GaussianNB,IQR Capping,9.0,0.125,0.03125,1.8453826904296875,0.006295204162597656,1.4411129144544718e-06,144.0,758.0,394.0,17.0,0.836150470151829,0.3684238631696009,16.0,71.0,57.0,1.0,0.8168658088235293,0.31905409339174406,
pc4,GaussianNB,IQR Capping,10.0,0.109375,0.03125,1.8451519012451172,0.006295204162597656,9.957280267822471e-05,131.0,823.0,329.0,30.0,0.831333031400966,0.3630619980328886,14.0,92.0,36.0,3.0,0.8598345588235294,0.3670335438226616,
pc4,GaussianNB,IQR Removal,1.0,0.09375,0.0,1.460688591003418,0.0052671432495117,0.4556694471268542,118.0,942.0,210.0,42.0,0.8619927300347222,0.4195731958391368,10.0,111.0,17.0,8.0,0.769314236111111,0.3579829616668848,
