Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
phoneme,GaussianNB,Baseline,1.0,0.0,0.0,0.5411958694458008,0.0018682479858398,0.5408812596550208,1000.0,2782.0,654.0,427.0,0.8187528399982706,0.4905970207489332,109.0,301.0,81.0,50.0,0.812950706312358,0.4518696559583023,
phoneme,GaussianNB,Baseline,2.0,0.015625,0.0,0.5395994186401367,0.0018682479858398,0.5321381427150194,1004.0,2738.0,698.0,423.0,0.8160890541877788,0.4777388051071748,119.0,315.0,67.0,40.0,0.8339754354769666,0.5495924346261812,
phoneme,GaussianNB,Baseline,3.0,0.015625,0.0,0.5392484664916992,0.0018682479858398,0.5657978770167784,975.0,2806.0,630.0,452.0,0.817365166875647,0.4840694062946871,104.0,312.0,70.0,55.0,0.8259409266027857,0.4591956464472054,
phoneme,GaussianNB,Baseline,4.0,0.015625,0.0,0.5395116806030273,0.0018682479858398,0.5456188887793882,996.0,2778.0,658.0,431.0,0.8182959928797113,0.4867839656087676,107.0,309.0,73.0,52.0,0.8149264052158451,0.4658628834800744,
phoneme,GaussianNB,Baseline,5.0,0.015625,0.0,0.5395898818969727,0.0018682479858398,0.594520296468543,966.0,2845.0,591.0,462.0,0.8220781036512393,0.4924511138792543,96.0,313.0,69.0,62.0,0.7871462654914176,0.4216931900738789,
phoneme,GaussianNB,Baseline,6.0,0.0,0.015625,0.539637565612793,0.0018682479858398,0.537080432023143,1004.0,2737.0,699.0,424.0,0.8169668332990939,0.4770175959332385,116.0,309.0,73.0,42.0,0.8242925309828352,0.5180095490382695,
phoneme,GaussianNB,Baseline,7.0,0.015625,0.0,0.5394620895385742,0.0018682479858398,0.5908625955445215,954.0,2833.0,603.0,474.0,0.8165690024554642,0.4808386940880657,109.0,313.0,69.0,49.0,0.8276393399164954,0.4928591641397389,
phoneme,GaussianNB,Baseline,8.0,0.015625,0.0,0.5393304824829102,0.0018682479858398,0.5345144115643969,1015.0,2748.0,688.0,413.0,0.8205269302132959,0.4874282016396228,104.0,302.0,80.0,54.0,0.7954967194645106,0.430807053557147,
phoneme,GaussianNB,Baseline,9.0,0.015625,0.0,0.5396261215209961,0.0018682479858398,0.5833890630634679,965.0,2845.0,592.0,462.0,0.8201041512262266,0.4918938929665297,102.0,301.0,80.0,57.0,0.8029680252232623,0.4161027183596062,
phoneme,GaussianNB,Baseline,10.0,0.0,0.015625,0.5395345687866211,0.0018682479858398,0.5368040745731711,999.0,2733.0,704.0,428.0,0.813962364711162,0.4727136514189316,120.0,310.0,71.0,39.0,0.846861123491639,0.5418251866362342,
phoneme,GaussianNB,IQR Capping,1.0,0.03125,0.015625,1.0075187683105469,0.0024089813232421875,0.5242319283397889,1025.0,2759.0,677.0,402.0,0.8245694827756399,0.49762231155090175,113.0,297.0,85.0,46.0,0.8167539267015707,0.4616676524899989,
phoneme,GaussianNB,IQR Capping,2.0,0.03125,0.015625,1.0052871704101562,0.0024089813232421875,0.5284625913516927,1014.0,2748.0,688.0,413.0,0.8223148198757865,0.48720714150894956,121.0,315.0,67.0,38.0,0.8349303566136521,0.5602413172985088,
phoneme,GaussianNB,IQR Capping,3.0,0.046875,0.015625,1.0052871704101562,0.0024089813232421875,0.5327740585886866,1022.0,2756.0,680.0,405.0,0.8223503071073174,0.49478181063036936,116.0,307.0,75.0,43.0,0.838256116434522,0.5082644937135226,
phoneme,GaussianNB,IQR Capping,4.0,0.046875,0.0,1.0051956176757812,0.0024089813232421875,0.5098261469115569,1038.0,2723.0,713.0,389.0,0.8248454265932339,0.4931605609980131,113.0,305.0,77.0,46.0,0.8134775593532878,0.4858710445842548,
phoneme,GaussianNB,IQR Capping,5.0,0.03125,0.015625,1.0054826736450195,0.0024089813232421875,0.5478298437316754,1008.0,2790.0,646.0,420.0,0.8272880164871537,0.497844501573164,99.0,305.0,77.0,59.0,0.7948339850222016,0.4125285217813048,
phoneme,GaussianNB,IQR Capping,6.0,0.03125,0.015625,1.0054349899291992,0.0024089813232421875,0.5317038301950068,1016.0,2749.0,687.0,412.0,0.8225517506187573,0.48837462034020324,118.0,311.0,71.0,40.0,0.8342501159785274,0.5350774089736325,
phoneme,GaussianNB,IQR Capping,7.0,0.046875,0.0,1.0054826736450195,0.0024089813232421875,0.5292772841588866,1017.0,2750.0,686.0,411.0,0.8224608527928052,0.4893210390407836,116.0,308.0,74.0,42.0,0.8325435747895817,0.5148881646272738,
phoneme,GaussianNB,IQR Capping,8.0,0.046875,0.0,1.0054388046264648,0.0024089813232421875,0.5321748615191313,1027.0,2760.0,676.0,401.0,0.8256948588515733,0.49878522604658754,102.0,305.0,77.0,56.0,0.8066472264563589,0.4291034847050505,
phoneme,GaussianNB,IQR Capping,9.0,0.046875,0.0,1.0052967071533203,0.0024089813232421875,0.5247451162046728,1027.0,2761.0,676.0,400.0,0.8260220662280444,0.499218801828901,111.0,299.0,82.0,48.0,0.8092738407699037,0.4592677702375885,
phoneme,GaussianNB,IQR Capping,10.0,0.03125,0.0,1.0054826736450195,0.0024089813232421875,0.5361151996825589,1013.0,2747.0,690.0,414.0,0.8201345308760207,0.4859662266239163,118.0,307.0,74.0,41.0,0.849617854371977,0.5217135729282126,
phoneme,GaussianNB,IQR Removal,1.0,0.03125,0.0,0.6100378036499023,0.002084732055664,0.5408812596550208,1000.0,2782.0,654.0,427.0,0.8187528399982706,0.4905970207489332,109.0,301.0,81.0,50.0,0.812950706312358,0.4518696559583023,
phoneme,GaussianNB,IQR Removal,2.0,0.03125,0.0,0.6092672348022461,0.002084732055664,0.5321381427150194,1004.0,2738.0,698.0,423.0,0.8160890541877788,0.4777388051071748,119.0,315.0,67.0,40.0,0.8339754354769666,0.5495924346261812,
phoneme,GaussianNB,IQR Removal,3.0,0.03125,0.0,0.6093149185180664,0.002084732055664,0.5657978770167784,975.0,2806.0,630.0,452.0,0.817365166875647,0.4840694062946871,104.0,312.0,70.0,55.0,0.8259409266027857,0.4591956464472054,
phoneme,GaussianNB,IQR Removal,4.0,0.015625,0.0,0.6093149185180664,0.002084732055664,0.5456188887793882,996.0,2778.0,658.0,431.0,0.8182959928797113,0.4867839656087676,107.0,309.0,73.0,52.0,0.8149264052158451,0.4658628834800744,
phoneme,GaussianNB,IQR Removal,5.0,0.015625,0.0,0.6094341278076172,0.002084732055664,0.594520296468543,966.0,2845.0,591.0,462.0,0.8220781036512393,0.4924511138792543,96.0,313.0,69.0,62.0,0.7871462654914176,0.4216931900738789,
phoneme,GaussianNB,IQR Removal,6.0,0.015625,0.0,0.6093864440917969,0.002084732055664,0.537080432023143,1004.0,2737.0,699.0,424.0,0.8169668332990939,0.4770175959332385,116.0,309.0,73.0,42.0,0.8242925309828352,0.5180095490382695,
phoneme,GaussianNB,IQR Removal,7.0,0.015625,0.0,0.6094341278076172,0.002084732055664,0.5908625955445215,954.0,2833.0,603.0,474.0,0.8165690024554642,0.4808386940880657,109.0,313.0,69.0,49.0,0.8276393399164954,0.4928591641397389,
phoneme,GaussianNB,IQR Removal,8.0,0.03125,0.0,0.6094341278076172,0.002084732055664,0.5345144115643969,1015.0,2748.0,688.0,413.0,0.8205269302132959,0.4874282016396228,104.0,302.0,80.0,54.0,0.7954967194645106,0.430807053557147,
phoneme,GaussianNB,IQR Removal,9.0,0.015625,0.015625,0.6093873977661133,0.002084732055664,0.5833890630634679,965.0,2845.0,592.0,462.0,0.8201041512262266,0.4918938929665297,102.0,301.0,80.0,57.0,0.8029680252232623,0.4161027183596062,
phoneme,GaussianNB,IQR Removal,10.0,0.015625,0.0,0.6093873977661133,0.002084732055664,0.5368040745731711,999.0,2733.0,704.0,428.0,0.813962364711162,0.4727136514189316,120.0,310.0,71.0,39.0,0.846861123491639,0.5418251866362342,
phoneme,GaussianNB,PCA,1.0,0.015625,0.0,0.6601791381835938,0.0028266906738281,0.3880106273271413,1159.0,2650.0,786.0,268.0,0.8406515210969552,0.542290016077453,129.0,287.0,95.0,30.0,0.833777865586618,0.5203543897882799,
phoneme,GaussianNB,PCA,2.0,0.078125,0.0,0.6603984832763672,0.0028266906738281,0.3822319038391427,1150.0,2641.0,795.0,277.0,0.8331841102045779,0.5339933087889406,137.0,304.0,78.0,22.0,0.8755968257104284,0.6120160179421255,
phoneme,GaussianNB,PCA,3.0,0.09375,0.0,0.6603107452392578,0.0028266906738281,0.380735627490859,1158.0,2649.0,787.0,269.0,0.8377954108075345,0.5413681597120628,133.0,295.0,87.0,26.0,0.8420758009812639,0.5645346335619592,
phoneme,GaussianNB,PCA,4.0,0.0,0.078125,0.6603145599365234,0.0028266906738281,0.395116534140494,1168.0,2659.0,777.0,259.0,0.8384078714758527,0.5505867233659654,120.0,300.0,82.0,39.0,0.8292996147387139,0.5086213038249281,
phoneme,GaussianNB,PCA,5.0,0.09375,0.0,0.6605567932128906,0.0028266906738281,0.3761433754938075,1174.0,2664.0,772.0,254.0,0.8440103631673858,0.55536365140535,118.0,288.0,94.0,40.0,0.7949333951885479,0.4665378281951851,
phoneme,GaussianNB,PCA,6.0,0.09375,0.0,0.6605567932128906,0.0028266906738281,0.3743206534674146,1174.0,2616.0,820.0,254.0,0.8357773842948122,0.5402721470371136,131.0,286.0,96.0,27.0,0.8517794419775996,0.5325451586860319,
phoneme,GaussianNB,PCA,7.0,0.09375,0.0,0.6605129241943359,0.0028266906738281,0.3884589681743182,1161.0,2651.0,785.0,267.0,0.8379385514392019,0.5433843311494004,130.0,302.0,80.0,28.0,0.8416064682881569,0.5724131104120818,
phoneme,GaussianNB,PCA,8.0,0.09375,0.0,0.6604690551757812,0.0028266906738281,0.390265894100495,1169.0,2659.0,777.0,259.0,0.8398327316957049,0.5507562205376771,120.0,293.0,89.0,38.0,0.8157432566770494,0.4917894363284606,
phoneme,GaussianNB,PCA,9.0,0.09375,0.03125,0.6605129241943359,0.0028266906738281,0.4112869867311255,1145.0,2685.0,752.0,282.0,0.8365903104412818,0.5447723312801871,128.0,282.0,99.0,31.0,0.8238993710691823,0.5034113222654607,
phoneme,GaussianNB,PCA,10.0,0.09375,0.0,0.6605567932128906,0.0028266906738281,0.4036900494506292,1147.0,2638.0,799.0,280.0,0.8345100180463276,0.5309609064940902,139.0,300.0,81.0,20.0,0.8597038577724955,0.6137342120278659,
phoneme,GaussianNB,Quantile Binning,1.0,0.015625,0.0,0.6330442428588867,0.0026235580444335,0.4973457192344345,913.0,2838.0,598.0,514.0,0.811602162844787,0.4582689518234575,113.0,301.0,81.0,46.0,0.7984210872929633,0.4736531300174396,
phoneme,GaussianNB,Quantile Binning,2.0,0.015625,0.0,0.6330022811889648,0.0026235580444335,0.4811484050803731,938.0,2811.0,625.0,489.0,0.8097932318099386,0.4635371830023388,100.0,314.0,68.0,59.0,0.8222858836313346,0.4439366687402936,
phoneme,GaussianNB,Quantile Binning,3.0,0.015625,0.0,0.6329126358032227,0.0026235580444335,0.4808433841706875,935.0,2812.0,624.0,492.0,0.8081062626397769,0.4620832476266385,105.0,315.0,67.0,54.0,0.836576772366558,0.4744395273716798,
phoneme,GaussianNB,Quantile Binning,4.0,0.015625,0.0,0.6326017379760742,0.0026235580444335,0.4817429043162921,930.0,2810.0,626.0,497.0,0.8121551722028107,0.4583301652249612,98.0,316.0,66.0,61.0,0.7958279824821364,0.4396499104723787,
phoneme,GaussianNB,Quantile Binning,5.0,0.0,0.0,0.633122444152832,0.0026235580444335,0.4859094664249569,938.0,2815.0,621.0,490.0,0.8139431558420807,0.4646295540197737,92.0,315.0,67.0,66.0,0.7757969381668764,0.4061362178241531,
