Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
profb,GaussianNB,Baseline,1.0,0.015625,0.0,0.2322225570678711,0.0029106140136718,0.0854282516323979,164.0,187.0,216.0,37.0,0.6794377986000519,0.2730864105150875,18.0,23.0,22.0,5.0,0.6260869565217391,0.2823542943715121,
profb,GaussianNB,Baseline,2.0,0.0,0.0,0.2298612594604492,0.0029106140136718,0.2069633469203901,109.0,300.0,103.0,92.0,0.6829438415861141,0.2830580477834634,10.0,27.0,18.0,13.0,0.5942028985507246,0.0334366927545211,
profb,GaussianNB,Baseline,3.0,0.015625,0.0,0.2301168441772461,0.0029106140136718,0.1899054224581738,153.0,218.0,186.0,48.0,0.6686246982907245,0.285445350974143,16.0,27.0,17.0,7.0,0.7134387351778656,0.2937363221724994,
profb,GaussianNB,Baseline,4.0,0.0,0.0,0.2304639816284179,0.0029106140136718,0.0861722627032667,174.0,167.0,237.0,27.0,0.6867272548150338,0.281598444978093,18.0,18.0,26.0,5.0,0.5933794466403162,0.191699604743083,
profb,GaussianNB,Baseline,5.0,0.0,0.0,0.2305860519409179,0.0029106140136718,0.158230740326401,135.0,260.0,143.0,67.0,0.6811598653661891,0.2966464598141428,11.0,23.0,22.0,11.0,0.5545454545454545,0.0104370715180858,
profb,GaussianNB,Baseline,6.0,0.015625,0.0,0.2305335998535156,0.0029106140136718,0.1396560906381483,165.0,199.0,204.0,37.0,0.6795260791587844,0.3003308299154135,17.0,19.0,26.0,5.0,0.6696969696969697,0.1909412947173698,
profb,GaussianNB,Baseline,7.0,0.015625,0.0,0.2304544448852539,0.0029106140136718,0.1459081813039567,161.0,201.0,202.0,41.0,0.6788995897108321,0.2847405000702401,17.0,21.0,24.0,5.0,0.6575757575757576,0.2307024179817586,
profb,GaussianNB,Baseline,8.0,0.015625,0.015625,0.2303152084350586,0.0029106140136718,0.3176615838073394,139.0,239.0,164.0,63.0,0.6756627275630789,0.2652001867928941,16.0,31.0,14.0,6.0,0.709090909090909,0.3930231474954045,
profb,GaussianNB,Baseline,9.0,0.015625,0.0,0.2301473617553711,0.0029106140136718,0.1061255340325443,164.0,198.0,205.0,38.0,0.678543350612977,0.2931453135592295,18.0,19.0,26.0,4.0,0.6212121212121212,0.2377765949518141,
profb,GaussianNB,Baseline,10.0,0.015625,0.015625,0.2304468154907226,0.0029106140136718,0.1529842409695642,165.0,193.0,210.0,37.0,0.6820504631108272,0.287315156205213,15.0,19.0,26.0,7.0,0.6060606060606061,0.1002630761692875,
profb,GaussianNB,IQR Capping,1.0,0.046875,0.0,0.24683570861816406,0.0034761428833007812,0.08208232092091645,165.0,188.0,215.0,36.0,0.6794995247089615,0.2803603650022595,18.0,22.0,23.0,5.0,0.629951690821256,0.26251996311759845,
profb,GaussianNB,IQR Capping,2.0,0.046875,0.015625,0.24328136444091797,0.0034761428833007812,0.1784437202735113,128.0,265.0,138.0,73.0,0.6814624149722849,0.2794253601626551,12.0,24.0,21.0,11.0,0.6,0.05213311661791026,
