Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
qsar-biodeg,GaussianNB,Baseline,1.0,0.03125,0.0,1.4417829513549805,0.0065135955810546,1.0,310.0,236.0,393.0,10.0,0.6760259340222575,0.3710639844402422,35.0,28.0,42.0,1.0,0.6896825396825397,0.395419612753052,
qsar-biodeg,GaussianNB,Baseline,2.0,0.03125,0.0,1.4560537338256836,0.0065517425537109,1.0,312.0,247.0,382.0,8.0,0.6866504372019078,0.3921286106419526,35.0,22.0,48.0,1.0,0.6468253968253967,0.3291803957218131,
qsar-biodeg,GaussianNB,Baseline,3.0,0.03125,0.0,1.4392175674438477,0.0065135955810546,1.0,313.0,238.0,391.0,7.0,0.6800054650238474,0.3851186848896935,34.0,22.0,48.0,2.0,0.6333333333333333,0.2927755316569746,
qsar-biodeg,GaussianNB,Baseline,4.0,0.015625,0.0,1.4411029815673828,0.0065135955810546,1.0,312.0,245.0,384.0,8.0,0.6857362877583466,0.3897099445297419,32.0,24.0,46.0,4.0,0.6170634920634921,0.2489351704994219,
qsar-biodeg,GaussianNB,Baseline,5.0,0.03125,0.0,1.4400510787963867,0.0065135955810546,0.9999999999999728,312.0,220.0,409.0,8.0,0.6651033386327504,0.3593600787464938,35.0,27.0,43.0,1.0,0.6803571428571428,0.3844854859426002,
qsar-biodeg,GaussianNB,Baseline,6.0,0.03125,0.0,1.4590721130371094,0.0065517425537109,1.0,311.0,228.0,402.0,9.0,0.6700694444444445,0.3645745315945169,36.0,32.0,37.0,0.0,0.7318840579710145,0.4782337964073702,
qsar-biodeg,GaussianNB,Baseline,7.0,0.015625,0.0,1.3894624710083008,0.0064077377319335,1.0,313.0,257.0,372.0,8.0,0.6947189080229212,0.4046312899957677,34.0,29.0,41.0,1.0,0.6895918367346938,0.4024922359499621,
qsar-biodeg,GaussianNB,Baseline,8.0,0.015625,0.015625,1.4578123092651367,0.0065517425537109,1.0,312.0,242.0,387.0,9.0,0.6812128235987499,0.3826536494524625,33.0,24.0,46.0,2.0,0.6465306122448979,0.3120432397071483,
qsar-biodeg,GaussianNB,Baseline,9.0,0.03125,0.0,1.4400396347045898,0.0065135955810546,1.0,314.0,245.0,384.0,7.0,0.6857841899073345,0.3939524830710126,33.0,24.0,46.0,2.0,0.6473469387755102,0.3120432397071483,
qsar-biodeg,GaussianNB,Baseline,10.0,0.015625,0.015625,1.4235515594482422,0.0064754486083984,1.0,312.0,246.0,383.0,9.0,0.6843776156585393,0.3875192372501481,35.0,29.0,41.0,0.0,0.7071428571428571,0.436794544018364,
qsar-biodeg,GaussianNB,IQR Capping,1.0,0.125,0.015625,1.6637678146362305,0.007603645324707031,1.0,312.0,216.0,413.0,8.0,0.6621720985691573,0.35447319064068483,35.0,25.0,45.0,1.0,0.6684523809523809,0.3625318393663301,
qsar-biodeg,GaussianNB,IQR Capping,2.0,0.109375,0.03125,1.67156982421875,0.007641792297363281,1.0,312.0,225.0,404.0,8.0,0.6693263116057233,0.3654538532832151,35.0,21.0,49.0,1.0,0.6398809523809523,0.3178870688659552,
qsar-biodeg,GaussianNB,IQR Capping,3.0,0.140625,0.03125,1.6571359634399414,0.007603645324707031,0.9999999999999932,314.0,213.0,416.0,6.0,0.6613622813990461,0.3589282536328978,34.0,21.0,49.0,2.0,0.625,0.2808519719731813,
qsar-biodeg,GaussianNB,IQR Capping,4.0,0.125,0.03125,1.656752586364746,0.007603645324707031,1.0,314.0,225.0,404.0,6.0,0.6717557631160572,0.37340608075469073,32.0,21.0,49.0,4.0,0.5970238095238095,0.21071437705302642,
qsar-biodeg,GaussianNB,IQR Capping,5.0,0.125,0.03125,1.656942367553711,0.007603645324707031,1.0,314.0,201.0,428.0,6.0,0.6521661367249603,0.3443483602851443,35.0,27.0,43.0,1.0,0.6803571428571428,0.38448548594260024,
qsar-biodeg,GaussianNB,IQR Capping,6.0,0.125,0.015625,1.6733007431030273,0.007641792297363281,1.0,312.0,208.0,422.0,8.0,0.6553769841269841,0.34410909971378967,36.0,30.0,39.0,0.0,0.717391304347826,0.4568321925761286,
qsar-biodeg,GaussianNB,IQR Capping,7.0,0.109375,0.015625,1.6146659851074219,0.0074977874755859375,1.0,313.0,236.0,393.0,8.0,0.6783476714757638,0.379220418228927,34.0,26.0,44.0,1.0,0.6687755102040817,0.36980013081681945,
qsar-biodeg,GaussianNB,IQR Capping,8.0,0.109375,0.03125,1.672933578491211,0.007641792297363281,1.0,314.0,223.0,406.0,7.0,0.6682911608695006,0.3673939449251768,33.0,23.0,47.0,2.0,0.6377551020408163,0.30041637771599605,
qsar-biodeg,GaussianNB,IQR Capping,9.0,0.125,0.03125,1.658670425415039,0.007603645324707031,1.0,314.0,224.0,405.0,7.0,0.6691776988643399,0.3686056032327239,33.0,22.0,48.0,2.0,0.6334693877551021,0.28867513459481287,
qsar-biodeg,GaussianNB,IQR Capping,10.0,0.109375,0.03125,1.644063949584961,0.007565498352050781,1.0,312.0,223.0,406.0,9.0,0.6663298812831523,0.35945648353313847,35.0,25.0,45.0,0.0,0.6785714285714286,0.39528470752104744,
qsar-biodeg,GaussianNB,IQR Removal,1.0,0.078125,0.015625,1.4680414199829102,0.0067253112792968,1.0,310.0,236.0,393.0,10.0,0.6760259340222575,0.3710639844402422,35.0,28.0,42.0,1.0,0.6896825396825397,0.395419612753052,
qsar-biodeg,GaussianNB,IQR Removal,2.0,0.09375,0.0,1.482194900512695,0.0067634582519531,1.0,312.0,247.0,382.0,8.0,0.6866504372019078,0.3921286106419526,35.0,22.0,48.0,1.0,0.6468253968253967,0.3291803957218131,
qsar-biodeg,GaussianNB,IQR Removal,3.0,0.09375,0.0,1.465073585510254,0.0067253112792968,1.0,313.0,238.0,391.0,7.0,0.6800054650238474,0.3851186848896935,34.0,22.0,48.0,2.0,0.6333333333333333,0.2927755316569746,
qsar-biodeg,GaussianNB,IQR Removal,4.0,0.09375,0.015625,1.4658222198486328,0.0067253112792968,1.0,312.0,245.0,384.0,8.0,0.6857362877583466,0.3897099445297419,32.0,24.0,46.0,4.0,0.6170634920634921,0.2489351704994219,
qsar-biodeg,GaussianNB,IQR Removal,5.0,0.09375,0.0,1.4651260375976562,0.0067253112792968,0.9999999999999728,312.0,220.0,409.0,8.0,0.6651033386327504,0.3593600787464938,35.0,27.0,43.0,1.0,0.6803571428571428,0.3844854859426002,
qsar-biodeg,GaussianNB,IQR Removal,6.0,0.078125,0.0,1.4848451614379885,0.0067634582519531,1.0,311.0,228.0,402.0,9.0,0.6700694444444445,0.3645745315945169,36.0,32.0,37.0,0.0,0.7318840579710145,0.4782337964073702,
qsar-biodeg,GaussianNB,IQR Removal,7.0,0.09375,0.0,1.4152469635009766,0.0066194534301757,1.0,313.0,257.0,372.0,8.0,0.6947189080229212,0.4046312899957677,34.0,29.0,41.0,1.0,0.6895918367346938,0.4024922359499621,
qsar-biodeg,GaussianNB,IQR Removal,8.0,0.09375,0.0,1.4830589294433594,0.0067634582519531,1.0,312.0,242.0,387.0,9.0,0.6812128235987499,0.3826536494524625,33.0,24.0,46.0,2.0,0.6465306122448979,0.3120432397071483,
qsar-biodeg,GaussianNB,IQR Removal,9.0,0.09375,0.0,1.4657621383666992,0.0067253112792968,1.0,314.0,245.0,384.0,7.0,0.6857841899073345,0.3939524830710126,33.0,24.0,46.0,2.0,0.6473469387755102,0.3120432397071483,
