Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
saheart,GaussianNB,Baseline,1.0,0.015625,0.015625,0.1525049209594726,0.0026817321777343,0.4096384030052996,101.0,198.0,73.0,43.0,0.7756252562525624,0.4167568758426829,12.0,19.0,12.0,4.0,0.719758064516129,0.3440029191956766,
saheart,GaussianNB,Baseline,2.0,0.015625,0.0,0.1502847671508789,0.0026817321777343,0.2275020256591696,116.0,171.0,100.0,28.0,0.7740364903649036,0.4159568935395561,12.0,16.0,15.0,4.0,0.6733870967741936,0.2550563926680926,
saheart,GaussianNB,Baseline,3.0,0.015625,0.0,0.1505918502807617,0.0026817321777343,0.4824545525631434,98.0,208.0,64.0,46.0,0.7705524918300654,0.4344166047203934,7.0,24.0,6.0,9.0,0.6875,0.2512207955402739,
saheart,GaussianNB,Baseline,4.0,0.015625,0.0,0.150639533996582,0.0026817321777343,0.4741873429356739,93.0,203.0,69.0,51.0,0.7647824754901962,0.3826054500289704,11.0,24.0,6.0,5.0,0.7166666666666666,0.4810295753201222,
saheart,GaussianNB,Baseline,5.0,0.015625,0.0,0.150639533996582,0.0026817321777343,0.4214025422053737,93.0,203.0,69.0,51.0,0.7594720179738563,0.3826054500289704,13.0,23.0,7.0,3.0,0.7958333333333333,0.5564453344726779,
saheart,GaussianNB,Baseline,6.0,0.015625,0.015625,0.150639533996582,0.0026817321777343,0.4305490910490585,99.0,200.0,72.0,45.0,0.7673866421568627,0.4088024943303253,9.0,23.0,7.0,7.0,0.7395833333333334,0.3291666666666666,
saheart,GaussianNB,Baseline,7.0,0.015625,0.0,0.150639533996582,0.0026817321777343,0.247102492354634,114.0,170.0,102.0,30.0,0.7613357843137255,0.396746023807936,12.0,19.0,11.0,4.0,0.8145833333333333,0.3651483716701107,
saheart,GaussianNB,Baseline,8.0,0.015625,0.0,0.1505441665649414,0.0026817321777343,0.1981370419953727,118.0,161.0,111.0,26.0,0.7626633986928104,0.393409833094954,12.0,22.0,8.0,4.0,0.8104166666666667,0.4643716460347527,
saheart,GaussianNB,Baseline,9.0,0.015625,0.0,0.150639533996582,0.0026817321777343,0.348405978394818,103.0,196.0,76.0,41.0,0.7720843545751632,0.4188109379857156,11.0,17.0,13.0,5.0,0.7229166666666667,0.2423384080999213,
saheart,GaussianNB,Baseline,10.0,0.015625,0.0,0.1505002975463867,0.0026817321777343,0.4458794616895166,95.0,205.0,67.0,49.0,0.7612081290849673,0.4033299119055396,12.0,22.0,8.0,4.0,0.80625,0.4643716460347527,
saheart,GaussianNB,IQR Capping,1.0,0.046875,0.015625,0.20101356506347656,0.0032968521118164062,0.4878032029307749,99.0,200.0,71.0,45.0,0.7757021320213202,0.4118750508710416,12.0,19.0,12.0,4.0,0.7137096774193548,0.34400291919567666,
saheart,GaussianNB,IQR Capping,2.0,0.046875,0.015625,0.19791126251220703,0.0032968521118164062,0.7594806751469911,81.0,227.0,44.0,63.0,0.7762658876588767,0.4151662981216903,6.0,24.0,7.0,10.0,0.6612903225806451,0.15804463099414362,
saheart,GaussianNB,IQR Capping,3.0,0.046875,0.015625,0.19832611083984375,0.0032968521118164062,0.5747609071971007,95.0,209.0,63.0,49.0,0.7730545343137255,0.4196402825560151,7.0,24.0,6.0,9.0,0.6791666666666667,0.25122079554027393,
saheart,GaussianNB,IQR Capping,4.0,0.0625,0.0,0.19823837280273438,0.0032968521118164062,0.5900663404510548,90.0,208.0,64.0,54.0,0.7669015522875817,0.3839650130726582,11.0,25.0,5.0,5.0,0.7395833333333333,0.5208333333333334,
saheart,GaussianNB,IQR Capping,5.0,0.046875,0.015625,0.19832229614257812,0.0032968521118164062,0.5282866483969251,91.0,205.0,67.0,53.0,0.7604932598039216,0.3779965903939678,12.0,23.0,7.0,4.0,0.825,0.4997725278535636,
saheart,GaussianNB,IQR Capping,6.0,0.046875,0.015625,0.19832229614257812,0.0032968521118164062,0.422739486275019,104.0,193.0,79.0,40.0,0.7668760212418301,0.41383361667372687,9.0,22.0,8.0,7.0,0.7416666666666667,0.29190683630537334,
saheart,GaussianNB,IQR Capping,7.0,0.046875,0.0,0.19828319549560547,0.0032968521118164062,0.2964728802625226,112.0,176.0,96.0,32.0,0.7650888480392156,0.40422604172722165,12.0,19.0,11.0,4.0,0.8,0.36514837167011077,
