Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
spambase,GaussianNB,Baseline,1.0,0.015625,0.0,5.675917625427246,0.0054035186767578,1.0,1410.0,2311.0,198.0,221.0,0.9336629702659636,0.7875811100239457,161.0,256.0,23.0,21.0,0.9292410098861712,0.8006815210727554,
spambase,GaussianNB,Baseline,2.0,0.015625,0.015625,5.675529479980469,0.0054035186767578,1.0,1364.0,2371.0,139.0,267.0,0.942212022541349,0.7935102403441727,152.0,261.0,17.0,30.0,0.9361510791366908,0.7850854421907,
spambase,GaussianNB,Baseline,3.0,0.015625,0.0,5.675529479980469,0.0054035186767578,0.9999999999999972,1417.0,2312.0,198.0,214.0,0.9372897130057328,0.7912928592491113,157.0,251.0,27.0,25.0,0.924312198592774,0.764096796145544,
spambase,GaussianNB,Baseline,4.0,0.015625,0.0,5.675529479980469,0.0054035186767578,1.0,1467.0,2085.0,424.0,165.0,0.8944527641666472,0.7160444421168174,167.0,231.0,48.0,14.0,0.8961068536010615,0.7349416156682238,
spambase,GaussianNB,Baseline,5.0,0.015625,0.0,5.675529479980469,0.0054035186767578,1.0,1391.0,2352.0,157.0,241.0,0.9399696631342852,0.7976554571920221,152.0,258.0,21.0,29.0,0.9362858670468724,0.771011164090116,
spambase,GaussianNB,Baseline,6.0,0.015625,0.0,5.675529479980469,0.0054035186767578,1.0,1395.0,2326.0,183.0,237.0,0.935145852382404,0.7866863135436469,161.0,253.0,26.0,20.0,0.9234143250361392,0.7919959449854227,
spambase,GaussianNB,Baseline,7.0,0.015625,0.0,5.675529479980469,0.0054035186767578,1.0,1386.0,2352.0,157.0,246.0,0.9394349459592524,0.7950812050769231,149.0,262.0,17.0,32.0,0.937721539040377,0.7753966916304957,
spambase,GaussianNB,Baseline,8.0,0.0,0.015625,5.675529479980469,0.0054035186767578,0.9999999999999982,1414.0,2315.0,194.0,218.0,0.9382296038184108,0.7911918294770174,155.0,258.0,21.0,26.0,0.9369096417750846,0.7850983364430659,
spambase,GaussianNB,Baseline,9.0,0.015625,0.015625,5.675529479980469,0.0054035186767578,0.9999999999999928,1429.0,2303.0,206.0,203.0,0.9407562920544862,0.793254384688236,154.0,267.0,12.0,27.0,0.9611972514307217,0.8217263115907529,
spambase,GaussianNB,Baseline,10.0,0.015625,0.0,5.675529479980469,0.0054035186767578,1.0,1396.0,2363.0,146.0,236.0,0.9425644884298878,0.8058111384459837,150.0,259.0,20.0,31.0,0.926374779698608,0.7661952394970066,
spambase,GaussianNB,IQR Capping,1.0,0.109375,0.015625,7.311741828918457,0.006249427795410156,1.0,1476.0,2277.0,232.0,155.0,0.9322726351902005,0.8064445538595234,169.0,250.0,29.0,13.0,0.9239237465043917,0.8143025824885971,
spambase,GaussianNB,IQR Capping,2.0,0.125,0.0,7.309857368469238,0.006249427795410156,1.0,1466.0,2314.0,196.0,165.0,0.9381075330804313,0.8181248701165683,161.0,253.0,25.0,21.0,0.9301921100482251,0.791812996441957,
spambase,GaussianNB,IQR Capping,3.0,0.140625,0.015625,7.309762001037598,0.006249427795410156,1.0,1468.0,2293.0,217.0,163.0,0.9344638612930254,0.80921598413048,167.0,249.0,29.0,15.0,0.9231757451181912,0.8041936510250934,
spambase,GaussianNB,IQR Capping,4.0,0.125,0.015625,7.309849739074707,0.006249427795410156,1.0,1509.0,2173.0,336.0,123.0,0.9140767257480911,0.7774025488973512,169.0,239.0,40.0,12.0,0.9102259450682193,0.775427531654398,
spambase,GaussianNB,IQR Capping,5.0,0.125,0.015625,7.309719085693359,0.006249427795410156,1.0,1470.0,2308.0,201.0,162.0,0.9372957109308451,0.8173682418254123,163.0,255.0,24.0,18.0,0.9371274678706508,0.8101153658042273,
spambase,GaussianNB,IQR Capping,6.0,0.125,0.015625,7.309670448303223,0.006249427795410156,1.0,1462.0,2287.0,222.0,170.0,0.9323324512148423,0.8031555037085362,169.0,249.0,30.0,12.0,0.9222657874413355,0.8146414962492438,
spambase,GaussianNB,IQR Capping,7.0,0.125,0.015625,7.309762001037598,0.006249427795410156,1.0,1473.0,2290.0,219.0,159.0,0.9338670003673052,0.8104509902757151,161.0,261.0,18.0,20.0,0.9430681795679123,0.826625171296519,
spambase,GaussianNB,IQR Capping,8.0,0.109375,0.015625,7.309805870056152,0.006249427795410156,1.0,1475.0,2289.0,220.0,157.0,0.9337636957931837,0.8110516680618663,160.0,257.0,22.0,21.0,0.9294540485950216,0.8043527121115144,
spambase,GaussianNB,IQR Capping,9.0,0.125,0.015625,7.309945106506348,0.006249427795410156,1.0,1477.0,2288.0,221.0,155.0,0.9337265745277785,0.8116538395184956,158.0,268.0,11.0,23.0,0.9570486544288006,0.8446134790673824,
spambase,GaussianNB,IQR Capping,10.0,0.125,0.015625,7.309667587280273,0.006249427795410156,1.0,1471.0,2305.0,204.0,161.0,0.9366701443431098,0.8164731320139198,161.0,248.0,31.0,20.0,0.9170676647062317,0.7711192536917848,
spambase,GaussianNB,IQR Removal,1.0,0.109375,0.015625,5.724252700805664,0.005620002746582,1.0,1410.0,2311.0,198.0,221.0,0.9336629702659636,0.7875811100239457,161.0,256.0,23.0,21.0,0.9292410098861712,0.8006815210727554,
spambase,GaussianNB,IQR Removal,2.0,0.09375,0.0,5.724303245544434,0.005620002746582,1.0,1364.0,2371.0,139.0,267.0,0.942212022541349,0.7935102403441727,152.0,261.0,17.0,30.0,0.9361510791366908,0.7850854421907,
spambase,GaussianNB,IQR Removal,3.0,0.09375,0.0,5.724475860595703,0.005620002746582,0.9999999999999972,1417.0,2312.0,198.0,214.0,0.9372897130057328,0.7912928592491113,157.0,251.0,27.0,25.0,0.924312198592774,0.764096796145544,
spambase,GaussianNB,IQR Removal,4.0,0.109375,0.0,5.724503517150879,0.005620002746582,1.0,1467.0,2085.0,424.0,165.0,0.8944527641666472,0.7160444421168174,167.0,231.0,48.0,14.0,0.8961068536010615,0.7349416156682238,
spambase,GaussianNB,IQR Removal,5.0,0.109375,0.0,5.724189758300781,0.005620002746582,1.0,1391.0,2352.0,157.0,241.0,0.9399696631342852,0.7976554571920221,152.0,258.0,21.0,29.0,0.9362858670468724,0.771011164090116,
spambase,GaussianNB,IQR Removal,6.0,0.09375,0.0,5.724000930786133,0.005620002746582,1.0,1395.0,2326.0,183.0,237.0,0.935145852382404,0.7866863135436469,161.0,253.0,26.0,20.0,0.9234143250361392,0.7919959449854227,
spambase,GaussianNB,IQR Removal,7.0,0.09375,0.0,5.724050521850586,0.005620002746582,1.0,1386.0,2352.0,157.0,246.0,0.9394349459592524,0.7950812050769231,149.0,262.0,17.0,32.0,0.937721539040377,0.7753966916304957,
spambase,GaussianNB,IQR Removal,8.0,0.09375,0.015625,5.724421501159668,0.005620002746582,0.9999999999999982,1414.0,2315.0,194.0,218.0,0.9382296038184108,0.7911918294770174,155.0,258.0,21.0,26.0,0.9369096417750846,0.7850983364430659,
spambase,GaussianNB,IQR Removal,9.0,0.09375,0.0,5.724332809448242,0.005620002746582,0.9999999999999928,1429.0,2303.0,206.0,203.0,0.9407562920544862,0.793254384688236,154.0,267.0,12.0,27.0,0.9611972514307217,0.8217263115907529,
spambase,GaussianNB,IQR Removal,10.0,0.09375,0.0,5.724332809448242,0.005620002746582,1.0,1396.0,2363.0,146.0,236.0,0.9425644884298878,0.8058111384459837,150.0,259.0,20.0,31.0,0.926374779698608,0.7661952394970066,
spambase,GaussianNB,PCA,1.0,0.015625,0.078125,5.6769609451293945,0.0281753540039062,0.6022219428094786,1421.0,2233.0,276.0,210.0,0.9273005897347112,0.7563044011508181,158.0,250.0,29.0,24.0,0.9311512859899956,0.7607511466153006,
spambase,GaussianNB,PCA,2.0,0.1875,0.03125,5.678367614746094,0.0281753540039062,0.6618036750631328,1379.0,2274.0,236.0,252.0,0.9296710155087804,0.7527874228846502,150.0,251.0,27.0,32.0,0.9184520515455769,0.7307092811790461,
spambase,GaussianNB,PCA,3.0,0.1875,0.0,5.678319931030273,0.0281753540039062,0.7293064867365414,1425.0,2237.0,273.0,206.0,0.9283855381661582,0.7598995641536187,158.0,241.0,37.0,24.0,0.916218673412918,0.727323874801336,
spambase,GaussianNB,PCA,4.0,0.1875,0.0,5.678367614746094,0.0281753540039062,0.548838313112602,1430.0,2200.0,309.0,202.0,0.9256794412663432,0.7456049824033743,159.0,233.0,46.0,22.0,0.9085031386760136,0.701352124029758,
spambase,GaussianNB,PCA,5.0,0.09375,0.0,5.6783447265625,0.0281753540039062,0.7451081235397736,1380.0,2274.0,235.0,252.0,0.9248510509225611,0.7533247555197734,155.0,252.0,27.0,26.0,0.9243945424661876,0.7588509353921361,
spambase,GaussianNB,PCA,6.0,0.09375,0.0,5.678367614746094,0.0281753540039062,0.6948875677482469,1395.0,2247.0,262.0,237.0,0.9244250111363796,0.7484112973380674,162.0,247.0,32.0,19.0,0.9306322897483118,0.77193241933538,
spambase,GaussianNB,PCA,7.0,0.09375,0.0,5.678367614746094,0.0281753540039062,0.4337066193735651,1436.0,2164.0,345.0,196.0,0.9212064508944272,0.7327547501045506,163.0,237.0,42.0,18.0,0.9105427830254064,0.7371641930797026,
spambase,GaussianNB,PCA,8.0,0.1875,0.09375,5.678367614746094,0.0281753540039062,0.6126778391925563,1420.0,2231.0,278.0,212.0,0.9287415793340054,0.7543822677820988,160.0,252.0,27.0,21.0,0.9312065585457138,0.7829362345760204,
spambase,GaussianNB,PCA,9.0,0.09375,0.0,5.678367614746094,0.0281753540039062,0.6136743768299877,1435.0,2205.0,304.0,197.0,0.923935840777124,0.7506114168554698,155.0,254.0,25.0,26.0,0.9354244638507692,0.7675005428820859,
spambase,GaussianNB,PCA,10.0,0.1875,0.0625,5.678323745727539,0.0281753540039062,0.4029242492003655,1448.0,2176.0,333.0,184.0,0.9261943767144164,0.74473285487506,156.0,238.0,41.0,25.0,0.9080476841125568,0.70581505071076,
spambase,GaussianNB,Quantile Binning,1.0,0.03125,0.015625,5.676955223083496,0.0089569091796875,0.9024600076559124,1371.0,2348.0,161.0,260.0,0.9534089295702852,0.7857612861274323,146.0,258.0,21.0,36.0,0.9417759659695144,0.7392611452656145,
spambase,GaussianNB,Quantile Binning,2.0,0.03125,0.015625,5.678314208984375,0.0089569091796875,0.884566709143474,1364.0,2342.0,168.0,267.0,0.9519033614163824,0.7786271637210176,150.0,261.0,17.0,32.0,0.9480097240888608,0.7758980647289115,
spambase,GaussianNB,Quantile Binning,3.0,0.03125,0.015625,5.678314208984375,0.0089569091796875,0.885775539368999,1359.0,2337.0,173.0,272.0,0.949692340387072,0.7735086370408074,157.0,260.0,18.0,25.0,0.9613506996600522,0.803635666494984,
spambase,GaussianNB,Quantile Binning,4.0,0.03125,0.0,5.678314208984375,0.0089569091796875,0.8944854293940281,1365.0,2342.0,167.0,267.0,0.9517622588094624,0.779188588245948,151.0,261.0,18.0,30.0,0.9546129626329236,0.7799997753635747,
spambase,GaussianNB,Quantile Binning,5.0,0.03125,0.0,5.678266525268555,0.0089569091796875,0.8193817898072989,1388.0,2323.0,186.0,244.0,0.9523066226291236,0.7815497433595745,152.0,248.0,31.0,29.0,0.9493455315946852,0.7272866140637586,
