Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
steel-plates-fault,GaussianNB,Baseline,1.0,0.03125,0.0,1.222487449645996,0.0045928955078125,1.0,599.0,1141.0,0.0,6.0,1.0,0.9924230374173808,65.0,127.0,0.0,3.0,1.0,0.9663454503498036,
steel-plates-fault,GaussianNB,Baseline,2.0,0.03125,0.015625,1.2200918197631836,0.0045928955078125,1.0,599.0,1141.0,0.0,7.0,1.0,0.991171891137725,67.0,127.0,0.0,0.0,1.0,1.0,
steel-plates-fault,GaussianNB,Baseline,3.0,0.015625,0.0,1.2200441360473633,0.0045928955078125,1.0,600.0,1141.0,0.0,6.0,1.0,0.9924312393623426,66.0,127.0,0.0,1.0,1.0,0.9886246665662776,
steel-plates-fault,GaussianNB,Baseline,4.0,0.03125,0.0,1.2199487686157229,0.0045928955078125,1.0,599.0,1141.0,0.0,7.0,1.0,0.991171891137725,67.0,127.0,0.0,0.0,1.0,1.0,
steel-plates-fault,GaussianNB,Baseline,5.0,0.03125,0.0,1.2200441360473633,0.0045928955078125,1.0,599.0,1141.0,0.0,7.0,1.0,0.991171891137725,67.0,127.0,0.0,0.0,1.0,1.0,
steel-plates-fault,GaussianNB,Baseline,6.0,0.015625,0.0,1.220789909362793,0.0045928955078125,1.0,600.0,1141.0,0.0,6.0,1.0,0.9924312393623426,66.0,127.0,0.0,1.0,1.0,0.9886246665662776,
steel-plates-fault,GaussianNB,Baseline,7.0,0.015625,0.0,1.2205705642700195,0.0045928955078125,1.0,599.0,1141.0,0.0,7.0,1.0,0.991171891137725,65.0,127.0,0.0,2.0,1.0,0.9772963624357158,
steel-plates-fault,GaussianNB,Baseline,8.0,0.015625,0.0,1.219944953918457,0.0045928955078125,0.9999999999999996,594.0,1141.0,0.0,12.0,1.0,0.984883992796265,66.0,127.0,0.0,1.0,1.0,0.9886246665662776,
steel-plates-fault,GaussianNB,Baseline,9.0,0.015625,0.0,1.220107078552246,0.0045928955078125,1.0,598.0,1142.0,0.0,7.0,1.0,0.9911649644851724,66.0,126.0,0.0,2.0,1.0,0.9774573106369644,
steel-plates-fault,GaussianNB,Baseline,10.0,0.03125,0.0,1.2200632095336914,0.0045928955078125,1.0,598.0,1142.0,0.0,7.0,1.0,0.9911649644851724,68.0,126.0,0.0,0.0,1.0,1.0,
steel-plates-fault,GaussianNB,IQR Capping,1.0,0.109375,0.03125,1.8428363800048828,0.005604743957519531,0.9999999999999992,594.0,1141.0,0.0,11.0,1.0,0.9861253377832768,64.0,127.0,0.0,4.0,1.0,0.9552163408075923,
steel-plates-fault,GaussianNB,IQR Capping,2.0,0.109375,0.015625,1.8399600982666016,0.005604743957519531,0.9999999999999992,594.0,1141.0,0.0,12.0,1.0,0.984883992796265,67.0,127.0,0.0,0.0,1.0,1.0,
steel-plates-fault,GaussianNB,IQR Capping,3.0,0.109375,0.015625,1.8399085998535156,0.005604743957519531,0.9999999999999988,594.0,1141.0,0.0,12.0,1.0,0.984883992796265,65.0,127.0,0.0,2.0,1.0,0.9772963624357158,
steel-plates-fault,GaussianNB,IQR Capping,4.0,0.109375,0.015625,1.839864730834961,0.005604743957519531,1.0,597.0,1141.0,0.0,9.0,1.0,0.9886549736430649,67.0,127.0,0.0,0.0,1.0,1.0,
steel-plates-fault,GaussianNB,IQR Capping,5.0,0.109375,0.03125,1.8397655487060547,0.005604743957519531,0.9999999999999988,594.0,1141.0,0.0,12.0,1.0,0.984883992796265,65.0,127.0,0.0,2.0,1.0,0.9772963624357158,
steel-plates-fault,GaussianNB,IQR Capping,6.0,0.109375,0.015625,1.839864730834961,0.005604743957519531,0.9999999999999981,594.0,1141.0,0.0,12.0,1.0,0.984883992796265,66.0,127.0,0.0,1.0,1.0,0.9886246665662776,
steel-plates-fault,GaussianNB,IQR Capping,7.0,0.109375,0.03125,1.8398685455322266,0.005604743957519531,1.0,596.0,1141.0,0.0,10.0,1.0,0.9873973974396775,65.0,127.0,0.0,2.0,1.0,0.9772963624357158,
steel-plates-fault,GaussianNB,IQR Capping,8.0,0.109375,0.015625,1.8398246765136719,0.005604743957519531,0.9999999999999992,594.0,1141.0,0.0,12.0,1.0,0.984883992796265,66.0,127.0,0.0,1.0,1.0,0.9886246665662776,
steel-plates-fault,GaussianNB,IQR Capping,9.0,0.109375,0.03125,1.8397769927978516,0.005604743957519531,0.9999999999999964,594.0,1142.0,0.0,11.0,1.0,0.9861294604568346,67.0,126.0,0.0,1.0,1.0,0.9887041500106404,
steel-plates-fault,GaussianNB,IQR Capping,10.0,0.109375,0.03125,1.8397693634033203,0.005604743957519531,0.9999999999999997,594.0,1142.0,0.0,11.0,1.0,0.9861294604568346,68.0,126.0,0.0,0.0,1.0,1.0,
steel-plates-fault,GaussianNB,IQR Removal,1.0,0.09375,0.0,1.2481346130371094,0.0048046112060546,1.0,599.0,1141.0,0.0,6.0,1.0,0.9924230374173808,65.0,127.0,0.0,3.0,1.0,0.9663454503498036,
