Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
tokyo1,GaussianNB,Baseline,1.0,0.015625,0.0,0.9756498336791992,0.0056171417236328,0.999999999893348,528.0,235.0,76.0,24.0,0.861107227736614,0.7460227948410593,58.0,28.0,7.0,3.0,0.8903981264637002,0.7728532853703904,
tokyo1,GaussianNB,Baseline,2.0,0.03125,0.0,0.974003791809082,0.0056171417236328,0.999999999940822,532.0,230.0,81.0,20.0,0.8620916631716297,0.7443911420180543,59.0,28.0,7.0,2.0,0.8831381733021078,0.7966771528304466,
tokyo1,GaussianNB,Baseline,3.0,0.015625,0.0,0.9733848571777344,0.0056171417236328,0.9999999998461948,527.0,234.0,77.0,25.0,0.8619926371219535,0.7407566510775807,60.0,28.0,7.0,1.0,0.897423887587822,0.8214111636628237,
tokyo1,GaussianNB,Baseline,4.0,0.015625,0.0,0.9733772277832032,0.0056171417236328,0.9999999999999996,523.0,239.0,72.0,29.0,0.8669235518896501,0.742861878105859,58.0,25.0,10.0,3.0,0.8501170960187353,0.7042971527455699,
tokyo1,GaussianNB,Baseline,5.0,0.015625,0.0,0.9584941864013672,0.0055704116821289,0.0376212592734664,535.0,233.0,78.0,17.0,0.8673021809031176,0.7603529497593559,58.0,24.0,11.0,3.0,0.8351288056206089,0.6814187658605819,
tokyo1,GaussianNB,Baseline,6.0,0.015625,0.0,0.9734258651733398,0.0056171417236328,0.1616292273953328,529.0,227.0,84.0,23.0,0.8609965515634467,0.7284293342767528,59.0,31.0,4.0,2.0,0.931615925058548,0.8643383076541085,
tokyo1,GaussianNB,Baseline,7.0,0.015625,0.0,0.9732894897460938,0.0056171417236328,1.0,522.0,241.0,71.0,29.0,0.8695204523244451,0.7458617152157017,59.0,25.0,9.0,3.0,0.851280834914611,0.7227694483981509,
tokyo1,GaussianNB,Baseline,8.0,0.015625,0.015625,0.9725322723388672,0.0056171417236328,2.885157589842976e-05,533.0,232.0,80.0,18.0,0.8698112988040393,0.7529648928315006,60.0,22.0,12.0,2.0,0.8180740037950665,0.6790438640176067,
tokyo1,GaussianNB,Baseline,9.0,0.015625,0.015625,0.973027229309082,0.0056171417236328,0.999789924581878,529.0,237.0,75.0,22.0,0.8684675880683141,0.7544474488555855,59.0,23.0,11.0,3.0,0.8166508538899431,0.675953759510942,
tokyo1,GaussianNB,Baseline,10.0,0.015625,0.0,0.9743986129760742,0.0056171417236328,0.9999999488438756,530.0,237.0,75.0,22.0,0.8708948810850985,0.7545832529293366,56.0,25.0,9.0,5.0,0.8367888138862102,0.6737792211031715,
tokyo1,GaussianNB,IQR Capping,1.0,0.140625,0.015625,1.3688163757324219,0.006931304931640625,0.7444843858388404,538.0,228.0,83.0,14.0,0.8764387902511767,0.7564499705367698,58.0,26.0,9.0,3.0,0.8927400468384075,0.7271428173249503,
tokyo1,GaussianNB,IQR Capping,2.0,0.140625,0.03125,1.362457275390625,0.006931304931640625,0.6898457142645448,537.0,227.0,84.0,15.0,0.87428934246703,0.7510770851145279,60.0,28.0,7.0,1.0,0.897423887587822,0.8214111636628237,
tokyo1,GaussianNB,IQR Capping,3.0,0.140625,0.03125,1.3630132675170898,0.006931304931640625,0.9301451617653325,537.0,227.0,84.0,15.0,0.8731651055501188,0.7510770851145279,60.0,28.0,7.0,1.0,0.8964871194379391,0.8214111636628237,
tokyo1,GaussianNB,IQR Capping,4.0,0.15625,0.03125,1.3625125885009766,0.006931304931640625,0.9318554680586296,534.0,232.0,79.0,18.0,0.8766776177827486,0.755032347178922,61.0,24.0,11.0,0.0,0.8662763466042155,0.7622023228463561,
tokyo1,GaussianNB,IQR Capping,5.0,0.140625,0.03125,1.358048439025879,0.006884574890136719,0.9336714662347076,540.0,230.0,81.0,12.0,0.8717379654224334,0.7671957413812535,59.0,25.0,10.0,2.0,0.8688524590163935,0.7295543078198283,
tokyo1,GaussianNB,IQR Capping,6.0,0.140625,0.03125,1.3623647689819336,0.006931304931640625,0.6419065247455531,536.0,226.0,85.0,16.0,0.8717583531385433,0.745704199692286,61.0,29.0,6.0,0.0,0.966744730679157,0.8685453368317605,
tokyo1,GaussianNB,IQR Capping,7.0,0.140625,0.03125,1.3628597259521484,0.006931304931640625,0.9997969813199586,535.0,234.0,78.0,16.0,0.8773674903438968,0.7635986675011607,59.0,25.0,9.0,3.0,0.8517552182163188,0.7227694483981509,
tokyo1,GaussianNB,IQR Capping,8.0,0.125,0.03125,1.3624658584594727,0.006931304931640625,0.9787761841242306,536.0,235.0,77.0,15.0,0.880828563451068,0.7689155548359907,61.0,22.0,12.0,1.0,0.8425047438330171,0.7069537290231133,
tokyo1,GaussianNB,IQR Capping,9.0,0.140625,0.03125,1.3621177673339844,0.006931304931640625,0.9999989964849164,536.0,235.0,77.0,15.0,0.873441062869375,0.7689155548359907,58.0,23.0,11.0,4.0,0.8161764705882353,0.6509505219729474,
tokyo1,GaussianNB,IQR Capping,10.0,0.125,0.03125,1.3638029098510742,0.006931304931640625,1.0,523.0,247.0,65.0,29.0,0.8826237922705313,0.7614207662470537,55.0,25.0,9.0,6.0,0.8493249758919961,0.6512198166424537,
