Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
wdbc,GaussianNB,Baseline,1.0,0.015625,0.015625,0.3600721359252929,0.0035667419433593,0.9822279681756034,167.0,315.0,7.0,23.0,0.9882804838182412,0.8742952081613748,21.0,35.0,0.0,1.0,0.9987012987012986,0.9633432944855655,
wdbc,GaussianNB,Baseline,2.0,0.0,0.0,0.3583440780639648,0.0035667419433593,0.9809656197625172,168.0,316.0,6.0,22.0,0.988705459300425,0.8828307726983786,21.0,33.0,2.0,1.0,0.9935064935064934,0.8904905361044291,
wdbc,GaussianNB,Baseline,3.0,0.0,0.0,0.3578863143920898,0.0035667419433593,0.9999998533118408,161.0,318.0,3.0,30.0,0.984382900295216,0.8639888549052966,17.0,34.0,2.0,4.0,0.9642857142857144,0.7715167498104596,
wdbc,GaussianNB,Baseline,4.0,0.0,0.015625,0.3579740524291992,0.0035667419433593,0.9369037778278518,173.0,315.0,6.0,18.0,0.9912739965095986,0.8996576384050111,16.0,35.0,1.0,5.0,0.9748677248677248,0.7740653530990438,
wdbc,GaussianNB,Baseline,5.0,0.015625,0.0,0.3578386306762695,0.0035667419433593,0.001359132674308,184.0,300.0,21.0,7.0,0.9901485867136404,0.886269230737756,19.0,35.0,1.0,2.0,0.9867724867724867,0.8864143349643965,
wdbc,GaussianNB,Baseline,6.0,0.0,0.0,0.3579301834106445,0.0035667419433593,0.9701729476727518,173.0,315.0,6.0,18.0,0.9896918986804976,0.8996576384050111,15.0,36.0,0.0,6.0,0.9867724867724867,0.7824607964359516,
wdbc,GaussianNB,Baseline,7.0,0.015625,0.0,0.3578424453735351,0.0035667419433593,0.9914325891165954,169.0,316.0,5.0,22.0,0.9889742460569882,0.8875159025062891,17.0,34.0,2.0,4.0,0.9788359788359788,0.7715167498104596,
wdbc,GaussianNB,Baseline,8.0,0.015625,0.0,0.3579263687133789,0.0035667419433593,0.0010193234622781,182.0,303.0,18.0,9.0,0.9881587317120908,0.8889448868222333,21.0,29.0,7.0,0.0,0.9973544973544972,0.7772815877574013,
wdbc,GaussianNB,Baseline,9.0,0.0,0.0,0.3575353622436523,0.0035667419433593,0.0009186779190786,184.0,300.0,21.0,7.0,0.989952863270865,0.886269230737756,19.0,32.0,4.0,2.0,0.9761904761904762,0.7803455823319942,
wdbc,GaussianNB,Baseline,10.0,0.015625,0.0,0.3585290908813476,0.0035667419433593,0.9866505030371197,168.0,315.0,7.0,23.0,0.9872036681733928,0.8747310873522163,20.0,35.0,0.0,1.0,0.998639455782313,0.9622504486493764,
wdbc,GaussianNB,IQR Capping,1.0,0.109375,0.03125,0.6842403411865234,0.004727363586425781,0.011374410549109794,179.0,301.0,21.0,11.0,0.9819875776397515,0.8682734170467188,22.0,34.0,1.0,0.0,1.0,0.9639463400956773,
