Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
wilt,GaussianNB,Baseline,1.0,0.015625,0.0,0.574030876159668,0.0018682479858398,0.7324143258829471,69.0,4102.0,19.0,165.0,0.8491663503796482,0.4651528216763354,5.0,457.0,0.0,22.0,0.8430180727773725,0.4203329767402787,
wilt,GaussianNB,Baseline,2.0,0.015625,0.0,0.572230339050293,0.0018682479858398,0.6907427241721844,81.0,4070.0,50.0,154.0,0.8466339599256352,0.4398810629652407,14.0,453.0,5.0,12.0,0.8518642929123278,0.6124564915158527,
wilt,GaussianNB,Baseline,3.0,0.015625,0.0,0.5724058151245117,0.0018682479858398,0.6792925591346534,85.0,4074.0,46.0,150.0,0.8505236521379881,0.4636805725992268,8.0,450.0,8.0,18.0,0.8126469600268726,0.3659918402520497,
wilt,GaussianNB,Baseline,4.0,0.015625,0.0,0.5721826553344727,0.0018682479858398,0.6932824398161329,86.0,4075.0,45.0,149.0,0.8462652344556909,0.4696304500077233,7.0,449.0,9.0,19.0,0.8368323815922069,0.3147360385500844,
wilt,GaussianNB,Baseline,5.0,0.015625,0.0,0.5724058151245117,0.0018682479858398,0.6825117582276629,83.0,4072.0,48.0,152.0,0.8457994216071059,0.4517808177822338,9.0,455.0,3.0,17.0,0.8527880416526704,0.4924136820448411,
wilt,GaussianNB,Baseline,6.0,0.0,0.015625,0.5722742080688477,0.0018682479858398,0.6728001747214325,82.0,4071.0,49.0,153.0,0.8402137988019004,0.4458309403737373,12.0,452.0,6.0,14.0,0.9082969432314412,0.5343091766246213,
wilt,GaussianNB,Baseline,7.0,0.015625,0.0,0.5724058151245117,0.0018682479858398,0.729651301648628,68.0,4100.0,20.0,167.0,0.8476616401569923,0.4568497025596177,5.0,457.0,1.0,21.0,0.8337252267383272,0.3874069753565878,
wilt,GaussianNB,Baseline,8.0,0.015625,0.0,0.5722742080688477,0.0018682479858398,0.6763341573116425,84.0,4073.0,47.0,151.0,0.8446178475521586,0.4577306951907303,8.0,454.0,4.0,18.0,0.8710110849848841,0.4334798981403646,
wilt,GaussianNB,Baseline,9.0,0.015625,0.015625,0.5723180770874023,0.0018682479858398,0.6633991017282646,84.0,4073.0,47.0,151.0,0.845617640983268,0.4577306951907303,11.0,450.0,8.0,15.0,0.8302821632515957,0.4708953922352066,
wilt,GaussianNB,Baseline,10.0,0.0,0.0,0.5723886489868164,0.0018682479858398,0.6842522766005394,85.0,4075.0,46.0,150.0,0.851667897174307,0.4636855415558455,7.0,451.0,6.0,19.0,0.799781181619256,0.357138420219513,
wilt,GaussianNB,IQR Capping,1.0,0.046875,0.015625,0.9082069396972656,0.0024089813232421875,0.2720776027987006,98.0,4088.0,33.0,136.0,0.8832631279852828,0.5422973390018251,8.0,457.0,0.0,19.0,0.8691141907772105,0.5333566754929319,
wilt,GaussianNB,IQR Capping,2.0,0.03125,0.0,0.9059276580810547,0.0024089813232421875,0.2682653322151361,95.0,4084.0,36.0,140.0,0.8797851683536458,0.5231793466841921,12.0,454.0,4.0,14.0,0.8978837756130332,0.5710150470599109,
wilt,GaussianNB,IQR Capping,3.0,0.03125,0.015625,0.9059276580810547,0.0024089813232421875,0.2739629776886927,96.0,4085.0,35.0,139.0,0.8818529229498039,0.5291292240926886,10.0,452.0,6.0,16.0,0.851612361437689,0.46850344365598035,
wilt,GaussianNB,IQR Capping,4.0,0.03125,0.015625,0.9059238433837891,0.0024089813232421875,0.2465691964358769,111.0,4056.0,64.0,124.0,0.8789165461681471,0.5255422021593192,8.0,444.0,14.0,18.0,0.86126973463218,0.29995920832131384,
