Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
MagicTelescope,GaussianNB,Baseline,1,0.015625,0.0,1.666996955871582,0.0019292831420898438,,0.998080400196238,877,5723,113,2287,0.7529580932769184,0.3934192507594455,100,630,18,252,0.7602128051346801,0.37944985812311544,
MagicTelescope,GaussianNB,Baseline,2,0.0,0.0,1.6654882431030273,0.0019292831420898438,,0.9977005325105348,875,5721,115,2289,0.7549475215520043,0.3919317309063018,106,627,21,246,0.7727075441919193,0.38544668741569643,
MagicTelescope,GaussianNB,Baseline,3,0.015625,0.0,1.665532112121582,0.0019292831420898438,,0.9982794607830986,878,5724,112,2286,0.7553880281421648,0.39416301068601733,88,639,9,264,0.7668591294893379,0.38101802131112894,
MagicTelescope,GaussianNB,Baseline,4,0.0,0.015625,1.6654882431030273,0.0019292831420898438,,0.9982366996856178,875,5721,115,2289,0.7562611345162205,0.3919317309063018,95,638,10,257,0.744741249298541,0.39642624783419095,
MagicTelescope,GaussianNB,Baseline,5,0.015625,0.0,1.6654443740844727,0.0019292831420898438,,0.9980839448477115,877,5723,113,2287,0.7559377678024451,0.3934192507594455,93,637,11,259,0.7426302960157127,0.38680135644165864,
MagicTelescope,GaussianNB,Baseline,6,0.0,0.0,1.665440559387207,0.0019292831420898438,,0.9984518390197,872,5718,118,2292,0.7550041418667341,0.38970045112658624,102,639,9,250,0.7472182765151515,0.41944278131634183,
MagicTelescope,GaussianNB,Baseline,7,0.015625,0.0,1.6652917861938477,0.0019292831420898438,,0.9977881135725631,873,5718,117,2292,0.7584505442588508,0.3903341673234321,100,640,9,251,0.7469611367916453,0.4150932313798513,
MagicTelescope,GaussianNB,Baseline,8,0.0,0.0,1.665379524230957,0.0019292831420898438,,0.9981509733786186,881,5726,109,2284,0.7566393352745525,0.39628381643953664,88,636,13,263,0.7556573997251963,0.36538273011516775,
MagicTelescope,GaussianNB,Baseline,9,0.015625,0.0,1.665379524230957,0.0019292831420898438,,0.9977658560428376,872,5717,118,2293,0.7541049205981771,0.38959046118391905,103,640,9,248,0.7736030447894855,0.42312258771006817,
MagicTelescope,GaussianNB,Baseline,10,0.015625,0.0,1.665379524230957,0.0019292831420898438,,0.9981172744046332,879,5724,111,2286,0.754713385884331,0.3947964041605105,99,629,20,252,0.7419962335216572,0.37033434693905787,
MagicTelescope,GaussianNB,IQR Capping,1,0.046875,0.015625,2.8827342987060547,0.002201080322265625,,0.9774961973118915,985,5651,185,2179,0.7544303568504136,0.3969744247079055,114,619,29,238,0.7607367073512905,0.3807822164184176,
MagicTelescope,GaussianNB,IQR Capping,2,0.046875,0.0,2.8825759887695312,0.002201080322265625,,0.9948892261337255,879,5725,111,2285,0.7576311511703373,0.3949067706125892,109,630,18,243,0.7762170314253647,0.4043115409501373,
MagicTelescope,GaussianNB,IQR Capping,3,0.046875,0.015625,2.882528305053711,0.002201080322265625,,0.962431501708158,1033,5609,227,2131,0.7572833600070705,0.395723946744008,109,630,18,243,0.7661379419191919,0.4043115409501373,
MagicTelescope,GaussianNB,IQR Capping,4,0.046875,0.015625,2.882528305053711,0.002201080322265625,,0.9628992882703808,1035,5611,225,2129,0.7575580402904852,0.3970652929128915,109,622,26,243,0.7453089927048259,0.3767038737301121,
MagicTelescope,GaussianNB,IQR Capping,5,0.046875,0.0,2.882528305053711,0.002201080322265625,,0.9634665281255315,1036,5612,224,2128,0.7568682526781327,0.3977359659973333,106,627,21,246,0.7439367634680134,0.38544668741569643,
MagicTelescope,GaussianNB,IQR Capping,6,0.046875,0.0,2.882528305053711,0.002201080322265625,,0.9960152241900201,878,5724,112,2286,0.7559439686881807,0.39416301068601733,105,636,12,247,0.7478693181818181,0.41571669095548464,
MagicTelescope,GaussianNB,IQR Capping,7,0.046875,0.0,2.882528305053711,0.002201080322265625,,0.9585374026899561,1032,5607,228,2133,0.7600842548709846,0.39493081684646003,119,628,21,232,0.749112155891817,0.4218319117626616,
MagicTelescope,GaussianNB,IQR Capping,8,0.046875,0.015625,2.8825759887695312,0.002201080322265625,,0.9959029255426068,883,5728,107,2282,0.7580196856416109,0.39777122871856274,87,637,12,264,0.757979622386402,0.36655462800007566,
MagicTelescope,GaussianNB,IQR Capping,9,0.046875,0.015625,2.882528305053711,0.002201080322265625,,0.9286801400730981,1081,5566,269,2084,0.7557887726052543,0.39508393609745074,121,624,25,230,0.7756838265312842,0.41389277672309666,
MagicTelescope,GaussianNB,IQR Capping,10,0.046875,0.0,2.8824806213378906,0.002201080322265625,,0.996349979661336,884,5729,106,2281,0.7558333367176068,0.3985149348580758,93,632,17,258,0.7434097603589129,0.3642099499930014,
MagicTelescope,GaussianNB,Quantile Capping,1,0.046875,0.015625,2.8825759887695312,0.0022068023681640625,,0.9918515643366076,930,5686,150,2234,0.7543384537666292,0.39410092873274644,104,624,24,248,0.761815200617284,0.3694175657357868,
MagicTelescope,GaussianNB,Quantile Capping,2,0.046875,0.015625,2.882528305053711,0.0022068023681640625,,0.9979331130445199,877,5723,113,2287,0.756740119091666,0.3934192507594455,107,628,20,245,0.7753095187991021,0.3917349719271767,
MagicTelescope,GaussianNB,Quantile Capping,3,0.046875,0.015625,2.8825759887695312,0.0022068023681640625,,0.9985747749503119,876,5722,114,2288,0.7568539012831988,0.3926754908328737,89,638,10,263,0.7672997334455667,0.3796432421628449,
MagicTelescope,GaussianNB,Quantile Capping,4,0.046875,0.0,2.882481575012207,0.0022068023681640625,,0.9925438877809544,926,5682,154,2238,0.7576634553479905,0.3912364067910925,98,633,15,254,0.7460082596801346,0.38507220507318396,
MagicTelescope,GaussianNB,Quantile Capping,5,0.046875,0.015625,2.8825759887695312,0.0022068023681640625,,0.9919039062998602,927,5683,153,2237,0.7573348354821072,0.391952537276506,97,632,16,255,0.7441515852974188,0.37845857143287787,
MagicTelescope,GaussianNB,Quantile Capping,6,0.0625,0.015625,2.882528305053711,0.0022068023681640625,,0.9986875615262439,872,5718,118,2292,0.7563753770355153,0.38970045112658624,102,638,10,250,0.7475799663299664,0.41546406851669826,
