Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
MiniBooNE,GaussianNB,Baseline,1,0.0,0.0,8.464058876037598,0.0037279129028320312,,1.0,2525,54,6420,1,0.5039721588100377,0.04580732178172236,280,8,712,0,0.5055555555555555,0.05600179208602059,
MiniBooNE,GaussianNB,Baseline,2,0.0,0.0,8.462637901306152,0.0037279129028320312,,1.0,2525,54,6420,1,0.5039721588100377,0.04580732178172236,280,8,712,0,0.5055555555555555,0.05600179208602059,
MiniBooNE,GaussianNB,Baseline,3,0.015625,0.0,8.462418556213379,0.0037279129028320312,,1.0,2525,60,6414,1,0.5044353062411042,0.04858621869210295,280,7,713,0,0.5048611111111111,0.052358496034273366,
MiniBooNE,GaussianNB,Baseline,4,0.015625,0.0,8.462590217590332,0.0037279129028320312,,1.0,2525,56,6418,1,0.5041265616702757,0.04675131110606747,280,6,714,0,0.5041666666666667,0.048450158311150925,
MiniBooNE,GaussianNB,Baseline,5,0.015625,0.0,8.463356971740723,0.0037279129028320312,,1.0,2524,53,6422,1,0.5038942773041782,0.045314484611231436,281,6,713,0,0.5041724617524339,0.048570340463127255,
MiniBooNE,GaussianNB,Baseline,6,0.0,0.0,8.463356971740723,0.0037279129028320312,,1.0,2524,57,6418,1,0.5042031270308498,0.04720226481300655,281,2,717,0,0.5013908205841446,0.02798584612721586,
MiniBooNE,GaussianNB,Baseline,7,0.015625,0.0,8.463356971740723,0.0037279129028320312,,1.0,2523,56,6419,2,0.503929355097672,0.04411153812463217,281,10,709,0,0.5069541029207232,0.06283058704267955,
MiniBooNE,GaussianNB,Baseline,8,0.015625,0.0,8.463313102722168,0.0037279129028320312,,1.0,2524,56,6419,1,0.5041258152070034,0.04673721242209266,281,6,713,0,0.5041724617524339,0.048570340463127255,
MiniBooNE,GaussianNB,Baseline,9,0.015625,0.0,8.463269233703613,0.0037279129028320312,,1.0,2522,229,6246,3,0.5171028250315379,0.09689727345498826,280,22,697,1,0.513475121139978,0.08107788207866057,
MiniBooNE,GaussianNB,Baseline,10,0.015625,0.0,8.463444709777832,0.0037279129028320312,,1.0,2524,57,6418,1,0.5042030352842235,0.04720226481300655,281,5,714,0,0.5034770514603616,0.04431616559891184,
MiniBooNE,GaussianNB,IQR Capping,1,0.203125,0.03125,14.248291015625,0.0049152374267578125,,0.9998835157006264,1797,6021,453,729,0.9158246360189525,0.6655928089220536,205,671,49,75,0.9265947420634921,0.6849898996428461,
MiniBooNE,GaussianNB,IQR Capping,2,0.1875,0.046875,14.24754524230957,0.0049152374267578125,,0.9997850686011328,1841,5975,499,685,0.9182142419486095,0.667627429895304,194,674,46,86,0.9004588293650794,0.6612437385833232,
MiniBooNE,GaussianNB,IQR Capping,3,0.1875,0.03125,14.247546195983887,0.0049152374267578125,,0.9999020090846543,1808,6032,442,718,0.9185686347313855,0.6718746801345312,183,665,55,97,0.8992708333333332,0.608544700162329,
MiniBooNE,GaussianNB,IQR Capping,4,0.171875,0.03125,14.24759292602539,0.0049152374267578125,,0.9997096050697196,1841,5975,499,685,0.9162084417822334,0.667627429895304,209,661,59,71,0.9257415674603174,0.673607536370839,
MiniBooNE,GaussianNB,IQR Capping,5,0.1875,0.03125,14.24759292602539,0.0049152374267578125,,0.999706942038418,1836,5971,504,689,0.9146684812110555,0.665035507566028,214,666,53,67,0.940533758333787,0.6988841795074004,
MiniBooNE,GaussianNB,IQR Capping,6,0.1875,0.03125,14.24749755859375,0.0049152374267578125,,0.9998900546213154,1796,6021,454,729,0.9155314805611836,0.6652448260172774,198,673,46,83,0.9276872287033692,0.6704735770965171,
MiniBooNE,GaussianNB,IQR Capping,7,0.1875,0.03125,14.24759292602539,0.0049152374267578125,,0.999892943574613,1801,6026,449,724,0.9173809702205741,0.6681005668458556,202,666,53,79,0.9129079039195404,0.6653168837303577,
