Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
banknote-authentication,GaussianNB,Baseline,1,0.0,0.015625,0.15079879760742188,0.0016603469848632812,,0.346559733265663,476,581,104,73,0.9397125496922074,0.7121308924518892,54,67,10,7,0.9527357888013626,0.7522591591553982,
banknote-authentication,GaussianNB,Baseline,2,0.0,0.0,0.1379232406616211,0.0016603469848632812,,0.3006109341570384,487,580,105,62,0.9419648199114513,0.7299121166006625,49,64,13,12,0.9024909516712796,0.6334368767966603,
banknote-authentication,GaussianNB,Baseline,3,0.0,0.0,0.13761043548583984,0.0016603469848632812,,0.23195214509970427,511,542,144,38,0.9390569654872097,0.7177462971664933,55,60,16,6,0.9374460742018982,0.6874160241619559,
banknote-authentication,GaussianNB,Baseline,4,0.0,0.0,0.1375570297241211,0.0016603469848632812,,0.3213680589870347,485,577,109,64,0.9405438990584525,0.7205825353389385,51,63,13,10,0.933779119930975,0.662445865709023,
banknote-authentication,GaussianNB,Baseline,5,0.0,0.0,0.13740825653076172,0.0016603469848632812,,0.3451377962914972,475,581,105,74,0.9386480587551179,0.709061643638953,56,66,10,5,0.9575064710957722,0.7822468239995292,
banknote-authentication,GaussianNB,Baseline,6,0.015625,0.0,0.13750743865966797,0.0016603469848632812,,0.31415927050048886,486,579,107,63,0.9398933656210338,0.7253393793142366,53,64,12,8,0.9346419327006039,0.7076077206941671,
banknote-authentication,GaussianNB,Baseline,7,0.0,0.0,0.1373586654663086,0.0016603469848632812,,0.3315442219086425,478,584,102,71,0.9407430419474581,0.7188566638275488,56,62,14,5,0.9305435720448663,0.7295854666789818,
banknote-authentication,GaussianNB,Baseline,8,0.0,0.0,0.13729000091552734,0.0016603469848632812,,0.31800767176636957,486,578,108,63,0.939662359869787,0.7238438784418325,54,62,14,7,0.9331320103537533,0.6968393157156209,
banknote-authentication,GaussianNB,Baseline,9,0.015625,0.0,0.13720035552978516,0.0016603469848632812,,0.3279301632845193,483,576,110,66,0.9387940968737221,0.7155547332322377,53,67,9,8,0.9575064710957722,0.7493008731173073,
banknote-authentication,GaussianNB,Baseline,10,0.0,0.0,0.13731670379638672,0.0016603469848632812,,0.25019126201807107,504,548,138,45,0.9383719139490301,0.7130035947396032,57,58,18,4,0.9514667817083693,0.6965332059963701,
