Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
breast-w,GaussianNB,Baseline,1,0.015625,0.015625,0.27501583099365234,0.0027523040771484375,,1.1098835631484884e-08,208,380,19,7,0.9887218045112782,0.9089530330356903,23,41,4,1,0.9712962962962963,0.8484908967580302,
breast-w,GaussianNB,Baseline,2,0.0,0.0,0.2667531967163086,0.0027523040771484375,,3.0628931826603015e-06,205,383,16,10,0.9869091332983622,0.907754948560634,24,43,2,0,0.986111111111111,0.9391758525703704,
breast-w,GaussianNB,Baseline,3,0.0,0.0,0.2666893005371094,0.0027523040771484375,,0.017135497929811276,206,384,15,9,0.9850673194614443,0.914868234737856,21,44,1,3,0.9935185185185186,0.8715403188617704,
breast-w,GaussianNB,Baseline,4,0.0,0.0,0.2666606903076172,0.0027523040771484375,,0.015039002355630856,207,384,15,9,0.9860588972431077,0.9151183509828649,22,44,1,1,0.9971014492753623,0.9342995169082126,
breast-w,GaussianNB,Baseline,5,0.0,0.0,0.2670869827270508,0.0027523040771484375,,7.760246862750428e-11,209,381,19,6,0.9882267441860465,0.912802732849113,24,39,5,0,0.9668560606060606,0.8564708516635089,
breast-w,GaussianNB,Baseline,6,0.0,0.0,0.267059326171875,0.0027523040771484375,,0.004577757568097434,206,384,16,9,0.9858255813953488,0.9115597731002896,23,43,1,1,0.9981060606060606,0.9356060606060606,
breast-w,GaussianNB,Baseline,7,0.0,0.0,0.26714038848876953,0.0027523040771484375,,0.9993428305918126,200,390,10,15,0.9853953488372094,0.9102741971868863,21,43,1,3,0.9943181818181818,0.8706032700941747,
breast-w,GaussianNB,Baseline,8,0.015625,0.0,0.26699352264404297,0.0027523040771484375,,0.8787876536763414,202,387,13,13,0.9878720930232558,0.9070348837209302,24,42,2,0,0.9725378787878787,0.9386793281621159,
breast-w,GaussianNB,Baseline,9,0.0,0.015625,0.2668924331665039,0.0027523040771484375,,0.12606957036217406,207,385,15,8,0.9870523255813953,0.9186596877463975,22,42,2,2,0.96875,0.8712121212121212,
breast-w,GaussianNB,Baseline,10,0.0,0.015625,0.26708507537841797,0.0027523040771484375,,0.001079387754745051,205,383,17,10,0.9857558139534883,0.9044598584541818,24,43,1,0,1.0,0.9685978619539785,
