Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
bupa,GaussianNB,Baseline,1,0.0,0.0,0.06117534637451172,0.001705169677734375,,0.6302754517020683,44,143,9,114,0.6543137908061293,0.29115618542952887,5,16,1,13,0.7156862745098039,0.2903617901832253,
bupa,GaussianNB,Baseline,2,0.0,0.0,0.05977153778076172,0.001705169677734375,,0.6225568850757556,41,143,9,117,0.6388657561625581,0.272221901196443,7,17,0,11,0.8594771241830066,0.485912657903775,
bupa,GaussianNB,Baseline,3,0.015625,0.0,0.059723854064941406,0.001705169677734375,,0.6247635277791054,51,141,11,107,0.6573534310459693,0.3129618505825483,5,14,3,13,0.5653594771241831,0.12057967390241195,
bupa,GaussianNB,Baseline,4,0.0,0.0,0.05972766876220703,0.001705169677734375,,0.3482886514490705,78,121,31,80,0.6650358094603597,0.30333519937612685,6,11,6,12,0.545751633986928,-0.020646003475383347,
bupa,GaussianNB,Baseline,5,0.0,0.0,0.059683799743652344,0.001705169677734375,,0.35074374255848745,74,120,32,84,0.6576240839440373,0.27171436160054074,8,12,5,10,0.5718954248366013,0.1554941669103437,
bupa,GaussianNB,Baseline,6,0.0,0.0,0.059798240661621094,0.001705169677734375,,0.6402452326484035,50,143,9,109,0.6779212181396888,0.3254379068058616,5,15,2,12,0.5397923875432526,0.2182178902359924,
bupa,GaussianNB,Baseline,7,0.0,0.0,0.059798240661621094,0.001705169677734375,,0.6329237972807031,45,144,8,114,0.6675769612711022,0.3062887762671437,4,15,2,13,0.57439446366782,0.1543033499620919,
bupa,GaussianNB,Baseline,8,0.015625,0.0,0.059798240661621094,0.001705169677734375,,0.6897408515647403,42,144,8,117,0.6426679907315458,0.2878493367969591,5,16,1,12,0.71280276816609,0.3086066999241838,
bupa,GaussianNB,Baseline,9,0.0,0.0,0.05984210968017578,0.001705169677734375,,0.7169679937405038,38,146,6,121,0.6602946044356174,0.2861705123035716,3,16,1,14,0.671280276816609,0.18257418583505536,
bupa,GaussianNB,Baseline,10,0.0,0.0,0.059754371643066406,0.001705169677734375,,0.663461838531126,44,144,9,114,0.6617440225035162,0.2920602646529833,4,16,0,14,0.59375,0.34426518632954817,
bupa,GaussianNB,IQR Capping,1,0.03125,0.015625,0.09342288970947266,0.0018625259399414062,,0.9630728038005528,34,148,4,124,0.6429880079946702,0.28790317751910155,1,16,1,17,0.7058823529411764,-0.007036672182012485,
bupa,GaussianNB,IQR Capping,2,0.015625,0.0,0.09305572509765625,0.0018625259399414062,,0.5748753890103321,65,127,25,93,0.6272068620919387,0.27193916568077564,8,16,1,10,0.8464052287581699,0.4409743871753604,
