Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
churn,GaussianNB,Baseline,1,0.0,0.0,2.1512327194213867,0.0031175613403320312,,0.3182646602954865,431,3484,379,206,0.8490798059600988,0.524902765992973,52,384,46,18,0.8527906976744186,0.55581801803159,
churn,GaussianNB,Baseline,2,0.015625,0.015625,2.1493663787841797,0.0031175613403320312,,0.31284059280170484,430,3483,380,207,0.8492634912146025,0.5232434666125818,48,392,38,22,0.8425913621262457,0.5492335311697298,
churn,GaussianNB,Baseline,3,0.0,0.0,2.1491518020629883,0.0031175613403320312,,0.25140209202968017,460,3423,440,177,0.8472246661662732,0.5300662869782596,50,383,47,20,0.882093023255814,0.5308701517939051,
churn,GaussianNB,Baseline,4,0.015625,0.0,2.149359703063965,0.0031175613403320312,,0.3077634893926147,431,3485,379,205,0.8529300460955506,0.5255461532641933,48,386,43,23,0.8358120752486949,0.5209123541883632,
churn,GaussianNB,Baseline,5,0.015625,0.0,2.1497459411621094,0.0031175613403320312,,0.2723248750637465,448,3457,407,188,0.8516743004284022,0.5319781231413165,49,378,51,22,0.83190518401786,0.4984957180280961,
churn,GaussianNB,Baseline,6,0.015625,0.015625,2.1494836807250977,0.0031175613403320312,,0.31491995786380506,433,3487,377,203,0.8493300519551545,0.5288669301709555,48,380,49,23,0.8500935684034276,0.49594091584535077,
churn,GaussianNB,Baseline,7,0.015625,0.0,2.1494789123535156,0.0031175613403320312,,0.3119258752243692,430,3484,380,206,0.8475660670338686,0.5238857648108122,52,391,38,19,0.889457959880495,0.5849336284612896,
churn,GaussianNB,Baseline,8,0.015625,0.0,2.149886131286621,0.0031175613403320312,,0.3192005723324486,438,3492,372,198,0.855312544760863,0.5371688724378612,40,387,42,31,0.8145704061197018,0.4387954185643926,
churn,GaussianNB,Baseline,9,0.015625,0.0,2.149834632873535,0.0031175613403320312,,0.2838039854318404,448,3457,407,188,0.8526411350703803,0.5319781231413165,47,383,46,24,0.8229423159000623,0.49763750584148997,
churn,GaussianNB,Baseline,10,0.015625,0.0,2.149308204650879,0.0031175613403320312,,0.31744468052135066,433,3487,377,203,0.8510854916207664,0.5288669301709555,48,391,38,23,0.8570865753964346,0.5433757046255988,
