Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
clean2,GaussianNB,Baseline,1,0.015625,0.0,22.87113094329834,0.009099006652832031,,0.9952429187402565,685,4639,384,230,0.924556656864761,0.6316442737480383,73,506,52,29,0.9054044556890857,0.5742778548673328,
clean2,GaussianNB,Baseline,2,0.03125,0.0,22.86960506439209,0.009099006652832031,,0.8689185980373578,699,4593,430,216,0.9175483486345325,0.6241049948750941,74,514,44,28,0.9182918687188136,0.6100103303957392,
clean2,GaussianNB,Baseline,3,0.015625,0.0,22.86960506439209,0.009099006652832031,,0.5849171511381398,712,4547,476,203,0.9222406438579257,0.6167342947048716,81,511,47,21,0.9377327992128751,0.6490025095344932,
clean2,GaussianNB,Baseline,4,0.015625,0.0,22.86960506439209,0.009099006652832031,,0.9627966015809516,702,4596,427,213,0.9218039640604041,0.6276711066577753,75,508,50,27,0.9093225103661536,0.595673473507606,
clean2,GaussianNB,Baseline,5,0.015625,0.0,22.86960506439209,0.009099006652832031,,0.9972058185141193,682,4636,387,233,0.9209631324323412,0.628002100735993,71,517,41,31,0.9100077306908426,0.5995538789417305,
clean2,GaussianNB,Baseline,6,0.03125,0.0,22.86960506439209,0.009099006652832031,,0.9782590462740699,678,4632,391,237,0.9256704405635716,0.623145870053266,86,513,45,16,0.9419319699205847,0.6910175004387434,
clean2,GaussianNB,Baseline,7,0.015625,0.0,22.86960506439209,0.009099006652832031,,0.829967530992562,700,4594,429,215,0.9199919713579827,0.6252936988026545,77,509,49,25,0.9161044346053834,0.6135424757428858,
clean2,GaussianNB,Baseline,8,0.015625,0.0,22.86960506439209,0.009099006652832031,,0.011604360329364386,734,4509,513,182,0.9210116317895581,0.620006745701885,86,513,46,15,0.9317380754175597,0.6923079383072038,
clean2,GaussianNB,Baseline,9,0.03125,0.0,22.87345027923584,0.009099006652832031,,0.9171019559440706,699,4593,430,217,0.9206560302955749,0.6236133654568483,74,506,52,27,0.9113879129848468,0.5858118046572375,
clean2,GaussianNB,Baseline,10,0.015625,0.0,22.87345027923584,0.009099006652832031,,0.9121417662288636,702,4596,427,214,0.9178693946709764,0.6271777597932809,72,501,57,29,0.9069253699563504,0.5544822804558696,
clean2,GaussianNB,IQR Capping,1,0.5625,0.109375,31.373509407043457,0.012969970703125,,0.01425886753419414,713,4311,712,202,0.8910313106159752,0.5389188558076354,73,473,85,29,0.8747715932251037,0.4772216219497721,
clean2,GaussianNB,IQR Capping,2,0.5625,0.109375,31.372694969177246,0.012969970703125,,1.0,493,4786,237,422,0.8861668021092046,0.5405305147728549,41,536,22,61,0.8908039918476351,0.4459732403111144,
clean2,GaussianNB,IQR Capping,3,0.546875,0.109375,31.372600555419922,0.012969970703125,,1.0,475,4811,212,440,0.8897445521094768,0.5383170544036855,56,538,20,46,0.899659146812847,0.5811274831040751,
clean2,GaussianNB,IQR Capping,4,0.5625,0.109375,31.372695922851562,0.012969970703125,,1.0,472,4819,204,443,0.8886613381722764,0.5401951758730478,56,535,23,46,0.8786457235223839,0.5654693884994217,
clean2,GaussianNB,IQR Capping,5,0.546875,0.109375,31.372694969177246,0.012969970703125,,1.0,479,4812,211,436,0.8877326048809355,0.5424483584824302,51,540,18,51,0.8755534471853257,0.5525927821325524,
clean2,GaussianNB,IQR Capping,6,0.5625,0.109375,31.372599601745605,0.012969970703125,,1.0,471,4888,135,444,0.8960995812704186,0.5818643478716402,61,545,13,41,0.9214456391875747,0.6584537029007816,
clean2,GaussianNB,IQR Capping,7,0.5625,0.109375,31.372694969177246,0.012969970703125,,1.0,482,4805,218,433,0.8901414150644739,0.5411841782939488,52,532,26,50,0.8940368262000141,0.5186630671538669,
clean2,GaussianNB,IQR Capping,8,0.5625,0.125,31.372599601745605,0.012969970703125,,1.0,480,4823,199,436,0.8909476252089062,0.5497894718462499,53,535,24,48,0.9102711702297241,0.5403442952593126,
clean2,GaussianNB,IQR Capping,9,0.5625,0.109375,31.377902030944824,0.012969970703125,,1.0,482,4793,230,434,0.8882259510183289,0.5341662909389708,52,534,24,49,0.875652081337166,0.5321476421659453,
clean2,GaussianNB,IQR Capping,10,0.546875,0.109375,31.37799644470215,0.012969970703125,,0.005487846266998857,715,4312,711,201,0.8867256471758296,0.540319372358249,69,461,97,32,0.860569927960538,0.42267081492531605,
clean2,GaussianNB,Quantile Capping,1,0.5625,0.125,31.468929290771484,0.012998580932617188,,0.990555959490556,686,4640,383,229,0.9240190207014944,0.63285833141872,72,506,52,30,0.9043327008222645,0.5669782945225462,
clean2,GaussianNB,Quantile Capping,2,0.5625,0.109375,31.468929290771484,0.012998580932617188,,0.7405857912388054,702,4596,427,213,0.9188484882110597,0.6276711066577753,74,514,44,28,0.9162977018764495,0.6100103303957392,
clean2,GaussianNB,Quantile Capping,3,0.5625,0.109375,31.468929290771484,0.012998580932617188,,0.025643352787083053,731,4507,516,184,0.921195941293003,0.6170885912757768,84,509,49,18,0.9364677770749876,0.6629734479300864,
clean2,GaussianNB,Quantile Capping,4,0.5625,0.125,31.468929290771484,0.012998580932617188,,0.9499028010272534,704,4598,425,211,0.9207711195168888,0.630048514512896,75,509,49,27,0.9072844191440016,0.599170799201218,
clean2,GaussianNB,Quantile Capping,5,0.5625,0.109375,31.468929290771484,0.012998580932617188,,0.912770975543062,703,4597,426,212,0.9202281526834486,0.6288598105853357,75,514,44,27,0.9085406564059315,0.6172211757434076,
clean2,GaussianNB,Quantile Capping,6,0.5625,0.109375,31.468929290771484,0.012998580932617188,,0.9755977177011228,677,4631,392,238,0.9251033225305672,0.6219318123825843,86,513,45,16,0.9413258134795137,0.6910175004387434,
clean2,GaussianNB,Quantile Capping,7,0.5625,0.109375,31.468881607055664,0.012998580932617188,,0.9869954869816571,682,4636,387,233,0.9227856776859233,0.628002100735993,75,517,41,27,0.9187926066483941,0.6285313319885454,
clean2,GaussianNB,Quantile Capping,8,0.5625,0.109375,31.468881607055664,0.012998580932617188,,0.11867011950513638,716,4550,472,200,0.9219441009775328,0.6208876109652441,83,518,41,18,0.9340494872385271,0.6898085223110548,
clean2,GaussianNB,Quantile Capping,9,0.546875,0.109375,31.474151611328125,0.012998580932617188,,0.8747523506936479,700,4594,429,216,0.921363800752347,0.6248014969023259,74,506,52,27,0.9155488129458107,0.5858118046572375,
clean2,GaussianNB,Quantile Capping,10,0.578125,0.125,31.474151611328125,0.012998580932617188,,0.8143260135629811,707,4601,422,209,0.9175013279525536,0.6331184170206685,73,500,58,28,0.9050090492920261,0.5585940090213053,
clean2,GaussianNB,IQR Removal,1,0.46875,0.015625,23.737199783325195,0.009614944458007812,,0.9952429187402565,685,4639,384,230,0.924556656864761,0.6316442737480383,73,506,52,29,0.9054044556890857,0.5742778548673328,
clean2,GaussianNB,IQR Removal,2,0.484375,0.0,23.737241744995117,0.009614944458007812,,0.8689185980373578,699,4593,430,216,0.9175483486345325,0.6241049948750941,74,514,44,28,0.9182918687188136,0.6100103303957392,
clean2,GaussianNB,IQR Removal,3,0.484375,0.0,23.737289428710938,0.009614944458007812,,0.5849171511381398,712,4547,476,203,0.9222406438579257,0.6167342947048716,81,511,47,21,0.9377327992128751,0.6490025095344932,
clean2,GaussianNB,IQR Removal,4,0.484375,0.0,23.737194061279297,0.009614944458007812,,0.9627966015809516,702,4596,427,213,0.9218039640604041,0.6276711066577753,75,508,50,27,0.9093225103661536,0.595673473507606,
clean2,GaussianNB,IQR Removal,5,0.46875,0.0,23.737194061279297,0.009614944458007812,,0.9972058185141193,682,4636,387,233,0.9209631324323412,0.628002100735993,71,517,41,31,0.9100077306908426,0.5995538789417305,
clean2,GaussianNB,IQR Removal,6,0.46875,0.0,23.737194061279297,0.009614944458007812,,0.9782590462740699,678,4632,391,237,0.9256704405635716,0.623145870053266,86,513,45,16,0.9419319699205847,0.6910175004387434,
clean2,GaussianNB,IQR Removal,7,0.46875,0.0,23.737289428710938,0.009614944458007812,,0.829967530992562,700,4594,429,215,0.9199919713579827,0.6252936988026545,77,509,49,25,0.9161044346053834,0.6135424757428858,
clean2,GaussianNB,IQR Removal,8,0.46875,0.0,23.737289428710938,0.009614944458007812,,0.011604360329364386,734,4509,513,182,0.9210116317895581,0.620006745701885,86,513,46,15,0.9317380754175597,0.6923079383072038,
clean2,GaussianNB,IQR Removal,9,0.46875,0.0,23.74121379852295,0.009614944458007812,,0.9171019559440706,699,4593,430,217,0.9206560302955749,0.6236133654568483,74,506,52,27,0.9113879129848468,0.5858118046572375,
clean2,GaussianNB,IQR Removal,10,0.484375,0.0,23.74121379852295,0.009614944458007812,,0.9121417662288636,702,4596,427,214,0.9178693946709764,0.6271777597932809,72,501,57,29,0.9069253699563504,0.5544822804558696,
clean2,GaussianNB,Quantile Removal,1,0.640625,0.015625,23.833590507507324,0.00962066650390625,,0.9952429187402565,685,4639,384,230,0.924556656864761,0.6316442737480383,73,506,52,29,0.9054044556890857,0.5742778548673328,
clean2,GaussianNB,Quantile Removal,2,0.625,0.0,23.833590507507324,0.00962066650390625,,0.8689185980373578,699,4593,430,216,0.9175483486345325,0.6241049948750941,74,514,44,28,0.9182918687188136,0.6100103303957392,
clean2,GaussianNB,Quantile Removal,3,0.640625,0.0,23.83354377746582,0.00962066650390625,,0.5849171511381398,712,4547,476,203,0.9222406438579257,0.6167342947048716,81,511,47,21,0.9377327992128751,0.6490025095344932,
clean2,GaussianNB,Quantile Removal,4,0.640625,0.0,23.833590507507324,0.00962066650390625,,0.9627966015809516,702,4596,427,213,0.9218039640604041,0.6276711066577753,75,508,50,27,0.9093225103661536,0.595673473507606,
clean2,GaussianNB,Quantile Removal,5,0.640625,0.0,23.833495140075684,0.00962066650390625,,0.9972058185141193,682,4636,387,233,0.9209631324323412,0.628002100735993,71,517,41,31,0.9100077306908426,0.5995538789417305,
clean2,GaussianNB,Quantile Removal,6,0.640625,0.0,23.833590507507324,0.00962066650390625,,0.9782590462740699,678,4632,391,237,0.9256704405635716,0.623145870053266,86,513,45,16,0.9419319699205847,0.6910175004387434,
clean2,GaussianNB,Quantile Removal,7,0.640625,0.015625,23.833704948425293,0.00962066650390625,,0.829967530992562,700,4594,429,215,0.9199919713579827,0.6252936988026545,77,509,49,25,0.9161044346053834,0.6135424757428858,
clean2,GaussianNB,Quantile Removal,8,0.640625,0.0,23.833495140075684,0.00962066650390625,,0.011604360329364386,734,4509,513,182,0.9210116317895581,0.620006745701885,86,513,46,15,0.9317380754175597,0.6923079383072038,
clean2,GaussianNB,Quantile Removal,9,0.640625,0.0,23.837578773498535,0.00962066650390625,,0.9171019559440706,699,4593,430,217,0.9206560302955749,0.6236133654568483,74,506,52,27,0.9113879129848468,0.5858118046572375,
clean2,GaussianNB,Quantile Removal,10,0.625,0.0,23.837531089782715,0.00962066650390625,,0.9121417662288636,702,4596,427,214,0.9178693946709764,0.6271777597932809,72,501,57,29,0.9069253699563504,0.5544822804558696,
clean2,GaussianNB,Yeo-Johnson,1,1.9375,0.015625,23.874014854431152,0.01439666748046875,,0.0002048471685778969,749,4465,558,166,0.9325908471305221,0.6165061418161899,77,489,69,25,0.9181513107034929,0.5497406724160704,
