Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
eeg-eye-state,GaussianNB,Baseline,1,0.015625,0.0,2.1108617782592773,0.0021085739135742188,,0.7331220580880013,1024,4634,326,3016,0.6744942709996806,0.26151082367150996,98,510,42,350,0.6370624676501035,0.20445926118502825,
eeg-eye-state,GaussianNB,Baseline,2,0.0,0.0,2.1093530654907227,0.0021085739135742188,,0.9987102455022902,432,4762,198,3608,0.5468532916799744,0.13063116741940672,51,529,23,397,0.5699243012422359,0.137107009451642,
eeg-eye-state,GaussianNB,Baseline,3,0.015625,0.0,2.1095666885375977,0.0021085739135742188,,0.9986473689651355,440,4771,190,3599,0.5520338661365534,0.1376999721435321,40,536,15,409,0.5404387244895897,0.1349699587032041,
eeg-eye-state,GaussianNB,Baseline,4,0.0,0.0,2.1095666885375977,0.0021085739135742188,,0.9987667835422304,439,4770,191,3600,0.5511734784600398,0.136824408004513,41,526,25,408,0.5402123694921968,0.09203717414817249,
eeg-eye-state,GaussianNB,Baseline,5,0.015625,0.0,2.1096105575561523,0.0021085739135742188,,0.9987931597353101,431,4762,199,3608,0.5470454142459737,0.12981989489236032,47,525,26,402,0.5563037845747152,0.1099235999690258,
eeg-eye-state,GaussianNB,Baseline,6,0.0,0.0,2.109654426574707,0.0021085739135742188,,0.9987191165247641,432,4763,198,3607,0.5508409515987516,0.1306954590313794,49,530,21,400,0.5407216682363307,0.13844660081738314,
eeg-eye-state,GaussianNB,Baseline,7,0.0,0.015625,2.109654426574707,0.0021085739135742188,,0.998883645932558,371,4792,169,3668,0.5486218101588528,0.12102705205025659,33,533,18,416,0.5302648757674848,0.09230967181033731,
eeg-eye-state,GaussianNB,Baseline,8,0.0,0.0,2.1095190048217773,0.0021085739135742188,,0.9988625924267772,378,4799,162,3661,0.5459601479806916,0.12761176652524334,46,527,24,403,0.5592585257013973,0.11480745440576394,
eeg-eye-state,GaussianNB,Baseline,9,0.0,0.0,2.109654426574707,0.0021085739135742188,,0.9988097377813436,474,4715,246,3565,0.5470726631828285,0.12424279937221572,51,521,30,398,0.5531146043435907,0.10781390471686231,
eeg-eye-state,GaussianNB,Baseline,10,0.015625,0.0,2.109654426574707,0.0021085739135742188,,0.9987161402907735,516,4667,294,3523,0.5479108424767407,0.11903587630603138,70,535,16,379,0.5569100926034463,0.22506847951073955,
eeg-eye-state,GaussianNB,IQR Capping,1,0.0625,0.0,4.019487380981445,0.002471923828125,,0.30493169421564376,2836,2666,2294,1204,0.6646524672628553,0.24059520311733365,293,273,279,155,0.6225373641304348,0.14933375571042928,
eeg-eye-state,GaussianNB,IQR Capping,2,0.0625,0.0,4.019222259521484,0.002471923828125,,0.33822944571018343,2623,2903,2057,1417,0.6611337981076333,0.233497941483479,304,309,243,144,0.6665453545548654,0.23811584413109196,
eeg-eye-state,GaussianNB,IQR Capping,3,0.0625,0.015625,4.019222259521484,0.002471923828125,,0.2984045399497369,2817,2648,2313,1222,0.6599914590053968,0.23228439425322023,309,282,269,140,0.6523389342721677,0.20141556161377466,
eeg-eye-state,GaussianNB,IQR Capping,4,0.0625,0.015625,4.019222259521484,0.002471923828125,,0.34286729281058614,2638,2919,2042,1401,0.6651448518049601,0.24044312254445044,270,316,235,179,0.6421064757739522,0.17393583158922077,
eeg-eye-state,GaussianNB,IQR Capping,5,0.0625,0.015625,4.019126892089844,0.002471923828125,,0.3349504194079977,2672,2863,2098,1367,0.6634312879379687,0.23782413942014996,292,322,229,157,0.6689841106875938,0.23370807405877864,
eeg-eye-state,GaussianNB,IQR Capping,6,0.0625,0.015625,4.019222259521484,0.002471923828125,,0.31171215281420217,2780,2701,2260,1259,0.6632787238354685,0.23319648083091638,318,300,251,131,0.6654028512645564,0.25381558447485697,
eeg-eye-state,GaussianNB,IQR Capping,7,0.0625,0.015625,4.019174575805664,0.002471923828125,,0.3380709783096825,2704,2805,2156,1335,0.6637324485779874,0.23439833729860918,295,329,222,154,0.6777129252745566,0.2529326705951364,
eeg-eye-state,GaussianNB,IQR Capping,8,0.0625,0.015625,4.019222259521484,0.002471923828125,,0.3149780510465175,2779,2700,2261,1260,0.6601297249020199,0.2327464335852183,320,282,269,129,0.6655968698337503,0.22694495228313252,
eeg-eye-state,GaussianNB,IQR Capping,9,0.0625,0.015625,4.019126892089844,0.002471923828125,,0.33910972303953113,2667,2858,2103,1372,0.6639511138102752,0.23558613159619732,288,324,227,161,0.6553118646397116,0.22835324549346686,
eeg-eye-state,GaussianNB,IQR Capping,10,0.0625,0.015625,4.019174575805664,0.002471923828125,,0.34691210613718576,2648,2839,2122,1391,0.6620807687434133,0.22708170186517734,325,336,215,124,0.7015307256698693,0.3329581875954643,
eeg-eye-state,GaussianNB,Quantile Capping,1,0.046875,0.0,4.019222259521484,0.0024776458740234375,,0.3521152155314322,2600,3060,1900,1440,0.6736235427978282,0.2591352348595309,270,326,226,178,0.6347292313664596,0.19221645036345153,
eeg-eye-state,GaussianNB,Quantile Capping,2,0.0625,0.015625,4.019126892089844,0.0024776458740234375,,0.33447305543789385,2698,2888,2072,1342,0.6678280701053977,0.24921882381086516,315,310,242,133,0.6873018568840579,0.26501138487533415,
eeg-eye-state,GaussianNB,Quantile Capping,3,0.0625,0.015625,4.019222259521484,0.0024776458740234375,,0.3345805918974634,2623,2994,1967,1416,0.6693728786939714,0.25164515410717736,291,320,231,158,0.6545135590685492,0.22789617480928592,
eeg-eye-state,GaussianNB,Quantile Capping,4,0.0625,0.0,4.019222259521484,0.0024776458740234375,,0.336640832168858,2725,2916,2045,1314,0.6746770389628356,0.2615470223540478,275,314,237,174,0.6470155497799102,0.18144634325978537,
eeg-eye-state,GaussianNB,Quantile Capping,5,0.0625,0.015625,4.019222259521484,0.0024776458740234375,,0.3462866611679085,2712,2903,2058,1327,0.6726721460319434,0.255728202011771,299,334,217,150,0.6850027688066646,0.270814429212372,
eeg-eye-state,GaussianNB,Quantile Capping,6,0.0625,0.015625,4.019222259521484,0.0024776458740234375,,0.3280867254515406,2705,2896,2065,1334,0.6725874547391915,0.2525949910582373,311,325,226,138,0.669707638268546,0.281786245037041,
eeg-eye-state,GaussianNB,Quantile Capping,7,0.0625,0.015625,4.019126892089844,0.0024776458740234375,,0.3679114468025868,2672,2953,2008,1367,0.6750092663852573,0.2556463252642885,284,347,204,165,0.6762881014070388,0.26098799258381256,
eeg-eye-state,GaussianNB,Quantile Capping,8,0.0625,0.015625,4.019174575805664,0.0024776458740234375,,0.3501803498630279,2667,2948,2013,1372,0.6702980948850901,0.25341056015842994,306,315,236,143,0.6817367895585673,0.2527750837735316,
eeg-eye-state,GaussianNB,Quantile Capping,9,0.0625,0.015625,4.019222259521484,0.0024776458740234375,,0.37747395073440565,2589,3050,1911,1450,0.6745917986988283,0.25444984108641827,279,345,206,170,0.6691862133638373,0.2463350830228564,
eeg-eye-state,GaussianNB,Quantile Capping,10,0.0625,0.015625,4.019126892089844,0.0024776458740234375,,0.3461120029821505,2739,2840,2121,1300,0.6726367124327366,0.2500864502856657,325,333,218,124,0.7049381767913371,0.3276888043053182,
eeg-eye-state,GaussianNB,IQR Removal,1,0.046875,0.0,3.04257869720459,0.0023193359375,,0.7331220580880013,1024,4634,326,3016,0.6744942709996806,0.26151082367150996,98,510,42,350,0.6370624676501035,0.20445926118502825,
eeg-eye-state,GaussianNB,IQR Removal,2,0.046875,0.0,3.042525291442871,0.0023193359375,,0.9987102455022902,432,4762,198,3608,0.5468532916799744,0.13063116741940672,51,529,23,397,0.5699243012422359,0.137107009451642,
eeg-eye-state,GaussianNB,IQR Removal,3,0.046875,0.015625,3.0424299240112305,0.0023193359375,,0.9986473689651355,440,4771,190,3599,0.5520338661365534,0.1376999721435321,40,536,15,409,0.5404387244895897,0.1349699587032041,
eeg-eye-state,GaussianNB,IQR Removal,4,0.046875,0.0,3.042525291442871,0.0023193359375,,0.9987667835422304,439,4770,191,3600,0.5511734784600398,0.136824408004513,41,526,25,408,0.5402123694921968,0.09203717414817249,
eeg-eye-state,GaussianNB,IQR Removal,5,0.046875,0.0,3.042477607727051,0.0023193359375,,0.9987931597353101,431,4762,199,3608,0.5470454142459737,0.12981989489236032,47,525,26,402,0.5563037845747152,0.1099235999690258,
eeg-eye-state,GaussianNB,IQR Removal,6,0.046875,0.015625,3.042525291442871,0.0023193359375,,0.9987191165247641,432,4763,198,3607,0.5508409515987516,0.1306954590313794,49,530,21,400,0.5407216682363307,0.13844660081738314,
