Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
haberman,GaussianNB,Baseline,1,0.0,0.0,0.04800891876220703,0.0016155242919921875,,0.1978566935775097,45,145,57,28,0.6721822867218228,0.3055614525894104,6,14,9,2,0.7934782608695653,0.3140721323960884,
haberman,GaussianNB,Baseline,2,0.015625,0.0,0.04643535614013672,0.0016155242919921875,,0.21514014500690312,33,174,28,40,0.6901532619015327,0.3331355822248133,3,20,3,5,0.6521739130434783,0.2708681694429807,
haberman,GaussianNB,Baseline,3,0.0,0.0,0.04648303985595703,0.0016155242919921875,,0.26693231058797756,28,183,19,45,0.6828970568289705,0.3396039144884743,1,22,1,7,0.5434782608695652,0.14520057987419369,
haberman,GaussianNB,Baseline,4,0.015625,0.0,0.04630756378173828,0.0016155242919921875,,0.17006413091661426,47,155,47,26,0.7198901396989015,0.3827782382212964,4,15,8,4,0.5108695652173914,0.13670414920128873,
haberman,GaussianNB,Baseline,5,0.015625,0.0,0.046347618103027344,0.0016155242919921875,,0.22440749758506742,37,162,40,36,0.6554658890546589,0.3037231908115735,6,20,3,2,0.9402173913043479,0.5972598827888349,
haberman,GaussianNB,Baseline,6,0.0,0.0,0.04650402069091797,0.0016155242919921875,,0.1982833265008259,37,170,33,35,0.7083675424192666,0.3545685654232241,3,16,6,6,0.5050505050505051,0.06060606060606061,
haberman,GaussianNB,Baseline,7,0.0,0.0,0.046530723571777344,0.0016155242919921875,,0.17621606512630256,36,170,33,37,0.6708279910925163,0.3367350103464414,4,18,4,4,0.6818181818181819,0.3181818181818182,
haberman,GaussianNB,Baseline,8,0.0,0.0,0.04652690887451172,0.0016155242919921875,,0.18532640388393531,44,158,45,29,0.7119913624401107,0.35957751947051125,1,18,4,7,0.40340909090909094,-0.06741998624632421,
haberman,GaussianNB,Baseline,9,0.0,0.0,0.046395301818847656,0.0016155242919921875,,0.18114477914511024,37,168,35,36,0.6799041770699777,0.3359236006886736,5,17,5,3,0.8068181818181819,0.3731012536223182,
haberman,GaussianNB,Baseline,10,0.0,0.0,0.046486854553222656,0.0016155242919921875,,0.1792616672615154,45,159,44,28,0.7082124299885283,0.37715205380269845,2,12,10,6,0.4204545454545454,-0.1846372364689991,
haberman,GaussianNB,IQR Capping,1,0.03125,0.0,0.06969261169433594,0.0017271041870117188,,0.18835743862139334,51,135,67,22,0.6861521768615217,0.3273780739397116,6,14,9,2,0.7880434782608695,0.3140721323960884,
haberman,GaussianNB,IQR Capping,2,0.03125,0.0,0.06921100616455078,0.0017271041870117188,,0.21478013254721057,42,161,41,31,0.7121253221212532,0.3581992468664542,4,16,7,4,0.6304347826086957,0.17892962380969743,
haberman,GaussianNB,IQR Capping,3,0.03125,0.0,0.06921005249023438,0.0017271041870117188,,0.20331344271380475,45,156,46,28,0.6879831818798318,0.36478708936997906,3,20,3,5,0.7228260869565217,0.2708681694429807,
haberman,GaussianNB,IQR Capping,4,0.03125,0.0,0.06916236877441406,0.0017271041870117188,,0.16481829230051426,55,136,66,18,0.7351485148514852,0.37957583283100305,3,14,9,5,0.5054347826086957,-0.014646873128709506,
haberman,GaussianNB,IQR Capping,5,0.03125,0.0,0.06925773620605469,0.0017271041870117188,,0.20419104268471788,43,149,53,30,0.6621117591211176,0.30260590569878665,7,19,4,1,0.9456521739130435,0.6411644853180825,
haberman,GaussianNB,IQR Capping,6,0.015625,0.0,0.06916236877441406,0.0017271041870117188,,0.18185150610511477,50,148,55,22,0.7295771756978653,0.3832280343782867,6,9,13,3,0.5909090909090908,0.07059781184061313,
haberman,GaussianNB,IQR Capping,7,0.03125,0.0,0.06924819946289062,0.0017271041870117188,,0.2780632545983682,35,171,32,38,0.6804102840947432,0.3310604713223016,4,19,3,4,0.7727272727272727,0.380198765217406,
haberman,GaussianNB,IQR Capping,8,0.03125,0.0,0.06934356689453125,0.0017271041870117188,,0.23382439707171315,40,171,32,33,0.7391861799041771,0.3920464298594205,1,19,3,7,0.375,-0.014782809899727065,
haberman,GaussianNB,IQR Capping,9,0.015625,0.0,0.06934356689453125,0.0017271041870117188,,0.2550820270781908,37,168,35,36,0.6933328834604224,0.3359236006886736,5,18,4,3,0.8693181818181819,0.42766860172384985,
haberman,GaussianNB,IQR Capping,10,0.03125,0.0,0.06924819946289062,0.0017271041870117188,,0.19783237309799614,45,159,44,28,0.7134084621094542,0.37715205380269845,4,14,8,4,0.5,0.12309149097933272,
haberman,GaussianNB,Quantile Capping,1,0.015625,0.0,0.06916236877441406,0.0017328262329101562,,0.2000727525445846,48,140,62,25,0.6826936118269361,0.3160203964915697,6,14,9,2,0.7663043478260869,0.3140721323960884,
haberman,GaussianNB,Quantile Capping,2,0.03125,0.0,0.06921100616455078,0.0017328262329101562,,0.20250480083354863,41,163,39,32,0.7022921470229214,0.35834399776083814,4,18,5,4,0.6467391304347826,0.2724343325001703,
haberman,GaussianNB,Quantile Capping,3,0.015625,0.0,0.06916236877441406,0.0017328262329101562,,0.21403587087459178,38,168,34,35,0.6898141868981419,0.35379408139137175,2,21,2,6,0.5706521739130435,0.21281413268968716,
haberman,GaussianNB,Quantile Capping,4,0.03125,0.0,0.06925773620605469,0.0017328262329101562,,0.1720549184506615,47,155,47,26,0.7214498847144988,0.3827782382212964,4,15,8,4,0.5163043478260869,0.13670414920128873,
haberman,GaussianNB,Quantile Capping,5,0.015625,0.015625,0.06925773620605469,0.0017328262329101562,,0.21429281283977922,39,161,41,34,0.6507188390071885,0.32208103570592356,6,20,3,2,0.8967391304347826,0.5972598827888349,
haberman,GaussianNB,Quantile Capping,6,0.015625,0.0,0.06921005249023438,0.0017328262329101562,,0.1898024971685184,43,161,42,29,0.7143199233716475,0.3713257938968156,4,13,9,5,0.5404040404040404,0.03252052261138687,
haberman,GaussianNB,Quantile Capping,7,0.03125,0.0,0.06929588317871094,0.0017328262329101562,,0.18306654076929318,46,155,48,27,0.6787907416154936,0.3664015945181364,5,16,6,3,0.7159090909090908,0.3232676249994279,
haberman,GaussianNB,Quantile Capping,8,0.015625,0.0,0.06929588317871094,0.0017328262329101562,,0.18262399814460242,49,151,52,24,0.7273095350563467,0.38006385296132406,2,17,5,6,0.3977272727272727,0.023762422826087874,
haberman,GaussianNB,Quantile Capping,9,0.015625,0.015625,0.06929588317871094,0.0017328262329101562,,0.19589834911968634,36,172,31,37,0.6795667723868006,0.35022018826190215,5,18,4,3,0.8693181818181819,0.42766860172384985,
haberman,GaussianNB,Quantile Capping,10,0.015625,0.0,0.06934356689453125,0.0017328262329101562,,0.19391834258497126,39,173,30,34,0.7092921249746947,0.3936479698416146,2,15,7,6,0.4829545454545454,-0.0657951694959769,
haberman,GaussianNB,IQR Removal,1,0.015625,0.0,0.08054161071777344,0.0018053054809570312,,0.16950842637908212,54,129,73,19,0.6832022243320223,0.33510933692025874,6,17,6,2,0.7826086956521738,0.4394061938612852,
haberman,GaussianNB,IQR Removal,2,0.03125,0.0,0.08078193664550781,0.0018053054809570312,,0.24933718213703088,39,167,35,34,0.7173470771734707,0.35942266731768857,4,17,6,4,0.6195652173913043,0.2238381550780319,
haberman,GaussianNB,IQR Removal,3,0.015625,0.0,0.08032989501953125,0.0018053054809570312,,0.2215116740445109,42,159,43,31,0.6826257968262579,0.34635728879509853,3,20,3,5,0.717391304347826,0.2708681694429807,
haberman,GaussianNB,IQR Removal,4,0.015625,0.0,0.0803375244140625,0.0018053054809570312,,0.18741776868620605,49,149,53,24,0.7245015597450156,0.373753296340344,3,16,7,5,0.4891304347826087,0.06613400036396397,
haberman,GaussianNB,IQR Removal,5,0.015625,0.0,0.08007240295410156,0.0018053054809570312,,0.2458064362486992,39,158,44,34,0.679913196799132,0.3043812940955883,7,19,4,1,0.9402173913043479,0.6411644853180825,
haberman,GaussianNB,IQR Removal,6,0.015625,0.0,0.07964229583740234,0.0018053054809570312,,0.25726210159390317,41,167,36,31,0.7225301039956213,0.38391774281842866,5,15,7,4,0.5808080808080808,0.2212064771005878,
haberman,GaussianNB,IQR Removal,7,0.03125,0.0,0.08014774322509766,0.0018053054809570312,,0.20806767028357812,42,156,47,31,0.6939739523584587,0.32442845080613686,6,17,5,2,0.7386363636363635,0.47968744354753823,
haberman,GaussianNB,IQR Removal,8,0.015625,0.0,0.08078956604003906,0.0018053054809570312,,0.25983792370651093,41,169,34,32,0.7387138133477293,0.3907950884412374,1,18,4,7,0.3977272727272727,-0.06741998624632421,
haberman,GaussianNB,IQR Removal,9,0.015625,0.0,0.08037662506103516,0.0018053054809570312,,0.2695879506483191,39,167,36,34,0.688204332276132,0.3538632464930157,5,17,5,3,0.8522727272727273,0.3731012536223182,
haberman,GaussianNB,IQR Removal,10,0.015625,0.0,0.08008098602294922,0.0018053054809570312,,0.8133017320296994,29,185,18,44,0.7144881570956204,0.3620971296958621,0,17,5,8,0.5738636363636364,-0.26967994498529685,
haberman,GaussianNB,Quantile Removal,1,0.015625,0.0,0.08329105377197266,0.0018110275268554688,,0.19686513056624094,43,157,45,30,0.6757764817577648,0.34671682990006286,5,20,3,3,0.7445652173913043,0.4945652173913043,
haberman,GaussianNB,Quantile Removal,2,0.015625,0.0,0.08327865600585938,0.0018110275268554688,,0.19764104221742643,45,159,43,28,0.6898141868981418,0.3820240427208432,4,14,9,4,0.6304347826086957,0.09638582199437337,
haberman,GaussianNB,Quantile Removal,3,0.015625,0.0,0.0831766128540039,0.0018110275268554688,,0.23767791667152421,37,170,32,36,0.6888647768886478,0.3548941410153703,2,21,2,6,0.5978260869565217,0.21281413268968716,
haberman,GaussianNB,Quantile Removal,4,0.015625,0.0,0.08317852020263672,0.0018110275268554688,,0.1779008396948012,43,162,40,30,0.6973077444730774,0.3761385644567429,3,16,7,5,0.5217391304347826,0.06613400036396397,
haberman,GaussianNB,Quantile Removal,5,0.015625,0.0,0.0831766128540039,0.0018110275268554688,,0.2146468806787786,37,165,37,36,0.6650278041502781,0.3222852510064489,6,20,3,2,0.8369565217391304,0.5972598827888349,
haberman,GaussianNB,Quantile Removal,6,0.015625,0.0,0.08359622955322266,0.0018110275268554688,,0.19615834622343295,40,166,37,32,0.6948891625615764,0.3654955862532449,5,17,5,4,0.6212121212121212,0.31876535509893733,
