Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
higgs,GaussianNB,Baseline,1,0.03125,0.015625,5.185549736022949,0.003726959228515625,,0.7184664212022246,2679,2782,1461,2078,0.651012826973272,0.21918355618077703,291,306,165,238,0.6395193430700878,0.2002164851698917,
higgs,GaussianNB,Baseline,2,0.015625,0.0,5.183304786682129,0.003726959228515625,,0.7441157308507521,2430,2983,1260,2327,0.651150262899469,0.2170627564958419,254,339,132,275,0.6224298540289533,0.2049583125248347,
higgs,GaussianNB,Baseline,3,0.015625,0.0,5.183610916137695,0.003726959228515625,,0.6850885385078921,2872,2615,1628,1885,0.6530449365438906,0.21969190820426146,345,292,179,184,0.672418014199768,0.2719868490393011,
higgs,GaussianNB,Baseline,4,0.015625,0.0,5.183260917663574,0.003726959228515625,,0.6550269791289722,3240,2263,1980,1517,0.6508076639702505,0.21689481270451855,347,232,239,182,0.61452726973539,0.15051676524857996,
higgs,GaussianNB,Baseline,5,0.015625,0.0,5.183159828186035,0.003726959228515625,,0.6851077859778965,2848,2681,1562,1909,0.6566745034210597,0.23023064034895832,315,293,178,214,0.6599079302774533,0.21719888698697692,
higgs,GaussianNB,Baseline,6,0.015625,0.0,5.183121681213379,0.003726959228515625,,0.719487365021684,2634,2827,1416,2123,0.6514450515659693,0.2207315633923305,277,320,151,252,0.6549151345124999,0.20482799856490375,
higgs,GaussianNB,Baseline,7,0.015625,0.0,5.1837263107299805,0.003726959228515625,,0.7092839962518976,2686,2788,1454,2072,0.6521308859403324,0.22210716986666793,291,311,161,237,0.6558607794042117,0.21067812766998173,
higgs,GaussianNB,Baseline,8,0.015625,0.0,5.184296607971191,0.003726959228515625,,0.6423506005947244,3135,2427,1815,1623,0.6565520855814638,0.23180801054144975,344,272,200,184,0.6499823446327684,0.22831464095681106,
higgs,GaussianNB,Baseline,9,0.015625,0.0,5.1838579177856445,0.003726959228515625,,0.670622302186919,3118,2410,1832,1640,0.6547295514995564,0.2242018801048455,338,242,230,190,0.6048608436055469,0.15405485026936572,
higgs,GaussianNB,Baseline,10,0.015625,0.0,5.183587074279785,0.003726959228515625,,0.7275621104052733,2634,2826,1416,2124,0.6510481664271635,0.2205330407177776,286,308,164,242,0.6415639445300463,0.19488113459933576,
higgs,GaussianNB,IQR Capping,1,0.09375,0.03125,7.139837265014648,0.004319190979003906,,0.6488623168973896,2599,2972,1271,2158,0.6690937269913111,0.24884850248056375,273,321,150,256,0.6533338149535035,0.1996456814387396,
higgs,GaussianNB,IQR Capping,2,0.109375,0.015625,7.139299392700195,0.004319190979003906,,0.6658433590962036,2509,3062,1181,2248,0.6701345043891556,0.2528152276990016,254,345,126,275,0.6406872719829506,0.2186683970298762,
higgs,GaussianNB,IQR Capping,3,0.09375,0.015625,7.139299392700195,0.004319190979003906,,0.6492301544004621,2512,3065,1178,2245,0.6726194489869699,0.25417291647886847,300,337,134,229,0.6938059632604081,0.2846214625660977,
higgs,GaussianNB,IQR Capping,4,0.09375,0.03125,7.139204025268555,0.004319190979003906,,0.5647852472874055,3259,2372,1871,1498,0.6683915354332757,0.24615990097948193,352,254,217,177,0.6417949983745319,0.2063139540930281,
higgs,GaussianNB,IQR Capping,5,0.109375,0.015625,7.139299392700195,0.004319190979003906,,0.6128681484435482,2858,2781,1462,1899,0.6746732094226745,0.25601798276155535,312,315,156,217,0.6739030097247138,0.25867688216098794,
higgs,GaussianNB,IQR Capping,6,0.09375,0.03125,7.139251708984375,0.004319190979003906,,0.6546313305857842,2494,3047,1196,2263,0.6685180716104593,0.2460267837996675,273,339,132,256,0.6684366207923456,0.23978419096115422,
higgs,GaussianNB,IQR Capping,7,0.109375,0.03125,7.139299392700195,0.004319190979003906,,0.6524539367160019,2435,3077,1165,2323,0.6677934321985612,0.24162683275404875,262,347,125,266,0.6790535118130456,0.23715434427150808,
higgs,GaussianNB,IQR Capping,8,0.109375,0.015625,7.139299392700195,0.004319190979003906,,0.6274990245606606,2655,2937,1305,2103,0.6731063036045994,0.25177719367016266,299,331,141,229,0.6772358115048793,0.26908363064634544,
higgs,GaussianNB,IQR Capping,9,0.109375,0.03125,7.139251708984375,0.004319190979003906,,0.6229988193950475,2845,2767,1475,1913,0.6706327406294944,0.25001546028305327,303,275,197,225,0.6178134630200308,0.15624518482565103,
higgs,GaussianNB,IQR Capping,10,0.109375,0.015625,7.139299392700195,0.004319190979003906,,0.6034071525853586,3026,2588,1654,1732,0.6686794557675908,0.24586309003243303,330,289,183,198,0.6502511877247046,0.2369958937915304,
higgs,GaussianNB,Quantile Capping,1,0.109375,0.015625,7.139299392700195,0.004324913024902344,,0.6895749393503774,2758,2771,1472,1999,0.6586841198732597,0.232892352962172,300,304,167,229,0.6493724890531749,0.21264885082304769,
higgs,GaussianNB,Quantile Capping,2,0.109375,0.015625,7.139299392700195,0.004324913024902344,,0.7153985345987092,2559,2932,1311,2198,0.659212361345903,0.23086454595158842,266,333,138,263,0.6363888119634451,0.2134600977542753,
higgs,GaussianNB,Quantile Capping,3,0.09375,0.015625,7.139299392700195,0.004324913024902344,,0.707475790312146,2312,3135,1108,2445,0.6618505465059838,0.2312771247131419,273,352,119,256,0.6812557443239056,0.26932863248034167,
