Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
ilpd,GaussianNB,Baseline,1,0.015625,0.0,0.15979480743408203,0.0024957656860351562,,0.9877653937771211,137,186,188,13,0.7294652406417111,0.38246801742138425,16,23,19,1,0.7815126050420168,0.450647201063756,
ilpd,GaussianNB,Baseline,2,0.015625,0.0,0.15782451629638672,0.0024957656860351562,,0.9900847747817143,136,185,189,14,0.7335828877005347,0.3737687709100202,17,21,21,0,0.7731092436974791,0.47295265146345866,
ilpd,GaussianNB,Baseline,3,0.0,0.015625,0.15795516967773438,0.0024957656860351562,,0.9922987380014126,136,184,190,14,0.7194295900178254,0.37164359956249793,17,23,19,0,0.8669467787114846,0.5085252044863495,
ilpd,GaussianNB,Baseline,4,0.0,0.015625,0.15816783905029297,0.0024957656860351562,,0.9801807737947692,140,183,191,11,0.7383397669724121,0.39055276381215,14,18,24,2,0.7098214285714286,0.2854557100602737,
ilpd,GaussianNB,Baseline,5,0.0,0.0,0.15825557708740234,0.0024957656860351562,,0.971962599955383,141,179,195,10,0.7419343414668698,0.388889328056883,13,26,16,3,0.7068452380952381,0.3857583749052298,
ilpd,GaussianNB,Baseline,6,0.0,0.0,0.15802860260009766,0.0024957656860351562,,0.9575214162396659,141,184,190,10,0.7503275843751107,0.3992708300990406,14,14,28,2,0.6324404761904763,0.20833333333333334,
ilpd,GaussianNB,Baseline,7,0.0,0.0,0.15839672088623047,0.0024957656860351562,,0.9898427392965083,137,187,188,13,0.733671111111111,0.38326732988065415,16,18,23,1,0.7532281205164992,0.3687401099943506,
ilpd,GaussianNB,Baseline,8,0.0,0.015625,0.15834426879882812,0.0024957656860351562,,0.9901204777719501,138,193,182,12,0.7546844444444445,0.40249981063470774,15,16,25,2,0.5523672883787661,0.2682075281872438,
ilpd,GaussianNB,Baseline,9,0.0,0.0,0.15834426879882812,0.0024957656860351562,,0.9837005507070623,137,181,194,13,0.7297955555555555,0.3706308686396926,16,23,18,1,0.7819225251076041,0.46409466490235485,
ilpd,GaussianNB,Baseline,10,0.0,0.0,0.15844058990478516,0.0024957656860351562,,0.9530145270878965,142,171,204,8,0.7386844444444445,0.3837446891322081,15,22,19,2,0.7230989956958392,0.3871875490042503,
ilpd,GaussianNB,IQR Capping,1,0.046875,0.015625,0.205902099609375,0.0027446746826171875,,0.04180961801394415,140,174,200,10,0.7351871657754011,0.3774348507068154,16,20,22,1,0.8151260504201681,0.3947896082243997,
ilpd,GaussianNB,IQR Capping,2,0.046875,0.015625,0.20558929443359375,0.0027446746826171875,,0.8924986783378522,111,249,125,39,0.7438680926916221,0.36865056253574763,10,30,12,7,0.7605042016806722,0.2833299224962435,
ilpd,GaussianNB,IQR Capping,3,0.046875,0.0,0.20568466186523438,0.0027446746826171875,,0.05410457112690204,139,172,202,11,0.7301782531194295,0.36651798344893555,17,21,21,0,0.8669467787114846,0.47295265146345866,
ilpd,GaussianNB,IQR Capping,4,0.046875,0.015625,0.20587158203125,0.0027446746826171875,,0.0429405828410785,140,178,196,11,0.7484506144420441,0.38012266150916246,14,18,24,2,0.7008928571428572,0.2854557100602737,
ilpd,GaussianNB,IQR Capping,5,0.046875,0.0,0.2058238983154297,0.0027446746826171875,,0.5486426576833764,131,211,163,20,0.75280660126784,0.39368383674554047,10,27,15,6,0.6979166666666667,0.24174688920761409,
ilpd,GaussianNB,IQR Capping,6,0.046875,0.0,0.20587158203125,0.0027446746826171875,,0.19270479905613935,138,192,182,13,0.7525055777880086,0.39644334100499795,13,15,27,3,0.6547619047619048,0.16389057034380913,
ilpd,GaussianNB,IQR Capping,7,0.046875,0.0,0.20596694946289062,0.0027446746826171875,,0.04828002988367548,139,177,198,11,0.7364622222222222,0.3756447411131696,17,15,26,0,0.812051649928264,0.3803154197389427,
ilpd,GaussianNB,IQR Capping,8,0.03125,0.0,0.20596694946289062,0.0027446746826171875,,0.02671685763776012,140,178,197,10,0.7593955555555555,0.38443909960076883,16,16,25,1,0.5810616929698709,0.3314203730272597,
ilpd,GaussianNB,IQR Capping,9,0.046875,0.0,0.20596694946289062,0.0027446746826171875,,0.02818931919372636,138,177,198,12,0.7444799999999998,0.3689323936863109,15,23,18,2,0.7374461979913917,0.40748827421413786,
