Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
irish,GaussianNB,Baseline,1,0.015625,0.0,0.10564517974853516,0.002391815185546875,,0.9999709877270309,192,244,6,8,0.9844400000000001,0.9369749612033813,22,26,2,0,0.9983766233766234,0.9225998461903602,
irish,GaussianNB,Baseline,2,0.015625,0.0,0.10359001159667969,0.002391815185546875,,0.9999789145461377,190,246,4,10,0.98536,0.9371541458272684,20,28,0,2,0.9853896103896104,0.9211323729436766,
irish,GaussianNB,Baseline,3,0.0,0.0,0.10350704193115234,0.002391815185546875,,0.9999761193289681,190,246,4,10,0.9856,0.9371541458272684,20,27,1,2,0.9837662337662337,0.8783816879813642,
irish,GaussianNB,Baseline,4,0.0,0.0,0.10350322723388672,0.002391815185546875,,0.9999803801484349,191,247,3,9,0.9868199999999999,0.9461845390954112,19,26,2,3,0.9659090909090908,0.7967477021094902,
irish,GaussianNB,Baseline,5,0.0,0.0,0.1036825180053711,0.002391815185546875,,0.9999855334124073,187,248,2,13,0.98542,0.9332834844769153,21,28,0,1,0.9821428571428571,0.9600156738532383,
irish,GaussianNB,Baseline,6,0.015625,0.015625,0.10332775115966797,0.002391815185546875,,0.9999804759829632,191,247,3,9,0.9868,0.9461845390954112,21,28,0,1,0.9805194805194805,0.9600156738532383,
irish,GaussianNB,Baseline,7,0.0,0.015625,0.1037302017211914,0.002391815185546875,,0.9999829679366246,192,248,2,8,0.9871599999999999,0.955214932363554,21,27,1,1,0.9805194805194805,0.9188311688311688,
irish,GaussianNB,Baseline,8,0.015625,0.0,0.10337066650390625,0.002391815185546875,,0.9999844964535894,187,248,2,13,0.9836599999999999,0.9332834844769153,20,28,0,2,1.0,0.9211323729436766,
irish,GaussianNB,Baseline,9,0.015625,0.0,0.10367870330810547,0.002391815185546875,,0.999984029721482,187,249,2,12,0.985425133636309,0.9375673878131,22,27,0,1,0.9903381642512077,0.9603958811069554,
irish,GaussianNB,Baseline,10,0.0,0.0,0.1037740707397461,0.002391815185546875,,0.9999756400879097,189,246,5,10,0.9844040921740175,0.9324925479667314,23,26,1,0,1.0,0.9606453592105879,
irish,GaussianNB,IQR Capping,1,0.015625,0.015625,0.12646770477294922,0.0025033950805664062,,0.9999709877270309,192,244,6,8,0.9844400000000001,0.9369749612033813,22,26,2,0,0.9983766233766234,0.9225998461903602,
irish,GaussianNB,IQR Capping,2,0.015625,0.015625,0.12605667114257812,0.0025033950805664062,,0.9999789145461377,190,246,4,10,0.98536,0.9371541458272684,20,28,0,2,0.9853896103896104,0.9211323729436766,
irish,GaussianNB,IQR Capping,3,0.015625,0.0,0.12602901458740234,0.0025033950805664062,,0.9999761193289681,190,246,4,10,0.9856,0.9371541458272684,20,27,1,2,0.9837662337662337,0.8783816879813642,
irish,GaussianNB,IQR Capping,4,0.03125,0.0,0.12610530853271484,0.0025033950805664062,,0.9999803801484349,191,247,3,9,0.9868199999999999,0.9461845390954112,19,26,2,3,0.9659090909090908,0.7967477021094902,
irish,GaussianNB,IQR Capping,5,0.03125,0.0,0.12605857849121094,0.0025033950805664062,,0.9999855334124073,187,248,2,13,0.98542,0.9332834844769153,21,28,0,1,0.9821428571428571,0.9600156738532383,
