Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
kc2,GaussianNB,Baseline,1,0.0,0.0,0.34794139862060547,0.0032138824462890625,,6.905905688185947e-10,61,335,38,35,0.8372291108132262,0.5275195389991338,6,35,7,5,0.8311688311688311,0.3570387793737397,
kc2,GaussianNB,Baseline,2,0.015625,0.0,0.35510921478271484,0.0032520294189453125,,2.831802815727279e-13,78,291,82,18,0.8374804512957998,0.5043790586058711,9,29,13,2,0.8268398268398268,0.4186534622553655,
kc2,GaussianNB,Baseline,3,0.015625,0.0,0.3552265167236328,0.0032520294189453125,,7.816625583181108e-10,62,331,42,35,0.833904535529698,0.5133848842483862,6,36,6,4,0.85,0.42761798705987897,
kc2,GaussianNB,Baseline,4,0.0,0.0,0.34590625762939453,0.0032138824462890625,,5.304464360386191e-10,61,330,43,36,0.826801359829745,0.5007200251471505,7,37,5,3,0.9285714285714285,0.5434311918885962,
kc2,GaussianNB,Baseline,5,0.0,0.0,0.3553152084350586,0.0032520294189453125,,1.7326905566821425e-10,60,329,44,37,0.8184544374119012,0.4880551660459149,8,38,4,2,0.9380952380952381,0.6592443967173135,
kc2,GaussianNB,Baseline,6,0.0,0.0,0.3558330535888672,0.0032520294189453125,,7.918196000183241e-11,64,330,44,32,0.8559352718360073,0.5261300530910591,6,34,7,5,0.6807095343680709,0.35342271108757395,
kc2,GaussianNB,Baseline,7,0.0,0.0,0.3558340072631836,0.0032520294189453125,,6.855891565931691e-10,59,334,40,37,0.8231673351158646,0.5018979204143443,6,37,4,5,0.917960088691796,0.4641287308819752,
kc2,GaussianNB,Baseline,8,0.015625,0.0,0.3556947708129883,0.0032520294189453125,,2.0896380064900525e-10,59,329,45,37,0.8192819741532977,0.48003383243847736,8,38,3,3,0.9190687361419069,0.6541019955654102,
kc2,GaussianNB,Baseline,9,0.0,0.0,0.35570240020751953,0.0032520294189453125,,1.082669862927538e-10,62,328,46,34,0.8353108288770054,0.5010406532378937,7,37,4,4,0.7827050997782705,0.5388026607538803,
kc2,GaussianNB,Baseline,10,0.015625,0.0,0.35570621490478516,0.0032520294189453125,,9.743699147384514e-11,81,295,79,15,0.8592078877005347,0.5381519005197644,4,33,8,7,0.6674057649667405,0.1633445702576861,
