Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
mozilla4,GaussianNB,Baseline,1,0.015625,0.0,0.9004220962524414,0.0022706985473632812,,0.2521793499064468,4527,2265,693,1515,0.8149883428128412,0.49011126943550243,521,247,81,151,0.8334739764808362,0.5067579013806974,
mozilla4,GaussianNB,Baseline,2,0.015625,0.0,0.8986501693725586,0.0022706985473632812,,0.2704533704763471,4421,2339,619,1621,0.8169715026144462,0.4943902943815236,505,245,83,167,0.8166013356562136,0.47544094187425767,
mozilla4,GaussianNB,Baseline,3,0.0,0.0,0.8984193801879883,0.0022706985473632812,,0.2155480812420826,4659,2217,741,1383,0.8185888436119576,0.4991619374013616,509,249,79,163,0.8071079231997677,0.492751105053252,
mozilla4,GaussianNB,Baseline,4,0.0,0.0,0.8986015319824219,0.0022706985473632812,,0.26830574895676496,4410,2328,630,1632,0.8157047612844862,0.4891484649118502,491,256,72,181,0.8166013356562137,0.4838031503285341,
mozilla4,GaussianNB,Baseline,5,0.0,0.0,0.8985424041748047,0.0022706985473632812,,0.2309103130418625,4600,2247,710,1443,0.8189203001306553,0.49763987627408657,511,240,89,160,0.8030544621057352,0.47093877771093656,
mozilla4,GaussianNB,Baseline,6,0.015625,0.0,0.8987226486206055,0.0022706985473632812,,0.22805732727933406,4709,2176,781,1334,0.8189372847092735,0.4960538222561364,497,238,91,174,0.7974442718077179,0.44302064057682766,
mozilla4,GaussianNB,Baseline,7,0.015625,0.0,0.8984947204589844,0.0022706985473632812,,0.2708737685019298,4415,2332,625,1628,0.8168499443538196,0.491306662957456,487,261,68,184,0.819993748839232,0.49077221002895144,
mozilla4,GaussianNB,Baseline,8,0.015625,0.0,0.8986825942993164,0.0022706985473632812,,0.252962264230379,4520,2257,700,1523,0.8142789772160972,0.48652046449416675,514,265,64,157,0.8445952373402669,0.5436873286776507,
mozilla4,GaussianNB,Baseline,9,0.015625,0.0,0.8987188339233398,0.0022706985473632812,,0.3008421175130281,4238,2425,532,1805,0.8169238706416437,0.49067014662462705,457,272,57,214,0.8103361584352167,0.47738630253954384,
mozilla4,GaussianNB,Baseline,10,0.0,0.0,0.8987617492675781,0.0022706985473632812,,0.2588395806669586,4486,2313,644,1557,0.8181449415252018,0.49765857235672967,487,261,68,184,0.8192961555361276,0.49077221002895144,
mozilla4,GaussianNB,IQR Capping,1,0.03125,0.0,1.2503795623779297,0.0024051666259765625,,0.37272698994110914,4548,2286,672,1494,0.8199914660929947,0.500175746336607,519,254,74,153,0.8351480836236934,0.5224627757362178,
mozilla4,GaussianNB,IQR Capping,2,0.03125,0.015625,1.2501068115234375,0.0024051666259765625,,0.36103279572692315,4613,2261,697,1429,0.8223822693478309,0.5041329250974595,515,242,86,157,0.8192372604529616,0.48336840099297446,
mozilla4,GaussianNB,IQR Capping,3,0.03125,0.0,1.2501068115234375,0.0024051666259765625,,0.3565437451712909,4622,2270,688,1420,0.8240845185795442,0.5084614022548093,503,249,79,169,0.8088115200348431,0.4832182968298548,
mozilla4,GaussianNB,IQR Capping,4,0.03125,0.0,1.2501068115234375,0.0024051666259765625,,0.4032946616570736,4423,2341,617,1619,0.8206106947110591,0.49534335428510057,504,258,70,168,0.8254437064459931,0.5094477362002883,
mozilla4,GaussianNB,IQR Capping,5,0.03125,0.015625,1.2501068115234375,0.0024051666259765625,,0.36784962425782675,4565,2302,655,1478,0.8237938668714591,0.5080890623132489,507,244,85,164,0.8066488795473797,0.47536325401967977,
mozilla4,GaussianNB,IQR Capping,6,0.03125,0.0,1.2500591278076172,0.0024051666259765625,,0.37251390594449946,4564,2301,656,1479,0.8240819611407392,0.5076097601394916,488,250,79,183,0.8010726629491889,0.46194201096854487,
mozilla4,GaussianNB,IQR Capping,7,0.015625,0.015625,1.2500114440917969,0.0024051666259765625,,0.3629049174495348,4604,2251,706,1439,0.8215276707886122,0.4995638099557857,507,261,68,164,0.8272278819889562,0.5217055201045356,
mozilla4,GaussianNB,IQR Capping,8,0.03125,0.0,1.2501068115234375,0.0024051666259765625,,0.4046755981241758,4422,2339,618,1621,0.8193590171127885,0.4946426605525189,504,270,59,167,0.849147713117019,0.5416242935910448,
mozilla4,GaussianNB,IQR Capping,9,0.03125,0.0,1.2499637603759766,0.0024051666259765625,,0.37450366521091427,4550,2287,670,1493,0.8212252501531832,0.5008995297068882,493,256,73,178,0.8222043042412768,0.4861696519034501,
mozilla4,GaussianNB,IQR Capping,10,0.03125,0.0,1.2500114440917969,0.0024051666259765625,,0.36137777879529265,4620,2267,690,1423,0.8228359030599719,0.5072595446825822,503,260,69,168,0.8253072354920977,0.5126883209541347,
mozilla4,GaussianNB,Quantile Capping,1,0.03125,0.015625,1.2500591278076172,0.002410888671875,,0.268045873978748,4597,2245,713,1445,0.8160924296210055,0.4964378545955045,527,244,84,145,0.833941274680604,0.5085877126702463,
mozilla4,GaussianNB,Quantile Capping,2,0.03125,0.015625,1.2500591278076172,0.002410888671875,,0.27088263776468524,4602,2250,708,1440,0.8184063818315739,0.49884256412736544,521,241,87,151,0.8179079558652729,0.49050411110635717,
mozilla4,GaussianNB,Quantile Capping,3,0.03125,0.015625,1.2500114440917969,0.002410888671875,,0.25223476783495585,4664,2222,736,1378,0.8202505830831688,0.5015761468103448,509,250,78,163,0.8079880770905923,0.4954802831609998,
mozilla4,GaussianNB,Quantile Capping,4,0.03125,0.0,1.2500114440917969,0.002410888671875,,0.266789118144213,4592,2240,718,1450,0.816883572934019,0.4940331450636435,519,241,87,153,0.8191215701219512,0.4872047325763589,
mozilla4,GaussianNB,Quantile Capping,5,0.015625,0.015625,1.2500591278076172,0.002410888671875,,0.26352407304614855,4610,2257,700,1433,0.82030080779999,0.5024497104783343,514,237,92,157,0.8037814992820225,0.4676872173661308,
mozilla4,GaussianNB,Quantile Capping,6,0.03125,0.015625,1.2501068115234375,0.002410888671875,,0.2701620346861325,4611,2258,699,1432,0.8200967969882845,0.5029306938987591,493,248,81,178,0.7983457073097812,0.464177501959289,
mozilla4,GaussianNB,Quantile Capping,7,0.03125,0.015625,1.2500591278076172,0.002410888671875,,0.2695090404136379,4597,2244,713,1446,0.8179571877813333,0.49619692601281223,515,252,77,156,0.8212303915129168,0.5100081963722546,
mozilla4,GaussianNB,Quantile Capping,8,0.03125,0.0,1.2500114440917969,0.002410888671875,,0.2606926449102953,4645,2202,755,1398,0.8154336767314798,0.49215492420088236,528,257,72,143,0.846715196209441,0.5447944900825779,
mozilla4,GaussianNB,Quantile Capping,9,0.015625,0.015625,1.2501068115234375,0.002410888671875,,0.26861653170102856,4597,2244,713,1446,0.8180055112859027,0.49619692601281223,502,255,74,169,0.8126690191566368,0.4974433682861773,
mozilla4,GaussianNB,Quantile Capping,10,0.03125,0.015625,1.2500591278076172,0.002410888671875,,0.26934351136990864,4607,2254,703,1436,0.8192934571989459,0.50100676021706,496,257,72,175,0.8209948405274531,0.4935588369641778,
mozilla4,GaussianNB,IQR Removal,1,0.03125,0.0,1.4179706573486328,0.0024576187133789062,,0.45348145010508967,4443,2361,597,1599,0.8191653243612047,0.5048739533208704,503,259,69,169,0.8323011941056911,0.5106246982877529,
mozilla4,GaussianNB,IQR Removal,2,0.03125,0.0,1.4167699813842773,0.0024576187133789062,,0.38603251488166596,4691,2249,709,1351,0.8219314863568274,0.5146128776188539,519,240,88,153,0.8231661948315911,0.4844915906609893,
mozilla4,GaussianNB,IQR Removal,3,0.03125,0.0,1.4178457260131836,0.0024576187133789062,,0.431512595200454,4516,2344,614,1526,0.8238111896015696,0.512221721349423,493,256,72,179,0.8042995971254354,0.48687352025784664,
mozilla4,GaussianNB,IQR Removal,4,0.03125,0.0,1.4188270568847656,0.0024576187133789062,,0.3959504205360826,4605,2253,705,1437,0.8195306116145735,0.500285389846482,528,242,86,144,0.8258724412020906,0.5048662093959467,
mozilla4,GaussianNB,IQR Removal,5,0.015625,0.0,1.4176197052001953,0.0024576187133789062,,0.46787338930965655,4398,2405,552,1645,0.823238104597135,0.5108650911651639,483,258,71,188,0.8043613170923948,0.4764100941467715,
mozilla4,GaussianNB,IQR Removal,6,0.03125,0.015625,1.4203615188598633,0.0024576187133789062,,0.3987749195748404,4633,2280,677,1410,0.8238441490589005,0.5135123291481042,497,246,83,174,0.8006717732912361,0.46494488733846845,
mozilla4,GaussianNB,IQR Removal,7,0.03125,0.0,1.4200992584228516,0.0024576187133789062,,0.4744205358236224,4388,2395,562,1655,0.8206309298074654,0.5061099825770393,478,272,57,193,0.8273207434351487,0.507854288840087,
mozilla4,GaussianNB,IQR Removal,8,0.03125,0.0,1.4206428527832031,0.0024576187133789062,,0.38295493899286737,4662,2219,738,1381,0.8182777682051039,0.5003639447183618,538,260,69,133,0.8509143455079975,0.5695550752715176,
mozilla4,GaussianNB,IQR Removal,9,0.03125,0.0,1.4196138381958008,0.0024576187133789062,,0.43455854031075325,4499,2326,631,1544,0.8203421639897721,0.5038704048665353,490,262,67,181,0.8228883080644505,0.49809880437036264,
mozilla4,GaussianNB,IQR Removal,10,0.03125,0.0,1.4215164184570312,0.0024576187133789062,,0.4338970903036797,4518,2345,612,1525,0.8226248689711112,0.5129492369962513,490,261,68,181,0.8240139699853686,0.49533927242967546,
mozilla4,GaussianNB,Quantile Removal,1,0.03125,0.0,1.4807024002075195,0.0024633407592773438,,0.28532636680684215,4756,2224,734,1286,0.8219940974369409,0.5191003472636907,537,244,84,135,0.8394127468060396,0.5254890206317375,
