Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
pc4,GaussianNB,Baseline,1,0.0,0.0,1.4249248504638672,0.004214286804199219,,0.006501521976377225,68,1062,90,92,0.8270643446180554,0.3487608949675804,4,118,10,14,0.7858072916666667,0.1608962280480689,
pc4,GaussianNB,Baseline,2,0.015625,0.015625,1.4228315353393555,0.004214286804199219,,0.22627158073972742,73,1054,98,87,0.8247829861111111,0.36077012835007527,8,121,7,10,0.8947482638888888,0.42204020171443485,
pc4,GaussianNB,Baseline,3,0.0,0.0,1.4230947494506836,0.004214286804199219,,0.00011764428325182144,103,953,199,57,0.8337944878472222,0.3661418595082262,9,105,23,9,0.7799479166666667,0.2545585623734381,
pc4,GaussianNB,Baseline,4,0.015625,0.015625,1.422835350036621,0.004214286804199219,,0.00027928758225868427,91,993,159,69,0.8287299262152776,0.3588874312704711,12,108,20,6,0.8626302083333334,0.4056380343511697,
pc4,GaussianNB,Baseline,5,0.0,0.0,1.422743797302246,0.004214286804199219,,0.00031575358450753883,98,974,178,62,0.83671875,0.367708881620862,13,108,20,5,0.8682725694444444,0.4448772139887084,
pc4,GaussianNB,Baseline,6,0.015625,0.0,1.422739028930664,0.004214286804199219,,1.1721782351003207e-05,102,926,226,58,0.8193196614583333,0.3335068992567498,10,101,27,8,0.7634548611111112,0.26047446461670587,
pc4,GaussianNB,Baseline,7,0.015625,0.015625,1.4230108261108398,0.004214286804199219,,5.487236275799995e-06,125,831,321,35,0.827536349826389,0.34720497557368335,13,91,37,5,0.8333333333333333,0.3001018586725242,
pc4,GaussianNB,Baseline,8,0.0,0.0,1.3953742980957031,0.004176139831542969,,0.007219930893662649,69,1063,89,91,0.8321940104166666,0.35591765006951775,4,117,11,14,0.7682291666666667,0.14757307721417878,
pc4,GaussianNB,Baseline,9,0.015625,0.0,1.4228906631469727,0.004214286804199219,,0.0035141240926934284,74,1055,97,87,0.8297182324016563,0.36587467325541534,6,117,11,11,0.8451286764705883,0.26700367647058826,
pc4,GaussianNB,Baseline,10,0.0,0.0,1.4230623245239258,0.004214286804199219,,0.0015132671621293004,92,994,158,69,0.8304595841959972,0.3628007394937644,10,106,22,7,0.8687959558823529,0.32298662712673865,
pc4,GaussianNB,IQR Capping,1,0.125,0.015625,1.5460186004638672,0.00501251220703125,,1.4163861631903777e-05,143,691,461,17,0.8050238715277778,0.3240451375042199,13,80,48,5,0.7588975694444444,0.23145915817929527,
pc4,GaussianNB,IQR Capping,2,0.109375,0.03125,1.5438919067382812,0.00501251220703125,,2.5892826293091057e-05,144,679,473,16,0.8012505425347223,0.32086610249216546,17,81,47,1,0.8658854166666666,0.3824841918738175,
pc4,GaussianNB,IQR Capping,3,0.125,0.03125,1.5435924530029297,0.00501251220703125,,0.9554532896767383,93,954,198,67,0.8057942708333334,0.32243945815643743,8,103,25,10,0.763671875,0.1958278533968701,
pc4,GaussianNB,IQR Capping,4,0.125,0.03125,1.5436725616455078,0.00501251220703125,,3.235153232620611e-05,142,703,449,18,0.8041910807291667,0.3273633585054787,16,71,57,2,0.8109809027777777,0.2916666666666667,
pc4,GaussianNB,IQR Capping,5,0.125,0.015625,1.543914794921875,0.00501251220703125,,3.413159597400698e-05,143,691,461,17,0.7996202256944445,0.3240451375042199,17,69,59,1,0.8493923611111112,0.3181911800923381,
pc4,GaussianNB,IQR Capping,6,0.109375,0.03125,1.5438547134399414,0.00501251220703125,,1.7754191634276268e-05,145,693,459,15,0.8071126302083332,0.33339149743223473,13,83,45,5,0.7578125,0.24903552310223934,
pc4,GaussianNB,IQR Capping,7,0.125,0.03125,1.5439023971557617,0.00501251220703125,,0.0012257946446349933,125,805,347,35,0.8069254557291666,0.32730168470740234,13,87,41,5,0.8344184027777778,0.27370262065368095,
pc4,GaussianNB,IQR Capping,8,0.125,0.015625,1.5240020751953125,0.004974365234375,,1.3307882004029852e-05,144,692,460,16,0.8087266710069444,0.32871831746822733,13,82,46,5,0.7361111111111112,0.24309689285099523,
pc4,GaussianNB,IQR Capping,9,0.109375,0.03125,1.5448503494262695,0.00501251220703125,,2.2821289460886914e-05,144,692,460,17,0.8038706651138716,0.32583247034292084,16,70,58,1,0.8065257352941175,0.3140870546757156,
pc4,GaussianNB,IQR Capping,10,0.125,0.015625,1.544809341430664,0.00501251220703125,,2.267651151571717e-05,145,680,472,16,0.7986191985852311,0.3226146099211146,16,76,52,1,0.8543198529411764,0.34484482725203774,
