Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
phoneme,GaussianNB,Baseline,1,0.0,0.015625,0.5371255874633789,0.001705169677734375,,0.540881259649712,1000,2782,654,427,0.8187528399982706,0.4905970207489332,109,301,81,50,0.812950706312358,0.45186965595830236,
phoneme,GaussianNB,Baseline,2,0.0,0.0,0.5357484817504883,0.001705169677734375,,0.5321381427159134,1004,2738,698,423,0.8160890541877788,0.4777388051071748,119,315,67,40,0.8339754354769666,0.5495924346261812,
phoneme,GaussianNB,Baseline,3,0.0,0.0,0.5356168746948242,0.001705169677734375,,0.5657978770128552,975,2806,630,452,0.817365166875647,0.4840694062946871,104,312,70,55,0.8259409266027857,0.45919564644720545,
phoneme,GaussianNB,Baseline,4,0.015625,0.0,0.5355691909790039,0.001705169677734375,,0.5456188887810375,996,2778,658,431,0.8182959928797113,0.48678396560876763,107,309,73,52,0.8149264052158451,0.4658628834800744,
phoneme,GaussianNB,Baseline,5,0.0,0.0,0.5356111526489258,0.001705169677734375,,0.5945202964621815,966,2845,591,462,0.8220781036512393,0.49245111387925433,96,313,69,62,0.7871462654914176,0.42169319007387895,
phoneme,GaussianNB,Baseline,6,0.015625,0.0,0.5356950759887695,0.001705169677734375,,0.5370804320208874,1004,2737,699,424,0.8169668332990939,0.47701759593323856,116,309,73,42,0.8242925309828352,0.5180095490382695,
phoneme,GaussianNB,Baseline,7,0.015625,0.0,0.5357866287231445,0.001705169677734375,,0.5908625955436346,954,2833,603,474,0.8165690024554642,0.4808386940880657,109,313,69,49,0.8276393399164954,0.4928591641397389,
phoneme,GaussianNB,Baseline,8,0.0,0.0,0.5357427597045898,0.001705169677734375,,0.5345144115614563,1015,2748,688,413,0.8205269302132959,0.48742820163962286,104,302,80,54,0.7954967194645106,0.430807053557147,
phoneme,GaussianNB,Baseline,9,0.0,0.0,0.5356435775756836,0.001705169677734375,,0.583389063061503,965,2845,592,462,0.8201041512262266,0.4918938929665297,102,301,80,57,0.8029680252232623,0.4161027183596062,
phoneme,GaussianNB,Baseline,10,0.015625,0.0,0.5357751846313477,0.001705169677734375,,0.5368040745714348,999,2733,704,428,0.813962364711162,0.4727136514189316,120,310,71,39,0.846861123491639,0.5418251866362342,
phoneme,GaussianNB,IQR Capping,1,0.03125,0.015625,0.8098659515380859,0.0018625259399414062,,0.524231928337505,1025,2759,677,402,0.8245694827756399,0.49762231155090175,113,297,85,46,0.8167539267015707,0.4616676524899989,
phoneme,GaussianNB,IQR Capping,2,0.03125,0.0,0.8094501495361328,0.0018625259399414062,,0.5284625913374227,1014,2748,688,413,0.8223148198757865,0.48720714150894956,121,315,67,38,0.8349303566136521,0.5602413172985088,
phoneme,GaussianNB,IQR Capping,3,0.03125,0.0,0.8094978332519531,0.0018625259399414062,,0.5327740585866616,1022,2756,680,405,0.8223503071073174,0.49478181063036936,116,307,75,43,0.838256116434522,0.5082644937135226,
phoneme,GaussianNB,IQR Capping,4,0.015625,0.0,0.8094501495361328,0.0018625259399414062,,0.5098261469081985,1038,2723,713,389,0.8248454265932339,0.4931605609980131,113,305,77,46,0.8134775593532878,0.4858710445842548,
phoneme,GaussianNB,IQR Capping,5,0.03125,0.0,0.8096551895141602,0.0018625259399414062,,0.5478298437281254,1008,2790,646,420,0.8272880164871537,0.497844501573164,99,305,77,59,0.7948339850222016,0.4125285217813048,
phoneme,GaussianNB,IQR Capping,6,0.03125,0.015625,0.8097028732299805,0.0018625259399414062,,0.5317038301938405,1016,2749,687,412,0.8225517506187573,0.48837462034020324,118,311,71,40,0.8342501159785274,0.5350774089736325,
phoneme,GaussianNB,IQR Capping,7,0.03125,0.0,0.8097028732299805,0.0018625259399414062,,0.5292772841586526,1017,2750,686,411,0.8224608527928052,0.4893210390407836,116,308,74,42,0.8325435747895817,0.5148881646272738,
phoneme,GaussianNB,IQR Capping,8,0.03125,0.015625,0.8096551895141602,0.0018625259399414062,,0.5321748615156517,1027,2760,676,401,0.8256948588515733,0.49878522604658754,102,305,77,56,0.8066472264563589,0.4291034847050505,
phoneme,GaussianNB,IQR Capping,9,0.03125,0.0,0.8096075057983398,0.0018625259399414062,,0.5247451162022542,1027,2761,676,400,0.8260220662280444,0.499218801828901,111,299,82,48,0.8092738407699037,0.4592677702375885,
phoneme,GaussianNB,IQR Capping,10,0.03125,0.015625,0.8097028732299805,0.0018625259399414062,,0.536115199683728,1013,2747,690,414,0.8201345308760207,0.4859662266239163,118,307,74,41,0.849617854371977,0.5217135729282126,
phoneme,GaussianNB,Quantile Capping,1,0.03125,0.015625,0.8094987869262695,0.0018682479858398438,,0.5399010093496006,1004,2786,650,423,0.8197116070984253,0.4944100758890988,109,301,81,50,0.8147617636405544,0.45186965595830236,
phoneme,GaussianNB,Quantile Capping,2,0.015625,0.0,0.8094978332519531,0.0018682479858398438,,0.5457911469764989,990,2772,664,437,0.817165092311671,0.4810643828985193,119,319,63,40,0.8354078171819947,0.5625910326526024,
phoneme,GaussianNB,Quantile Capping,3,0.03125,0.0,0.8095455169677734,0.0018682479858398438,,0.548593359913233,995,2777,659,432,0.8182831440545019,0.4858307018237263,107,311,71,52,0.8286410484375515,0.47225657849750036,
phoneme,GaussianNB,Quantile Capping,4,0.015625,0.0,0.8095455169677734,0.0018682479858398438,,0.541814322342247,997,2779,657,430,0.8195341709407705,0.48773722939380904,108,308,74,51,0.8142349105996245,0.46812475813112614,
phoneme,GaussianNB,Quantile Capping,5,0.015625,0.0,0.8096551895141602,0.0018682479858398438,,0.5944312672135128,969,2848,588,459,0.823241228971216,0.4953542188270515,96,313,69,62,0.7867651931870899,0.42169319007387895,
phoneme,GaussianNB,Quantile Capping,6,0.03125,0.0,0.8097028732299805,0.0018682479858398438,,0.5361498458257037,1005,2738,698,423,0.8179752692695239,0.47796401463381893,116,309,73,42,0.8272582676121677,0.5180095490382695,
