Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
profb,GaussianNB,Baseline,1,0.015625,0.0,0.2298574447631836,0.0027246475219726562,,0.08542970707855342,164,187,216,37,0.6794377986000519,0.2730864105150875,18,23,22,5,0.6260869565217391,0.2823542943715121,
profb,GaussianNB,Baseline,2,0.015625,0.0,0.22792339324951172,0.0027246475219726562,,0.20696442030045506,109,300,103,92,0.6829438415861141,0.2830580477834634,10,27,18,13,0.5942028985507246,0.033436692754521165,
profb,GaussianNB,Baseline,3,0.0,0.015625,0.2283935546875,0.0027246475219726562,,0.18990622746317753,153,218,186,48,0.6686246982907245,0.28544535097414303,16,27,17,7,0.7134387351778656,0.29373632217249945,
profb,GaussianNB,Baseline,4,0.015625,0.015625,0.22809123992919922,0.0027246475219726562,,0.0861729848127666,174,167,237,27,0.6867272548150338,0.281598444978093,18,18,26,5,0.5933794466403162,0.191699604743083,
profb,GaussianNB,Baseline,5,0.0,0.0,0.22802162170410156,0.0027246475219726562,,0.15823162745924257,135,260,143,67,0.6811598653661891,0.29664645981414284,11,23,22,11,0.5545454545454545,0.010437071518085825,
profb,GaussianNB,Baseline,6,0.015625,0.0,0.22798633575439453,0.0027246475219726562,,0.13965677348568317,165,199,204,37,0.6795260791587844,0.30033082991541354,17,19,26,5,0.6696969696969697,0.1909412947173698,
profb,GaussianNB,Baseline,7,0.015625,0.0,0.22776317596435547,0.0027246475219726562,,0.14590893144881154,161,201,202,41,0.6788995897108321,0.28474050007024015,17,21,24,5,0.6575757575757576,0.2307024179817586,
profb,GaussianNB,Baseline,8,0.0,0.0,0.2277231216430664,0.0027246475219726562,,0.317662273497872,139,239,164,63,0.6756627275630789,0.2652001867928941,16,31,14,6,0.709090909090909,0.3930231474954045,
profb,GaussianNB,Baseline,9,0.0,0.0,0.22803020477294922,0.0027246475219726562,,0.10612624849128581,164,198,205,38,0.678543350612977,0.29314531355922957,18,19,26,4,0.6212121212121212,0.2377765949518141,
profb,GaussianNB,Baseline,10,0.015625,0.0,0.22759056091308594,0.0027246475219726562,,0.1529849383832878,165,193,210,37,0.6820504631108272,0.28731515620521303,15,19,26,7,0.6060606060606061,0.1002630761692875,
profb,GaussianNB,IQR Capping,1,0.03125,0.015625,0.2427539825439453,0.0029048919677734375,,0.08208368680682791,165,188,215,36,0.6794995247089615,0.2803603650022595,18,22,23,5,0.629951690821256,0.26251996311759845,
profb,GaussianNB,IQR Capping,2,0.03125,0.0,0.24221229553222656,0.0029048919677734375,,0.17844463006204334,128,265,138,73,0.6814624149722849,0.2794253601626551,12,24,21,11,0.6,0.05213311661791026,
profb,GaussianNB,IQR Capping,3,0.046875,0.015625,0.2423086166381836,0.0029048919677734375,,0.18331456151282918,155,214,190,46,0.668452292990493,0.28624541183053254,17,27,17,6,0.7144268774703558,0.3350283291232662,
profb,GaussianNB,IQR Capping,4,0.03125,0.0,0.2423715591430664,0.0029048919677734375,,0.11386904735090461,158,205,199,43,0.6876508546377026,0.281080070151369,17,22,22,6,0.5904150197628458,0.2302044902731774,
profb,GaussianNB,IQR Capping,5,0.046875,0.015625,0.24217605590820312,0.0029048919677734375,,0.12604065022704436,160,212,191,42,0.6817617866004965,0.3039958131245533,15,20,25,7,0.5525252525252524,0.12088726108034571,
profb,GaussianNB,IQR Capping,6,0.03125,0.0,0.24236583709716797,0.0029048919677734375,,0.14013669382670557,163,203,200,39,0.6800788639658011,0.2990490679129658,16,18,27,6,0.6727272727272727,0.12465597478957821,
profb,GaussianNB,IQR Capping,7,0.046875,0.015625,0.24182987213134766,0.0029048919677734375,,0.14049865904511366,161,201,202,41,0.6794032380905585,0.28474050007024015,17,20,25,5,0.6616161616161617,0.2108755426039124,
