Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
qsar-biodeg,GaussianNB,Baseline,1,0.03125,0.0,1.438755989074707,0.005809783935546875,,1.0,310,274,355,10,0.7052861685214626,0.41744642288943967,35,34,36,1,0.7313492063492063,0.46115013689256157,
qsar-biodeg,GaussianNB,Baseline,2,0.015625,0.0,1.4539117813110352,0.005847930908203125,,1.0,311,302,327,9,0.7283609896661367,0.4552503760376583,35,32,38,1,0.7162698412698413,0.4391456552757145,
qsar-biodeg,GaussianNB,Baseline,3,0.015625,0.0,1.4370193481445312,0.005809783935546875,,1.0,311,277,352,9,0.7084856915739268,0.4247448326918658,34,24,46,2,0.6468253968253969,0.31623259241111207,
qsar-biodeg,GaussianNB,Baseline,4,0.015625,0.0,1.4371232986450195,0.005809783935546875,,1.0,310,292,337,10,0.7202876589825119,0.43945202267640054,31,31,39,5,0.6517857142857143,0.30396825396825394,
qsar-biodeg,GaussianNB,Baseline,5,0.015625,0.0,1.437382698059082,0.005809783935546875,,1.0,311,261,368,9,0.6959459459459459,0.4053141263043992,35,33,37,1,0.7220238095238095,0.45012779018016486,
qsar-biodeg,GaussianNB,Baseline,6,0.015625,0.015625,1.4555749893188477,0.005847930908203125,,1.0,310,270,360,10,0.7015029761904762,0.4118801243396842,36,36,33,0,0.7608695652173912,0.5217391304347826,
qsar-biodeg,GaussianNB,Baseline,7,0.015625,0.015625,1.3869695663452148,0.005703926086425781,,1.0,312,310,319,9,0.7348458959234111,0.4655236928508956,33,35,35,2,0.7216326530612245,0.4370100026868157,
qsar-biodeg,GaussianNB,Baseline,8,0.015625,0.0,1.4544858932495117,0.005847930908203125,,1.0,312,279,350,9,0.709799959387645,0.42761066710612705,33,29,41,2,0.680204081632653,0.36908662209843285,
qsar-biodeg,GaussianNB,Baseline,9,0.03125,0.0,1.4385108947753906,0.005809783935546875,,1.0,312,289,340,9,0.7180611067362029,0.4397929605309236,33,28,42,2,0.6742857142857143,0.35777087639996635,
qsar-biodeg,GaussianNB,Baseline,10,0.03125,0.0,1.4217214584350586,0.005771636962890625,,1.0,309,305,324,12,0.7272880356992507,0.44890296937912005,35,34,36,0,0.7428571428571429,0.48932261312789327,
qsar-biodeg,GaussianNB,IQR Capping,1,0.109375,0.03125,1.53546142578125,0.006473541259765625,,1.0,310,253,376,10,0.6886476550079491,0.3918374191970871,35,31,39,1,0.7101190476190476,0.42819398777025247,
qsar-biodeg,GaussianNB,IQR Capping,2,0.109375,0.015625,1.5477409362792969,0.006511688232421875,,1.0,311,287,342,9,0.7163553259141495,0.4369167477725765,35,28,42,1,0.6884920634920635,0.39541961275305204,
qsar-biodeg,GaussianNB,IQR Capping,3,0.109375,0.03125,1.5335464477539062,0.006473541259765625,,0.999999999999996,312,258,371,8,0.6943710254372017,0.4054218009530348,34,22,48,2,0.6317460317460317,0.2927755316569746,
qsar-biodeg,GaussianNB,IQR Capping,4,0.109375,0.03125,1.5332517623901367,0.006473541259765625,,1.0,310,272,357,10,0.7041658386327503,0.4150063558410524,31,29,41,5,0.6369047619047619,0.27941742968249944,
qsar-biodeg,GaussianNB,IQR Capping,5,0.109375,0.03125,1.5346107482910156,0.006473541259765625,,1.0,311,240,389,9,0.6793049483306837,0.3798033146114834,35,31,39,1,0.7081349206349206,0.42819398777025247,
qsar-biodeg,GaussianNB,IQR Capping,6,0.109375,0.015625,1.550084114074707,0.006511688232421875,,1.0,310,249,381,10,0.6848859126984128,0.38631674913197694,36,32,37,0,0.7318840579710145,0.47823379640737024,
qsar-biodeg,GaussianNB,IQR Capping,7,0.125,0.03125,1.4911718368530273,0.006367683410644531,,0.9999999999999978,312,295,334,9,0.7230336438692678,0.44712092542544757,32,31,39,3,0.6863265306122449,0.3597960390646274,
qsar-biodeg,GaussianNB,IQR Capping,8,0.109375,0.03125,1.5489921569824219,0.006511688232421875,,1.0,312,256,373,9,0.6918067050007677,0.3996690525272854,33,27,43,2,0.6646938775510205,0.34642325904904736,
