Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
saheart,GaussianNB,Baseline,1,0.015625,0.0,0.1185464859008789,0.0024499893188476562,,0.4096380570523125,101,198,73,43,0.7756252562525624,0.41675687584268295,12,19,12,4,0.719758064516129,0.34400291919567666,
saheart,GaussianNB,Baseline,2,0.0,0.0,0.1166086196899414,0.0024499893188476562,,0.2275022511269265,116,171,100,28,0.7740364903649036,0.41595689353955617,12,16,15,4,0.6733870967741936,0.2550563926680926,
saheart,GaussianNB,Baseline,3,0.015625,0.0,0.11679935455322266,0.0024499893188476562,,0.4824539773923519,98,208,64,46,0.7705524918300654,0.43441660472039345,7,24,6,9,0.6875,0.25122079554027393,
saheart,GaussianNB,Baseline,4,0.0,0.0,0.11661624908447266,0.0024499893188476562,,0.4741868883722157,93,203,69,51,0.7647824754901962,0.3826054500289704,11,24,6,5,0.7166666666666666,0.48102957532012225,
saheart,GaussianNB,Baseline,5,0.015625,0.0,0.1168832778930664,0.0024499893188476562,,0.4214027381219703,93,203,69,51,0.7594720179738563,0.3826054500289704,13,23,7,3,0.7958333333333333,0.5564453344726779,
saheart,GaussianNB,Baseline,6,0.0,0.015625,0.11675167083740234,0.0024499893188476562,,0.430549284089482,99,200,72,45,0.7673866421568627,0.40880249433032534,9,23,7,7,0.7395833333333334,0.32916666666666666,
saheart,GaussianNB,Baseline,7,0.0,0.0,0.11683940887451172,0.0024499893188476562,,0.24710277770287653,114,170,102,30,0.7613357843137255,0.39674602380793605,12,19,11,4,0.8145833333333333,0.36514837167011077,
saheart,GaussianNB,Baseline,8,0.015625,0.0,0.11678791046142578,0.0024499893188476562,,0.1981372667206983,118,161,111,26,0.7626633986928104,0.393409833094954,12,22,8,4,0.8104166666666667,0.4643716460347527,
saheart,GaussianNB,Baseline,9,0.0,0.0,0.11679935455322266,0.0024499893188476562,,0.3484058002733032,103,196,76,41,0.7720843545751632,0.41881093798571567,11,17,13,5,0.7229166666666667,0.24233840809992135,
saheart,GaussianNB,Baseline,10,0.015625,0.0,0.11670780181884766,0.0024499893188476562,,0.4458796921495362,95,205,67,49,0.7612081290849673,0.4033299119055396,12,22,8,4,0.80625,0.4643716460347527,
