Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
spambase,GaussianNB,Baseline,1,0.015625,0.0,5.433043479919434,0.0040416717529296875,,0.9999999999999898,1363,2380,129,268,0.9489485919359832,0.798176257056129,156,262,17,26,0.942356926227894,0.803797498446397,
spambase,GaussianNB,Baseline,2,0.0,0.0,5.432822227478027,0.0040416717529296875,,0.9999999999997484,1423,2318,192,208,0.9488205363707646,0.7973726649908683,154,256,22,28,0.9368329512214404,0.7716985171491897,
spambase,GaussianNB,Baseline,3,0.015625,0.0,5.432822227478027,0.0040416717529296875,,0.9999999999999811,1366,2385,125,265,0.9489695418204557,0.8018168250281201,153,260,18,29,0.9406870108308957,0.785096610090337,
spambase,GaussianNB,Baseline,4,0.015625,0.0,5.432822227478027,0.0040416717529296875,,0.9999999999998966,1382,2359,150,250,0.9460816062176165,0.7965897130478747,154,265,14,27,0.9571080615457731,0.8123398696159246,
spambase,GaussianNB,Baseline,5,0.015625,0.0,5.432822227478027,0.0040416717529296875,,0.9999999999999591,1391,2367,142,241,0.9501162237513578,0.8052902804663549,152,260,19,29,0.9463949781183786,0.7800651855188833,
spambase,GaussianNB,Baseline,6,0.0,0.0,5.432822227478027,0.0040416717529296875,,0.9999999999999769,1383,2359,150,249,0.9476541314014646,0.7971026178500044,159,256,23,22,0.9362660646745481,0.7952523567676387,
spambase,GaussianNB,Baseline,7,0.015625,0.0,5.432822227478027,0.0040416717529296875,,0.9999999999999378,1389,2365,144,243,0.9485970603865301,0.8032433648122672,149,263,16,32,0.9473553931761025,0.7800742697349259,
spambase,GaussianNB,Baseline,8,0.0,0.0,5.432822227478027,0.0040416717529296875,,0.9999999999997725,1422,2316,193,210,0.9483689599793684,0.7958788326672969,155,258,21,26,0.9463949781183787,0.7850983364430659,
spambase,GaussianNB,Baseline,9,0.015625,0.0,5.432822227478027,0.0040416717529296875,,0.9999999999999261,1385,2362,147,247,0.9483351356684563,0.7996604997776264,152,272,7,29,0.9652765401295075,0.8368577544130782,
spambase,GaussianNB,Baseline,10,0.0,0.015625,5.432822227478027,0.0040416717529296875,,0.9999999999999222,1396,2373,136,236,0.9502669067826413,0.8109200511200496,150,260,19,31,0.9341670132081823,0.7707692462630307,
spambase,GaussianNB,IQR Capping,1,0.109375,0.015625,5.877203941345215,0.004405021667480469,,1.0,1477,2256,253,154,0.9291977452599215,0.7972648713228435,168,248,31,14,0.9204576785221947,0.8013059274040386,
spambase,GaussianNB,IQR Capping,2,0.109375,0.0,5.877327919006348,0.004405021667480469,,1.0,1468,2293,217,163,0.9346204391508155,0.80921598413048,160,254,24,22,0.9313878567475691,0.7913211475521549,
spambase,GaussianNB,IQR Capping,3,0.09375,0.015625,5.877354621887207,0.004405021667480469,,1.0,1465,2271,239,166,0.9306761916161229,0.7972937419152463,165,247,31,17,0.9195094473871452,0.7862132349916754,
spambase,GaussianNB,IQR Capping,4,0.109375,0.0,5.877420425415039,0.004405021667480469,,1.0,1457,2294,215,175,0.9341643368188248,0.8037986784289367,162,254,25,19,0.9357413018079567,0.801055655394825,
spambase,GaussianNB,IQR Capping,5,0.09375,0.015625,5.877286911010742,0.004405021667480469,,1.0,1460,2294,215,172,0.9347525379223032,0.8053971162297181,164,253,26,17,0.9341670132081823,0.8065161899841709,
spambase,GaussianNB,IQR Capping,6,0.109375,0.015625,5.877424240112305,0.004405021667480469,,1.0,1462,2267,242,170,0.9291983906954572,0.7937823397077662,169,249,30,12,0.922117269648904,0.8146414962492438,
spambase,GaussianNB,IQR Capping,7,0.109375,0.015625,5.87751579284668,0.004405021667480469,,1.0,1473,2276,233,159,0.9318004204471746,0.8038957990896172,160,261,18,21,0.9440979029287708,0.8219313242976591,
spambase,GaussianNB,IQR Capping,8,0.109375,0.015625,5.877371788024902,0.004405021667480469,,1.0,1478,2273,236,154,0.9314284751365671,0.8051916083144293,160,254,25,21,0.9259391275074755,0.7914312532425148,
spambase,GaussianNB,IQR Capping,9,0.09375,0.0,5.877610206604004,0.004405021667480469,,1.0,1481,2270,239,151,0.9308377097351497,0.8054185388744972,160,265,14,21,0.9524644052357472,0.8399336030724496,
spambase,GaussianNB,IQR Capping,10,0.109375,0.015625,5.877283096313477,0.004405021667480469,,0.9999999999999982,1476,2286,223,156,0.9344621617080471,0.8101804382919248,162,244,35,19,0.9105823877700547,0.759773157792213,
spambase,GaussianNB,Quantile Capping,1,0.171875,0.03125,7.450566291809082,0.005394935607910156,,0.9999999999655351,1459,2312,197,172,0.9514467720009314,0.813907940784713,167,254,25,15,0.9427507975895073,0.8209735168715379,
spambase,GaussianNB,Quantile Capping,2,0.1875,0.03125,7.385194778442383,0.005372047424316406,,0.9999999867581103,1483,2295,215,148,0.9524732461936437,0.8181821492383684,163,253,25,19,0.9428116847181596,0.8014110463990153,
spambase,GaussianNB,Quantile Capping,3,0.1875,0.046875,7.385290145874023,0.005372047424316406,,0.999999992037548,1463,2316,194,168,0.9523153248440939,0.8174934984750657,169,246,32,13,0.9488299470313859,0.8019517882207553,
spambase,GaussianNB,Quantile Capping,4,0.203125,0.046875,7.452342987060547,0.005394935607910156,,0.9999999994433033,1482,2293,216,150,0.951685329871287,0.8166776616006356,165,258,21,16,0.9533258084318501,0.8325092602566058,
spambase,GaussianNB,Quantile Capping,5,0.203125,0.03125,7.3851470947265625,0.005372047424316406,,0.9999999772365075,1486,2297,212,146,0.9519184367649013,0.8206967192663477,164,251,28,17,0.9572367769658805,0.79819121283737,
spambase,GaussianNB,Quantile Capping,6,0.1875,0.046875,7.452342987060547,0.005394935607910156,,0.9999999998190987,1480,2291,218,152,0.9510817429801733,0.8146681327677796,168,250,29,13,0.9387710647735599,0.813731264873666,
spambase,GaussianNB,Quantile Capping,7,0.1875,0.03125,7.452247619628906,0.005394935607910156,,0.9999999998358149,1482,2293,216,150,0.9497988613540274,0.8166776616006356,160,258,21,21,0.9488108675419316,0.8087090833481851,
spambase,GaussianNB,Quantile Capping,8,0.1875,0.03125,7.385242462158203,0.005372047424316406,,0.9999999856910535,1479,2290,219,153,0.9505257787650732,0.8136633683513516,164,259,20,17,0.9557416978554031,0.8320481584834719,
spambase,GaussianNB,Quantile Capping,9,0.171875,0.03125,7.452295303344727,0.005394935607910156,,0.9999999997265568,1475,2286,223,157,0.9495785759501091,0.8096443106856395,157,270,9,24,0.9698409869502366,0.8495240835669072,
spambase,GaussianNB,Quantile Capping,10,0.1875,0.03125,7.452342987060547,0.005394935607910156,,0.9999999999294893,1469,2321,188,163,0.951703279956861,0.8230543671956815,159,252,27,22,0.9373056892215688,0.7781046204330457,
spambase,GaussianNB,IQR Removal,1,0.09375,0.0,5.481986045837402,0.004334449768066406,,0.9999999999999898,1363,2380,129,268,0.9489485919359832,0.798176257056129,156,262,17,26,0.942356926227894,0.803797498446397,
spambase,GaussianNB,IQR Removal,2,0.09375,0.0,5.484011650085449,0.004334449768066406,,0.9999999999997484,1423,2318,192,208,0.9488205363707646,0.7973726649908683,154,256,22,28,0.9368329512214404,0.7716985171491897,
spambase,GaussianNB,IQR Removal,3,0.09375,0.0,5.483808517456055,0.004334449768066406,,0.9999999999999811,1366,2385,125,265,0.9489695418204557,0.8018168250281201,153,260,18,29,0.9406870108308957,0.785096610090337,
spambase,GaussianNB,IQR Removal,4,0.078125,0.0,5.483882904052734,0.004334449768066406,,0.9999999999998966,1382,2359,150,250,0.9460816062176165,0.7965897130478747,154,265,14,27,0.9571080615457731,0.8123398696159246,
spambase,GaussianNB,IQR Removal,5,0.09375,0.0,5.483759880065918,0.004334449768066406,,0.9999999999999591,1391,2367,142,241,0.9501162237513578,0.8052902804663549,152,260,19,29,0.9463949781183786,0.7800651855188833,
spambase,GaussianNB,IQR Removal,6,0.078125,0.0,5.483712196350098,0.004334449768066406,,0.9999999999999769,1383,2359,150,249,0.9476541314014646,0.7971026178500044,159,256,23,22,0.9362660646745481,0.7952523567676387,
spambase,GaussianNB,IQR Removal,7,0.0625,0.0,5.483713150024414,0.004334449768066406,,0.9999999999999378,1389,2365,144,243,0.9485970603865301,0.8032433648122672,149,263,16,32,0.9473553931761025,0.7800742697349259,
spambase,GaussianNB,IQR Removal,8,0.09375,0.0,5.483991622924805,0.004334449768066406,,0.9999999999997725,1422,2316,193,210,0.9483689599793684,0.7958788326672969,155,258,21,26,0.9463949781183787,0.7850983364430659,
spambase,GaussianNB,IQR Removal,9,0.09375,0.0,5.483759880065918,0.004334449768066406,,0.9999999999999261,1385,2362,147,247,0.9483351356684563,0.7996604997776264,152,272,7,29,0.9652765401295075,0.8368577544130782,
spambase,GaussianNB,IQR Removal,10,0.09375,0.0,5.483855247497559,0.004334449768066406,,0.9999999999999222,1396,2373,136,236,0.9502669067826413,0.8109200511200496,150,260,19,31,0.9341670132081823,0.7707692462630307,
spambase,GaussianNB,Quantile Removal,1,0.171875,0.0,5.631366729736328,0.004340171813964844,,0.9999999999999898,1363,2380,129,268,0.9489485919359832,0.798176257056129,156,262,17,26,0.942356926227894,0.803797498446397,
spambase,GaussianNB,Quantile Removal,2,0.171875,0.0,5.565655708312988,0.004340171813964844,,0.9999999999997484,1423,2318,192,208,0.9488205363707646,0.7973726649908683,154,256,22,28,0.9368329512214404,0.7716985171491897,
spambase,GaussianNB,Quantile Removal,3,0.171875,0.0,5.565655708312988,0.004340171813964844,,0.9999999999999811,1366,2385,125,265,0.9489695418204557,0.8018168250281201,153,260,18,29,0.9406870108308957,0.785096610090337,
spambase,GaussianNB,Quantile Removal,4,0.171875,0.0,5.632708549499512,0.004340171813964844,,0.9999999999998966,1382,2359,150,250,0.9460816062176165,0.7965897130478747,154,265,14,27,0.9571080615457731,0.8123398696159246,
spambase,GaussianNB,Quantile Removal,5,0.171875,0.0,5.565655708312988,0.004340171813964844,,0.9999999999999591,1391,2367,142,241,0.9501162237513578,0.8052902804663549,152,260,19,29,0.9463949781183786,0.7800651855188833,
spambase,GaussianNB,Quantile Removal,6,0.15625,0.0,5.632660865783691,0.004340171813964844,,0.9999999999999769,1383,2359,150,249,0.9476541314014646,0.7971026178500044,159,256,23,22,0.9362660646745481,0.7952523567676387,
spambase,GaussianNB,Quantile Removal,7,0.171875,0.0,5.632708549499512,0.004340171813964844,,0.9999999999999378,1389,2365,144,243,0.9485970603865301,0.8032433648122672,149,263,16,32,0.9473553931761025,0.7800742697349259,
spambase,GaussianNB,Quantile Removal,8,0.15625,0.0,5.565608978271484,0.004340171813964844,,0.9999999999997725,1422,2316,193,210,0.9483689599793684,0.7958788326672969,155,258,21,26,0.9463949781183787,0.7850983364430659,
spambase,GaussianNB,Quantile Removal,9,0.171875,0.015625,5.632708549499512,0.004340171813964844,,0.9999999999999261,1385,2362,147,247,0.9483351356684563,0.7996604997776264,152,272,7,29,0.9652765401295075,0.8368577544130782,
spambase,GaussianNB,Quantile Removal,10,0.171875,0.0,5.63277530670166,0.004340171813964844,,0.9999999999999222,1396,2373,136,236,0.9502669067826413,0.8109200511200496,150,260,19,31,0.9341670132081823,0.7707692462630307,
spambase,GaussianNB,Yeo-Johnson,1,0.453125,0.015625,5.686068534851074,0.005954742431640625,,0.9999991054580368,1440,2376,133,191,0.9587729422393302,0.8354448889066167,160,260,19,22,0.9561325771003191,0.8134269722531977,
spambase,GaussianNB,Yeo-Johnson,2,0.46875,0.015625,5.687480926513672,0.005954742431640625,,0.9999992443812131,1438,2374,136,193,0.9588621601881865,0.8329297406611615,153,265,13,29,0.9553522017550795,0.8083406275737605,
spambase,GaussianNB,Yeo-Johnson,3,0.453125,0.0,5.687433242797852,0.005954742431640625,,0.9999198022806441,1477,2330,180,154,0.9587736118676733,0.8316166745962253,163,256,22,19,0.9549964424065144,0.8142258606629891,
spambase,GaussianNB,Yeo-Johnson,4,0.46875,0.015625,5.687389373779297,0.005954742431640625,,0.9999999997154163,1440,2375,134,192,0.9576547712548551,0.8344896130447853,160,261,18,21,0.9461573496504883,0.8219313242976591,
spambase,GaussianNB,Yeo-Johnson,5,0.46875,0.0,5.687349319458008,0.005954742431640625,,0.9999979604583811,1440,2375,134,192,0.959576773614986,0.8344896130447853,161,258,21,20,0.9560189310679419,0.81345306745539,
spambase,GaussianNB,Yeo-Johnson,6,0.46875,0.0,5.687480926513672,0.005954742431640625,,0.9999991740204252,1435,2370,139,197,0.9589800248517104,0.8293992409596689,164,265,14,17,0.9610784371967761,0.8584774950169982,
spambase,GaussianNB,Yeo-Johnson,7,0.46875,0.015625,5.687480926513672,0.005954742431640625,,0.9999992637367437,1441,2376,133,191,0.958168729827523,0.8355076874618086,156,263,16,25,0.9588308679379789,0.8123133437343444,
spambase,GaussianNB,Yeo-Johnson,8,0.484375,0.0,5.687437057495117,0.005954742431640625,,0.9999993976502748,1433,2368,141,199,0.9575849246633689,0.8273630921256223,164,268,11,17,0.9715439909701182,0.8720554274767265,
spambase,GaussianNB,Yeo-Johnson,9,0.46875,0.0,5.687480926513672,0.005954742431640625,,0.999993507853001,1455,2349,160,177,0.9589532828874874,0.8293141789974938,159,273,6,22,0.9655636745282086,0.8728562126122539,
spambase,GaussianNB,Yeo-Johnson,10,0.453125,0.0,5.687437057495117,0.005954742431640625,,0.9999990143545475,1440,2375,134,192,0.9604479022577543,0.8344896130447853,159,261,18,22,0.9419592467177567,0.817245016626478,
spambase,GaussianNB,Quantile Transform,1,0.109375,0.015625,5.8860368728637695,0.4466094970703125,,0.9986369525959992,1480,2292,217,151,0.9547723841014775,0.815606817139188,169,252,27,13,0.9561621174524401,0.8224401343907559,
spambase,GaussianNB,Quantile Transform,2,0.125,0.015625,5.888136863708496,0.4466094970703125,,0.9990279936821247,1485,2297,213,146,0.9550940322096042,0.8201918935516357,159,253,25,23,0.9480393707012411,0.7822463637499513,
spambase,GaussianNB,Quantile Transform,3,0.109375,0.015625,5.888178825378418,0.4466094970703125,,0.9992574411890376,1481,2293,217,150,0.9547508311328566,0.8161724049251012,164,255,23,18,0.9512609692465808,0.8147100225912436,
spambase,GaussianNB,Quantile Transform,4,0.109375,0.015625,5.88822078704834,0.4466094970703125,,0.9999989788034711,1482,2293,216,150,0.9542178793597951,0.8166776616006356,163,254,25,18,0.9397017762727975,0.8058799500074603,
spambase,GaussianNB,Quantile Transform,5,0.109375,0.015625,5.888009071350098,0.4466094970703125,,0.9982909555962763,1483,2294,215,149,0.9555246944333732,0.8176824260170636,164,252,27,17,0.9540485950216836,0.8023425023977152,
spambase,GaussianNB,Quantile Transform,6,0.109375,0.015625,5.8876752853393555,0.4466094970703125,,0.9998257920303077,1461,2313,196,171,0.9544058057659095,0.8149848461299936,168,252,27,13,0.9591477058951663,0.8218877847062135,
spambase,GaussianNB,Quantile Transform,7,0.109375,0.015625,5.888262748718262,0.4466094970703125,,0.9997713568985253,1460,2312,197,172,0.9543054318180042,0.8139761559967825,164,255,24,17,0.956226855977346,0.8149321276057078,
spambase,GaussianNB,Quantile Transform,8,0.125,0.015625,5.887297630310059,0.4466094970703125,,0.999820461342713,1459,2311,198,173,0.9535385846247626,0.8129674658635715,169,257,22,12,0.9658409077407474,0.8474962315203937,
