Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
steel-plates-fault,GaussianNB,Baseline,1,0.015625,0.0,1.2962751388549805,0.003986358642578125,,0.11276429564102387,584,294,847,21,0.6925417025807432,0.27591061746276835,62,38,89,6,0.6563223714682723,0.24053442668917582,
steel-plates-fault,GaussianNB,Baseline,2,0.015625,0.015625,1.2939329147338867,0.003986358642578125,,0.9728159060631828,495,518,623,111,0.6855155717149278,0.2685422989868068,57,61,66,10,0.7343988717828183,0.32678781540451857,
steel-plates-fault,GaussianNB,Baseline,3,0.015625,0.0,1.2946271896362305,0.003986358642578125,,0.9730065259336623,497,520,621,109,0.6883299635835626,0.2735529890686724,52,69,58,15,0.6978493359971795,0.30653086091583787,
steel-plates-fault,GaussianNB,Baseline,4,0.015625,0.0,1.294236183166504,0.003986358642578125,,0.9705107478309292,494,517,624,112,0.6844786143820342,0.266036953945874,60,64,63,7,0.7796450816782231,0.3943030829108834,
steel-plates-fault,GaussianNB,Baseline,5,0.015625,0.0,1.293745994567871,0.003986358642578125,,0.9743314000716535,488,546,595,118,0.691928219991149,0.27829519422467947,50,57,70,17,0.6793982841697026,0.19096876667532522,
steel-plates-fault,GaussianNB,Baseline,6,0.015625,0.0,1.293837547302246,0.003986358642578125,,0.9605405432711751,542,425,716,64,0.6876343199613564,0.28293305123779117,54,40,87,13,0.7024327182982725,0.1290412679673749,
steel-plates-fault,GaussianNB,Baseline,7,0.015625,0.0,1.2939329147338867,0.003986358642578125,,0.7129957771705885,577,303,838,29,0.6925443201638306,0.26411543388843056,65,35,92,2,0.6796333294159126,0.2974158317560737,
steel-plates-fault,GaussianNB,Baseline,8,0.015625,0.015625,1.2941484451293945,0.003986358642578125,,0.9868322781913922,488,546,595,118,0.694388281948265,0.27829519422467947,53,57,70,14,0.6571865084028675,0.23676745872936542,
steel-plates-fault,GaussianNB,Baseline,9,0.015625,0.0,1.295332908630371,0.003986358642578125,,0.9719018779899744,512,501,641,93,0.6966522412470508,0.28623642235915825,54,43,83,14,0.5952380952380952,0.14181447087381105,
steel-plates-fault,GaussianNB,Baseline,10,0.015625,0.0,1.295424461364746,0.003986358642578125,,0.9652099320252078,503,510,632,102,0.6934882980417131,0.27724652451442133,54,56,70,14,0.6663165266106443,0.2370179840715683,
steel-plates-fault,GaussianNB,IQR Capping,1,0.09375,0.015625,1.4803590774536133,0.004578590393066406,,4.6220965751431714e-05,591,283,858,14,0.6647467423819906,0.28482198229245004,62,35,92,6,0.6322371468272349,0.2191138912977102,
steel-plates-fault,GaussianNB,IQR Capping,2,0.109375,0.015625,1.4803924560546875,0.004578590393066406,,4.43413124587243e-05,591,265,876,15,0.6567844777466353,0.2692173385367957,67,32,95,0,0.6902103654953579,0.32281449173281107,
steel-plates-fault,GaussianNB,IQR Capping,3,0.109375,0.015625,1.4804878234863281,0.004578590393066406,,3.0412416269585272e-05,593,267,874,13,0.6594860625413987,0.2757735008009362,65,29,98,2,0.6571865084028675,0.2575821350262788,
steel-plates-fault,GaussianNB,IQR Capping,4,0.109375,0.015625,1.4804878234863281,0.004578590393066406,,0.00016348258576456636,588,279,862,18,0.6540886779300191,0.2722014061283282,66,37,90,1,0.7501469032788812,0.3311646393580172,
steel-plates-fault,GaussianNB,IQR Capping,5,0.09375,0.03125,1.4803457260131836,0.004578590393066406,,2.7727555642763846e-05,593,267,874,13,0.6655545046178588,0.2757735008009362,65,29,98,2,0.6238100834410625,0.2575821350262788,
steel-plates-fault,GaussianNB,IQR Capping,6,0.09375,0.015625,1.4803924560546875,0.004578590393066406,,0.0001118881408271866,575,319,822,31,0.659154872542469,0.271637061231485,64,29,98,3,0.6569514631566576,0.2351848116075797,
steel-plates-fault,GaussianNB,IQR Capping,7,0.09375,0.015625,1.4803924560546875,0.004578590393066406,,7.247554768906101e-05,589,280,861,17,0.6605953321011331,0.27540289167059534,65,32,95,2,0.6885650487718885,0.27779414788956264,
steel-plates-fault,GaussianNB,IQR Capping,8,0.109375,0.03125,1.4803924560546875,0.004578590393066406,,4.845546934206977e-05,592,266,875,14,0.6639723130945874,0.272495419668866,66,26,101,1,0.6254554001645316,0.26073128628492936,
steel-plates-fault,GaussianNB,IQR Capping,9,0.09375,0.015625,1.4802980422973633,0.004578590393066406,,0.00012258345306265827,577,322,820,28,0.6671824116020899,0.28015741845103825,62,29,97,6,0.5689775910364145,0.1761007727438996,
steel-plates-fault,GaussianNB,IQR Capping,10,0.09375,0.015625,1.480393409729004,0.004578590393066406,,4.308503904018665e-05,597,237,905,8,0.6604261047024937,0.2662455217005476,68,29,97,0,0.6601307189542484,0.3079826210247826,
steel-plates-fault,GaussianNB,Quantile Capping,1,0.09375,0.015625,1.4796810150146484,0.004584312438964844,,0.054778575146859514,584,294,847,21,0.6940164130348179,0.27591061746276835,63,36,91,5,0.6585224641037517,0.24552131330206958,
steel-plates-fault,GaussianNB,Quantile Capping,2,0.09375,0.015625,1.4803924560546875,0.004584312438964844,,0.21197474616063997,578,304,837,28,0.6818927291502157,0.26718068817832213,65,35,92,2,0.7307556704665648,0.2974158317560737,
steel-plates-fault,GaussianNB,Quantile Capping,3,0.109375,0.015625,1.4804401397705078,0.004584312438964844,,0.15913304531849295,580,306,835,26,0.6849486438564978,0.2733111967581053,63,32,95,4,0.6974967681278647,0.23516042891916994,
steel-plates-fault,GaussianNB,Quantile Capping,4,0.109375,0.015625,1.4802970886230469,0.004584312438964844,,0.08150296036124113,582,291,850,24,0.6809946112928558,0.26672859323931825,66,39,88,1,0.7713009754377718,0.34337724068329045,
steel-plates-fault,GaussianNB,Quantile Capping,5,0.109375,0.015625,1.4804401397705078,0.004584312438964844,,0.04943262525541191,584,293,848,22,0.6913598458881822,0.2729848848088338,63,31,96,4,0.6917381595957223,0.22800853145931108,
steel-plates-fault,GaussianNB,Quantile Capping,6,0.109375,0.015625,1.4804878234863281,0.004584312438964844,,0.11533736001258856,581,307,834,25,0.6843310974392793,0.27637645104799685,65,28,99,2,0.6951463156657657,0.2506853973572008,
