Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
tokyo1,GaussianNB,Baseline,1,0.015625,0.0,0.9727907180786133,0.00470733642578125,,0.9990217935257782,519,252,59,33,0.9462638053963371,0.7661574065909749,58,31,4,3,0.97096018735363,0.8418742217643445,
tokyo1,GaussianNB,Baseline,2,0.015625,0.0,0.9711160659790039,0.00470733642578125,,0.9999999295687589,522,255,56,30,0.9475686192273638,0.7815529835087576,57,29,6,4,0.9620608899297424,0.7732054383133128,
tokyo1,GaussianNB,Baseline,3,0.015625,0.0,0.9708518981933594,0.00470733642578125,,0.9993614122751553,514,256,55,38,0.9457482874318467,0.7641350388915562,61,30,5,0,0.9817330210772833,0.8900605553600227,
tokyo1,GaussianNB,Baseline,4,0.015625,0.0,0.971562385559082,0.00470733642578125,,0.9994721335857982,517,259,52,35,0.9483142271308075,0.779412546850923,59,27,8,2,0.9564402810304449,0.7742769904938871,
tokyo1,GaussianNB,Baseline,5,0.015625,0.0,0.9557018280029297,0.004660606384277344,,0.9992341749073198,520,262,49,32,0.9520189664010438,0.7946900548102898,54,27,8,7,0.9278688524590164,0.6608665503435672,
tokyo1,GaussianNB,Baseline,6,0.015625,0.0,0.9713830947875977,0.00470733642578125,,0.9991462594528736,518,251,60,34,0.9462871056433199,0.7610255476183807,55,34,1,6,0.9807962529274005,0.852359800696136,
tokyo1,GaussianNB,Baseline,7,0.015625,0.0,0.9705896377563477,0.00470733642578125,,0.9985553832727615,513,264,48,38,0.9506229931592908,0.7828786769674217,56,26,8,6,0.9316888045540797,0.6776452139970672,
tokyo1,GaussianNB,Baseline,8,0.015625,0.0,0.9707174301147461,0.00470733642578125,,0.9974372654631489,516,259,53,35,0.9512773977383777,0.777134640263522,59,26,8,3,0.9046489563567361,0.7461140938086352,
tokyo1,GaussianNB,Baseline,9,0.015625,0.0,0.9698362350463867,0.00470733642578125,,0.9989853376835599,522,256,56,29,0.9471066592209967,0.7844419410289168,58,27,7,4,0.9596774193548386,0.7462485614701092,
tokyo1,GaussianNB,Baseline,10,0.0,0.0,0.971430778503418,0.00470733642578125,,0.9995823017868822,518,260,52,34,0.9511217948717948,0.7823593265954559,56,27,7,5,0.9175506268081002,0.7223220214326316,
tokyo1,GaussianNB,IQR Capping,1,0.125,0.03125,1.363041877746582,0.005574226379394531,,0.3955889007096856,513,263,48,39,0.9573663730835547,0.7801362364461991,60,32,3,1,0.9775175644028102,0.9099047423245062,
tokyo1,GaussianNB,IQR Capping,2,0.125,0.015625,1.361093521118164,0.005574226379394531,,0.5967370553712458,516,266,45,36,0.9581352812339811,0.7953171327922964,56,31,4,5,0.9690866510538642,0.799082221404771,
tokyo1,GaussianNB,IQR Capping,3,0.125,0.015625,1.361283302307129,0.005574226379394531,,0.8265507986112361,510,269,42,42,0.957244046786896,0.7888648119670069,61,31,4,0,0.9873536299765807,0.9117065269091754,
tokyo1,GaussianNB,IQR Capping,4,0.125,0.03125,1.3610992431640625,0.005574226379394531,,0.8970200632689534,512,271,40,40,0.959451745188499,0.7989188685400065,58,29,6,3,0.9569086651053864,0.7957733781176919,
tokyo1,GaussianNB,IQR Capping,5,0.125,0.03125,1.347367286682129,0.005527496337890625,,0.38840563660107114,519,269,42,33,0.9640185935970921,0.8104980291383937,52,28,7,9,0.9250585480093677,0.6452459820774649,
tokyo1,GaussianNB,IQR Capping,6,0.125,0.03125,1.360830307006836,0.005574226379394531,,0.7565223876359974,516,266,45,36,0.9593468940770771,0.7953171327922964,54,33,2,7,0.965807962529274,0.8084614418620003,
tokyo1,GaussianNB,IQR Capping,7,0.125,0.03125,1.3611879348754883,0.005574226379394531,,0.14280499973046804,519,262,50,32,0.9597293964353855,0.7924014803157438,59,28,6,3,0.959203036053131,0.7928284456711043,
tokyo1,GaussianNB,IQR Capping,8,0.125,0.03125,1.3613977432250977,0.005574226379394531,,0.8087363979555348,512,272,40,39,0.9611080087486621,0.8015741920165024,59,27,7,3,0.9459203036053131,0.7694575109355096,
tokyo1,GaussianNB,IQR Capping,9,0.125,0.03125,1.3615827560424805,0.005574226379394531,,0.6828961095027134,514,265,47,37,0.9576120340639398,0.7879354422675752,58,32,2,4,0.9667931688804554,0.8660436626137549,
tokyo1,GaussianNB,IQR Capping,10,0.125,0.03125,1.3619976043701172,0.005574226379394531,,0.8579886217850591,514,273,39,38,0.9615094295800817,0.8067240586703465,53,27,7,8,0.9387656702025072,0.6588532229973617,
tokyo1,GaussianNB,Quantile Capping,1,0.140625,0.015625,1.1240644454956055,0.005602836608886719,,0.9798771370154656,509,259,52,43,0.9510461810895195,0.7598950413180693,56,31,4,5,0.9704918032786886,0.799082221404771,
tokyo1,GaussianNB,Quantile Capping,2,0.125,0.03125,1.1239814758300781,0.005602836608886719,,0.9580101090797314,516,258,53,36,0.9513141339298197,0.7743200441978008,57,29,6,4,0.9662763466042155,0.7732054383133128,
tokyo1,GaussianNB,Quantile Capping,3,0.125,0.03125,1.1235361099243164,0.005602836608886719,,0.9830352049218527,509,259,52,43,0.9505044503471737,0.7598950413180693,61,30,5,0,0.9803278688524589,0.8900605553600227,
tokyo1,GaussianNB,Quantile Capping,4,0.140625,0.03125,1.1234054565429688,0.005602836608886719,,0.9924009936005148,507,266,45,45,0.9529859266508225,0.7737837271075073,58,28,7,3,0.955503512880562,0.7728532853703904,
tokyo1,GaussianNB,Quantile Capping,5,0.125,0.015625,1.116440773010254,0.0055561065673828125,,0.9885647922659043,514,264,47,38,0.9572149214781677,0.7851965352282315,53,27,8,8,0.9250585480093676,0.6402810304449649,
tokyo1,GaussianNB,Quantile Capping,6,0.125,0.03125,1.1236677169799805,0.005602836608886719,,0.9881919890487376,509,259,52,43,0.9509122046693694,0.7598950413180693,54,34,1,7,0.9737704918032786,0.8335688802707012,
tokyo1,GaussianNB,Quantile Capping,7,0.125,0.03125,1.1237678527832031,0.005602836608886719,,0.9809512103287569,512,263,49,39,0.9524175159383871,0.7778219116672684,56,27,7,6,0.9582542694497154,0.7021902368623143,
tokyo1,GaussianNB,Quantile Capping,8,0.140625,0.015625,1.123854637145996,0.005602836608886719,,0.5053318193691887,525,250,62,26,0.9543196519149332,0.7767935918540135,59,25,9,3,0.9278937381404174,0.7227694483981509,
tokyo1,GaussianNB,Quantile Capping,9,0.125,0.03125,1.1233139038085938,0.005602836608886719,,0.7379122432355043,525,250,62,26,0.9513297501047048,0.7767935918540135,58,26,8,4,0.9554079696394686,0.7224677392753258,
tokyo1,GaussianNB,Quantile Capping,10,0.125,0.03125,1.124481201171875,0.005602836608886719,,0.9880077788447441,513,264,48,39,0.9564752879970272,0.7805969133059787,55,27,7,6,0.9117647058823529,0.7005016141839209,
tokyo1,GaussianNB,IQR Removal,1,0.09375,0.0,1.0057497024536133,0.0049571990966796875,,0.9990217935257782,519,252,59,33,0.9462638053963371,0.7661574065909749,58,31,4,3,0.97096018735363,0.8418742217643445,
tokyo1,GaussianNB,IQR Removal,2,0.09375,0.0,1.0068321228027344,0.0049571990966796875,,0.9999999295687589,522,255,56,30,0.9475686192273638,0.7815529835087576,57,29,6,4,0.9620608899297424,0.7732054383133128,
tokyo1,GaussianNB,IQR Removal,3,0.09375,0.0,1.0072593688964844,0.0049571990966796875,,0.9993614122751553,514,256,55,38,0.9457482874318467,0.7641350388915562,61,30,5,0,0.9817330210772833,0.8900605553600227,
tokyo1,GaussianNB,IQR Removal,4,0.078125,0.0,1.0071544647216797,0.0049571990966796875,,0.9994721335857982,517,259,52,35,0.9483142271308075,0.779412546850923,59,27,8,2,0.9564402810304449,0.7742769904938871,
tokyo1,GaussianNB,IQR Removal,5,0.078125,0.015625,0.9914779663085938,0.004910469055175781,,0.9992341749073198,520,262,49,32,0.9520189664010438,0.7946900548102898,54,27,8,7,0.9278688524590164,0.6608665503435672,
tokyo1,GaussianNB,IQR Removal,6,0.078125,0.0,1.0073413848876953,0.0049571990966796875,,0.9991462594528736,518,251,60,34,0.9462871056433199,0.7610255476183807,55,34,1,6,0.9807962529274005,0.852359800696136,
tokyo1,GaussianNB,IQR Removal,7,0.09375,0.0,1.0058841705322266,0.0049571990966796875,,0.9985553832727615,513,264,48,38,0.9506229931592908,0.7828786769674217,56,26,8,6,0.9316888045540797,0.6776452139970672,
tokyo1,GaussianNB,IQR Removal,8,0.078125,0.0,1.0065994262695312,0.0049571990966796875,,0.9974372654631489,516,259,53,35,0.9512773977383777,0.777134640263522,59,26,8,3,0.9046489563567361,0.7461140938086352,
tokyo1,GaussianNB,IQR Removal,9,0.09375,0.0,1.005976676940918,0.0049571990966796875,,0.9989853376835599,522,256,56,29,0.9471066592209967,0.7844419410289168,58,27,7,4,0.9596774193548386,0.7462485614701092,
tokyo1,GaussianNB,IQR Removal,10,0.078125,0.015625,1.0071754455566406,0.0049571990966796875,,0.9995823017868822,518,260,52,34,0.9511217948717948,0.7823593265954559,56,27,7,5,0.9175506268081002,0.7223220214326316,
tokyo1,GaussianNB,Quantile Removal,1,0.09375,0.0,1.0073108673095703,0.004962921142578125,,0.9990217935257782,519,252,59,33,0.9462638053963371,0.7661574065909749,58,31,4,3,0.97096018735363,0.8418742217643445,
tokyo1,GaussianNB,Quantile Removal,2,0.078125,0.0,1.0070953369140625,0.004962921142578125,,0.9999999295687589,522,255,56,30,0.9475686192273638,0.7815529835087576,57,29,6,4,0.9620608899297424,0.7732054383133128,
tokyo1,GaussianNB,Quantile Removal,3,0.09375,0.0,1.0068778991699219,0.004962921142578125,,0.9993614122751553,514,256,55,38,0.9457482874318467,0.7641350388915562,61,30,5,0,0.9817330210772833,0.8900605553600227,
tokyo1,GaussianNB,Quantile Removal,4,0.078125,0.0,1.0069637298583984,0.004962921142578125,,0.9994721335857982,517,259,52,35,0.9483142271308075,0.779412546850923,59,27,8,2,0.9564402810304449,0.7742769904938871,
tokyo1,GaussianNB,Quantile Removal,5,0.078125,0.015625,0.9915056228637695,0.004916191101074219,,0.9992341749073198,520,262,49,32,0.9520189664010438,0.7946900548102898,54,27,8,7,0.9278688524590164,0.6608665503435672,
tokyo1,GaussianNB,Quantile Removal,6,0.09375,0.0,1.007533073425293,0.004962921142578125,,0.9991462594528736,518,251,60,34,0.9462871056433199,0.7610255476183807,55,34,1,6,0.9807962529274005,0.852359800696136,
tokyo1,GaussianNB,Quantile Removal,7,0.078125,0.015625,1.005946159362793,0.004962921142578125,,0.9985553832727615,513,264,48,38,0.9506229931592908,0.7828786769674217,56,26,8,6,0.9316888045540797,0.6776452139970672,
tokyo1,GaussianNB,Quantile Removal,8,0.078125,0.0,1.0061264038085938,0.004962921142578125,,0.9974372654631489,516,259,53,35,0.9512773977383777,0.777134640263522,59,26,8,3,0.9046489563567361,0.7461140938086352,
tokyo1,GaussianNB,Quantile Removal,9,0.078125,0.0,1.0064115524291992,0.004962921142578125,,0.9989853376835599,522,256,56,29,0.9471066592209967,0.7844419410289168,58,27,7,4,0.9596774193548386,0.7462485614701092,
