Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
wdbc,GaussianNB,Baseline,1,0.0,0.0,0.3554258346557617,0.0028314590454101562,,0.002581512825638602,181,303,19,9,0.98796992481203,0.8848464855498474,22,34,1,0,0.9987012987012986,0.9639463400956773,
wdbc,GaussianNB,Baseline,2,0.0,0.0,0.35400867462158203,0.0028314590454101562,,0.0022676416201573247,182,304,18,8,0.9889669826740765,0.8931330198014117,22,31,4,0,0.9935064935064934,0.8657081202406209,
wdbc,GaussianNB,Baseline,3,0.0,0.0,0.35355091094970703,0.0028314590454101562,,0.963688785499941,168,315,6,23,0.9877835951134379,0.8789894615920545,17,34,2,4,0.9629629629629629,0.7715167498104596,
wdbc,GaussianNB,Baseline,4,0.0,0.0,0.35332775115966797,0.0028314590454101562,,0.002821505208513557,182,303,18,9,0.9908336187633541,0.8889448868222333,17,35,1,4,0.9814814814814815,0.8112561965679829,
wdbc,GaussianNB,Baseline,5,0.015625,0.0,0.35346317291259766,0.0028314590454101562,,0.003718008796691314,183,304,17,8,0.9899854838446609,0.8972225636382704,19,35,1,2,0.9814814814814815,0.8864143349643965,
wdbc,GaussianNB,Baseline,6,0.015625,0.0,0.35341930389404297,0.0028314590454101562,,0.3356948068030049,174,311,10,17,0.9894472443770286,0.886804959947913,15,36,0,6,0.9947089947089947,0.7824607964359516,
wdbc,GaussianNB,Baseline,7,0.0,0.0,0.35341930389404297,0.0028314590454101562,,0.003460409691400666,182,303,18,9,0.9895287958115184,0.8889448868222333,20,33,3,1,0.9708994708994709,0.8544784126535336,
wdbc,GaussianNB,Baseline,8,0.015625,0.0,0.35355091094970703,0.0028314590454101562,,0.001308386478410089,183,304,17,8,0.989047642348029,0.8972225636382704,21,29,7,0,0.9986772486772486,0.7772815877574013,
wdbc,GaussianNB,Baseline,9,0.015625,0.0,0.35355091094970703,0.0028314590454101562,,0.0019102892426576402,185,301,20,6,0.9899691735577629,0.894511648882775,19,34,2,2,0.9814814814814815,0.8492063492063492,
wdbc,GaussianNB,Baseline,10,0.0,0.0,0.35410594940185547,0.0028314590454101562,,0.0007123333400943332,183,300,22,8,0.987658937920718,0.878174709998327,21,34,1,0,1.0,0.9629500128629354,
