Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Iterations,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
wilt,GaussianNB,Baseline,1,0.0,0.0,0.5698766708374023,0.001705169677734375,,0.7324143151334629,69,4102,19,165,0.8491663503796482,0.4651528216763354,5,457,0,22,0.8430180727773725,0.4203329767402787,
wilt,GaussianNB,Baseline,2,0.0,0.0,0.5685548782348633,0.001705169677734375,,0.6907426413167149,81,4070,50,154,0.8466339599256352,0.43988106296524077,14,453,5,12,0.8518642929123278,0.6124564915158527,
wilt,GaussianNB,Baseline,3,0.0,0.0,0.5682916641235352,0.001705169677734375,,0.6792925092540135,85,4074,46,150,0.8505236521379881,0.46368057259922685,8,450,8,18,0.8126469600268726,0.3659918402520497,
wilt,GaussianNB,Baseline,4,0.015625,0.0,0.5682916641235352,0.001705169677734375,,0.6932823555730809,86,4075,45,149,0.8462652344556909,0.46963045000772335,7,449,9,19,0.8368323815922069,0.3147360385500844,
wilt,GaussianNB,Baseline,5,0.0,0.0,0.5685548782348633,0.001705169677734375,,0.6825116951260906,83,4072,48,152,0.8457994216071059,0.45178081778223383,9,455,3,17,0.8527880416526704,0.49241368204484115,
wilt,GaussianNB,Baseline,6,0.0,0.0,0.5684671401977539,0.001705169677734375,,0.6728001717819297,82,4071,49,153,0.8402137988019004,0.44583094037373733,12,452,6,14,0.9082969432314411,0.5343091766246213,
wilt,GaussianNB,Baseline,7,0.015625,0.0,0.5684232711791992,0.001705169677734375,,0.72965130526766,68,4100,20,167,0.8476616401569923,0.4568497025596177,5,457,1,21,0.8337252267383272,0.3874069753565878,
wilt,GaussianNB,Baseline,8,0.015625,0.0,0.5685548782348633,0.001705169677734375,,0.6763341132787659,84,4073,47,151,0.8446178475521586,0.45773069519073034,8,454,4,18,0.8710110849848841,0.43347989814036464,
wilt,GaussianNB,Baseline,9,0.0,0.0,0.5684232711791992,0.001705169677734375,,0.6633990495788439,84,4073,47,151,0.845617640983268,0.45773069519073034,11,450,8,15,0.8302821632515957,0.47089539223520666,
wilt,GaussianNB,Baseline,10,0.0,0.0,0.568669319152832,0.001705169677734375,,0.684252307021721,85,4075,46,150,0.851667897174307,0.4636855415558455,7,451,6,19,0.799781181619256,0.357138420219513,
wilt,GaussianNB,IQR Capping,1,0.03125,0.0,0.7298812866210938,0.0018625259399414062,,0.2720775397181977,98,4088,33,136,0.8832631279852828,0.5422973390018251,8,457,0,19,0.8691141907772105,0.5333566754929319,
wilt,GaussianNB,IQR Capping,2,0.0,0.015625,0.7295608520507812,0.0018625259399414062,,0.2682652659551323,95,4084,36,140,0.8797851683536458,0.5231793466841921,12,454,4,14,0.8978837756130332,0.5710150470599109,
wilt,GaussianNB,IQR Capping,3,0.03125,0.0,0.7296085357666016,0.0018625259399414062,,0.2739629424956641,96,4085,35,139,0.8818529229498039,0.5291292240926886,10,452,6,16,0.851612361437689,0.46850344365598035,
wilt,GaussianNB,IQR Capping,4,0.03125,0.0,0.7295608520507812,0.0018625259399414062,,0.24656914896202817,111,4056,64,124,0.8789165461681471,0.5255422021593192,8,444,14,18,0.86126973463218,0.29995920832131384,
wilt,GaussianNB,IQR Capping,5,0.03125,0.0,0.7296085357666016,0.0018625259399414062,,0.27312787479436895,93,4082,38,142,0.8796684569303863,0.511279591867199,9,457,1,17,0.8869667450453477,0.5451943721838963,
wilt,GaussianNB,IQR Capping,6,0.03125,0.0,0.7296085357666016,0.0018625259399414062,,0.3050019294578848,77,4109,11,158,0.876050402809337,0.521854509398448,10,458,0,16,0.9320624790057104,0.6096167540532824,
