Dataset,Model,Preprocessor,Fit Time (s),Predict Time (s),Peak Memory (MB),Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,Average Precision,Error
iranian,Gaussian Naive Bayes,Baseline,0.005526185035705566,0.015330815315246582,103.42745208740234,0.8114867965060899,0.6726389523644135,0.8114867965060899,0.6681587057611222,0.683011265783366,
iranian,Gaussian Naive Bayes,Yeo-Johnson,0.04805469512939453,0.016879677772521973,1.29693603515625,0.8415655513446689,0.7185403073641556,0.8415655513446689,0.7453108577052984,0.7280848512733107,
iranian,Gaussian Naive Bayes,Quantile Transform,0.07537176609039306,0.024869275093078614,1.294377326965332,0.8215500881584014,0.7332396010204605,0.8215500881584014,0.7606549427415131,0.7032992189868212,
iranian,Gaussian Naive Bayes,Min-Max Scaler,0.006782126426696777,0.015137219429016113,1.294285774230957,0.8140667369231703,0.6750574737775845,0.8140667369231703,0.6730167130759026,0.676339940976637,
iranian,Gaussian Naive Bayes,Standard Scaler,0.006472992897033692,0.01472783088684082,1.1525144577026367,0.8140667369231703,0.6750574737775845,0.8140667369231703,0.6730167130759026,0.6770138735733188,
iranian,Gaussian Naive Bayes,Robust Scaler,0.008693337440490723,0.014838910102844239,1.2929086685180664,0.8140667369231703,0.6750574737775845,0.8140667369231703,0.6730167130759026,0.6770138735733188,
iranian,Gaussian Naive Bayes,Uniform Binning,0.007000112533569336,0.0168515682220459,1.1758222579956055,0.8067565004154591,0.668587109620029,0.8067565004154591,0.6609959464471895,0.687238707415535,
iranian,Gaussian Naive Bayes,Quantile Binning,0.009754395484924317,0.01536102294921875,1.2924203872680664,0.834595889994528,0.7072671398439656,0.834595889994528,0.7302763153489357,0.7221537421550848,
iranian,Gaussian Naive Bayes,Random Undersampling,0.007476139068603516,0.011997818946838379,1.1519222259521484,0.78814034412176,0.6551797267332897,0.78814034412176,0.6313944440055071,0.6836848814731779,
iranian,Gaussian Naive Bayes,SMOTE,0.012287282943725586,0.012774991989135741,1.2932300567626953,0.7857948037208925,0.6540765812955593,0.7857948037208925,0.6317762099345047,0.6694896282918895,
iranian,Logistic Regression,Baseline,0.4810474395751953,0.01201317310333252,1.1526269912719727,0.7152053786757999,0.8323722277203377,0.7152053786757999,0.7534655011557758,0.7657168435314102,
iranian,Logistic Regression,Yeo-Johnson,0.05468723773956299,0.0170029878616333,1.293686866760254,0.7587368015726648,0.828694558624895,0.7587368015726648,0.7858613157378153,0.7599694114218354,
iranian,Logistic Regression,Quantile Transform,0.08169090747833252,0.024258875846862794,1.2941522598266602,0.7374435279573597,0.8379099348797343,0.7374435279573597,0.7729522623002862,0.7518835749581358,
iranian,Logistic Regression,Min-Max Scaler,0.011494135856628418,0.014721369743347168,1.2937383651733398,0.6996496159536308,0.8647822509380386,0.6996496159536308,0.7456751283438309,0.7461941770267778,
iranian,Logistic Regression,Standard Scaler,0.01515965461730957,0.01602609157562256,1.1764917373657227,0.7074931803903289,0.8512841376803036,0.7074931803903289,0.7506747667073528,0.7588263658454151,
iranian,Logistic Regression,Robust Scaler,0.016857004165649413,0.015145611763000489,1.2928075790405273,0.7097022677988772,0.8537719043291301,0.7097022677988772,0.753138902736431,0.7586310639704568,
iranian,Logistic Regression,Uniform Binning,0.013495731353759765,0.016628313064575195,1.1536235809326172,0.70910611434246,0.8627088935116888,0.70910611434246,0.7544226643326197,0.7296781922186205,
iranian,Logistic Regression,Quantile Binning,0.020375370979309082,0.0167849063873291,1.2941303253173828,0.6989167257767058,0.8567356263785907,0.6989167257767058,0.7436944572516146,0.7338621644818991,
iranian,Logistic Regression,Random Undersampling,0.3148041248321533,0.011800432205200195,1.1534433364868164,0.8527471981841396,0.7364131898499567,0.8527471981841396,0.7669006567412834,0.750347700830308,
iranian,Logistic Regression,SMOTE,0.6676176071166993,0.015032172203063965,1.293797492980957,0.842511541657378,0.7161553346258296,0.842511541657378,0.7423789828116871,0.7437613355164272,
iranian,KNN,Baseline,0.007373833656311035,0.01788375377655029,1.2936983108520508,0.6866383073586932,0.7295981270499392,0.6866383073586932,0.703497719263235,0.47808155208288117,
iranian,KNN,Yeo-Johnson,0.05533699989318848,0.028565406799316406,1.1517972946166992,0.8708925480817948,0.8949393469990765,0.8708925480817948,0.8816701072306788,0.8534407901441285,
iranian,KNN,Quantile Transform,0.07622380256652832,0.0360062837600708,1.3168907165527344,0.8668552783576191,0.8936967432520706,0.8668552783576191,0.8787945379559904,0.8447253035310112,
iranian,KNN,Min-Max Scaler,0.00970313549041748,0.02777683734893799,1.2933874130249023,0.9059809091461808,0.9185087763074906,0.9059809091461808,0.911349978091755,0.9014390314342655,
iranian,KNN,Standard Scaler,0.009808158874511719,0.024332427978515626,1.1508522033691406,0.8843804795006383,0.9095715258861745,0.8843804795006383,0.8954472856333341,0.8851175282363718,
iranian,KNN,Robust Scaler,0.011950802803039551,0.02379462718963623,1.2941436767578125,0.8834073120807411,0.9100084646981521,0.8834073120807411,0.8951451332299563,0.8850063239918109,
iranian,KNN,Uniform Binning,0.011022257804870605,0.03119471073150635,1.1532506942749023,0.7855863445676184,0.8627947027126609,0.7855863445676184,0.8123262622871786,0.7385566497981011,
iranian,KNN,Quantile Binning,0.013994550704956055,0.027780675888061525,1.294022560119629,0.8425581136128732,0.8735503406701252,0.8425581136128732,0.8555357926948304,0.7995479860232518,
iranian,KNN,Random Undersampling,0.00743710994720459,0.016841030120849608,1.1529808044433594,0.7615537563585513,0.6466484432963477,0.7615537563585513,0.6406968295447507,0.3841413701877379,
iranian,KNN,SMOTE,0.019578886032104493,0.018491387367248535,1.2938566207885742,0.7822219159759236,0.6849896251401517,0.7822219159759236,0.7059878535204122,0.4870684033439564,
iranian,SVM,Baseline,0.16997992992401123,0.07762939929962158,1.176436424255371,0.5,0.42142857142857143,0.5,0.4573639385126714,0.3517264491785159,
iranian,SVM,Yeo-Johnson,0.14593067169189453,0.05381565093994141,1.294957160949707,0.8417732201122753,0.9038996507875373,0.8417732201122753,0.8685949891399879,0.8888090637293866,
iranian,SVM,Quantile Transform,0.1916506767272949,0.07711708545684814,1.293975830078125,0.7535956670652373,0.8572527491378858,0.7535956670652373,0.7909147811606017,0.7811225273509382,
iranian,SVM,Min-Max Scaler,0.10261270999908448,0.05294842720031738,1.2946043014526367,0.7276874936667814,0.9166686341479127,0.7276874936667814,0.7820592122065729,0.8367120508527547,
