dataset_id,dataset_name,instances_raw,features_raw,imbalance_ratio_raw,instances_clean,features_clean,num_features_clean,cat_features_clean,prop_missing_clean,imbalance_ratio_clean,minority_count_clean
3,kr-vs-kp,3196,36,1.093,3196,36,0,36,0.0,1.093,1527
15,breast-w,699,9,1.9004,699,9,9,0,0.0025,1.9004,241
29,credit-approval,690,15,1.2476,690,15,6,9,0.0065,1.2476,307
31,credit-g,1000,20,2.3333,1000,20,7,13,0.0,2.3333,300
37,diabetes,768,8,1.8657,768,8,8,0,0.0,1.8657,268
38,sick,3772,29,15.329,3772,27,6,21,0.0225,15.329,231
44,spambase,4601,57,1.5378,4601,57,57,0,0.0,1.5378,1813
50,tic-tac-toe,958,9,1.8855,958,9,0,9,0.0,1.8855,332
151,electricity,45312,8,1.3555,10000,8,7,1,0.0,1.3557,4245
1049,pc4,1458,37,7.191,1458,37,37,0,0.0,7.191,178
1050,pc3,1563,37,8.7688,1563,37,37,0,0.0,8.7688,160
1053,jm1,10885,21,4.1686,10000,21,21,0,0.0001,4.168,1935
1063,kc2,522,21,3.8785,522,21,21,0,0.0,3.8785,107
1067,kc1,2109,21,5.4693,2109,21,21,0,0.0,5.4693,326
1068,pc1,1109,21,13.4026,1109,21,21,0,0.0,13.4026,77
1461,bank-marketing,45211,16,7.5481,10000,16,7,9,0.0,7.547,1170
1462,banknote-authentication,1372,4,1.2492,1372,4,4,0,0.0,1.2492,610
1464,blood-transfusion-service-center,748,4,3.2022,748,4,4,0,0.0,3.2022,178
1480,ilpd,583,10,2.491,583,10,9,1,0.0,2.491,167
1485,madelon,2600,500,1.0,2600,500,500,0,0.0,1.0,1300
1486,nomao,34465,118,2.5011,10000,118,89,29,0.0,2.5014,2856
1487,ozone-level-8hr,2534,72,14.8375,2534,72,72,0,0.0,14.8375,160
1489,phoneme,5404,5,2.4073,5404,5,5,0,0.0,2.4073,1586
1494,qsar-biodeg,1055,41,1.9635,1055,41,41,0,0.0,1.9635,356
1510,wdbc,569,30,1.684,569,30,30,0,0.0,1.684,212
1590,adult,48842,14,3.1792,10000,14,6,8,0.0088,3.1789,2393
4134,Bioresponse,3751,1776,1.1846,3751,1776,1776,0,0.0,1.1846,1717
4534,PhishingWebsites,11055,30,1.257,10000,30,0,30,0.0,1.2568,4431
6332,cylinder-bands,540,37,1.3684,540,35,18,17,0.0529,1.3684,228
23381,dresses-sales,500,12,1.381,500,12,1,11,0.1392,1.381,210
23517,numerai28.6,96320,21,1.0209,10000,21,21,0,0.0,1.021,4948
40701,churn,5000,20,6.0721,5000,20,16,4,0.0,6.0721,707
40978,Internet-Advertisements,3279,1558,6.1438,3279,1558,3,1555,0.0,6.1438,459
40983,wilt,4839,5,17.5402,4839,5,5,0,0.0,17.5402,261
40994,climate-model-simulation-crashes,540,18,10.7391,540,18,18,0,0.0,10.7391,46
